class I
population/area	coverage	average_hit	pc90
USA Eastern European	100.0%	22787.22	10999.83
average	100.0%	22787.22	10999.83
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Eastern European	0	0.0	100.0
USA Eastern European	1	0.0	100.0
USA Eastern European	2	0.0	100.0
USA Eastern European	3	0.0	100.0
USA Eastern European	4	0.0	100.0
USA Eastern European	5	0.0	100.0
USA Eastern European	6	0.0	100.0
USA Eastern European	7	0.0	100.0
USA Eastern European	8	0.0	100.0
USA Eastern European	9	0.0	100.0
USA Eastern European	10	0.0	100.0
USA Eastern European	11	0.0	100.0
USA Eastern European	12	0.0	100.0
USA Eastern European	13	0.0	100.0
USA Eastern European	14	0.0	100.0
USA Eastern European	15	0.0	100.0
USA Eastern European	16	0.0	100.0
USA Eastern European	17	0.0	100.0
USA Eastern European	18	0.0	100.0
USA Eastern European	19	0.0	100.0
USA Eastern European	20	0.0	100.0
USA Eastern European	21	0.0	100.0
USA Eastern European	22	0.0	100.0
USA Eastern European	23	0.0	100.0
USA Eastern European	24	0.0	100.0
USA Eastern European	25	0.0	100.0
USA Eastern European	26	0.0	100.0
USA Eastern European	27	0.0	100.0
USA Eastern European	28	0.0	100.0
USA Eastern European	29	0.0	100.0
USA Eastern European	30	0.0	100.0
USA Eastern European	31	0.0	100.0
USA Eastern European	32	0.0	100.0
USA Eastern European	33	0.0	100.0
USA Eastern European	34	0.0	100.0
USA Eastern European	35	0.0	100.0
USA Eastern European	36	0.0	100.0
USA Eastern European	37	0.0	100.0
USA Eastern European	38	0.0	100.0
USA Eastern European	39	0.0	100.0
USA Eastern European	40	0.0	100.0
USA Eastern European	41	0.0	100.0
USA Eastern European	42	0.0	100.0
USA Eastern European	43	0.0	100.0
USA Eastern European	44	0.0	100.0
USA Eastern European	45	0.0	100.0
USA Eastern European	46	0.0	100.0
USA Eastern European	47	0.0	100.0
USA Eastern European	48	0.0	100.0
USA Eastern European	49	0.0	100.0
USA Eastern European	50	0.0	100.0
USA Eastern European	51	0.0	100.0
USA Eastern European	52	0.0	100.0
USA Eastern European	53	0.0	100.0
USA Eastern European	54	0.0	100.0
USA Eastern European	55	0.0	100.0
USA Eastern European	56	0.0	100.0
USA Eastern European	57	0.0	100.0
USA Eastern European	58	0.0	100.0
USA Eastern European	59	0.0	100.0
USA Eastern European	60	0.0	100.0
USA Eastern European	61	0.0	100.0
USA Eastern European	62	0.0	100.0
USA Eastern European	63	0.0	100.0
USA Eastern European	64	0.0	100.0
USA Eastern European	65	0.0	100.0
USA Eastern European	66	0.0	100.0
USA Eastern European	67	0.0	100.0
USA Eastern European	68	0.0	100.0
USA Eastern European	69	0.0	100.0
USA Eastern European	70	0.0	100.0
USA Eastern European	71	0.0	100.0
USA Eastern European	72	0.0	100.0
USA Eastern European	73	0.0	100.0
USA Eastern European	74	0.0	100.0
USA Eastern European	75	0.0	100.0
USA Eastern European	76	0.0	100.0
USA Eastern European	77	0.0	100.0
USA Eastern European	78	0.0	100.0
USA Eastern European	79	0.0	100.0
USA Eastern European	80	0.0	100.0
USA Eastern European	81	0.0	100.0
USA Eastern European	82	0.0	100.0
USA Eastern European	83	0.0	100.0
USA Eastern European	84	0.0	100.0
USA Eastern European	85	0.0	100.0
USA Eastern European	86	0.0	100.0
USA Eastern European	87	0.0	100.0
USA Eastern European	88	0.0	100.0
USA Eastern European	89	0.0	100.0
USA Eastern European	90	0.0	100.0
USA Eastern European	91	0.0	100.0
USA Eastern European	92	0.0	100.0
USA Eastern European	93	0.0	100.0
USA Eastern European	94	0.0	100.0
USA Eastern European	95	0.0	100.0
USA Eastern European	96	0.0	100.0
USA Eastern European	97	0.0	100.0
USA Eastern European	98	0.0	100.0
USA Eastern European	99	0.0	100.0
USA Eastern European	100	0.0	100.0
USA Eastern European	101	0.0	100.0
USA Eastern European	102	0.0	100.0
USA Eastern European	103	0.0	100.0
USA Eastern European	104	0.0	100.0
USA Eastern European	105	0.0	100.0
USA Eastern European	106	0.0	100.0
USA Eastern European	107	0.0	100.0
USA Eastern European	108	0.0	100.0
USA Eastern European	109	0.0	100.0
USA Eastern European	110	0.0	100.0
USA Eastern European	111	0.0	100.0
USA Eastern European	112	0.0	100.0
USA Eastern European	113	0.0	100.0
USA Eastern European	114	0.0	100.0
USA Eastern European	115	0.0	100.0
USA Eastern European	116	0.0	100.0
USA Eastern European	117	0.0	100.0
USA Eastern European	118	0.0	100.0
USA Eastern European	119	0.0	100.0
USA Eastern European	120	0.0	100.0
USA Eastern European	121	0.0	100.0
USA Eastern European	122	0.0	100.0
USA Eastern European	123	0.0	100.0
USA Eastern European	124	0.0	100.0
USA Eastern European	125	0.0	100.0
USA Eastern European	126	0.0	100.0
USA Eastern European	127	0.0	100.0
USA Eastern European	128	0.0	100.0
USA Eastern European	129	0.0	100.0
USA Eastern European	130	0.0	100.0
USA Eastern European	131	0.0	100.0
USA Eastern European	132	0.0	100.0
USA Eastern European	133	0.0	100.0
USA Eastern European	134	0.0	100.0
USA Eastern European	135	0.0	100.0
USA Eastern European	136	0.0	100.0
USA Eastern European	137	0.0	100.0
USA Eastern European	138	0.0	100.0
USA Eastern European	139	0.0	100.0
USA Eastern European	140	0.0	100.0
USA Eastern European	141	0.0	100.0
USA Eastern European	142	0.0	100.0
USA Eastern European	143	0.0	100.0
USA Eastern European	144	0.0	100.0
USA Eastern European	145	0.0	100.0
USA Eastern European	146	0.0	100.0
USA Eastern European	147	0.0	100.0
USA Eastern European	148	0.0	100.0
USA Eastern European	149	0.0	100.0
USA Eastern European	150	0.0	100.0
USA Eastern European	151	0.0	100.0
USA Eastern European	152	0.0	100.0
USA Eastern European	153	0.0	100.0
USA Eastern European	154	0.0	100.0
USA Eastern European	155	0.0	100.0
USA Eastern European	156	0.0	100.0
