class I
population/area	coverage	average_hit	pc90
USA NMDP American Indian South or Central America	100.0%	17364.74	10040.1
average	100.0%	17364.74	10040.1
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP American Indian South or Central America	0	0.0	100.0
USA NMDP American Indian South or Central America	1	0.0	100.0
USA NMDP American Indian South or Central America	2	0.0	100.0
USA NMDP American Indian South or Central America	3	0.0	100.0
USA NMDP American Indian South or Central America	4	0.0	100.0
USA NMDP American Indian South or Central America	5	0.0	100.0
USA NMDP American Indian South or Central America	6	0.0	100.0
USA NMDP American Indian South or Central America	7	0.0	100.0
USA NMDP American Indian South or Central America	8	0.0	100.0
USA NMDP American Indian South or Central America	9	0.0	100.0
USA NMDP American Indian South or Central America	10	0.0	100.0
USA NMDP American Indian South or Central America	11	0.0	100.0
USA NMDP American Indian South or Central America	12	0.0	100.0
USA NMDP American Indian South or Central America	13	0.0	100.0
USA NMDP American Indian South or Central America	14	0.0	100.0
USA NMDP American Indian South or Central America	15	0.0	100.0
USA NMDP American Indian South or Central America	16	0.0	100.0
USA NMDP American Indian South or Central America	17	0.0	100.0
USA NMDP American Indian South or Central America	18	0.0	100.0
USA NMDP American Indian South or Central America	19	0.0	100.0
USA NMDP American Indian South or Central America	20	0.0	100.0
USA NMDP American Indian South or Central America	21	0.0	100.0
USA NMDP American Indian South or Central America	22	0.0	100.0
USA NMDP American Indian South or Central America	23	0.0	100.0
USA NMDP American Indian South or Central America	24	0.0	100.0
USA NMDP American Indian South or Central America	25	0.0	100.0
USA NMDP American Indian South or Central America	26	0.0	100.0
USA NMDP American Indian South or Central America	27	0.0	100.0
USA NMDP American Indian South or Central America	28	0.0	100.0
USA NMDP American Indian South or Central America	29	0.0	100.0
USA NMDP American Indian South or Central America	30	0.0	100.0
USA NMDP American Indian South or Central America	31	0.0	100.0
USA NMDP American Indian South or Central America	32	0.0	100.0
USA NMDP American Indian South or Central America	33	0.0	100.0
USA NMDP American Indian South or Central America	34	0.0	100.0
USA NMDP American Indian South or Central America	35	0.0	100.0
USA NMDP American Indian South or Central America	36	0.0	100.0
USA NMDP American Indian South or Central America	37	0.0	100.0
