class I
population/area	coverage	average_hit	pc90
USA NMDP Caribean Indian	100.0%	16407.52	6695.36
average	100.0%	16407.52	6695.36
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Caribean Indian	0	0.0	100.0
USA NMDP Caribean Indian	1	0.0	100.0
USA NMDP Caribean Indian	2	0.0	100.0
USA NMDP Caribean Indian	3	0.0	100.0
USA NMDP Caribean Indian	4	0.0	100.0
USA NMDP Caribean Indian	5	0.0	100.0
USA NMDP Caribean Indian	6	0.0	100.0
USA NMDP Caribean Indian	7	0.0	100.0
USA NMDP Caribean Indian	8	0.0	100.0
USA NMDP Caribean Indian	9	0.0	100.0
USA NMDP Caribean Indian	10	0.0	100.0
USA NMDP Caribean Indian	11	0.0	100.0
USA NMDP Caribean Indian	12	0.0	100.0
USA NMDP Caribean Indian	13	0.0	100.0
USA NMDP Caribean Indian	14	0.0	100.0
USA NMDP Caribean Indian	15	0.0	100.0
USA NMDP Caribean Indian	16	0.0	100.0
USA NMDP Caribean Indian	17	0.0	100.0
USA NMDP Caribean Indian	18	0.0	100.0
USA NMDP Caribean Indian	19	0.0	100.0
USA NMDP Caribean Indian	20	0.0	100.0
USA NMDP Caribean Indian	21	0.0	100.0
USA NMDP Caribean Indian	22	0.0	100.0
USA NMDP Caribean Indian	23	0.0	100.0
USA NMDP Caribean Indian	24	0.0	100.0
USA NMDP Caribean Indian	25	0.0	100.0
USA NMDP Caribean Indian	26	0.0	100.0
USA NMDP Caribean Indian	27	0.0	100.0
USA NMDP Caribean Indian	28	0.0	100.0
USA NMDP Caribean Indian	29	0.0	100.0
USA NMDP Caribean Indian	30	0.0	100.0
USA NMDP Caribean Indian	31	0.0	100.0
USA NMDP Caribean Indian	32	0.0	100.0
USA NMDP Caribean Indian	33	0.0	100.0
USA NMDP Caribean Indian	34	0.0	100.0
USA NMDP Caribean Indian	35	0.0	100.0
USA NMDP Caribean Indian	36	0.0	100.0
USA NMDP Caribean Indian	37	0.0	100.0
USA NMDP Caribean Indian	38	0.0	100.0
USA NMDP Caribean Indian	39	0.0	100.0
USA NMDP Caribean Indian	40	0.0	100.0
USA NMDP Caribean Indian	41	0.0	100.0
USA NMDP Caribean Indian	42	0.0	100.0
USA NMDP Caribean Indian	43	0.0	100.0
USA NMDP Caribean Indian	44	0.0	100.0
USA NMDP Caribean Indian	45	0.0	100.0
USA NMDP Caribean Indian	46	0.0	100.0
USA NMDP Caribean Indian	47	0.0	100.0
USA NMDP Caribean Indian	48	0.0	100.0
USA NMDP Caribean Indian	49	0.0	100.0
USA NMDP Caribean Indian	50	0.0	100.0
USA NMDP Caribean Indian	51	0.0	100.0
USA NMDP Caribean Indian	52	0.0	100.0
USA NMDP Caribean Indian	53	0.0	99.99
USA NMDP Caribean Indian	54	0.0	99.99
USA NMDP Caribean Indian	55	0.0	99.99
USA NMDP Caribean Indian	56	0.0	99.99
USA NMDP Caribean Indian	57	0.0	99.99
USA NMDP Caribean Indian	58	0.0	99.99
USA NMDP Caribean Indian	59	0.0	99.99
USA NMDP Caribean Indian	60	0.0	99.99
USA NMDP Caribean Indian	61	0.0	99.99
USA NMDP Caribean Indian	62	0.0	99.99
USA NMDP Caribean Indian	63	0.0	99.99
USA NMDP Caribean Indian	64	0.0	99.99
USA NMDP Caribean Indian	65	0.0	99.99
USA NMDP Caribean Indian	66	0.0	99.99
USA NMDP Caribean Indian	67	0.0	99.99
USA NMDP Caribean Indian	68	0.0	99.99
USA NMDP Caribean Indian	69	0.0	99.99
USA NMDP Caribean Indian	70	0.0	99.99
USA NMDP Caribean Indian	71	0.0	99.99
USA NMDP Caribean Indian	72	0.0	99.99
USA NMDP Caribean Indian	73	0.0	99.99
USA NMDP Caribean Indian	74	0.0	99.99
USA NMDP Caribean Indian	75	0.0	99.99
USA NMDP Caribean Indian	76	0.0	99.99
USA NMDP Caribean Indian	77	0.0	99.99
USA NMDP Caribean Indian	78	0.0	99.99
USA NMDP Caribean Indian	79	0.0	99.99
USA NMDP Caribean Indian	80	0.0	99.99
USA NMDP Caribean Indian	81	0.0	99.99
USA NMDP Caribean Indian	82	0.0	99.99
USA NMDP Caribean Indian	83	0.0	99.99
USA NMDP Caribean Indian	84	0.0	99.99
USA NMDP Caribean Indian	85	0.0	99.99
USA NMDP Caribean Indian	86	0.0	99.99
USA NMDP Caribean Indian	87	0.0	99.99
USA NMDP Caribean Indian	88	0.0	99.99
USA NMDP Caribean Indian	89	0.0	99.99
USA NMDP Caribean Indian	90	0.0	99.99
USA NMDP Caribean Indian	91	0.0	99.99
USA NMDP Caribean Indian	92	0.0	99.99
USA NMDP Caribean Indian	93	0.0	99.99
USA NMDP Caribean Indian	94	0.0	99.99
USA NMDP Caribean Indian	95	0.0	99.99
USA NMDP Caribean Indian	96	0.0	99.99
