class I
population/area	coverage	average_hit	pc90
USA NMDP Filipino	99.96%	11503.89	3436.62
average	99.96%	11503.89	3436.62
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Filipino	0	0.04	100.0
USA NMDP Filipino	1	0.0	99.96
USA NMDP Filipino	2	0.0	99.96
USA NMDP Filipino	3	0.0	99.96
USA NMDP Filipino	4	0.0	99.96
USA NMDP Filipino	5	0.0	99.96
USA NMDP Filipino	6	0.0	99.96
USA NMDP Filipino	7	0.0	99.95
USA NMDP Filipino	8	0.0	99.95
USA NMDP Filipino	9	0.03	99.95
USA NMDP Filipino	10	0.0	99.92
USA NMDP Filipino	11	0.0	99.92
USA NMDP Filipino	12	0.0	99.92
USA NMDP Filipino	13	0.0	99.92
USA NMDP Filipino	14	0.0	99.92
USA NMDP Filipino	15	0.0	99.92
USA NMDP Filipino	16	0.0	99.92
USA NMDP Filipino	17	0.0	99.91
USA NMDP Filipino	18	0.02	99.91
USA NMDP Filipino	19	0.0	99.9
USA NMDP Filipino	20	0.0	99.9
USA NMDP Filipino	21	0.0	99.9
USA NMDP Filipino	22	0.0	99.9
USA NMDP Filipino	23	0.0	99.9
USA NMDP Filipino	24	0.0	99.9
USA NMDP Filipino	25	0.0	99.89
USA NMDP Filipino	26	0.0	99.89
USA NMDP Filipino	27	0.01	99.89
USA NMDP Filipino	28	0.01	99.88
USA NMDP Filipino	29	0.0	99.87
USA NMDP Filipino	30	0.0	99.87
USA NMDP Filipino	31	0.0	99.87
USA NMDP Filipino	32	0.0	99.87
USA NMDP Filipino	33	0.0	99.87
USA NMDP Filipino	34	0.0	99.87
USA NMDP Filipino	35	0.0	99.87
USA NMDP Filipino	36	0.0	99.87
USA NMDP Filipino	37	0.0	99.87
USA NMDP Filipino	38	0.0	99.87
USA NMDP Filipino	39	0.0	99.87
USA NMDP Filipino	40	0.0	99.87
USA NMDP Filipino	41	0.0	99.87
USA NMDP Filipino	42	0.0	99.87
USA NMDP Filipino	43	0.07	99.86
USA NMDP Filipino	44	0.0	99.79
USA NMDP Filipino	45	0.0	99.79
USA NMDP Filipino	46	0.0	99.79
USA NMDP Filipino	47	0.0	99.79
USA NMDP Filipino	48	0.0	99.79
USA NMDP Filipino	49	0.01	99.79
USA NMDP Filipino	50	0.0	99.78
USA NMDP Filipino	51	0.0	99.78
USA NMDP Filipino	52	0.02	99.77
USA NMDP Filipino	53	0.0	99.76
USA NMDP Filipino	54	0.0	99.76
USA NMDP Filipino	55	0.0	99.76
USA NMDP Filipino	56	0.0	99.76
USA NMDP Filipino	57	0.0	99.76
USA NMDP Filipino	58	0.0	99.75
USA NMDP Filipino	59	0.0	99.75
USA NMDP Filipino	60	0.0	99.75
USA NMDP Filipino	61	0.03	99.75
USA NMDP Filipino	62	0.0	99.72
USA NMDP Filipino	63	0.0	99.72
USA NMDP Filipino	64	0.0	99.72
USA NMDP Filipino	65	0.0	99.72
USA NMDP Filipino	66	0.0	99.72
USA NMDP Filipino	67	0.0	99.72
USA NMDP Filipino	68	0.0	99.72
USA NMDP Filipino	69	0.0	99.72
USA NMDP Filipino	70	0.01	99.71
USA NMDP Filipino	71	0.01	99.71
USA NMDP Filipino	72	0.0	99.7
USA NMDP Filipino	73	0.0	99.7
USA NMDP Filipino	74	0.0	99.7
USA NMDP Filipino	75	0.0	99.7
USA NMDP Filipino	76	0.0	99.7
USA NMDP Filipino	77	0.0	99.7
USA NMDP Filipino	78	0.0	99.7
USA NMDP Filipino	79	0.0	99.7
USA NMDP Filipino	80	0.0	99.7
USA NMDP Filipino	81	0.0	99.69
USA NMDP Filipino	82	0.0	99.69
USA NMDP Filipino	83	0.0	99.69
USA NMDP Filipino	84	0.0	99.69
USA NMDP Filipino	85	0.0	99.69
USA NMDP Filipino	86	0.0	99.69
USA NMDP Filipino	87	0.0	99.69
USA NMDP Filipino	88	0.0	99.69
USA NMDP Filipino	89	0.0	99.69
USA NMDP Filipino	90	0.0	99.68
USA NMDP Filipino	91	0.0	99.68
USA NMDP Filipino	92	0.0	99.68
USA NMDP Filipino	93	0.0	99.68
USA NMDP Filipino	94	0.0	99.68
USA NMDP Filipino	95	0.0	99.68
USA NMDP Filipino	96	0.0	99.68
USA NMDP Filipino	97	0.0	99.68
USA NMDP Filipino	98	0.0	99.68
USA NMDP Filipino	99	0.0	99.68
USA NMDP Filipino	100	0.0	99.68
USA NMDP Filipino	101	0.0	99.68
USA NMDP Filipino	102	0.0	99.68
USA NMDP Filipino	103	0.0	99.68
USA NMDP Filipino	104	0.0	99.68
USA NMDP Filipino	105	0.0	99.68
USA NMDP Filipino	106	0.0	99.68
USA NMDP Filipino	107	0.0	99.67
USA NMDP Filipino	108	0.0	99.67
USA NMDP Filipino	109	0.0	99.67
USA NMDP Filipino	110	0.0	99.67
USA NMDP Filipino	111	0.0	99.67
USA NMDP Filipino	112	0.0	99.67
USA NMDP Filipino	113	0.0	99.67
USA NMDP Filipino	114	0.0	99.67
USA NMDP Filipino	115	0.0	99.67
USA NMDP Filipino	116	0.0	99.67
USA NMDP Filipino	117	0.0	99.67
USA NMDP Filipino	118	0.0	99.67
USA NMDP Filipino	119	0.0	99.67
USA NMDP Filipino	120	0.0	99.67
USA NMDP Filipino	121	0.0	99.67
USA NMDP Filipino	122	0.0	99.67
USA NMDP Filipino	123	0.0	99.67
USA NMDP Filipino	124	0.0	99.67
USA NMDP Filipino	125	0.0	99.67
USA NMDP Filipino	126	0.0	99.67
USA NMDP Filipino	127	0.0	99.66
USA NMDP Filipino	128	0.0	99.66
USA NMDP Filipino	129	0.0	99.66
USA NMDP Filipino	130	0.0	99.66
USA NMDP Filipino	131	0.01	99.66
USA NMDP Filipino	132	0.0	99.65
USA NMDP Filipino	133	0.0	99.65
USA NMDP Filipino	134	0.0	99.65
USA NMDP Filipino	135	0.01	99.65
USA NMDP Filipino	136	0.0	99.65
USA NMDP Filipino	137	0.0	99.65
USA NMDP Filipino	138	0.0	99.65
USA NMDP Filipino	139	0.0	99.64
USA NMDP Filipino	140	0.0	99.64
USA NMDP Filipino	141	0.0	99.64
USA NMDP Filipino	142	0.0	99.64
USA NMDP Filipino	143	0.0	99.64
USA NMDP Filipino	144	0.0	99.64
USA NMDP Filipino	145	0.0	99.64
USA NMDP Filipino	146	0.0	99.64
USA NMDP Filipino	147	0.0	99.64
USA NMDP Filipino	148	0.0	99.64
USA NMDP Filipino	149	0.0	99.64
USA NMDP Filipino	150	0.0	99.63
USA NMDP Filipino	151	0.0	99.63
USA NMDP Filipino	152	0.0	99.63
USA NMDP Filipino	153	0.0	99.63
USA NMDP Filipino	154	0.0	99.63
USA NMDP Filipino	155	0.0	99.63
USA NMDP Filipino	156	0.0	99.63
USA NMDP Filipino	157	0.0	99.63
USA NMDP Filipino	158	0.0	99.63
USA NMDP Filipino	159	0.0	99.63
USA NMDP Filipino	160	0.0	99.63
USA NMDP Filipino	161	0.0	99.63
USA NMDP Filipino	162	0.0	99.63
USA NMDP Filipino	163	0.0	99.63
USA NMDP Filipino	164	0.0	99.63
USA NMDP Filipino	165	0.02	99.63
USA NMDP Filipino	166	0.0	99.61
USA NMDP Filipino	167	0.0	99.61
USA NMDP Filipino	168	0.0	99.61
USA NMDP Filipino	169	0.01	99.61
USA NMDP Filipino	170	0.0	99.6
USA NMDP Filipino	171	0.0	99.6
USA NMDP Filipino	172	0.0	99.6
USA NMDP Filipino	173	0.0	99.59
USA NMDP Filipino	174	0.0	99.59
USA NMDP Filipino	175	0.0	99.59
USA NMDP Filipino	176	0.0	99.59
USA NMDP Filipino	177	0.0	99.59
USA NMDP Filipino	178	0.0	99.59
USA NMDP Filipino	179	0.0	99.58
USA NMDP Filipino	180	0.3	99.58
USA NMDP Filipino	181	0.05	99.28
USA NMDP Filipino	182	0.0	99.23
USA NMDP Filipino	183	0.01	99.23
USA NMDP Filipino	184	0.0	99.21
USA NMDP Filipino	185	0.0	99.21
USA NMDP Filipino	186	0.03	99.21
USA NMDP Filipino	187	0.01	99.18
USA NMDP Filipino	188	0.01	99.16
USA NMDP Filipino	189	0.05	99.15
USA NMDP Filipino	190	0.01	99.1
USA NMDP Filipino	191	0.0	99.09
USA NMDP Filipino	192	0.0	99.09
USA NMDP Filipino	193	0.0	99.09
USA NMDP Filipino	194	0.02	99.08
USA NMDP Filipino	195	0.01	99.07
USA NMDP Filipino	196	0.0	99.06
USA NMDP Filipino	197	0.01	99.06
USA NMDP Filipino	198	0.11	99.05
USA NMDP Filipino	199	0.02	98.94
USA NMDP Filipino	200	0.0	98.92
USA NMDP Filipino	201	0.0	98.91
USA NMDP Filipino	202	0.0	98.91
USA NMDP Filipino	203	0.0	98.91
USA NMDP Filipino	204	0.01	98.91
USA NMDP Filipino	205	0.0	98.89
USA NMDP Filipino	206	0.01	98.89
USA NMDP Filipino	207	0.02	98.88
USA NMDP Filipino	208	0.04	98.86
USA NMDP Filipino	209	0.01	98.83
USA NMDP Filipino	210	0.0	98.82
USA NMDP Filipino	211	0.0	98.82
USA NMDP Filipino	212	0.0	98.82
USA NMDP Filipino	213	0.01	98.81
USA NMDP Filipino	214	0.01	98.8
USA NMDP Filipino	215	0.01	98.8
USA NMDP Filipino	216	0.0	98.79
USA NMDP Filipino	217	0.0	98.79
USA NMDP Filipino	218	0.0	98.79
USA NMDP Filipino	219	0.0	98.78
USA NMDP Filipino	220	0.0	98.78
USA NMDP Filipino	221	0.0	98.78
USA NMDP Filipino	222	0.0	98.78
USA NMDP Filipino	223	0.1	98.77
USA NMDP Filipino	224	0.03	98.67
USA NMDP Filipino	225	0.0	98.64
USA NMDP Filipino	226	0.02	98.64
USA NMDP Filipino	227	0.0	98.63
USA NMDP Filipino	228	0.0	98.62
USA NMDP Filipino	229	0.01	98.62
USA NMDP Filipino	230	0.01	98.61
USA NMDP Filipino	231	0.02	98.6
USA NMDP Filipino	232	0.0	98.59
USA NMDP Filipino	233	0.0	98.58
USA NMDP Filipino	234	0.0	98.58
USA NMDP Filipino	235	0.0	98.58
USA NMDP Filipino	236	0.0	98.58
USA NMDP Filipino	237	0.01	98.58
USA NMDP Filipino	238	0.0	98.57
USA NMDP Filipino	239	0.0	98.57
USA NMDP Filipino	240	0.0	98.57
USA NMDP Filipino	241	0.04	98.56
USA NMDP Filipino	242	0.01	98.53
USA NMDP Filipino	243	0.0	98.51
USA NMDP Filipino	244	0.0	98.51
USA NMDP Filipino	245	0.0	98.51
USA NMDP Filipino	246	0.0	98.51
USA NMDP Filipino	247	0.0	98.51
USA NMDP Filipino	248	0.01	98.51
USA NMDP Filipino	249	0.01	98.5
USA NMDP Filipino	250	0.0	98.49
USA NMDP Filipino	251	0.0	98.49
USA NMDP Filipino	252	0.0	98.49
USA NMDP Filipino	253	0.0	98.49
USA NMDP Filipino	254	0.0	98.48
USA NMDP Filipino	255	0.0	98.48
USA NMDP Filipino	256	0.0	98.48
USA NMDP Filipino	257	0.0	98.48
USA NMDP Filipino	258	0.0	98.48
USA NMDP Filipino	259	0.0	98.47
USA NMDP Filipino	260	0.0	98.47
USA NMDP Filipino	261	0.0	98.47
USA NMDP Filipino	262	0.0	98.47
USA NMDP Filipino	263	0.0	98.47
USA NMDP Filipino	264	0.0	98.47
USA NMDP Filipino	265	0.0	98.47
USA NMDP Filipino	266	0.0	98.47
USA NMDP Filipino	267	0.0	98.46
USA NMDP Filipino	268	0.03	98.46
USA NMDP Filipino	269	0.01	98.43
USA NMDP Filipino	270	0.0	98.42
USA NMDP Filipino	271	0.0	98.42
USA NMDP Filipino	272	0.0	98.42
USA NMDP Filipino	273	0.0	98.42
USA NMDP Filipino	274	0.0	98.42
USA NMDP Filipino	275	0.01	98.42
USA NMDP Filipino	276	0.0	98.4
USA NMDP Filipino	277	0.01	98.4
USA NMDP Filipino	278	0.0	98.4
USA NMDP Filipino	279	0.0	98.39
USA NMDP Filipino	280	0.0	98.39
USA NMDP Filipino	281	0.0	98.39
USA NMDP Filipino	282	0.0	98.39
USA NMDP Filipino	283	0.0	98.39
USA NMDP Filipino	284	0.0	98.39
USA NMDP Filipino	285	0.0	98.38
USA NMDP Filipino	286	0.01	98.38
USA NMDP Filipino	287	0.0	98.37
USA NMDP Filipino	288	0.0	98.37
USA NMDP Filipino	289	0.0	98.37
USA NMDP Filipino	290	0.0	98.37
USA NMDP Filipino	291	0.0	98.37
USA NMDP Filipino	292	0.0	98.36
USA NMDP Filipino	293	0.0	98.36
USA NMDP Filipino	294	0.0	98.36
USA NMDP Filipino	295	0.0	98.36
USA NMDP Filipino	296	0.0	98.35
