class I
population/area	coverage	average_hit	pc90
USA NMDP Hispanic South or Central American	100.0%	18845.3	8065.95
average	100.0%	18845.3	8065.95
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Hispanic South or Central American	0	0.0	100.0
USA NMDP Hispanic South or Central American	1	0.0	100.0
USA NMDP Hispanic South or Central American	2	0.0	100.0
USA NMDP Hispanic South or Central American	3	0.0	100.0
USA NMDP Hispanic South or Central American	4	0.0	100.0
USA NMDP Hispanic South or Central American	5	0.0	100.0
USA NMDP Hispanic South or Central American	6	0.0	100.0
USA NMDP Hispanic South or Central American	7	0.0	100.0
USA NMDP Hispanic South or Central American	8	0.0	100.0
USA NMDP Hispanic South or Central American	9	0.0	100.0
USA NMDP Hispanic South or Central American	10	0.0	100.0
USA NMDP Hispanic South or Central American	11	0.0	100.0
USA NMDP Hispanic South or Central American	12	0.0	100.0
USA NMDP Hispanic South or Central American	13	0.0	100.0
USA NMDP Hispanic South or Central American	14	0.0	100.0
USA NMDP Hispanic South or Central American	15	0.0	100.0
USA NMDP Hispanic South or Central American	16	0.0	100.0
USA NMDP Hispanic South or Central American	17	0.0	100.0
USA NMDP Hispanic South or Central American	18	0.0	100.0
USA NMDP Hispanic South or Central American	19	0.0	100.0
USA NMDP Hispanic South or Central American	20	0.0	100.0
USA NMDP Hispanic South or Central American	21	0.0	100.0
USA NMDP Hispanic South or Central American	22	0.0	100.0
USA NMDP Hispanic South or Central American	23	0.0	100.0
USA NMDP Hispanic South or Central American	24	0.0	100.0
USA NMDP Hispanic South or Central American	25	0.0	100.0
USA NMDP Hispanic South or Central American	26	0.0	100.0
USA NMDP Hispanic South or Central American	27	0.0	100.0
USA NMDP Hispanic South or Central American	28	0.0	100.0
USA NMDP Hispanic South or Central American	29	0.0	100.0
USA NMDP Hispanic South or Central American	30	0.0	100.0
USA NMDP Hispanic South or Central American	31	0.0	100.0
USA NMDP Hispanic South or Central American	32	0.0	100.0
USA NMDP Hispanic South or Central American	33	0.0	100.0
USA NMDP Hispanic South or Central American	34	0.0	100.0
USA NMDP Hispanic South or Central American	35	0.0	100.0
USA NMDP Hispanic South or Central American	36	0.0	100.0
USA NMDP Hispanic South or Central American	37	0.0	100.0
USA NMDP Hispanic South or Central American	38	0.0	100.0
USA NMDP Hispanic South or Central American	39	0.0	100.0
USA NMDP Hispanic South or Central American	40	0.0	100.0
USA NMDP Hispanic South or Central American	41	0.0	100.0
USA NMDP Hispanic South or Central American	42	0.0	100.0
USA NMDP Hispanic South or Central American	43	0.0	100.0
USA NMDP Hispanic South or Central American	44	0.0	100.0
USA NMDP Hispanic South or Central American	45	0.0	100.0
USA NMDP Hispanic South or Central American	46	0.0	100.0
USA NMDP Hispanic South or Central American	47	0.0	100.0
USA NMDP Hispanic South or Central American	48	0.0	100.0
USA NMDP Hispanic South or Central American	49	0.0	100.0
USA NMDP Hispanic South or Central American	50	0.0	100.0
USA NMDP Hispanic South or Central American	51	0.0	100.0
USA NMDP Hispanic South or Central American	52	0.0	100.0
USA NMDP Hispanic South or Central American	53	0.0	100.0
USA NMDP Hispanic South or Central American	54	0.0	100.0
USA NMDP Hispanic South or Central American	55	0.0	100.0
USA NMDP Hispanic South or Central American	56	0.0	100.0
USA NMDP Hispanic South or Central American	57	0.0	100.0
USA NMDP Hispanic South or Central American	58	0.0	100.0
USA NMDP Hispanic South or Central American	59	0.0	100.0
USA NMDP Hispanic South or Central American	60	0.0	100.0
USA NMDP Hispanic South or Central American	61	0.0	100.0
USA NMDP Hispanic South or Central American	62	0.0	100.0
USA NMDP Hispanic South or Central American	63	0.0	100.0
USA NMDP Hispanic South or Central American	64	0.0	100.0
USA NMDP Hispanic South or Central American	65	0.0	100.0
USA NMDP Hispanic South or Central American	66	0.0	100.0
USA NMDP Hispanic South or Central American	67	0.0	100.0
USA NMDP Hispanic South or Central American	68	0.0	100.0
USA NMDP Hispanic South or Central American	69	0.0	100.0
USA NMDP Hispanic South or Central American	70	0.0	100.0
USA NMDP Hispanic South or Central American	71	0.0	100.0
USA NMDP Hispanic South or Central American	72	0.0	100.0
USA NMDP Hispanic South or Central American	73	0.0	100.0
USA NMDP Hispanic South or Central American	74	0.0	100.0
USA NMDP Hispanic South or Central American	75	0.0	100.0
USA NMDP Hispanic South or Central American	76	0.0	100.0
USA NMDP Hispanic South or Central American	77	0.0	100.0
USA NMDP Hispanic South or Central American	78	0.0	100.0
USA NMDP Hispanic South or Central American	79	0.0	100.0
USA NMDP Hispanic South or Central American	80	0.0	100.0
USA NMDP Hispanic South or Central American	81	0.0	100.0
USA NMDP Hispanic South or Central American	82	0.0	100.0
USA NMDP Hispanic South or Central American	83	0.0	100.0
USA NMDP Hispanic South or Central American	84	0.0	100.0
USA NMDP Hispanic South or Central American	85	0.0	100.0
USA NMDP Hispanic South or Central American	86	0.0	100.0
USA NMDP Hispanic South or Central American	87	0.0	100.0
USA NMDP Hispanic South or Central American	88	0.0	100.0
USA NMDP Hispanic South or Central American	89	0.0	100.0
USA NMDP Hispanic South or Central American	90	0.0	100.0
USA NMDP Hispanic South or Central American	91	0.0	100.0
USA NMDP Hispanic South or Central American	92	0.0	100.0
USA NMDP Hispanic South or Central American	93	0.0	100.0
USA NMDP Hispanic South or Central American	94	0.0	100.0
USA NMDP Hispanic South or Central American	95	0.0	100.0
USA NMDP Hispanic South or Central American	96	0.0	100.0
USA NMDP Hispanic South or Central American	97	0.0	100.0
USA NMDP Hispanic South or Central American	98	0.0	100.0
USA NMDP Hispanic South or Central American	99	0.0	100.0
USA NMDP Hispanic South or Central American	100	0.0	100.0
USA NMDP Hispanic South or Central American	101	0.0	100.0
USA NMDP Hispanic South or Central American	102	0.0	100.0
USA NMDP Hispanic South or Central American	103	0.0	100.0
USA NMDP Hispanic South or Central American	104	0.0	100.0
USA NMDP Hispanic South or Central American	105	0.0	100.0
USA NMDP Hispanic South or Central American	106	0.0	100.0
USA NMDP Hispanic South or Central American	107	0.0	100.0
USA NMDP Hispanic South or Central American	108	0.0	100.0
USA NMDP Hispanic South or Central American	109	0.0	100.0
USA NMDP Hispanic South or Central American	110	0.0	100.0
USA NMDP Hispanic South or Central American	111	0.0	100.0
USA NMDP Hispanic South or Central American	112	0.0	100.0
USA NMDP Hispanic South or Central American	113	0.0	100.0
USA NMDP Hispanic South or Central American	114	0.0	100.0
USA NMDP Hispanic South or Central American	115	0.0	100.0
USA NMDP Hispanic South or Central American	116	0.0	100.0
USA NMDP Hispanic South or Central American	117	0.0	100.0
USA NMDP Hispanic South or Central American	118	0.0	100.0
USA NMDP Hispanic South or Central American	119	0.0	100.0
USA NMDP Hispanic South or Central American	120	0.0	100.0
USA NMDP Hispanic South or Central American	121	0.0	100.0
USA NMDP Hispanic South or Central American	122	0.0	100.0
USA NMDP Hispanic South or Central American	123	0.0	100.0
USA NMDP Hispanic South or Central American	124	0.0	100.0
USA NMDP Hispanic South or Central American	125	0.0	100.0
USA NMDP Hispanic South or Central American	126	0.0	100.0
USA NMDP Hispanic South or Central American	127	0.0	100.0
USA NMDP Hispanic South or Central American	128	0.0	100.0
USA NMDP Hispanic South or Central American	129	0.0	100.0
USA NMDP Hispanic South or Central American	130	0.0	100.0
USA NMDP Hispanic South or Central American	131	0.0	100.0
USA NMDP Hispanic South or Central American	132	0.0	100.0
USA NMDP Hispanic South or Central American	133	0.0	100.0
USA NMDP Hispanic South or Central American	134	0.0	100.0
USA NMDP Hispanic South or Central American	135	0.0	100.0
USA NMDP Hispanic South or Central American	136	0.0	100.0
USA NMDP Hispanic South or Central American	137	0.0	100.0
USA NMDP Hispanic South or Central American	138	0.0	100.0
USA NMDP Hispanic South or Central American	139	0.0	100.0
USA NMDP Hispanic South or Central American	140	0.0	100.0
USA NMDP Hispanic South or Central American	141	0.0	100.0
USA NMDP Hispanic South or Central American	142	0.0	100.0
USA NMDP Hispanic South or Central American	143	0.0	100.0
USA NMDP Hispanic South or Central American	144	0.0	100.0
USA NMDP Hispanic South or Central American	145	0.0	100.0
USA NMDP Hispanic South or Central American	146	0.0	100.0
USA NMDP Hispanic South or Central American	147	0.0	100.0
USA NMDP Hispanic South or Central American	148	0.0	100.0
USA NMDP Hispanic South or Central American	149	0.0	100.0
USA NMDP Hispanic South or Central American	150	0.0	100.0
USA NMDP Hispanic South or Central American	151	0.0	100.0
