class I
population/area	coverage	average_hit	pc90
USA NMDP South Asian Indian	99.99%	11963.54	5893.6
average	99.99%	11963.54	5893.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP South Asian Indian	0	0.01	100.0
USA NMDP South Asian Indian	1	0.0	99.99
USA NMDP South Asian Indian	2	0.0	99.99
USA NMDP South Asian Indian	3	0.0	99.99
USA NMDP South Asian Indian	4	0.0	99.99
USA NMDP South Asian Indian	5	0.0	99.99
USA NMDP South Asian Indian	6	0.0	99.99
USA NMDP South Asian Indian	7	0.0	99.99
USA NMDP South Asian Indian	8	0.0	99.99
USA NMDP South Asian Indian	9	0.0	99.99
USA NMDP South Asian Indian	10	0.0	99.99
USA NMDP South Asian Indian	11	0.0	99.99
USA NMDP South Asian Indian	12	0.0	99.99
USA NMDP South Asian Indian	13	0.0	99.99
USA NMDP South Asian Indian	14	0.0	99.99
USA NMDP South Asian Indian	15	0.0	99.99
USA NMDP South Asian Indian	16	0.0	99.99
USA NMDP South Asian Indian	17	0.0	99.99
USA NMDP South Asian Indian	18	0.0	99.99
USA NMDP South Asian Indian	19	0.0	99.99
USA NMDP South Asian Indian	20	0.0	99.99
USA NMDP South Asian Indian	21	0.0	99.99
USA NMDP South Asian Indian	22	0.0	99.99
USA NMDP South Asian Indian	23	0.0	99.99
USA NMDP South Asian Indian	24	0.0	99.99
USA NMDP South Asian Indian	25	0.0	99.99
USA NMDP South Asian Indian	26	0.0	99.99
USA NMDP South Asian Indian	27	0.0	99.99
USA NMDP South Asian Indian	28	0.0	99.99
USA NMDP South Asian Indian	29	0.0	99.99
USA NMDP South Asian Indian	30	0.0	99.99
USA NMDP South Asian Indian	31	0.0	99.99
USA NMDP South Asian Indian	32	0.0	99.99
USA NMDP South Asian Indian	33	0.0	99.99
USA NMDP South Asian Indian	34	0.0	99.99
USA NMDP South Asian Indian	35	0.0	99.99
USA NMDP South Asian Indian	36	0.0	99.99
USA NMDP South Asian Indian	37	0.0	99.99
USA NMDP South Asian Indian	38	0.0	99.99
USA NMDP South Asian Indian	39	0.0	99.99
USA NMDP South Asian Indian	40	0.0	99.99
USA NMDP South Asian Indian	41	0.0	99.99
USA NMDP South Asian Indian	42	0.0	99.99
USA NMDP South Asian Indian	43	0.0	99.99
USA NMDP South Asian Indian	44	0.0	99.99
USA NMDP South Asian Indian	45	0.0	99.99
USA NMDP South Asian Indian	46	0.0	99.99
USA NMDP South Asian Indian	47	0.0	99.99
USA NMDP South Asian Indian	48	0.0	99.99
USA NMDP South Asian Indian	49	0.0	99.99
USA NMDP South Asian Indian	50	0.0	99.99
USA NMDP South Asian Indian	51	0.0	99.99
USA NMDP South Asian Indian	52	0.0	99.99
USA NMDP South Asian Indian	53	0.0	99.99
