class I
population/area	coverage	average_hit	pc90
USA NMDP Vietnamese	99.66%	9689.77	3662.43
average	99.66%	9689.77	3662.43
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Vietnamese	0	0.34	100.0
USA NMDP Vietnamese	1	0.0	99.66
USA NMDP Vietnamese	2	0.0	99.66
USA NMDP Vietnamese	3	0.0	99.66
USA NMDP Vietnamese	4	0.0	99.66
USA NMDP Vietnamese	5	0.0	99.66
USA NMDP Vietnamese	6	0.0	99.66
USA NMDP Vietnamese	7	0.0	99.66
USA NMDP Vietnamese	8	0.0	99.66
USA NMDP Vietnamese	9	0.0	99.66
USA NMDP Vietnamese	10	0.0	99.66
USA NMDP Vietnamese	11	0.0	99.66
USA NMDP Vietnamese	12	0.0	99.66
USA NMDP Vietnamese	13	0.0	99.66
USA NMDP Vietnamese	14	0.0	99.66
USA NMDP Vietnamese	15	0.0	99.66
USA NMDP Vietnamese	16	0.0	99.66
USA NMDP Vietnamese	17	0.0	99.66
USA NMDP Vietnamese	18	0.0	99.66
USA NMDP Vietnamese	19	0.0	99.66
USA NMDP Vietnamese	20	0.0	99.66
USA NMDP Vietnamese	21	0.0	99.66
USA NMDP Vietnamese	22	0.0	99.66
USA NMDP Vietnamese	23	0.0	99.66
USA NMDP Vietnamese	24	0.0	99.66
USA NMDP Vietnamese	25	0.0	99.66
USA NMDP Vietnamese	26	0.0	99.66
USA NMDP Vietnamese	27	0.0	99.66
USA NMDP Vietnamese	28	0.0	99.66
USA NMDP Vietnamese	29	0.0	99.66
USA NMDP Vietnamese	30	0.0	99.66
USA NMDP Vietnamese	31	0.0	99.66
USA NMDP Vietnamese	32	0.0	99.66
USA NMDP Vietnamese	33	0.0	99.66
USA NMDP Vietnamese	34	0.0	99.66
USA NMDP Vietnamese	35	0.0	99.66
USA NMDP Vietnamese	36	0.0	99.66
USA NMDP Vietnamese	37	0.0	99.66
USA NMDP Vietnamese	38	0.0	99.66
