class I
population/area	coverage	average_hit	pc90
USA New Mexico Canoncito Navajo	100.0%	16588.37	8637.85
average	100.0%	16588.37	8637.85
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA New Mexico Canoncito Navajo	0	0.0	100.0
USA New Mexico Canoncito Navajo	1	0.0	100.0
USA New Mexico Canoncito Navajo	2	0.0	100.0
USA New Mexico Canoncito Navajo	3	0.0	100.0
USA New Mexico Canoncito Navajo	4	0.0	100.0
USA New Mexico Canoncito Navajo	5	0.0	100.0
USA New Mexico Canoncito Navajo	6	0.0	100.0
USA New Mexico Canoncito Navajo	7	0.0	100.0
USA New Mexico Canoncito Navajo	8	0.0	100.0
USA New Mexico Canoncito Navajo	9	0.0	100.0
USA New Mexico Canoncito Navajo	10	0.0	100.0
USA New Mexico Canoncito Navajo	11	0.0	100.0
USA New Mexico Canoncito Navajo	12	0.0	100.0
USA New Mexico Canoncito Navajo	13	0.0	100.0
USA New Mexico Canoncito Navajo	14	0.0	100.0
USA New Mexico Canoncito Navajo	15	0.0	100.0
USA New Mexico Canoncito Navajo	16	0.0	100.0
USA New Mexico Canoncito Navajo	17	0.0	100.0
USA New Mexico Canoncito Navajo	18	0.0	100.0
USA New Mexico Canoncito Navajo	19	0.0	100.0
USA New Mexico Canoncito Navajo	20	0.0	100.0
USA New Mexico Canoncito Navajo	21	0.0	100.0
USA New Mexico Canoncito Navajo	22	0.0	100.0
USA New Mexico Canoncito Navajo	23	0.0	100.0
USA New Mexico Canoncito Navajo	24	0.0	100.0
USA New Mexico Canoncito Navajo	25	0.0	100.0
USA New Mexico Canoncito Navajo	26	0.0	100.0
USA New Mexico Canoncito Navajo	27	0.0	100.0
USA New Mexico Canoncito Navajo	28	0.0	100.0
USA New Mexico Canoncito Navajo	29	0.0	100.0
USA New Mexico Canoncito Navajo	30	0.0	100.0
USA New Mexico Canoncito Navajo	31	0.0	100.0
USA New Mexico Canoncito Navajo	32	0.0	100.0
USA New Mexico Canoncito Navajo	33	0.0	100.0
USA New Mexico Canoncito Navajo	34	0.0	100.0
USA New Mexico Canoncito Navajo	35	0.0	100.0
USA New Mexico Canoncito Navajo	36	0.0	100.0
USA New Mexico Canoncito Navajo	37	0.0	100.0
USA New Mexico Canoncito Navajo	38	0.0	100.0
USA New Mexico Canoncito Navajo	39	0.0	100.0
USA New Mexico Canoncito Navajo	40	0.0	100.0
USA New Mexico Canoncito Navajo	41	0.0	100.0
USA New Mexico Canoncito Navajo	42	0.0	100.0
USA New Mexico Canoncito Navajo	43	0.0	100.0
USA New Mexico Canoncito Navajo	44	0.0	100.0
USA New Mexico Canoncito Navajo	45	0.0	100.0
USA New Mexico Canoncito Navajo	46	0.0	100.0
USA New Mexico Canoncito Navajo	47	0.0	100.0
USA New Mexico Canoncito Navajo	48	0.0	100.0
USA New Mexico Canoncito Navajo	49	0.0	100.0
USA New Mexico Canoncito Navajo	50	0.0	100.0
USA New Mexico Canoncito Navajo	51	0.0	100.0
USA New Mexico Canoncito Navajo	52	0.0	100.0
