class I
population/area	coverage	average_hit	pc90
USA North American Native	100.0%	21522.93	10985.31
average	100.0%	21522.93	10985.31
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA North American Native	0	0.0	100.0
USA North American Native	1	0.0	100.0
USA North American Native	2	0.0	100.0
USA North American Native	3	0.0	100.0
USA North American Native	4	0.0	100.0
USA North American Native	5	0.0	100.0
USA North American Native	6	0.0	100.0
USA North American Native	7	0.0	100.0
USA North American Native	8	0.0	100.0
USA North American Native	9	0.0	100.0
USA North American Native	10	0.0	100.0
USA North American Native	11	0.0	100.0
USA North American Native	12	0.0	100.0
USA North American Native	13	0.0	100.0
USA North American Native	14	0.0	100.0
USA North American Native	15	0.0	100.0
USA North American Native	16	0.0	100.0
USA North American Native	17	0.0	100.0
USA North American Native	18	0.0	100.0
USA North American Native	19	0.0	100.0
USA North American Native	20	0.0	100.0
USA North American Native	21	0.0	100.0
USA North American Native	22	0.0	100.0
USA North American Native	23	0.0	100.0
USA North American Native	24	0.0	100.0
USA North American Native	25	0.0	100.0
USA North American Native	26	0.0	100.0
USA North American Native	27	0.0	100.0
USA North American Native	28	0.0	100.0
USA North American Native	29	0.0	100.0
USA North American Native	30	0.0	100.0
USA North American Native	31	0.0	100.0
USA North American Native	32	0.0	100.0
USA North American Native	33	0.0	100.0
USA North American Native	34	0.0	100.0
USA North American Native	35	0.0	100.0
USA North American Native	36	0.0	100.0
USA North American Native	37	0.0	100.0
USA North American Native	38	0.0	100.0
USA North American Native	39	0.0	100.0
USA North American Native	40	0.0	100.0
USA North American Native	41	0.0	100.0
USA North American Native	42	0.0	100.0
USA North American Native	43	0.0	100.0
USA North American Native	44	0.0	100.0
USA North American Native	45	0.0	100.0
USA North American Native	46	0.0	100.0
USA North American Native	47	0.0	100.0
USA North American Native	48	0.0	100.0
USA North American Native	49	0.0	100.0
USA North American Native	50	0.0	100.0
USA North American Native	51	0.0	100.0
USA North American Native	52	0.0	100.0
USA North American Native	53	0.0	100.0
USA North American Native	54	0.0	100.0
USA North American Native	55	0.0	100.0
USA North American Native	56	0.0	100.0
USA North American Native	57	0.0	100.0
USA North American Native	58	0.0	100.0
USA North American Native	59	0.0	100.0
USA North American Native	60	0.0	100.0
USA North American Native	61	0.0	100.0
USA North American Native	62	0.0	100.0
USA North American Native	63	0.0	100.0
USA North American Native	64	0.0	100.0
USA North American Native	65	0.0	100.0
USA North American Native	66	0.0	100.0
USA North American Native	67	0.0	100.0
USA North American Native	68	0.0	100.0
USA North American Native	69	0.0	100.0
USA North American Native	70	0.0	100.0
USA North American Native	71	0.0	100.0
USA North American Native	72	0.0	100.0
USA North American Native	73	0.0	100.0
USA North American Native	74	0.0	100.0
USA North American Native	75	0.0	100.0
USA North American Native	76	0.0	100.0
USA North American Native	77	0.0	100.0
USA North American Native	78	0.0	100.0
USA North American Native	79	0.0	100.0
USA North American Native	80	0.0	100.0
USA North American Native	81	0.0	100.0
USA North American Native	82	0.0	100.0
USA North American Native	83	0.0	100.0
USA North American Native	84	0.0	100.0
USA North American Native	85	0.0	100.0
USA North American Native	86	0.0	100.0
USA North American Native	87	0.0	100.0
USA North American Native	88	0.0	100.0
USA North American Native	89	0.0	100.0
USA North American Native	90	0.0	100.0
USA North American Native	91	0.0	100.0
USA North American Native	92	0.0	100.0
USA North American Native	93	0.0	100.0
USA North American Native	94	0.0	100.0
USA North American Native	95	0.0	100.0
USA North American Native	96	0.0	100.0
USA North American Native	97	0.0	100.0
USA North American Native	98	0.0	100.0
USA North American Native	99	0.0	100.0
USA North American Native	100	0.0	100.0
USA North American Native	101	0.0	100.0
USA North American Native	102	0.0	100.0
USA North American Native	103	0.0	100.0
USA North American Native	104	0.0	100.0
USA North American Native	105	0.0	100.0
USA North American Native	106	0.0	100.0
USA North American Native	107	0.0	100.0
USA North American Native	108	0.0	100.0
USA North American Native	109	0.0	100.0
USA North American Native	110	0.0	100.0
USA North American Native	111	0.0	100.0
USA North American Native	112	0.0	100.0
USA North American Native	113	0.0	100.0
USA North American Native	114	0.0	100.0
USA North American Native	115	0.0	100.0
USA North American Native	116	0.0	100.0
USA North American Native	117	0.0	100.0
USA North American Native	118	0.0	100.0
USA North American Native	119	0.0	100.0
USA North American Native	120	0.0	100.0
USA North American Native	121	0.0	100.0
USA North American Native	122	0.0	100.0
USA North American Native	123	0.0	100.0
USA North American Native	124	0.0	100.0
USA North American Native	125	0.0	100.0
USA North American Native	126	0.0	100.0
USA North American Native	127	0.0	100.0
USA North American Native	128	0.0	100.0
USA North American Native	129	0.0	100.0
USA North American Native	130	0.0	100.0
USA North American Native	131	0.0	100.0
USA North American Native	132	0.0	100.0
USA North American Native	133	0.0	100.0
USA North American Native	134	0.0	100.0
USA North American Native	135	0.0	100.0
USA North American Native	136	0.0	100.0
USA North American Native	137	0.0	100.0
USA North American Native	138	0.0	100.0
USA North American Native	139	0.0	100.0
USA North American Native	140	0.0	100.0
USA North American Native	141	0.0	100.0
USA North American Native	142	0.0	100.0
USA North American Native	143	0.0	100.0
USA North American Native	144	0.0	100.0
USA North American Native	145	0.0	100.0
USA North American Native	146	0.0	100.0
USA North American Native	147	0.0	100.0
USA North American Native	148	0.0	100.0
USA North American Native	149	0.0	100.0
USA North American Native	150	0.0	100.0
USA North American Native	151	0.0	100.0
USA North American Native	152	0.0	100.0
USA North American Native	153	0.0	100.0
USA North American Native	154	0.0	100.0
USA North American Native	155	0.0	100.0
USA North American Native	156	0.0	100.0
USA North American Native	157	0.0	100.0
USA North American Native	158	0.0	100.0
USA North American Native	159	0.0	100.0
USA North American Native	160	0.0	100.0
USA North American Native	161	0.0	100.0
USA North American Native	162	0.0	100.0
USA North American Native	163	0.0	100.0
USA North American Native	164	0.0	100.0
USA North American Native	165	0.0	100.0
USA North American Native	166	0.0	100.0
USA North American Native	167	0.0	100.0
USA North American Native	168	0.0	100.0
USA North American Native	169	0.0	100.0
USA North American Native	170	0.0	100.0
USA North American Native	171	0.0	100.0
USA North American Native	172	0.0	100.0
USA North American Native	173	0.0	100.0
USA North American Native	174	0.0	100.0
USA North American Native	175	0.0	100.0
USA North American Native	176	0.0	100.0
USA North American Native	177	0.0	100.0
USA North American Native	178	0.0	100.0
USA North American Native	179	0.0	100.0
USA North American Native	180	0.0	100.0
USA North American Native	181	0.0	100.0
USA North American Native	182	0.0	100.0
USA North American Native	183	0.0	100.0
USA North American Native	184	0.0	100.0
USA North American Native	185	0.0	100.0
USA North American Native	186	0.0	100.0
USA North American Native	187	0.0	100.0
USA North American Native	188	0.0	100.0
USA North American Native	189	0.0	100.0
USA North American Native	190	0.0	100.0
USA North American Native	191	0.0	100.0
USA North American Native	192	0.0	100.0
USA North American Native	193	0.0	100.0
USA North American Native	194	0.0	100.0
USA North American Native	195	0.0	100.0
USA North American Native	196	0.0	100.0
USA North American Native	197	0.0	100.0
USA North American Native	198	0.0	100.0
USA North American Native	199	0.0	100.0
USA North American Native	200	0.0	100.0
USA North American Native	201	0.0	100.0
USA North American Native	202	0.0	100.0
USA North American Native	203	0.0	100.0
USA North American Native	204	0.0	100.0
USA North American Native	205	0.0	100.0
USA North American Native	206	0.0	100.0
USA North American Native	207	0.0	100.0
USA North American Native	208	0.0	100.0
USA North American Native	209	0.0	100.0
USA North American Native	210	0.0	100.0
USA North American Native	211	0.0	100.0
USA North American Native	212	0.0	100.0
USA North American Native	213	0.0	100.0
USA North American Native	214	0.0	100.0
USA North American Native	215	0.0	100.0
USA North American Native	216	0.0	100.0
USA North American Native	217	0.0	100.0
USA North American Native	218	0.0	100.0
USA North American Native	219	0.0	100.0
USA North American Native	220	0.0	100.0
USA North American Native	221	0.0	100.0
USA North American Native	222	0.0	100.0
USA North American Native	223	0.0	100.0
USA North American Native	224	0.0	100.0
USA North American Native	225	0.0	100.0
USA North American Native	226	0.0	100.0
USA North American Native	227	0.0	100.0
USA North American Native	228	0.0	100.0
USA North American Native	229	0.0	100.0
USA North American Native	230	0.0	100.0
USA North American Native	231	0.0	100.0
USA North American Native	232	0.0	100.0
USA North American Native	233	0.0	100.0
USA North American Native	234	0.0	100.0
USA North American Native	235	0.0	100.0
USA North American Native	236	0.0	100.0
USA North American Native	237	0.0	100.0
USA North American Native	238	0.0	100.0
USA North American Native	239	0.0	100.0
USA North American Native	240	0.0	100.0
USA North American Native	241	0.0	100.0
USA North American Native	242	0.0	100.0
USA North American Native	243	0.0	100.0
USA North American Native	244	0.0	100.0
USA North American Native	245	0.0	100.0
USA North American Native	246	0.0	100.0
USA North American Native	247	0.0	100.0
USA North American Native	248	0.0	100.0
USA North American Native	249	0.0	100.0
USA North American Native	250	0.0	100.0
USA North American Native	251	0.0	100.0
USA North American Native	252	0.0	100.0
USA North American Native	253	0.0	100.0
USA North American Native	254	0.0	100.0
USA North American Native	255	0.0	100.0
USA North American Native	256	0.0	100.0
USA North American Native	257	0.0	100.0
USA North American Native	258	0.0	100.0
USA North American Native	259	0.0	100.0
USA North American Native	260	0.0	100.0
USA North American Native	261	0.0	100.0
USA North American Native	262	0.0	100.0
USA North American Native	263	0.0	100.0
USA North American Native	264	0.0	100.0
USA North American Native	265	0.0	100.0
USA North American Native	266	0.0	100.0
USA North American Native	267	0.0	100.0
USA North American Native	268	0.0	100.0
USA North American Native	269	0.0	100.0
USA North American Native	270	0.0	100.0
USA North American Native	271	0.0	100.0
USA North American Native	272	0.0	100.0
USA North American Native	273	0.0	100.0
USA North American Native	274	0.0	100.0
USA North American Native	275	0.0	100.0
USA North American Native	276	0.0	100.0
USA North American Native	277	0.0	100.0
USA North American Native	278	0.0	100.0
USA North American Native	279	0.0	100.0
USA North American Native	280	0.0	100.0
USA North American Native	281	0.0	100.0
USA North American Native	282	0.0	100.0
USA North American Native	283	0.0	100.0
USA North American Native	284	0.0	100.0
USA North American Native	285	0.0	100.0
USA North American Native	286	0.0	100.0
USA North American Native	287	0.0	100.0
USA North American Native	288	0.0	100.0
USA North American Native	289	0.0	100.0
USA North American Native	290	0.0	100.0
USA North American Native	291	0.0	100.0
USA North American Native	292	0.0	100.0
USA North American Native	293	0.0	100.0
USA North American Native	294	0.0	100.0
USA North American Native	295	0.0	100.0
USA North American Native	296	0.0	100.0
USA North American Native	297	0.0	100.0
USA North American Native	298	0.0	100.0
USA North American Native	299	0.0	100.0
USA North American Native	300	0.0	100.0
USA North American Native	301	0.0	100.0
USA North American Native	302	0.0	100.0
USA North American Native	303	0.0	100.0
USA North American Native	304	0.0	100.0
USA North American Native	305	0.0	100.0
USA North American Native	306	0.0	100.0
USA North American Native	307	0.0	100.0
USA North American Native	308	0.0	100.0
USA North American Native	309	0.0	100.0
USA North American Native	310	0.0	100.0
USA North American Native	311	0.0	100.0
USA North American Native	312	0.0	100.0
USA North American Native	313	0.0	100.0
