class I
population/area	coverage	average_hit	pc90
USA San Francisco Caucasian	100.0%	22983.2	11810.3
average	100.0%	22983.2	11810.3
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA San Francisco Caucasian	0	0.0	100.0
USA San Francisco Caucasian	1	0.0	100.0
USA San Francisco Caucasian	2	0.0	100.0
USA San Francisco Caucasian	3	0.0	100.0
USA San Francisco Caucasian	4	0.0	100.0
USA San Francisco Caucasian	5	0.0	100.0
USA San Francisco Caucasian	6	0.0	100.0
USA San Francisco Caucasian	7	0.0	100.0
USA San Francisco Caucasian	8	0.0	100.0
USA San Francisco Caucasian	9	0.0	100.0
USA San Francisco Caucasian	10	0.0	100.0
USA San Francisco Caucasian	11	0.0	100.0
USA San Francisco Caucasian	12	0.0	100.0
USA San Francisco Caucasian	13	0.0	100.0
USA San Francisco Caucasian	14	0.0	100.0
USA San Francisco Caucasian	15	0.0	100.0
USA San Francisco Caucasian	16	0.0	100.0
USA San Francisco Caucasian	17	0.0	100.0
USA San Francisco Caucasian	18	0.0	100.0
USA San Francisco Caucasian	19	0.0	100.0
USA San Francisco Caucasian	20	0.0	100.0
USA San Francisco Caucasian	21	0.0	100.0
USA San Francisco Caucasian	22	0.0	100.0
USA San Francisco Caucasian	23	0.0	100.0
USA San Francisco Caucasian	24	0.0	100.0
USA San Francisco Caucasian	25	0.0	100.0
USA San Francisco Caucasian	26	0.0	100.0
USA San Francisco Caucasian	27	0.0	100.0
USA San Francisco Caucasian	28	0.0	100.0
USA San Francisco Caucasian	29	0.0	100.0
USA San Francisco Caucasian	30	0.0	100.0
USA San Francisco Caucasian	31	0.0	100.0
USA San Francisco Caucasian	32	0.0	100.0
USA San Francisco Caucasian	33	0.0	100.0
USA San Francisco Caucasian	34	0.0	100.0
USA San Francisco Caucasian	35	0.0	100.0
USA San Francisco Caucasian	36	0.0	100.0
USA San Francisco Caucasian	37	0.0	100.0
