class I
population/area	coverage	average_hit	pc90
USA South Dakota Lakota Sioux	100.0%	17524.1	9675.67
average	100.0%	17524.1	9675.67
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA South Dakota Lakota Sioux	0	0.0	100.0
USA South Dakota Lakota Sioux	1	0.0	100.0
USA South Dakota Lakota Sioux	2	0.0	100.0
USA South Dakota Lakota Sioux	3	0.0	100.0
USA South Dakota Lakota Sioux	4	0.0	100.0
USA South Dakota Lakota Sioux	5	0.0	100.0
USA South Dakota Lakota Sioux	6	0.0	100.0
USA South Dakota Lakota Sioux	7	0.0	100.0
USA South Dakota Lakota Sioux	8	0.0	100.0
USA South Dakota Lakota Sioux	9	0.0	100.0
USA South Dakota Lakota Sioux	10	0.0	100.0
USA South Dakota Lakota Sioux	11	0.0	100.0
USA South Dakota Lakota Sioux	12	0.0	100.0
USA South Dakota Lakota Sioux	13	0.0	100.0
USA South Dakota Lakota Sioux	14	0.0	100.0
USA South Dakota Lakota Sioux	15	0.0	100.0
USA South Dakota Lakota Sioux	16	0.0	100.0
USA South Dakota Lakota Sioux	17	0.0	100.0
USA South Dakota Lakota Sioux	18	0.0	100.0
USA South Dakota Lakota Sioux	19	0.0	100.0
USA South Dakota Lakota Sioux	20	0.0	100.0
USA South Dakota Lakota Sioux	21	0.0	100.0
USA South Dakota Lakota Sioux	22	0.0	100.0
USA South Dakota Lakota Sioux	23	0.0	100.0
USA South Dakota Lakota Sioux	24	0.0	100.0
USA South Dakota Lakota Sioux	25	0.0	100.0
USA South Dakota Lakota Sioux	26	0.0	100.0
USA South Dakota Lakota Sioux	27	0.0	100.0
USA South Dakota Lakota Sioux	28	0.0	100.0
USA South Dakota Lakota Sioux	29	0.0	100.0
USA South Dakota Lakota Sioux	30	0.0	100.0
USA South Dakota Lakota Sioux	31	0.0	100.0
USA South Dakota Lakota Sioux	32	0.0	100.0
USA South Dakota Lakota Sioux	33	0.0	100.0
USA South Dakota Lakota Sioux	34	0.0	100.0
USA South Dakota Lakota Sioux	35	0.0	100.0
USA South Dakota Lakota Sioux	36	0.0	100.0
USA South Dakota Lakota Sioux	37	0.0	100.0
USA South Dakota Lakota Sioux	38	0.0	100.0
USA South Dakota Lakota Sioux	39	0.0	100.0
USA South Dakota Lakota Sioux	40	0.0	100.0
USA South Dakota Lakota Sioux	41	0.0	100.0
USA South Dakota Lakota Sioux	42	0.0	100.0
USA South Dakota Lakota Sioux	43	0.0	100.0
USA South Dakota Lakota Sioux	44	0.0	100.0
USA South Dakota Lakota Sioux	45	0.0	100.0
USA South Dakota Lakota Sioux	46	0.0	100.0
USA South Dakota Lakota Sioux	47	0.0	100.0
USA South Dakota Lakota Sioux	48	0.0	100.0
USA South Dakota Lakota Sioux	49	0.0	100.0
USA South Dakota Lakota Sioux	50	0.0	100.0
USA South Dakota Lakota Sioux	51	0.0	100.0
USA South Dakota Lakota Sioux	52	0.0	100.0
USA South Dakota Lakota Sioux	53	0.0	100.0
USA South Dakota Lakota Sioux	54	0.0	100.0
USA South Dakota Lakota Sioux	55	0.0	100.0
USA South Dakota Lakota Sioux	56	0.0	100.0
USA South Dakota Lakota Sioux	57	0.0	100.0
USA South Dakota Lakota Sioux	58	0.0	100.0
USA South Dakota Lakota Sioux	59	0.0	100.0
USA South Dakota Lakota Sioux	60	0.0	100.0
USA South Dakota Lakota Sioux	61	0.0	100.0
USA South Dakota Lakota Sioux	62	0.0	100.0
USA South Dakota Lakota Sioux	63	0.0	100.0
USA South Dakota Lakota Sioux	64	0.0	100.0
USA South Dakota Lakota Sioux	65	0.0	100.0
USA South Dakota Lakota Sioux	66	0.0	100.0
USA South Dakota Lakota Sioux	67	0.0	100.0
USA South Dakota Lakota Sioux	68	0.0	100.0
USA South Dakota Lakota Sioux	69	0.0	100.0
USA South Dakota Lakota Sioux	70	0.0	100.0
USA South Dakota Lakota Sioux	71	0.0	100.0
USA South Dakota Lakota Sioux	72	0.0	100.0
USA South Dakota Lakota Sioux	73	0.0	100.0
USA South Dakota Lakota Sioux	74	0.0	100.0
USA South Dakota Lakota Sioux	75	0.0	100.0
USA South Dakota Lakota Sioux	76	0.0	100.0
USA South Dakota Lakota Sioux	77	0.0	100.0
USA South Dakota Lakota Sioux	78	0.0	100.0
USA South Dakota Lakota Sioux	79	0.0	100.0
USA South Dakota Lakota Sioux	80	0.0	100.0
USA South Dakota Lakota Sioux	81	0.0	100.0
USA South Dakota Lakota Sioux	82	0.0	100.0
USA South Dakota Lakota Sioux	83	0.0	100.0
USA South Dakota Lakota Sioux	84	0.0	100.0
USA South Dakota Lakota Sioux	85	0.0	100.0
USA South Dakota Lakota Sioux	86	0.0	100.0
USA South Dakota Lakota Sioux	87	0.0	100.0
USA South Dakota Lakota Sioux	88	0.0	100.0
USA South Dakota Lakota Sioux	89	0.0	100.0
USA South Dakota Lakota Sioux	90	0.0	100.0
USA South Dakota Lakota Sioux	91	0.0	100.0
USA South Dakota Lakota Sioux	92	0.0	100.0
USA South Dakota Lakota Sioux	93	0.0	100.0
USA South Dakota Lakota Sioux	94	0.0	100.0
USA South Dakota Lakota Sioux	95	0.0	100.0
USA South Dakota Lakota Sioux	96	0.0	100.0
USA South Dakota Lakota Sioux	97	0.0	100.0
USA South Dakota Lakota Sioux	98	0.0	100.0
USA South Dakota Lakota Sioux	99	0.0	100.0
USA South Dakota Lakota Sioux	100	0.0	100.0
USA South Dakota Lakota Sioux	101	0.0	100.0
USA South Dakota Lakota Sioux	102	0.0	100.0
USA South Dakota Lakota Sioux	103	0.0	100.0
USA South Dakota Lakota Sioux	104	0.0	100.0
USA South Dakota Lakota Sioux	105	0.0	100.0
USA South Dakota Lakota Sioux	106	0.0	100.0
USA South Dakota Lakota Sioux	107	0.0	100.0
USA South Dakota Lakota Sioux	108	0.0	100.0
USA South Dakota Lakota Sioux	109	0.0	100.0
USA South Dakota Lakota Sioux	110	0.0	100.0
USA South Dakota Lakota Sioux	111	0.0	100.0
USA South Dakota Lakota Sioux	112	0.0	100.0
USA South Dakota Lakota Sioux	113	0.0	100.0
USA South Dakota Lakota Sioux	114	0.0	100.0
USA South Dakota Lakota Sioux	115	0.0	100.0
USA South Dakota Lakota Sioux	116	0.0	100.0
USA South Dakota Lakota Sioux	117	0.0	100.0
USA South Dakota Lakota Sioux	118	0.0	100.0
USA South Dakota Lakota Sioux	119	0.0	100.0
USA South Dakota Lakota Sioux	120	0.0	100.0
USA South Dakota Lakota Sioux	121	0.0	100.0
USA South Dakota Lakota Sioux	122	0.0	100.0
USA South Dakota Lakota Sioux	123	0.0	100.0
USA South Dakota Lakota Sioux	124	0.0	100.0
USA South Dakota Lakota Sioux	125	0.0	100.0
USA South Dakota Lakota Sioux	126	0.0	100.0
USA South Dakota Lakota Sioux	127	0.0	100.0
USA South Dakota Lakota Sioux	128	0.0	100.0
USA South Dakota Lakota Sioux	129	0.0	100.0
USA South Dakota Lakota Sioux	130	0.0	100.0
USA South Dakota Lakota Sioux	131	0.0	100.0
USA South Dakota Lakota Sioux	132	0.0	100.0
USA South Dakota Lakota Sioux	133	0.0	100.0
USA South Dakota Lakota Sioux	134	0.0	100.0
USA South Dakota Lakota Sioux	135	0.0	100.0
USA South Dakota Lakota Sioux	136	0.0	100.0
USA South Dakota Lakota Sioux	137	0.0	100.0
USA South Dakota Lakota Sioux	138	0.0	100.0
USA South Dakota Lakota Sioux	139	0.0	100.0
USA South Dakota Lakota Sioux	140	0.0	100.0
USA South Dakota Lakota Sioux	141	0.0	100.0
USA South Dakota Lakota Sioux	142	0.0	100.0
USA South Dakota Lakota Sioux	143	0.0	100.0
USA South Dakota Lakota Sioux	144	0.0	100.0
USA South Dakota Lakota Sioux	145	0.0	100.0
USA South Dakota Lakota Sioux	146	0.0	100.0
USA South Dakota Lakota Sioux	147	0.0	100.0
USA South Dakota Lakota Sioux	148	0.0	100.0
USA South Dakota Lakota Sioux	149	0.0	100.0
USA South Dakota Lakota Sioux	150	0.0	100.0
USA South Dakota Lakota Sioux	151	0.0	100.0
USA South Dakota Lakota Sioux	152	0.0	100.0
