class I
population/area	coverage	average_hit	pc90
USA South Texas Hispanic	100.0%	14374.52	7204.02
average	100.0%	14374.52	7204.02
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA South Texas Hispanic	0	0.0	100.0
USA South Texas Hispanic	1	0.0	100.0
USA South Texas Hispanic	2	0.0	100.0
USA South Texas Hispanic	3	0.0	100.0
USA South Texas Hispanic	4	0.0	100.0
USA South Texas Hispanic	5	0.0	100.0
USA South Texas Hispanic	6	0.0	100.0
USA South Texas Hispanic	7	0.0	100.0
USA South Texas Hispanic	8	0.0	100.0
USA South Texas Hispanic	9	0.0	100.0
USA South Texas Hispanic	10	0.0	100.0
USA South Texas Hispanic	11	0.0	100.0
USA South Texas Hispanic	12	0.0	100.0
USA South Texas Hispanic	13	0.0	100.0
USA South Texas Hispanic	14	0.0	100.0
USA South Texas Hispanic	15	0.0	100.0
USA South Texas Hispanic	16	0.0	100.0
USA South Texas Hispanic	17	0.0	100.0
USA South Texas Hispanic	18	0.0	100.0
USA South Texas Hispanic	19	0.0	100.0
USA South Texas Hispanic	20	0.0	100.0
USA South Texas Hispanic	21	0.0	100.0
USA South Texas Hispanic	22	0.0	100.0
USA South Texas Hispanic	23	0.0	100.0
USA South Texas Hispanic	24	0.0	100.0
USA South Texas Hispanic	25	0.0	100.0
USA South Texas Hispanic	26	0.0	100.0
USA South Texas Hispanic	27	0.0	100.0
USA South Texas Hispanic	28	0.0	100.0
USA South Texas Hispanic	29	0.0	100.0
USA South Texas Hispanic	30	0.0	100.0
USA South Texas Hispanic	31	0.0	100.0
USA South Texas Hispanic	32	0.0	100.0
USA South Texas Hispanic	33	0.0	100.0
USA South Texas Hispanic	34	0.0	100.0
USA South Texas Hispanic	35	0.0	100.0
USA South Texas Hispanic	36	0.0	100.0
USA South Texas Hispanic	37	0.0	100.0
USA South Texas Hispanic	38	0.0	100.0
USA South Texas Hispanic	39	0.0	100.0
USA South Texas Hispanic	40	0.0	100.0
USA South Texas Hispanic	41	0.0	100.0
USA South Texas Hispanic	42	0.0	100.0
USA South Texas Hispanic	43	0.0	100.0
USA South Texas Hispanic	44	0.0	100.0
USA South Texas Hispanic	45	0.0	100.0
USA South Texas Hispanic	46	0.0	100.0
USA South Texas Hispanic	47	0.0	100.0
USA South Texas Hispanic	48	0.0	100.0
USA South Texas Hispanic	49	0.0	100.0
USA South Texas Hispanic	50	0.0	100.0
USA South Texas Hispanic	51	0.0	100.0
USA South Texas Hispanic	52	0.0	100.0
USA South Texas Hispanic	53	0.0	100.0
USA South Texas Hispanic	54	0.0	100.0
USA South Texas Hispanic	55	0.0	100.0
USA South Texas Hispanic	56	0.0	100.0
USA South Texas Hispanic	57	0.0	100.0
USA South Texas Hispanic	58	0.0	100.0
USA South Texas Hispanic	59	0.0	100.0
USA South Texas Hispanic	60	0.0	100.0
USA South Texas Hispanic	61	0.0	100.0
USA South Texas Hispanic	62	0.0	100.0
USA South Texas Hispanic	63	0.0	100.0
USA South Texas Hispanic	64	0.0	100.0
