class I
population/area	coverage	average_hit	pc90
Vietnam Kinh	99.49%	8916.18	2931.33
average	99.49%	8916.18	2931.33
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Vietnam Kinh	0	0.51	100.0
Vietnam Kinh	1	0.0	99.49
Vietnam Kinh	2	0.0	99.49
Vietnam Kinh	3	0.0	99.49
Vietnam Kinh	4	0.0	99.49
Vietnam Kinh	5	0.0	99.49
Vietnam Kinh	6	0.0	99.49
Vietnam Kinh	7	0.0	99.49
Vietnam Kinh	8	0.0	99.49
Vietnam Kinh	9	0.0	99.49
Vietnam Kinh	10	0.0	99.49
Vietnam Kinh	11	0.0	99.49
Vietnam Kinh	12	0.0	99.49
Vietnam Kinh	13	0.0	99.49
Vietnam Kinh	14	0.0	99.49
Vietnam Kinh	15	0.0	99.49
Vietnam Kinh	16	0.0	99.49
Vietnam Kinh	17	0.0	99.49
Vietnam Kinh	18	0.0	99.49
Vietnam Kinh	19	0.0	99.49
Vietnam Kinh	20	0.0	99.49
Vietnam Kinh	21	0.0	99.49
Vietnam Kinh	22	0.0	99.49
Vietnam Kinh	23	0.0	99.49
Vietnam Kinh	24	0.0	99.49
Vietnam Kinh	25	0.0	99.49
Vietnam Kinh	26	0.0	99.49
Vietnam Kinh	27	0.0	99.49
Vietnam Kinh	28	0.0	99.49
Vietnam Kinh	29	0.0	99.49
Vietnam Kinh	30	0.0	99.49
Vietnam Kinh	31	0.0	99.49
Vietnam Kinh	32	0.0	99.49
Vietnam Kinh	33	0.0	99.49
Vietnam Kinh	34	0.0	99.49
Vietnam Kinh	35	0.0	99.49
Vietnam Kinh	36	0.0	99.49
Vietnam Kinh	37	0.0	99.49
Vietnam Kinh	38	0.0	99.49
Vietnam Kinh	39	0.0	99.49
Vietnam Kinh	40	0.0	99.49
Vietnam Kinh	41	0.0	99.49
Vietnam Kinh	42	0.0	99.49
Vietnam Kinh	43	0.0	99.49
Vietnam Kinh	44	0.0	99.49
Vietnam Kinh	45	0.0	99.49
Vietnam Kinh	46	0.0	99.49
Vietnam Kinh	47	0.0	99.49
Vietnam Kinh	48	0.0	99.49
Vietnam Kinh	49	0.0	99.49
Vietnam Kinh	50	0.0	99.49
Vietnam Kinh	51	0.0	99.49
Vietnam Kinh	52	0.0	99.49
Vietnam Kinh	53	0.0	99.49
Vietnam Kinh	54	0.0	99.49
Vietnam Kinh	55	0.0	99.49
Vietnam Kinh	56	0.0	99.49
Vietnam Kinh	57	0.0	99.49
Vietnam Kinh	58	0.0	99.49
Vietnam Kinh	59	0.0	99.49
Vietnam Kinh	60	0.0	99.49
Vietnam Kinh	61	0.0	99.49
Vietnam Kinh	62	0.0	99.49
Vietnam Kinh	63	0.0	99.49
Vietnam Kinh	64	0.0	99.49
Vietnam Kinh	65	0.0	99.49
Vietnam Kinh	66	0.0	99.49
Vietnam Kinh	67	0.0	99.49
Vietnam Kinh	68	0.0	99.49
Vietnam Kinh	69	0.0	99.49
Vietnam Kinh	70	0.0	99.49
Vietnam Kinh	71	0.0	99.49
Vietnam Kinh	72	0.0	99.49
Vietnam Kinh	73	0.0	99.49
Vietnam Kinh	74	0.0	99.49
Vietnam Kinh	75	0.0	99.49
Vietnam Kinh	76	0.0	99.49
Vietnam Kinh	77	0.0	99.49
Vietnam Kinh	78	0.0	99.49
Vietnam Kinh	79	0.0	99.49
Vietnam Kinh	80	0.0	99.49
Vietnam Kinh	81	0.0	99.49
Vietnam Kinh	82	0.0	99.49
Vietnam Kinh	83	0.0	99.49
Vietnam Kinh	84	0.0	99.49
Vietnam Kinh	85	0.0	99.49
Vietnam Kinh	86	0.0	99.49
Vietnam Kinh	87	0.0	99.49
Vietnam Kinh	88	0.0	99.49
Vietnam Kinh	89	0.0	99.49
Vietnam Kinh	90	0.0	99.49
Vietnam Kinh	91	0.0	99.49
Vietnam Kinh	92	0.0	99.49
Vietnam Kinh	93	0.0	99.49
Vietnam Kinh	94	0.0	99.49
Vietnam Kinh	95	0.0	99.49
Vietnam Kinh	96	0.0	99.49
Vietnam Kinh	97	0.0	99.49
Vietnam Kinh	98	0.0	99.49
Vietnam Kinh	99	0.0	99.49
Vietnam Kinh	100	0.0	99.49
Vietnam Kinh	101	0.03	99.49
Vietnam Kinh	102	0.0	99.47
Vietnam Kinh	103	0.02	99.47
Vietnam Kinh	104	0.0	99.45
Vietnam Kinh	105	0.0	99.45
Vietnam Kinh	106	0.0	99.45
Vietnam Kinh	107	0.0	99.45
Vietnam Kinh	108	0.0	99.45
Vietnam Kinh	109	0.0	99.45
Vietnam Kinh	110	0.0	99.45
Vietnam Kinh	111	0.0	99.45
Vietnam Kinh	112	0.01	99.45
Vietnam Kinh	113	0.0	99.44
Vietnam Kinh	114	0.09	99.44
Vietnam Kinh	115	0.0	99.35
Vietnam Kinh	116	0.0	99.35
Vietnam Kinh	117	0.0	99.35
Vietnam Kinh	118	0.0	99.35
Vietnam Kinh	119	0.0	99.35
Vietnam Kinh	120	0.0	99.35
Vietnam Kinh	121	0.0	99.35
Vietnam Kinh	122	0.0	99.35
Vietnam Kinh	123	0.0	99.35
Vietnam Kinh	124	0.05	99.35
Vietnam Kinh	125	0.0	99.3
Vietnam Kinh	126	0.04	99.3
Vietnam Kinh	127	0.0	99.26
Vietnam Kinh	128	0.0	99.26
Vietnam Kinh	129	0.0	99.26
Vietnam Kinh	130	0.0	99.26
Vietnam Kinh	131	0.0	99.26
Vietnam Kinh	132	0.0	99.26
Vietnam Kinh	133	0.0	99.26
Vietnam Kinh	134	0.0	99.26
Vietnam Kinh	135	0.0	99.26
Vietnam Kinh	136	0.0	99.26
Vietnam Kinh	137	0.0	99.26
Vietnam Kinh	138	0.0	99.26
Vietnam Kinh	139	0.0	99.26
Vietnam Kinh	140	0.0	99.26
Vietnam Kinh	141	0.0	99.26
Vietnam Kinh	142	0.0	99.26
Vietnam Kinh	143	0.0	99.26
Vietnam Kinh	144	0.0	99.26
Vietnam Kinh	145	0.0	99.26
