class I
population/area	coverage	average_hit	pc90
Zambia Lusaka	100.0%	11215.84	4775.53
average	100.0%	11215.84	4775.53
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Zambia Lusaka	0	0.0	100.0
Zambia Lusaka	1	0.0	100.0
Zambia Lusaka	2	0.0	100.0
Zambia Lusaka	3	0.0	100.0
Zambia Lusaka	4	0.0	100.0
Zambia Lusaka	5	0.0	100.0
Zambia Lusaka	6	0.0	100.0
Zambia Lusaka	7	0.0	100.0
Zambia Lusaka	8	0.0	100.0
Zambia Lusaka	9	0.0	100.0
Zambia Lusaka	10	0.0	100.0
Zambia Lusaka	11	0.0	100.0
Zambia Lusaka	12	0.0	100.0
Zambia Lusaka	13	0.0	100.0
Zambia Lusaka	14	0.0	100.0
Zambia Lusaka	15	0.0	100.0
Zambia Lusaka	16	0.0	100.0
Zambia Lusaka	17	0.0	100.0
Zambia Lusaka	18	0.0	100.0
Zambia Lusaka	19	0.0	100.0
Zambia Lusaka	20	0.0	100.0
Zambia Lusaka	21	0.0	100.0
Zambia Lusaka	22	0.0	100.0
Zambia Lusaka	23	0.0	100.0
Zambia Lusaka	24	0.0	100.0
Zambia Lusaka	25	0.0	100.0
Zambia Lusaka	26	0.0	100.0
Zambia Lusaka	27	0.0	100.0
Zambia Lusaka	28	0.0	100.0
Zambia Lusaka	29	0.0	100.0
Zambia Lusaka	30	0.0	100.0
Zambia Lusaka	31	0.0	100.0
Zambia Lusaka	32	0.0	100.0
Zambia Lusaka	33	0.0	100.0
Zambia Lusaka	34	0.0	100.0
Zambia Lusaka	35	0.0	100.0
Zambia Lusaka	36	0.0	100.0
Zambia Lusaka	37	0.0	100.0
Zambia Lusaka	38	0.0	100.0
Zambia Lusaka	39	0.0	100.0
Zambia Lusaka	40	0.0	100.0
Zambia Lusaka	41	0.0	100.0
Zambia Lusaka	42	0.0	100.0
Zambia Lusaka	43	0.0	100.0
Zambia Lusaka	44	0.0	100.0
Zambia Lusaka	45	0.0	100.0
Zambia Lusaka	46	0.0	100.0
Zambia Lusaka	47	0.0	100.0
Zambia Lusaka	48	0.0	100.0
Zambia Lusaka	49	0.0	100.0
Zambia Lusaka	50	0.0	100.0
Zambia Lusaka	51	0.0	100.0
Zambia Lusaka	52	0.0	100.0
Zambia Lusaka	53	0.0	100.0
Zambia Lusaka	54	0.0	100.0
Zambia Lusaka	55	0.0	100.0
Zambia Lusaka	56	0.0	100.0
Zambia Lusaka	57	0.0	100.0
Zambia Lusaka	58	0.0	100.0
Zambia Lusaka	59	0.0	100.0
Zambia Lusaka	60	0.0	100.0
Zambia Lusaka	61	0.0	100.0
Zambia Lusaka	62	0.0	100.0
Zambia Lusaka	63	0.0	100.0
Zambia Lusaka	64	0.0	100.0
Zambia Lusaka	65	0.0	100.0
Zambia Lusaka	66	0.0	100.0
Zambia Lusaka	67	0.0	100.0
Zambia Lusaka	68	0.0	100.0
Zambia Lusaka	69	0.0	100.0
Zambia Lusaka	70	0.0	100.0
Zambia Lusaka	71	0.0	100.0
Zambia Lusaka	72	0.0	100.0
Zambia Lusaka	73	0.0	100.0
Zambia Lusaka	74	0.0	100.0
Zambia Lusaka	75	0.0	100.0
Zambia Lusaka	76	0.0	100.0
Zambia Lusaka	77	0.0	100.0
Zambia Lusaka	78	0.0	100.0
Zambia Lusaka	79	0.0	100.0
Zambia Lusaka	80	0.0	100.0
Zambia Lusaka	81	0.0	100.0
Zambia Lusaka	82	0.0	100.0
Zambia Lusaka	83	0.0	100.0
Zambia Lusaka	84	0.0	100.0
Zambia Lusaka	85	0.0	100.0
Zambia Lusaka	86	0.0	100.0
Zambia Lusaka	87	0.0	100.0
Zambia Lusaka	88	0.0	100.0
Zambia Lusaka	89	0.0	100.0
Zambia Lusaka	90	0.0	100.0
Zambia Lusaka	91	0.0	100.0
Zambia Lusaka	92	0.0	100.0
Zambia Lusaka	93	0.0	100.0
Zambia Lusaka	94	0.0	100.0
Zambia Lusaka	95	0.0	100.0
Zambia Lusaka	96	0.0	100.0
Zambia Lusaka	97	0.0	100.0
Zambia Lusaka	98	0.0	100.0
Zambia Lusaka	99	0.0	100.0
Zambia Lusaka	100	0.0	100.0
Zambia Lusaka	101	0.0	100.0
Zambia Lusaka	102	0.0	100.0
Zambia Lusaka	103	0.0	100.0
Zambia Lusaka	104	0.0	100.0
Zambia Lusaka	105	0.0	100.0
Zambia Lusaka	106	0.0	100.0
Zambia Lusaka	107	0.0	100.0
Zambia Lusaka	108	0.0	100.0
Zambia Lusaka	109	0.0	100.0
Zambia Lusaka	110	0.0	100.0
Zambia Lusaka	111	0.0	100.0
Zambia Lusaka	112	0.0	100.0
Zambia Lusaka	113	0.0	100.0
Zambia Lusaka	114	0.0	100.0
Zambia Lusaka	115	0.0	100.0
Zambia Lusaka	116	0.0	99.99
Zambia Lusaka	117	0.0	99.99
Zambia Lusaka	118	0.0	99.99
Zambia Lusaka	119	0.0	99.99
Zambia Lusaka	120	0.0	99.99
Zambia Lusaka	121	0.0	99.99
Zambia Lusaka	122	0.0	99.99
Zambia Lusaka	123	0.0	99.99
Zambia Lusaka	124	0.0	99.99
Zambia Lusaka	125	0.0	99.99
Zambia Lusaka	126	0.0	99.99
Zambia Lusaka	127	0.0	99.99
Zambia Lusaka	128	0.0	99.99
Zambia Lusaka	129	0.0	99.99
Zambia Lusaka	130	0.0	99.99
Zambia Lusaka	131	0.0	99.99
Zambia Lusaka	132	0.0	99.99
Zambia Lusaka	133	0.0	99.99
Zambia Lusaka	134	0.0	99.99
Zambia Lusaka	135	0.0	99.99
Zambia Lusaka	136	0.0	99.99
Zambia Lusaka	137	0.0	99.99
Zambia Lusaka	138	0.0	99.99
Zambia Lusaka	139	0.0	99.99
Zambia Lusaka	140	0.0	99.99
Zambia Lusaka	141	0.0	99.99
Zambia Lusaka	142	0.0	99.99
Zambia Lusaka	143	0.0	99.99
Zambia Lusaka	144	0.0	99.99
Zambia Lusaka	145	0.0	99.99
Zambia Lusaka	146	0.0	99.99
Zambia Lusaka	147	0.0	99.99
Zambia Lusaka	148	0.0	99.99
Zambia Lusaka	149	0.0	99.99
Zambia Lusaka	150	0.0	99.99
Zambia Lusaka	151	0.0	99.99
Zambia Lusaka	152	0.0	99.99
Zambia Lusaka	153	0.0	99.99
Zambia Lusaka	154	0.0	99.99
Zambia Lusaka	155	0.0	99.99
Zambia Lusaka	156	0.0	99.99
Zambia Lusaka	157	0.0	99.99
Zambia Lusaka	158	0.0	99.99
Zambia Lusaka	159	0.0	99.99
Zambia Lusaka	160	0.0	99.99
Zambia Lusaka	161	0.0	99.99
Zambia Lusaka	162	0.0	99.99
Zambia Lusaka	163	0.0	99.99
Zambia Lusaka	164	0.0	99.99
Zambia Lusaka	165	0.0	99.99
Zambia Lusaka	166	0.0	99.99
Zambia Lusaka	167	0.0	99.99
Zambia Lusaka	168	0.0	99.99
Zambia Lusaka	169	0.0	99.99
Zambia Lusaka	170	0.0	99.99
Zambia Lusaka	171	0.0	99.99
Zambia Lusaka	172	0.0	99.99
Zambia Lusaka	173	0.0	99.99
Zambia Lusaka	174	0.0	99.99
Zambia Lusaka	175	0.0	99.99
Zambia Lusaka	176	0.0	99.99
