class I
population/area	coverage	average_hit	pc90
Brazil Mixed	99.99%	26200.79	10672.73
average	99.99%	26200.79	10672.73
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Brazil Mixed	0	0.01	100.0
Brazil Mixed	1	0.0	99.99
Brazil Mixed	2	0.0	99.99
Brazil Mixed	3	0.0	99.99
Brazil Mixed	4	0.0	99.99
Brazil Mixed	5	0.0	99.99
Brazil Mixed	6	0.0	99.99
Brazil Mixed	7	0.0	99.99
Brazil Mixed	8	0.0	99.99
Brazil Mixed	9	0.0	99.99
Brazil Mixed	10	0.0	99.99
Brazil Mixed	11	0.0	99.99
Brazil Mixed	12	0.0	99.99
Brazil Mixed	13	0.0	99.99
Brazil Mixed	14	0.0	99.98
Brazil Mixed	15	0.0	99.98
Brazil Mixed	16	0.0	99.98
Brazil Mixed	17	0.0	99.98
Brazil Mixed	18	0.0	99.98
Brazil Mixed	19	0.0	99.98
Brazil Mixed	20	0.0	99.98
Brazil Mixed	21	0.0	99.98
Brazil Mixed	22	0.0	99.98
Brazil Mixed	23	0.0	99.98
Brazil Mixed	24	0.0	99.98
Brazil Mixed	25	0.0	99.98
Brazil Mixed	26	0.0	99.98
Brazil Mixed	27	0.0	99.98
Brazil Mixed	28	0.0	99.98
Brazil Mixed	29	0.0	99.98
Brazil Mixed	30	0.0	99.98
Brazil Mixed	31	0.0	99.98
Brazil Mixed	32	0.0	99.98
Brazil Mixed	33	0.0	99.98
Brazil Mixed	34	0.0	99.98
Brazil Mixed	35	0.0	99.98
Brazil Mixed	36	0.0	99.98
Brazil Mixed	37	0.0	99.98
Brazil Mixed	38	0.0	99.98
Brazil Mixed	39	0.0	99.98
Brazil Mixed	40	0.0	99.98
Brazil Mixed	41	0.0	99.98
Brazil Mixed	42	0.0	99.98
Brazil Mixed	43	0.0	99.98
Brazil Mixed	44	0.0	99.98
Brazil Mixed	45	0.0	99.98
Brazil Mixed	46	0.0	99.98
Brazil Mixed	47	0.0	99.98
Brazil Mixed	48	0.0	99.98
Brazil Mixed	49	0.0	99.98
Brazil Mixed	50	0.0	99.98
Brazil Mixed	51	0.0	99.98
Brazil Mixed	52	0.0	99.98
Brazil Mixed	53	0.0	99.98
Brazil Mixed	54	0.0	99.98
Brazil Mixed	55	0.0	99.98
Brazil Mixed	56	0.0	99.98
Brazil Mixed	57	0.0	99.98
Brazil Mixed	58	0.0	99.98
Brazil Mixed	59	0.0	99.98
Brazil Mixed	60	0.0	99.98
Brazil Mixed	61	0.0	99.98
Brazil Mixed	62	0.0	99.98
Brazil Mixed	63	0.0	99.98
Brazil Mixed	64	0.0	99.98
Brazil Mixed	65	0.0	99.98
Brazil Mixed	66	0.0	99.98
Brazil Mixed	67	0.0	99.98
Brazil Mixed	68	0.0	99.98
Brazil Mixed	69	0.0	99.98
Brazil Mixed	70	0.0	99.98
Brazil Mixed	71	0.0	99.98
Brazil Mixed	72	0.0	99.98
Brazil Mixed	73	0.0	99.98
Brazil Mixed	74	0.0	99.98
Brazil Mixed	75	0.0	99.98
Brazil Mixed	76	0.0	99.98
Brazil Mixed	77	0.0	99.98
Brazil Mixed	78	0.0	99.98
Brazil Mixed	79	0.0	99.98
Brazil Mixed	80	0.0	99.98
Brazil Mixed	81	0.0	99.98
Brazil Mixed	82	0.0	99.98
Brazil Mixed	83	0.0	99.98
Brazil Mixed	84	0.0	99.98
Brazil Mixed	85	0.0	99.98
Brazil Mixed	86	0.0	99.98
Brazil Mixed	87	0.0	99.98
Brazil Mixed	88	0.0	99.98
Brazil Mixed	89	0.0	99.98
Brazil Mixed	90	0.0	99.98
Brazil Mixed	91	0.0	99.98
Brazil Mixed	92	0.0	99.98
Brazil Mixed	93	0.0	99.98
Brazil Mixed	94	0.0	99.98
Brazil Mixed	95	0.0	99.98
Brazil Mixed	96	0.0	99.98
Brazil Mixed	97	0.0	99.98
Brazil Mixed	98	0.0	99.98
Brazil Mixed	99	0.0	99.98
Brazil Mixed	100	0.0	99.98
Brazil Mixed	101	0.0	99.98
Brazil Mixed	102	0.0	99.97
Brazil Mixed	103	0.0	99.97
Brazil Mixed	104	0.0	99.97
Brazil Mixed	105	0.0	99.97
Brazil Mixed	106	0.0	99.97
Brazil Mixed	107	0.0	99.97
Brazil Mixed	108	0.0	99.97
Brazil Mixed	109	0.0	99.97
Brazil Mixed	110	0.0	99.97
Brazil Mixed	111	0.0	99.97
Brazil Mixed	112	0.0	99.97
Brazil Mixed	113	0.0	99.97
Brazil Mixed	114	0.0	99.97
Brazil Mixed	115	0.0	99.97
Brazil Mixed	116	0.0	99.97
Brazil Mixed	117	0.0	99.97
Brazil Mixed	118	0.0	99.97
Brazil Mixed	119	0.0	99.97
Brazil Mixed	120	0.0	99.97
Brazil Mixed	121	0.0	99.97
Brazil Mixed	122	0.0	99.97
Brazil Mixed	123	0.0	99.97
Brazil Mixed	124	0.0	99.97
Brazil Mixed	125	0.0	99.97
Brazil Mixed	126	0.0	99.97
Brazil Mixed	127	0.0	99.97
Brazil Mixed	128	0.0	99.97
Brazil Mixed	129	0.0	99.97
Brazil Mixed	130	0.0	99.97
Brazil Mixed	131	0.0	99.97
Brazil Mixed	132	0.0	99.97
Brazil Mixed	133	0.0	99.97
Brazil Mixed	134	0.0	99.97
Brazil Mixed	135	0.0	99.97
Brazil Mixed	136	0.0	99.97
Brazil Mixed	137	0.0	99.97
Brazil Mixed	138	0.0	99.97
Brazil Mixed	139	0.0	99.97
Brazil Mixed	140	0.0	99.97
Brazil Mixed	141	0.0	99.97
Brazil Mixed	142	0.0	99.97
Brazil Mixed	143	0.0	99.97
Brazil Mixed	144	0.0	99.97
Brazil Mixed	145	0.0	99.97
Brazil Mixed	146	0.0	99.97
Brazil Mixed	147	0.0	99.97
Brazil Mixed	148	0.0	99.97
Brazil Mixed	149	0.0	99.97
Brazil Mixed	150	0.0	99.97
Brazil Mixed	151	0.0	99.97
Brazil Mixed	152	0.0	99.97
Brazil Mixed	153	0.0	99.97
Brazil Mixed	154	0.0	99.97
Brazil Mixed	155	0.0	99.97
Brazil Mixed	156	0.0	99.97
Brazil Mixed	157	0.0	99.97
Brazil Mixed	158	0.0	99.97
Brazil Mixed	159	0.0	99.97
Brazil Mixed	160	0.0	99.97
Brazil Mixed	161	0.0	99.97
Brazil Mixed	162	0.0	99.97
Brazil Mixed	163	0.0	99.97
Brazil Mixed	164	0.0	99.97
Brazil Mixed	165	0.0	99.97
Brazil Mixed	166	0.0	99.97
Brazil Mixed	167	0.0	99.97
Brazil Mixed	168	0.0	99.97
Brazil Mixed	169	0.0	99.97
Brazil Mixed	170	0.0	99.97
Brazil Mixed	171	0.0	99.97
Brazil Mixed	172	0.0	99.97
Brazil Mixed	173	0.0	99.97
Brazil Mixed	174	0.0	99.97
Brazil Mixed	175	0.0	99.97
Brazil Mixed	176	0.0	99.96
Brazil Mixed	177	0.0	99.96
Brazil Mixed	178	0.0	99.96
Brazil Mixed	179	0.0	99.96
Brazil Mixed	180	0.0	99.96
Brazil Mixed	181	0.0	99.96
Brazil Mixed	182	0.0	99.96
Brazil Mixed	183	0.0	99.96
Brazil Mixed	184	0.0	99.96
Brazil Mixed	185	0.0	99.96
Brazil Mixed	186	0.0	99.96
Brazil Mixed	187	0.0	99.96
Brazil Mixed	188	0.0	99.96
Brazil Mixed	189	0.0	99.96
Brazil Mixed	190	0.0	99.96
Brazil Mixed	191	0.0	99.96
Brazil Mixed	192	0.0	99.96
Brazil Mixed	193	0.0	99.96
Brazil Mixed	194	0.0	99.96
Brazil Mixed	195	0.0	99.96
Brazil Mixed	196	0.0	99.96
Brazil Mixed	197	0.0	99.96
Brazil Mixed	198	0.0	99.96
Brazil Mixed	199	0.0	99.96
Brazil Mixed	200	0.0	99.96
Brazil Mixed	201	0.0	99.96
Brazil Mixed	202	0.0	99.96
Brazil Mixed	203	0.0	99.96
Brazil Mixed	204	0.0	99.96
Brazil Mixed	205	0.0	99.96
Brazil Mixed	206	0.0	99.96
Brazil Mixed	207	0.0	99.96
Brazil Mixed	208	0.0	99.96
Brazil Mixed	209	0.0	99.96
Brazil Mixed	210	0.0	99.96
Brazil Mixed	211	0.0	99.96
Brazil Mixed	212	0.0	99.96
Brazil Mixed	213	0.0	99.96
Brazil Mixed	214	0.0	99.96
Brazil Mixed	215	0.0	99.96
Brazil Mixed	216	0.0	99.96
Brazil Mixed	217	0.0	99.96
Brazil Mixed	218	0.0	99.96
Brazil Mixed	219	0.0	99.96
Brazil Mixed	220	0.0	99.96
Brazil Mixed	221	0.0	99.96
Brazil Mixed	222	0.0	99.96
Brazil Mixed	223	0.0	99.96
Brazil Mixed	224	0.0	99.96
Brazil Mixed	225	0.0	99.96
Brazil Mixed	226	0.0	99.96
Brazil Mixed	227	0.0	99.96
Brazil Mixed	228	0.0	99.96
Brazil Mixed	229	0.0	99.96
Brazil Mixed	230	0.0	99.96
Brazil Mixed	231	0.0	99.96
Brazil Mixed	232	0.0	99.96
Brazil Mixed	233	0.0	99.96
Brazil Mixed	234	0.0	99.96
Brazil Mixed	235	0.0	99.96
Brazil Mixed	236	0.0	99.96
Brazil Mixed	237	0.0	99.96
Brazil Mixed	238	0.0	99.96
Brazil Mixed	239	0.0	99.96
Brazil Mixed	240	0.0	99.96
Brazil Mixed	241	0.0	99.96
Brazil Mixed	242	0.0	99.96
Brazil Mixed	243	0.0	99.96
Brazil Mixed	244	0.0	99.96
Brazil Mixed	245	0.0	99.96
Brazil Mixed	246	0.0	99.96
Brazil Mixed	247	0.0	99.96
Brazil Mixed	248	0.0	99.96
Brazil Mixed	249	0.0	99.96
Brazil Mixed	250	0.0	99.96
Brazil Mixed	251	0.0	99.96
Brazil Mixed	252	0.0	99.96
Brazil Mixed	253	0.0	99.96
Brazil Mixed	254	0.0	99.96
Brazil Mixed	255	0.0	99.96
Brazil Mixed	256	0.0	99.96
Brazil Mixed	257	0.0	99.96
Brazil Mixed	258	0.0	99.96
Brazil Mixed	259	0.0	99.96
Brazil Mixed	260	0.0	99.96
Brazil Mixed	261	0.0	99.96
Brazil Mixed	262	0.0	99.96
Brazil Mixed	263	0.0	99.96
Brazil Mixed	264	0.0	99.96
Brazil Mixed	265	0.0	99.96
Brazil Mixed	266	0.0	99.96
Brazil Mixed	267	0.0	99.96
Brazil Mixed	268	0.0	99.96
Brazil Mixed	269	0.0	99.96
Brazil Mixed	270	0.0	99.96
Brazil Mixed	271	0.0	99.96
Brazil Mixed	272	0.0	99.96
Brazil Mixed	273	0.0	99.96
Brazil Mixed	274	0.0	99.96
Brazil Mixed	275	0.0	99.96
Brazil Mixed	276	0.0	99.96
Brazil Mixed	277	0.0	99.96
Brazil Mixed	278	0.0	99.96
Brazil Mixed	279	0.0	99.96
Brazil Mixed	280	0.0	99.96
Brazil Mixed	281	0.0	99.96
Brazil Mixed	282	0.0	99.96
Brazil Mixed	283	0.0	99.96
Brazil Mixed	284	0.0	99.96
Brazil Mixed	285	0.0	99.96
Brazil Mixed	286	0.0	99.96
Brazil Mixed	287	0.0	99.96
Brazil Mixed	288	0.0	99.96
Brazil Mixed	289	0.0	99.96
