class I
population/area	coverage	average_hit	pc90
Brazil Puyanawa	100.0%	32661.26	17529.24
average	100.0%	32661.26	17529.24
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Brazil Puyanawa	0	0.0	100.0
Brazil Puyanawa	1	0.0	100.0
Brazil Puyanawa	2	0.0	100.0
Brazil Puyanawa	3	0.0	100.0
Brazil Puyanawa	4	0.0	100.0
Brazil Puyanawa	5	0.0	100.0
Brazil Puyanawa	6	0.0	100.0
Brazil Puyanawa	7	0.0	100.0
Brazil Puyanawa	8	0.0	100.0
Brazil Puyanawa	9	0.0	100.0
Brazil Puyanawa	10	0.0	100.0
Brazil Puyanawa	11	0.0	100.0
Brazil Puyanawa	12	0.0	100.0
Brazil Puyanawa	13	0.0	100.0
Brazil Puyanawa	14	0.0	100.0
Brazil Puyanawa	15	0.0	100.0
Brazil Puyanawa	16	0.0	100.0
Brazil Puyanawa	17	0.0	100.0
Brazil Puyanawa	18	0.0	100.0
Brazil Puyanawa	19	0.0	100.0
Brazil Puyanawa	20	0.0	100.0
Brazil Puyanawa	21	0.0	100.0
Brazil Puyanawa	22	0.0	100.0
Brazil Puyanawa	23	0.0	100.0
Brazil Puyanawa	24	0.0	100.0
Brazil Puyanawa	25	0.0	100.0
Brazil Puyanawa	26	0.0	100.0
Brazil Puyanawa	27	0.0	100.0
Brazil Puyanawa	28	0.0	100.0
Brazil Puyanawa	29	0.0	100.0
Brazil Puyanawa	30	0.0	100.0
Brazil Puyanawa	31	0.0	100.0
Brazil Puyanawa	32	0.0	100.0
Brazil Puyanawa	33	0.0	100.0
Brazil Puyanawa	34	0.0	100.0
Brazil Puyanawa	35	0.0	100.0
Brazil Puyanawa	36	0.0	100.0
Brazil Puyanawa	37	0.0	100.0
Brazil Puyanawa	38	0.0	100.0
Brazil Puyanawa	39	0.0	100.0
Brazil Puyanawa	40	0.0	100.0
Brazil Puyanawa	41	0.0	100.0
Brazil Puyanawa	42	0.0	100.0
Brazil Puyanawa	43	0.0	100.0
Brazil Puyanawa	44	0.0	100.0
Brazil Puyanawa	45	0.0	100.0
Brazil Puyanawa	46	0.0	100.0
Brazil Puyanawa	47	0.0	100.0
Brazil Puyanawa	48	0.0	100.0
Brazil Puyanawa	49	0.0	100.0
Brazil Puyanawa	50	0.0	100.0
Brazil Puyanawa	51	0.0	100.0
Brazil Puyanawa	52	0.0	100.0
Brazil Puyanawa	53	0.0	100.0
Brazil Puyanawa	54	0.0	100.0
Brazil Puyanawa	55	0.0	100.0
Brazil Puyanawa	56	0.0	100.0
Brazil Puyanawa	57	0.0	100.0
Brazil Puyanawa	58	0.0	100.0
Brazil Puyanawa	59	0.0	100.0
Brazil Puyanawa	60	0.0	100.0
Brazil Puyanawa	61	0.0	100.0
Brazil Puyanawa	62	0.0	100.0
Brazil Puyanawa	63	0.0	100.0
Brazil Puyanawa	64	0.0	100.0
Brazil Puyanawa	65	0.0	100.0
Brazil Puyanawa	66	0.0	100.0
Brazil Puyanawa	67	0.0	100.0
Brazil Puyanawa	68	0.0	100.0
Brazil Puyanawa	69	0.0	100.0
Brazil Puyanawa	70	0.0	100.0
Brazil Puyanawa	71	0.0	100.0
Brazil Puyanawa	72	0.0	100.0
Brazil Puyanawa	73	0.0	100.0
Brazil Puyanawa	74	0.0	100.0
Brazil Puyanawa	75	0.0	100.0
Brazil Puyanawa	76	0.0	100.0
Brazil Puyanawa	77	0.0	100.0
Brazil Puyanawa	78	0.0	100.0
Brazil Puyanawa	79	0.0	100.0
Brazil Puyanawa	80	0.0	100.0
Brazil Puyanawa	81	0.0	100.0
Brazil Puyanawa	82	0.0	100.0
Brazil Puyanawa	83	0.0	100.0
Brazil Puyanawa	84	0.0	100.0
Brazil Puyanawa	85	0.0	100.0
Brazil Puyanawa	86	0.0	100.0
Brazil Puyanawa	87	0.0	100.0
Brazil Puyanawa	88	0.0	100.0
Brazil Puyanawa	89	0.0	100.0
Brazil Puyanawa	90	0.0	100.0
Brazil Puyanawa	91	0.0	100.0
Brazil Puyanawa	92	0.0	100.0
Brazil Puyanawa	93	0.0	100.0
Brazil Puyanawa	94	0.0	100.0
Brazil Puyanawa	95	0.0	100.0
Brazil Puyanawa	96	0.0	100.0
Brazil Puyanawa	97	0.0	100.0
Brazil Puyanawa	98	0.0	100.0
Brazil Puyanawa	99	0.0	100.0
Brazil Puyanawa	100	0.0	100.0
Brazil Puyanawa	101	0.0	100.0
Brazil Puyanawa	102	0.0	100.0
Brazil Puyanawa	103	0.0	100.0
Brazil Puyanawa	104	0.0	100.0
Brazil Puyanawa	105	0.0	100.0
Brazil Puyanawa	106	0.0	100.0
Brazil Puyanawa	107	0.0	100.0
Brazil Puyanawa	108	0.0	100.0
Brazil Puyanawa	109	0.0	100.0
Brazil Puyanawa	110	0.0	100.0
Brazil Puyanawa	111	0.0	100.0
Brazil Puyanawa	112	0.0	100.0
Brazil Puyanawa	113	0.0	100.0
Brazil Puyanawa	114	0.0	100.0
Brazil Puyanawa	115	0.0	100.0
Brazil Puyanawa	116	0.0	100.0
Brazil Puyanawa	117	0.0	100.0
Brazil Puyanawa	118	0.0	100.0
Brazil Puyanawa	119	0.0	100.0
Brazil Puyanawa	120	0.0	100.0
Brazil Puyanawa	121	0.0	100.0
Brazil Puyanawa	122	0.0	100.0
Brazil Puyanawa	123	0.0	100.0
Brazil Puyanawa	124	0.0	100.0
Brazil Puyanawa	125	0.0	100.0
Brazil Puyanawa	126	0.0	100.0
Brazil Puyanawa	127	0.0	100.0
Brazil Puyanawa	128	0.0	100.0
Brazil Puyanawa	129	0.0	100.0
Brazil Puyanawa	130	0.0	100.0
Brazil Puyanawa	131	0.0	100.0
Brazil Puyanawa	132	0.0	100.0
Brazil Puyanawa	133	0.0	100.0
Brazil Puyanawa	134	0.0	100.0
Brazil Puyanawa	135	0.0	100.0
Brazil Puyanawa	136	0.0	100.0
Brazil Puyanawa	137	0.0	100.0
Brazil Puyanawa	138	0.0	100.0
Brazil Puyanawa	139	0.0	100.0
Brazil Puyanawa	140	0.0	100.0
Brazil Puyanawa	141	0.0	100.0
Brazil Puyanawa	142	0.0	100.0
Brazil Puyanawa	143	0.0	100.0
Brazil Puyanawa	144	0.0	100.0
Brazil Puyanawa	145	0.0	100.0
Brazil Puyanawa	146	0.0	100.0
Brazil Puyanawa	147	0.0	100.0
Brazil Puyanawa	148	0.0	100.0
Brazil Puyanawa	149	0.0	100.0
Brazil Puyanawa	150	0.0	100.0
Brazil Puyanawa	151	0.0	100.0
Brazil Puyanawa	152	0.0	100.0
Brazil Puyanawa	153	0.0	100.0
Brazil Puyanawa	154	0.0	100.0
Brazil Puyanawa	155	0.0	100.0
Brazil Puyanawa	156	0.0	100.0
Brazil Puyanawa	157	0.0	100.0
Brazil Puyanawa	158	0.0	100.0
Brazil Puyanawa	159	0.0	100.0
Brazil Puyanawa	160	0.0	100.0
Brazil Puyanawa	161	0.0	100.0
Brazil Puyanawa	162	0.0	100.0
Brazil Puyanawa	163	0.0	100.0
Brazil Puyanawa	164	0.0	100.0
Brazil Puyanawa	165	0.0	100.0
Brazil Puyanawa	166	0.0	100.0
Brazil Puyanawa	167	0.0	100.0
Brazil Puyanawa	168	0.0	100.0
Brazil Puyanawa	169	0.0	100.0
Brazil Puyanawa	170	0.0	100.0
Brazil Puyanawa	171	0.0	100.0
Brazil Puyanawa	172	0.0	100.0
Brazil Puyanawa	173	0.0	100.0
Brazil Puyanawa	174	0.0	100.0
Brazil Puyanawa	175	0.0	100.0
Brazil Puyanawa	176	0.0	100.0
Brazil Puyanawa	177	0.0	100.0
Brazil Puyanawa	178	0.0	100.0
Brazil Puyanawa	179	0.0	100.0
Brazil Puyanawa	180	0.0	100.0
Brazil Puyanawa	181	0.0	100.0
Brazil Puyanawa	182	0.0	100.0
Brazil Puyanawa	183	0.0	100.0
Brazil Puyanawa	184	0.0	100.0
Brazil Puyanawa	185	0.0	100.0
Brazil Puyanawa	186	0.0	100.0
Brazil Puyanawa	187	0.0	100.0
Brazil Puyanawa	188	0.0	100.0
Brazil Puyanawa	189	0.0	100.0
Brazil Puyanawa	190	0.0	100.0
Brazil Puyanawa	191	0.0	100.0
Brazil Puyanawa	192	0.0	100.0
Brazil Puyanawa	193	0.0	100.0
Brazil Puyanawa	194	0.0	100.0
Brazil Puyanawa	195	0.0	100.0
Brazil Puyanawa	196	0.0	100.0
Brazil Puyanawa	197	0.0	100.0
Brazil Puyanawa	198	0.0	100.0
Brazil Puyanawa	199	0.0	100.0
Brazil Puyanawa	200	0.0	100.0
Brazil Puyanawa	201	0.0	100.0
Brazil Puyanawa	202	0.0	100.0
Brazil Puyanawa	203	0.0	100.0
Brazil Puyanawa	204	0.0	100.0
Brazil Puyanawa	205	0.0	100.0
Brazil Puyanawa	206	0.0	100.0
Brazil Puyanawa	207	0.0	100.0
Brazil Puyanawa	208	0.0	100.0
Brazil Puyanawa	209	0.0	100.0
Brazil Puyanawa	210	0.0	100.0
Brazil Puyanawa	211	0.0	100.0
Brazil Puyanawa	212	0.0	100.0
Brazil Puyanawa	213	0.0	100.0
Brazil Puyanawa	214	0.0	100.0
Brazil Puyanawa	215	0.0	100.0
Brazil Puyanawa	216	0.0	100.0
Brazil Puyanawa	217	0.0	100.0
Brazil Puyanawa	218	0.0	100.0
Brazil Puyanawa	219	0.0	100.0
Brazil Puyanawa	220	0.0	100.0
Brazil Puyanawa	221	0.0	100.0
Brazil Puyanawa	222	0.0	100.0
Brazil Puyanawa	223	0.0	100.0
Brazil Puyanawa	224	0.0	100.0
Brazil Puyanawa	225	0.0	100.0
Brazil Puyanawa	226	0.0	100.0
Brazil Puyanawa	227	0.0	100.0
Brazil Puyanawa	228	0.0	100.0
Brazil Puyanawa	229	0.0	100.0
Brazil Puyanawa	230	0.0	100.0
Brazil Puyanawa	231	0.0	100.0
Brazil Puyanawa	232	0.0	100.0
Brazil Puyanawa	233	0.0	100.0
Brazil Puyanawa	234	0.0	100.0
Brazil Puyanawa	235	0.0	100.0
Brazil Puyanawa	236	0.0	100.0
Brazil Puyanawa	237	0.0	100.0
Brazil Puyanawa	238	0.0	100.0
Brazil Puyanawa	239	0.0	100.0
Brazil Puyanawa	240	0.0	100.0
Brazil Puyanawa	241	0.0	100.0
Brazil Puyanawa	242	0.0	100.0
Brazil Puyanawa	243	0.0	100.0
Brazil Puyanawa	244	0.0	100.0
Brazil Puyanawa	245	0.0	100.0
Brazil Puyanawa	246	0.0	100.0
Brazil Puyanawa	247	0.0	100.0
Brazil Puyanawa	248	0.0	100.0
Brazil Puyanawa	249	0.0	100.0
Brazil Puyanawa	250	0.0	100.0
Brazil Puyanawa	251	0.0	100.0
Brazil Puyanawa	252	0.0	100.0
