class I
population/area	coverage	average_hit	pc90
Brazil Terena	100.0%	19850.03	6621.07
average	100.0%	19850.03	6621.07
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Brazil Terena	0	0.0	100.0
Brazil Terena	1	0.0	100.0
Brazil Terena	2	0.0	100.0
Brazil Terena	3	0.0	100.0
Brazil Terena	4	0.0	100.0
Brazil Terena	5	0.0	100.0
Brazil Terena	6	0.0	100.0
Brazil Terena	7	0.0	100.0
Brazil Terena	8	0.0	100.0
Brazil Terena	9	0.0	100.0
Brazil Terena	10	0.0	100.0
Brazil Terena	11	0.0	100.0
Brazil Terena	12	0.0	100.0
Brazil Terena	13	0.0	100.0
Brazil Terena	14	0.0	100.0
Brazil Terena	15	0.0	100.0
Brazil Terena	16	0.0	100.0
Brazil Terena	17	0.0	100.0
Brazil Terena	18	0.0	100.0
Brazil Terena	19	0.0	100.0
Brazil Terena	20	0.0	100.0
Brazil Terena	21	0.0	100.0
Brazil Terena	22	0.0	100.0
Brazil Terena	23	0.0	100.0
Brazil Terena	24	0.0	100.0
Brazil Terena	25	0.0	100.0
Brazil Terena	26	0.0	100.0
Brazil Terena	27	0.0	100.0
Brazil Terena	28	0.0	100.0
Brazil Terena	29	0.0	100.0
Brazil Terena	30	0.0	100.0
Brazil Terena	31	0.0	100.0
Brazil Terena	32	0.0	100.0
Brazil Terena	33	0.0	100.0
Brazil Terena	34	0.0	100.0
Brazil Terena	35	0.0	100.0
Brazil Terena	36	0.0	100.0
Brazil Terena	37	0.0	100.0
Brazil Terena	38	0.0	100.0
Brazil Terena	39	0.0	100.0
Brazil Terena	40	0.0	100.0
Brazil Terena	41	0.0	100.0
Brazil Terena	42	0.0	100.0
Brazil Terena	43	0.0	100.0
Brazil Terena	44	0.0	100.0
Brazil Terena	45	0.0	100.0
Brazil Terena	46	0.0	100.0
Brazil Terena	47	0.0	100.0
Brazil Terena	48	0.0	100.0
Brazil Terena	49	0.0	100.0
Brazil Terena	50	0.0	100.0
Brazil Terena	51	0.0	100.0
Brazil Terena	52	0.0	100.0
Brazil Terena	53	0.0	100.0
Brazil Terena	54	0.0	100.0
Brazil Terena	55	0.0	100.0
Brazil Terena	56	0.0	100.0
Brazil Terena	57	0.0	100.0
Brazil Terena	58	0.0	100.0
Brazil Terena	59	0.0	100.0
Brazil Terena	60	0.0	100.0
Brazil Terena	61	0.0	100.0
Brazil Terena	62	0.0	100.0
Brazil Terena	63	0.0	100.0
Brazil Terena	64	0.0	100.0
Brazil Terena	65	0.0	100.0
Brazil Terena	66	0.0	100.0
Brazil Terena	67	0.0	100.0
Brazil Terena	68	0.0	100.0
Brazil Terena	69	0.0	100.0
Brazil Terena	70	0.0	100.0
Brazil Terena	71	0.0	100.0
Brazil Terena	72	0.0	100.0
Brazil Terena	73	0.0	100.0
Brazil Terena	74	0.0	100.0
Brazil Terena	75	0.0	100.0
Brazil Terena	76	0.0	100.0
Brazil Terena	77	0.0	100.0
Brazil Terena	78	0.0	100.0
Brazil Terena	79	0.0	100.0
Brazil Terena	80	0.0	100.0
Brazil Terena	81	0.0	100.0
Brazil Terena	82	0.0	100.0
Brazil Terena	83	0.0	100.0
Brazil Terena	84	0.0	100.0
Brazil Terena	85	0.0	100.0
Brazil Terena	86	0.0	100.0
Brazil Terena	87	0.0	100.0
Brazil Terena	88	0.0	100.0
Brazil Terena	89	0.0	100.0
Brazil Terena	90	0.0	100.0
Brazil Terena	91	0.0	100.0
Brazil Terena	92	0.0	100.0
Brazil Terena	93	0.0	100.0
Brazil Terena	94	0.0	100.0
Brazil Terena	95	0.0	100.0
Brazil Terena	96	0.0	100.0
Brazil Terena	97	0.0	100.0
Brazil Terena	98	0.0	100.0
Brazil Terena	99	0.0	100.0
Brazil Terena	100	0.0	100.0
Brazil Terena	101	0.03	100.0
Brazil Terena	102	0.0	99.97
Brazil Terena	103	0.0	99.97
Brazil Terena	104	0.0	99.97
Brazil Terena	105	0.0	99.97
Brazil Terena	106	0.0	99.97
Brazil Terena	107	0.0	99.97
Brazil Terena	108	0.0	99.97
Brazil Terena	109	0.0	99.97
Brazil Terena	110	0.0	99.97
Brazil Terena	111	0.01	99.97
Brazil Terena	112	0.0	99.95
Brazil Terena	113	0.0	99.95
Brazil Terena	114	0.0	99.95
Brazil Terena	115	0.0	99.95
Brazil Terena	116	0.0	99.95
Brazil Terena	117	0.0	99.95
Brazil Terena	118	0.0	99.95
Brazil Terena	119	0.0	99.95
Brazil Terena	120	0.0	99.95
Brazil Terena	121	0.0	99.95
Brazil Terena	122	0.0	99.95
Brazil Terena	123	0.0	99.95
Brazil Terena	124	0.0	99.95
Brazil Terena	125	0.0	99.95
Brazil Terena	126	0.0	99.95
Brazil Terena	127	0.0	99.95
Brazil Terena	128	0.0	99.95
Brazil Terena	129	0.0	99.95
Brazil Terena	130	0.0	99.95
Brazil Terena	131	0.0	99.95
Brazil Terena	132	0.0	99.95
Brazil Terena	133	0.0	99.95
Brazil Terena	134	0.0	99.95
Brazil Terena	135	0.0	99.95
Brazil Terena	136	0.0	99.95
Brazil Terena	137	0.0	99.95
Brazil Terena	138	0.0	99.95
Brazil Terena	139	0.0	99.95
Brazil Terena	140	0.0	99.95
Brazil Terena	141	0.0	99.95
Brazil Terena	142	0.0	99.95
Brazil Terena	143	0.0	99.95
Brazil Terena	144	0.0	99.95
Brazil Terena	145	0.0	99.95
Brazil Terena	146	0.0	99.95
Brazil Terena	147	0.0	99.95
Brazil Terena	148	0.0	99.95
Brazil Terena	149	0.0	99.95
Brazil Terena	150	0.0	99.95
Brazil Terena	151	0.0	99.95
Brazil Terena	152	0.0	99.95
Brazil Terena	153	0.0	99.95
Brazil Terena	154	0.0	99.95
Brazil Terena	155	0.0	99.95
Brazil Terena	156	0.0	99.95
Brazil Terena	157	0.0	99.95
Brazil Terena	158	0.0	99.95
Brazil Terena	159	0.0	99.95
Brazil Terena	160	0.0	99.95
Brazil Terena	161	0.0	99.95
Brazil Terena	162	0.0	99.95
Brazil Terena	163	0.0	99.95
Brazil Terena	164	0.0	99.95
Brazil Terena	165	0.0	99.95
Brazil Terena	166	0.0	99.95
Brazil Terena	167	0.0	99.95
Brazil Terena	168	0.0	99.95
Brazil Terena	169	0.0	99.95
Brazil Terena	170	0.0	99.95
Brazil Terena	171	0.0	99.95
Brazil Terena	172	0.0	99.95
Brazil Terena	173	0.0	99.95
Brazil Terena	174	0.0	99.95
Brazil Terena	175	0.0	99.95
Brazil Terena	176	0.0	99.95
Brazil Terena	177	0.0	99.95
Brazil Terena	178	0.0	99.95
Brazil Terena	179	0.0	99.95
Brazil Terena	180	0.0	99.95
Brazil Terena	181	0.0	99.95
Brazil Terena	182	0.0	99.95
Brazil Terena	183	0.0	99.95
Brazil Terena	184	0.0	99.95
Brazil Terena	185	0.0	99.95
Brazil Terena	186	0.0	99.95
Brazil Terena	187	0.0	99.95
Brazil Terena	188	0.0	99.95
Brazil Terena	189	0.0	99.95
Brazil Terena	190	0.0	99.95
Brazil Terena	191	0.0	99.95
Brazil Terena	192	0.0	99.95
Brazil Terena	193	0.0	99.95
Brazil Terena	194	0.0	99.95
Brazil Terena	195	0.0	99.95
Brazil Terena	196	0.0	99.95
Brazil Terena	197	0.0	99.95
Brazil Terena	198	0.0	99.95
Brazil Terena	199	0.0	99.95
Brazil Terena	200	0.0	99.95
Brazil Terena	201	0.0	99.95
Brazil Terena	202	0.0	99.95
Brazil Terena	203	0.0	99.95
Brazil Terena	204	0.0	99.95
Brazil Terena	205	0.0	99.95
Brazil Terena	206	0.0	99.95
Brazil Terena	207	0.0	99.95
Brazil Terena	208	0.0	99.95
Brazil Terena	209	0.0	99.95
Brazil Terena	210	0.0	99.95
Brazil Terena	211	0.0	99.95
Brazil Terena	212	0.0	99.95
Brazil Terena	213	0.0	99.95
Brazil Terena	214	0.0	99.95
Brazil Terena	215	0.0	99.95
Brazil Terena	216	0.0	99.95
Brazil Terena	217	0.0	99.95
Brazil Terena	218	0.0	99.95
Brazil Terena	219	0.0	99.95
Brazil Terena	220	0.0	99.95
Brazil Terena	221	0.0	99.95
Brazil Terena	222	0.0	99.95
Brazil Terena	223	0.0	99.95
Brazil Terena	224	0.0	99.95
Brazil Terena	225	0.0	99.95
Brazil Terena	226	0.0	99.95
Brazil Terena	227	0.0	99.95
Brazil Terena	228	0.0	99.95
Brazil Terena	229	0.0	99.95
Brazil Terena	230	0.0	99.95
Brazil Terena	231	0.0	99.95
Brazil Terena	232	0.0	99.95
Brazil Terena	233	0.0	99.95
Brazil Terena	234	0.0	99.95
Brazil Terena	235	0.0	99.95
Brazil Terena	236	0.0	99.95
Brazil Terena	237	0.0	99.95
Brazil Terena	238	0.0	99.95
Brazil Terena	239	0.0	99.95
Brazil Terena	240	0.0	99.95
Brazil Terena	241	0.0	99.95
Brazil Terena	242	0.0	99.95
Brazil Terena	243	0.0	99.95
Brazil Terena	244	0.0	99.95
Brazil Terena	245	0.0	99.95
Brazil Terena	246	0.0	99.95
Brazil Terena	247	0.0	99.95
Brazil Terena	248	0.0	99.95
Brazil Terena	249	0.0	99.95
Brazil Terena	250	0.0	99.95
Brazil Terena	251	0.0	99.95
Brazil Terena	252	0.0	99.95
Brazil Terena	253	0.0	99.95
Brazil Terena	254	0.0	99.95
Brazil Terena	255	0.0	99.95
Brazil Terena	256	0.0	99.95
Brazil Terena	257	0.0	99.95
Brazil Terena	258	0.0	99.95
Brazil Terena	259	0.0	99.95
Brazil Terena	260	0.0	99.95
Brazil Terena	261	0.0	99.95
Brazil Terena	262	0.0	99.95
Brazil Terena	263	0.0	99.95
Brazil Terena	264	0.0	99.95
Brazil Terena	265	0.0	99.95
Brazil Terena	266	0.0	99.95
Brazil Terena	267	0.0	99.95
Brazil Terena	268	0.0	99.95
Brazil Terena	269	0.0	99.95
Brazil Terena	270	0.0	99.95
Brazil Terena	271	0.0	99.95
Brazil Terena	272	0.0	99.95
Brazil Terena	273	0.0	99.95
Brazil Terena	274	0.0	99.95
Brazil Terena	275	0.0	99.95
Brazil Terena	276	0.0	99.95
Brazil Terena	277	0.0	99.95
Brazil Terena	278	0.0	99.95
Brazil Terena	279	0.0	99.95
Brazil Terena	280	0.0	99.95
Brazil Terena	281	0.0	99.95
Brazil Terena	282	0.0	99.95
Brazil Terena	283	0.0	99.95
Brazil Terena	284	0.0	99.95
Brazil Terena	285	0.0	99.95
Brazil Terena	286	0.0	99.95
Brazil Terena	287	0.0	99.95
Brazil Terena	288	0.0	99.95
Brazil Terena	289	0.0	99.95
Brazil Terena	290	0.0	99.95
Brazil Terena	291	0.0	99.95
Brazil Terena	292	0.0	99.95
Brazil Terena	293	0.0	99.95
Brazil Terena	294	0.0	99.95
Brazil Terena	295	0.0	99.95
Brazil Terena	296	0.0	99.95
Brazil Terena	297	0.0	99.95
Brazil Terena	298	0.0	99.95
Brazil Terena	299	0.0	99.95
Brazil Terena	300	0.0	99.95
Brazil Terena	301	0.0	99.95
Brazil Terena	302	0.0	99.95
Brazil Terena	303	0.0	99.95
Brazil Terena	304	0.0	99.95
Brazil Terena	305	0.0	99.95
Brazil Terena	306	0.0	99.95
Brazil Terena	307	0.0	99.95
Brazil Terena	308	0.0	99.95
Brazil Terena	309	0.0	99.95
Brazil Terena	310	0.0	99.95
Brazil Terena	311	0.0	99.95
