class I
population/area	coverage	average_hit	pc90
China Beijing	100.0%	25899.62	12731.57
average	100.0%	25899.62	12731.57
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Beijing	0	0.0	100.0
China Beijing	1	0.0	100.0
China Beijing	2	0.0	100.0
China Beijing	3	0.0	100.0
China Beijing	4	0.0	100.0
China Beijing	5	0.0	100.0
China Beijing	6	0.0	100.0
China Beijing	7	0.0	100.0
China Beijing	8	0.0	100.0
China Beijing	9	0.0	100.0
China Beijing	10	0.0	100.0
China Beijing	11	0.0	100.0
China Beijing	12	0.0	100.0
China Beijing	13	0.0	100.0
China Beijing	14	0.0	100.0
China Beijing	15	0.0	100.0
China Beijing	16	0.0	100.0
China Beijing	17	0.0	100.0
China Beijing	18	0.0	100.0
China Beijing	19	0.0	100.0
China Beijing	20	0.0	100.0
China Beijing	21	0.0	100.0
China Beijing	22	0.0	100.0
China Beijing	23	0.0	100.0
China Beijing	24	0.0	100.0
China Beijing	25	0.0	100.0
China Beijing	26	0.0	100.0
China Beijing	27	0.0	100.0
China Beijing	28	0.0	100.0
China Beijing	29	0.0	100.0
China Beijing	30	0.0	100.0
China Beijing	31	0.0	100.0
China Beijing	32	0.0	100.0
China Beijing	33	0.0	100.0
China Beijing	34	0.0	100.0
China Beijing	35	0.0	100.0
China Beijing	36	0.0	100.0
China Beijing	37	0.0	100.0
China Beijing	38	0.0	100.0
China Beijing	39	0.0	100.0
China Beijing	40	0.0	100.0
China Beijing	41	0.0	100.0
China Beijing	42	0.0	100.0
China Beijing	43	0.0	100.0
China Beijing	44	0.0	100.0
China Beijing	45	0.0	100.0
China Beijing	46	0.0	100.0
China Beijing	47	0.0	100.0
China Beijing	48	0.0	100.0
China Beijing	49	0.0	100.0
China Beijing	50	0.0	100.0
China Beijing	51	0.0	100.0
China Beijing	52	0.0	100.0
China Beijing	53	0.0	100.0
China Beijing	54	0.0	100.0
China Beijing	55	0.0	100.0
China Beijing	56	0.0	100.0
China Beijing	57	0.0	100.0
China Beijing	58	0.0	100.0
China Beijing	59	0.0	100.0
China Beijing	60	0.0	100.0
China Beijing	61	0.0	100.0
China Beijing	62	0.0	100.0
China Beijing	63	0.0	100.0
China Beijing	64	0.0	100.0
China Beijing	65	0.0	100.0
