class I
population/area	coverage	average_hit	pc90
China Southwest Dai	100.0%	23330.16	16048.5
average	100.0%	23330.16	16048.5
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Southwest Dai	0	0.0	100.0
China Southwest Dai	1	0.0	100.0
China Southwest Dai	2	0.0	100.0
China Southwest Dai	3	0.0	100.0
China Southwest Dai	4	0.0	100.0
China Southwest Dai	5	0.0	100.0
China Southwest Dai	6	0.0	100.0
China Southwest Dai	7	0.0	100.0
China Southwest Dai	8	0.0	100.0
China Southwest Dai	9	0.0	100.0
China Southwest Dai	10	0.0	100.0
China Southwest Dai	11	0.0	100.0
China Southwest Dai	12	0.0	100.0
China Southwest Dai	13	0.0	100.0
China Southwest Dai	14	0.0	100.0
China Southwest Dai	15	0.0	100.0
China Southwest Dai	16	0.0	100.0
China Southwest Dai	17	0.0	100.0
China Southwest Dai	18	0.0	100.0
China Southwest Dai	19	0.0	100.0
China Southwest Dai	20	0.0	100.0
China Southwest Dai	21	0.0	100.0
China Southwest Dai	22	0.0	100.0
China Southwest Dai	23	0.0	100.0
China Southwest Dai	24	0.0	100.0
China Southwest Dai	25	0.0	100.0
China Southwest Dai	26	0.0	100.0
China Southwest Dai	27	0.0	100.0
China Southwest Dai	28	0.0	100.0
China Southwest Dai	29	0.0	100.0
China Southwest Dai	30	0.0	100.0
China Southwest Dai	31	0.0	100.0
China Southwest Dai	32	0.0	100.0
China Southwest Dai	33	0.0	100.0
China Southwest Dai	34	0.0	100.0
China Southwest Dai	35	0.0	100.0
China Southwest Dai	36	0.0	100.0
China Southwest Dai	37	0.0	100.0
China Southwest Dai	38	0.0	100.0
China Southwest Dai	39	0.0	100.0
China Southwest Dai	40	0.0	100.0
China Southwest Dai	41	0.0	100.0
China Southwest Dai	42	0.0	100.0
China Southwest Dai	43	0.0	100.0
China Southwest Dai	44	0.0	100.0
China Southwest Dai	45	0.0	100.0
China Southwest Dai	46	0.0	100.0
China Southwest Dai	47	0.0	100.0
China Southwest Dai	48	0.0	100.0
China Southwest Dai	49	0.0	100.0
China Southwest Dai	50	0.0	100.0
China Southwest Dai	51	0.0	100.0
China Southwest Dai	52	0.0	100.0
China Southwest Dai	53	0.0	100.0
China Southwest Dai	54	0.0	100.0
China Southwest Dai	55	0.0	100.0
China Southwest Dai	56	0.0	100.0
China Southwest Dai	57	0.0	100.0
China Southwest Dai	58	0.0	100.0
China Southwest Dai	59	0.0	100.0
China Southwest Dai	60	0.0	100.0
China Southwest Dai	61	0.0	100.0
China Southwest Dai	62	0.0	100.0
China Southwest Dai	63	0.0	100.0
China Southwest Dai	64	0.0	100.0
China Southwest Dai	65	0.0	100.0
China Southwest Dai	66	0.0	100.0
China Southwest Dai	67	0.0	100.0
China Southwest Dai	68	0.0	100.0
China Southwest Dai	69	0.0	100.0
China Southwest Dai	70	0.0	100.0
China Southwest Dai	71	0.0	100.0
China Southwest Dai	72	0.0	100.0
China Southwest Dai	73	0.0	100.0
China Southwest Dai	74	0.0	100.0
China Southwest Dai	75	0.0	100.0
China Southwest Dai	76	0.0	100.0
China Southwest Dai	77	0.0	100.0
China Southwest Dai	78	0.0	100.0
China Southwest Dai	79	0.0	100.0
China Southwest Dai	80	0.0	100.0
China Southwest Dai	81	0.0	100.0
China Southwest Dai	82	0.0	100.0
China Southwest Dai	83	0.0	100.0
China Southwest Dai	84	0.0	100.0
China Southwest Dai	85	0.0	100.0
China Southwest Dai	86	0.0	100.0
China Southwest Dai	87	0.0	100.0
China Southwest Dai	88	0.0	100.0
China Southwest Dai	89	0.0	100.0
China Southwest Dai	90	0.0	100.0
China Southwest Dai	91	0.0	100.0
China Southwest Dai	92	0.0	100.0
China Southwest Dai	93	0.0	100.0
China Southwest Dai	94	0.0	100.0
China Southwest Dai	95	0.0	100.0
China Southwest Dai	96	0.0	100.0
China Southwest Dai	97	0.0	100.0
China Southwest Dai	98	0.0	100.0
China Southwest Dai	99	0.0	100.0
China Southwest Dai	100	0.0	100.0
China Southwest Dai	101	0.0	100.0
China Southwest Dai	102	0.0	100.0
China Southwest Dai	103	0.0	100.0
China Southwest Dai	104	0.0	100.0
China Southwest Dai	105	0.0	100.0
China Southwest Dai	106	0.0	100.0
China Southwest Dai	107	0.0	100.0
China Southwest Dai	108	0.0	100.0
China Southwest Dai	109	0.0	100.0
China Southwest Dai	110	0.0	100.0
China Southwest Dai	111	0.0	100.0
