class I
population/area	coverage	average_hit	pc90
China Tibet Region Tibetan	100.0%	27108.6	13616.34
average	100.0%	27108.6	13616.34
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Tibet Region Tibetan	0	0.0	100.0
China Tibet Region Tibetan	1	0.0	100.0
China Tibet Region Tibetan	2	0.0	100.0
China Tibet Region Tibetan	3	0.0	100.0
China Tibet Region Tibetan	4	0.0	100.0
China Tibet Region Tibetan	5	0.0	100.0
China Tibet Region Tibetan	6	0.0	100.0
China Tibet Region Tibetan	7	0.0	100.0
China Tibet Region Tibetan	8	0.0	100.0
China Tibet Region Tibetan	9	0.0	100.0
China Tibet Region Tibetan	10	0.0	100.0
China Tibet Region Tibetan	11	0.0	100.0
China Tibet Region Tibetan	12	0.0	100.0
China Tibet Region Tibetan	13	0.0	100.0
China Tibet Region Tibetan	14	0.0	100.0
China Tibet Region Tibetan	15	0.0	100.0
China Tibet Region Tibetan	16	0.0	100.0
China Tibet Region Tibetan	17	0.0	100.0
China Tibet Region Tibetan	18	0.0	100.0
China Tibet Region Tibetan	19	0.0	100.0
China Tibet Region Tibetan	20	0.0	100.0
China Tibet Region Tibetan	21	0.0	100.0
China Tibet Region Tibetan	22	0.0	100.0
China Tibet Region Tibetan	23	0.0	100.0
China Tibet Region Tibetan	24	0.0	100.0
China Tibet Region Tibetan	25	0.0	100.0
China Tibet Region Tibetan	26	0.0	100.0
China Tibet Region Tibetan	27	0.0	100.0
China Tibet Region Tibetan	28	0.0	100.0
China Tibet Region Tibetan	29	0.0	100.0
China Tibet Region Tibetan	30	0.0	100.0
China Tibet Region Tibetan	31	0.0	100.0
China Tibet Region Tibetan	32	0.0	100.0
China Tibet Region Tibetan	33	0.0	100.0
China Tibet Region Tibetan	34	0.0	100.0
China Tibet Region Tibetan	35	0.0	100.0
China Tibet Region Tibetan	36	0.0	100.0
China Tibet Region Tibetan	37	0.0	100.0
China Tibet Region Tibetan	38	0.0	100.0
China Tibet Region Tibetan	39	0.0	100.0
China Tibet Region Tibetan	40	0.0	100.0
China Tibet Region Tibetan	41	0.0	100.0
China Tibet Region Tibetan	42	0.0	100.0
China Tibet Region Tibetan	43	0.0	100.0
China Tibet Region Tibetan	44	0.0	100.0
China Tibet Region Tibetan	45	0.0	100.0
China Tibet Region Tibetan	46	0.0	100.0
China Tibet Region Tibetan	47	0.0	100.0
China Tibet Region Tibetan	48	0.0	100.0
China Tibet Region Tibetan	49	0.0	100.0
China Tibet Region Tibetan	50	0.0	100.0
China Tibet Region Tibetan	51	0.0	100.0
China Tibet Region Tibetan	52	0.0	100.0
China Tibet Region Tibetan	53	0.0	100.0
China Tibet Region Tibetan	54	0.0	100.0
China Tibet Region Tibetan	55	0.0	100.0
China Tibet Region Tibetan	56	0.0	100.0
China Tibet Region Tibetan	57	0.0	100.0
China Tibet Region Tibetan	58	0.0	100.0
China Tibet Region Tibetan	59	0.0	100.0
China Tibet Region Tibetan	60	0.0	100.0
China Tibet Region Tibetan	61	0.0	100.0
China Tibet Region Tibetan	62	0.0	100.0
China Tibet Region Tibetan	63	0.0	100.0
China Tibet Region Tibetan	64	0.0	100.0
China Tibet Region Tibetan	65	0.0	100.0
China Tibet Region Tibetan	66	0.0	100.0
China Tibet Region Tibetan	67	0.0	100.0
China Tibet Region Tibetan	68	0.0	100.0
China Tibet Region Tibetan	69	0.0	100.0
China Tibet Region Tibetan	70	0.0	100.0
China Tibet Region Tibetan	71	0.0	100.0
China Tibet Region Tibetan	72	0.0	100.0
China Tibet Region Tibetan	73	0.0	100.0
China Tibet Region Tibetan	74	0.0	100.0
China Tibet Region Tibetan	75	0.0	100.0
China Tibet Region Tibetan	76	0.0	100.0
China Tibet Region Tibetan	77	0.0	100.0
China Tibet Region Tibetan	78	0.0	100.0
China Tibet Region Tibetan	79	0.0	100.0
China Tibet Region Tibetan	80	0.0	100.0
China Tibet Region Tibetan	81	0.0	100.0
China Tibet Region Tibetan	82	0.0	100.0
China Tibet Region Tibetan	83	0.0	100.0
China Tibet Region Tibetan	84	0.0	100.0
China Tibet Region Tibetan	85	0.0	100.0
China Tibet Region Tibetan	86	0.0	100.0
China Tibet Region Tibetan	87	0.0	100.0
China Tibet Region Tibetan	88	0.0	100.0
China Tibet Region Tibetan	89	0.0	100.0
China Tibet Region Tibetan	90	0.0	100.0
China Tibet Region Tibetan	91	0.0	100.0
China Tibet Region Tibetan	92	0.0	100.0
China Tibet Region Tibetan	93	0.0	100.0
China Tibet Region Tibetan	94	0.0	100.0
China Tibet Region Tibetan	95	0.0	100.0
China Tibet Region Tibetan	96	0.0	100.0
China Tibet Region Tibetan	97	0.0	100.0
China Tibet Region Tibetan	98	0.0	100.0
China Tibet Region Tibetan	99	0.0	100.0
China Tibet Region Tibetan	100	0.0	100.0
China Tibet Region Tibetan	101	0.0	100.0
China Tibet Region Tibetan	102	0.0	100.0
China Tibet Region Tibetan	103	0.0	100.0
China Tibet Region Tibetan	104	0.0	100.0
China Tibet Region Tibetan	105	0.0	100.0
China Tibet Region Tibetan	106	0.0	100.0
China Tibet Region Tibetan	107	0.0	100.0
China Tibet Region Tibetan	108	0.0	100.0
China Tibet Region Tibetan	109	0.0	100.0
China Tibet Region Tibetan	110	0.0	100.0
China Tibet Region Tibetan	111	0.0	100.0
China Tibet Region Tibetan	112	0.0	100.0
China Tibet Region Tibetan	113	0.0	100.0
China Tibet Region Tibetan	114	0.0	100.0
China Tibet Region Tibetan	115	0.0	100.0
China Tibet Region Tibetan	116	0.0	100.0
China Tibet Region Tibetan	117	0.0	100.0
China Tibet Region Tibetan	118	0.0	100.0
China Tibet Region Tibetan	119	0.0	100.0
China Tibet Region Tibetan	120	0.0	100.0
China Tibet Region Tibetan	121	0.0	100.0
China Tibet Region Tibetan	122	0.0	100.0
China Tibet Region Tibetan	123	0.0	100.0
China Tibet Region Tibetan	124	0.0	100.0
China Tibet Region Tibetan	125	0.0	100.0
China Tibet Region Tibetan	126	0.0	100.0
China Tibet Region Tibetan	127	0.0	100.0
China Tibet Region Tibetan	128	0.0	100.0
China Tibet Region Tibetan	129	0.0	100.0
China Tibet Region Tibetan	130	0.0	100.0
China Tibet Region Tibetan	131	0.0	100.0
China Tibet Region Tibetan	132	0.0	100.0
China Tibet Region Tibetan	133	0.0	100.0
China Tibet Region Tibetan	134	0.0	100.0
China Tibet Region Tibetan	135	0.0	100.0
China Tibet Region Tibetan	136	0.0	100.0
China Tibet Region Tibetan	137	0.0	100.0
China Tibet Region Tibetan	138	0.0	100.0
China Tibet Region Tibetan	139	0.0	100.0
China Tibet Region Tibetan	140	0.0	100.0
China Tibet Region Tibetan	141	0.0	100.0
China Tibet Region Tibetan	142	0.0	100.0
China Tibet Region Tibetan	143	0.0	100.0
China Tibet Region Tibetan	144	0.0	100.0
China Tibet Region Tibetan	145	0.0	100.0
China Tibet Region Tibetan	146	0.0	100.0
China Tibet Region Tibetan	147	0.0	100.0
China Tibet Region Tibetan	148	0.0	100.0
China Tibet Region Tibetan	149	0.0	100.0
China Tibet Region Tibetan	150	0.0	100.0
China Tibet Region Tibetan	151	0.0	100.0
China Tibet Region Tibetan	152	0.0	100.0
China Tibet Region Tibetan	153	0.0	100.0
China Tibet Region Tibetan	154	0.0	100.0
China Tibet Region Tibetan	155	0.0	100.0
China Tibet Region Tibetan	156	0.0	100.0
China Tibet Region Tibetan	157	0.0	100.0
China Tibet Region Tibetan	158	0.0	100.0
China Tibet Region Tibetan	159	0.0	100.0
China Tibet Region Tibetan	160	0.0	100.0
China Tibet Region Tibetan	161	0.0	100.0
China Tibet Region Tibetan	162	0.0	100.0
China Tibet Region Tibetan	163	0.0	100.0
China Tibet Region Tibetan	164	0.0	100.0
China Tibet Region Tibetan	165	0.0	100.0
China Tibet Region Tibetan	166	0.0	100.0
China Tibet Region Tibetan	167	0.0	100.0
China Tibet Region Tibetan	168	0.0	100.0
China Tibet Region Tibetan	169	0.0	100.0
China Tibet Region Tibetan	170	0.0	100.0
China Tibet Region Tibetan	171	0.0	100.0
China Tibet Region Tibetan	172	0.0	100.0
China Tibet Region Tibetan	173	0.0	100.0
China Tibet Region Tibetan	174	0.0	100.0
China Tibet Region Tibetan	175	0.0	100.0
China Tibet Region Tibetan	176	0.0	100.0
China Tibet Region Tibetan	177	0.0	100.0
China Tibet Region Tibetan	178	0.0	100.0
China Tibet Region Tibetan	179	0.0	100.0
China Tibet Region Tibetan	180	0.0	100.0
China Tibet Region Tibetan	181	0.0	100.0
China Tibet Region Tibetan	182	0.0	100.0
China Tibet Region Tibetan	183	0.0	100.0
China Tibet Region Tibetan	184	0.0	100.0
China Tibet Region Tibetan	185	0.0	100.0
China Tibet Region Tibetan	186	0.0	100.0
China Tibet Region Tibetan	187	0.0	100.0
China Tibet Region Tibetan	188	0.0	100.0
