class I
population/area	coverage	average_hit	pc90
China Zhejiang Han	100.0%	21048.63	10546.4
average	100.0%	21048.63	10546.4
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
China Zhejiang Han	0	0.0	100.0
China Zhejiang Han	1	0.0	100.0
China Zhejiang Han	2	0.0	100.0
China Zhejiang Han	3	0.0	100.0
China Zhejiang Han	4	0.0	100.0
China Zhejiang Han	5	0.0	100.0
China Zhejiang Han	6	0.0	100.0
China Zhejiang Han	7	0.0	100.0
China Zhejiang Han	8	0.0	100.0
China Zhejiang Han	9	0.0	100.0
China Zhejiang Han	10	0.0	100.0
China Zhejiang Han	11	0.0	100.0
China Zhejiang Han	12	0.0	100.0
China Zhejiang Han	13	0.0	100.0
China Zhejiang Han	14	0.0	100.0
China Zhejiang Han	15	0.0	100.0
China Zhejiang Han	16	0.0	100.0
China Zhejiang Han	17	0.0	100.0
China Zhejiang Han	18	0.0	100.0
China Zhejiang Han	19	0.0	100.0
China Zhejiang Han	20	0.0	100.0
China Zhejiang Han	21	0.0	100.0
China Zhejiang Han	22	0.0	100.0
China Zhejiang Han	23	0.0	100.0
China Zhejiang Han	24	0.0	100.0
China Zhejiang Han	25	0.0	100.0
China Zhejiang Han	26	0.0	100.0
China Zhejiang Han	27	0.0	100.0
China Zhejiang Han	28	0.0	100.0
China Zhejiang Han	29	0.0	100.0
China Zhejiang Han	30	0.0	100.0
China Zhejiang Han	31	0.0	100.0
China Zhejiang Han	32	0.0	100.0
China Zhejiang Han	33	0.0	100.0
China Zhejiang Han	34	0.0	100.0
China Zhejiang Han	35	0.0	100.0
China Zhejiang Han	36	0.0	100.0
China Zhejiang Han	37	0.0	100.0
China Zhejiang Han	38	0.0	100.0
China Zhejiang Han	39	0.0	100.0
China Zhejiang Han	40	0.0	100.0
China Zhejiang Han	41	0.0	100.0
China Zhejiang Han	42	0.0	100.0
China Zhejiang Han	43	0.0	100.0
China Zhejiang Han	44	0.0	100.0
China Zhejiang Han	45	0.0	100.0
China Zhejiang Han	46	0.0	100.0
China Zhejiang Han	47	0.0	100.0
China Zhejiang Han	48	0.0	100.0
China Zhejiang Han	49	0.0	100.0
China Zhejiang Han	50	0.0	100.0
China Zhejiang Han	51	0.0	100.0
China Zhejiang Han	52	0.0	100.0
China Zhejiang Han	53	0.0	100.0
