class I
population/area	coverage	average_hit	pc90
Colombia North Wiwa El Encanto	99.99%	23892.19	10685.37
average	99.99%	23892.19	10685.37
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Colombia North Wiwa El Encanto	0	0.01	100.0
Colombia North Wiwa El Encanto	1	0.0	99.99
Colombia North Wiwa El Encanto	2	0.0	99.99
Colombia North Wiwa El Encanto	3	0.0	99.99
Colombia North Wiwa El Encanto	4	0.0	99.99
Colombia North Wiwa El Encanto	5	0.0	99.99
Colombia North Wiwa El Encanto	6	0.0	99.99
Colombia North Wiwa El Encanto	7	0.0	99.99
Colombia North Wiwa El Encanto	8	0.0	99.99
Colombia North Wiwa El Encanto	9	0.0	99.99
Colombia North Wiwa El Encanto	10	0.0	99.99
Colombia North Wiwa El Encanto	11	0.0	99.99
Colombia North Wiwa El Encanto	12	0.0	99.99
Colombia North Wiwa El Encanto	13	0.0	99.99
Colombia North Wiwa El Encanto	14	0.0	99.99
Colombia North Wiwa El Encanto	15	0.0	99.99
Colombia North Wiwa El Encanto	16	0.0	99.99
Colombia North Wiwa El Encanto	17	0.0	99.99
Colombia North Wiwa El Encanto	18	0.0	99.99
Colombia North Wiwa El Encanto	19	0.0	99.99
Colombia North Wiwa El Encanto	20	0.0	99.99
Colombia North Wiwa El Encanto	21	0.0	99.99
Colombia North Wiwa El Encanto	22	0.0	99.99
Colombia North Wiwa El Encanto	23	0.0	99.99
Colombia North Wiwa El Encanto	24	0.0	99.99
Colombia North Wiwa El Encanto	25	0.0	99.99
Colombia North Wiwa El Encanto	26	0.0	99.99
Colombia North Wiwa El Encanto	27	0.0	99.99
Colombia North Wiwa El Encanto	28	0.0	99.99
Colombia North Wiwa El Encanto	29	0.0	99.99
Colombia North Wiwa El Encanto	30	0.0	99.99
Colombia North Wiwa El Encanto	31	0.0	99.99
Colombia North Wiwa El Encanto	32	0.0	99.99
Colombia North Wiwa El Encanto	33	0.0	99.99
Colombia North Wiwa El Encanto	34	0.0	99.99
Colombia North Wiwa El Encanto	35	0.0	99.99
Colombia North Wiwa El Encanto	36	0.0	99.99
Colombia North Wiwa El Encanto	37	0.0	99.99
Colombia North Wiwa El Encanto	38	0.0	99.99
Colombia North Wiwa El Encanto	39	0.0	99.99
Colombia North Wiwa El Encanto	40	0.0	99.99
Colombia North Wiwa El Encanto	41	0.0	99.99
Colombia North Wiwa El Encanto	42	0.0	99.99
