class I
population/area	coverage	average_hit	pc90
Costa Rica African -Caribbean (G)	100.0%	19946.83	6288.93
average	100.0%	19946.83	6288.93
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Costa Rica African -Caribbean (G)	0	0.0	100.0
Costa Rica African -Caribbean (G)	1	0.0	100.0
Costa Rica African -Caribbean (G)	2	0.0	100.0
Costa Rica African -Caribbean (G)	3	0.0	100.0
Costa Rica African -Caribbean (G)	4	0.0	100.0
Costa Rica African -Caribbean (G)	5	0.0	100.0
Costa Rica African -Caribbean (G)	6	0.0	100.0
Costa Rica African -Caribbean (G)	7	0.0	99.99
Costa Rica African -Caribbean (G)	8	0.0	99.99
Costa Rica African -Caribbean (G)	9	0.0	99.99
Costa Rica African -Caribbean (G)	10	0.0	99.99
Costa Rica African -Caribbean (G)	11	0.0	99.99
Costa Rica African -Caribbean (G)	12	0.0	99.99
Costa Rica African -Caribbean (G)	13	0.0	99.99
Costa Rica African -Caribbean (G)	14	0.0	99.99
Costa Rica African -Caribbean (G)	15	0.0	99.99
Costa Rica African -Caribbean (G)	16	0.0	99.99
Costa Rica African -Caribbean (G)	17	0.0	99.99
Costa Rica African -Caribbean (G)	18	0.0	99.99
Costa Rica African -Caribbean (G)	19	0.0	99.99
Costa Rica African -Caribbean (G)	20	0.0	99.99
Costa Rica African -Caribbean (G)	21	0.0	99.99
Costa Rica African -Caribbean (G)	22	0.0	99.99
Costa Rica African -Caribbean (G)	23	0.0	99.99
Costa Rica African -Caribbean (G)	24	0.0	99.99
Costa Rica African -Caribbean (G)	25	0.0	99.99
Costa Rica African -Caribbean (G)	26	0.0	99.99
Costa Rica African -Caribbean (G)	27	0.0	99.99
Costa Rica African -Caribbean (G)	28	0.0	99.99
Costa Rica African -Caribbean (G)	29	0.0	99.99
Costa Rica African -Caribbean (G)	30	0.0	99.99
Costa Rica African -Caribbean (G)	31	0.0	99.99
Costa Rica African -Caribbean (G)	32	0.0	99.99
Costa Rica African -Caribbean (G)	33	0.0	99.99
Costa Rica African -Caribbean (G)	34	0.01	99.99
Costa Rica African -Caribbean (G)	35	0.0	99.98
Costa Rica African -Caribbean (G)	36	0.0	99.98
Costa Rica African -Caribbean (G)	37	0.0	99.98
Costa Rica African -Caribbean (G)	38	0.0	99.98
Costa Rica African -Caribbean (G)	39	0.0	99.98
Costa Rica African -Caribbean (G)	40	0.0	99.98
Costa Rica African -Caribbean (G)	41	0.0	99.97
Costa Rica African -Caribbean (G)	42	0.0	99.97
Costa Rica African -Caribbean (G)	43	0.0	99.97
Costa Rica African -Caribbean (G)	44	0.01	99.97
Costa Rica African -Caribbean (G)	45	0.0	99.96
Costa Rica African -Caribbean (G)	46	0.0	99.96
Costa Rica African -Caribbean (G)	47	0.0	99.96
Costa Rica African -Caribbean (G)	48	0.0	99.96
Costa Rica African -Caribbean (G)	49	0.0	99.96
Costa Rica African -Caribbean (G)	50	0.0	99.96
Costa Rica African -Caribbean (G)	51	0.0	99.96
Costa Rica African -Caribbean (G)	52	0.0	99.96
Costa Rica African -Caribbean (G)	53	0.0	99.96
