class I
population/area	coverage	average_hit	pc90
Costa Rica Amerindians (G)	99.98%	26653.25	15047.8
average	99.98%	26653.25	15047.8
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Costa Rica Amerindians (G)	0	0.02	100.0
Costa Rica Amerindians (G)	1	0.0	99.98
Costa Rica Amerindians (G)	2	0.0	99.98
Costa Rica Amerindians (G)	3	0.0	99.98
Costa Rica Amerindians (G)	4	0.0	99.98
Costa Rica Amerindians (G)	5	0.0	99.98
Costa Rica Amerindians (G)	6	0.0	99.98
Costa Rica Amerindians (G)	7	0.0	99.98
Costa Rica Amerindians (G)	8	0.0	99.98
Costa Rica Amerindians (G)	9	0.0	99.98
Costa Rica Amerindians (G)	10	0.0	99.98
Costa Rica Amerindians (G)	11	0.0	99.98
Costa Rica Amerindians (G)	12	0.0	99.98
Costa Rica Amerindians (G)	13	0.0	99.98
Costa Rica Amerindians (G)	14	0.0	99.98
Costa Rica Amerindians (G)	15	0.0	99.98
Costa Rica Amerindians (G)	16	0.0	99.98
Costa Rica Amerindians (G)	17	0.0	99.98
Costa Rica Amerindians (G)	18	0.0	99.98
Costa Rica Amerindians (G)	19	0.0	99.98
Costa Rica Amerindians (G)	20	0.0	99.98
Costa Rica Amerindians (G)	21	0.0	99.98
Costa Rica Amerindians (G)	22	0.0	99.98
Costa Rica Amerindians (G)	23	0.0	99.98
Costa Rica Amerindians (G)	24	0.0	99.98
Costa Rica Amerindians (G)	25	0.0	99.98
Costa Rica Amerindians (G)	26	0.0	99.98
Costa Rica Amerindians (G)	27	0.0	99.98
Costa Rica Amerindians (G)	28	0.0	99.98
Costa Rica Amerindians (G)	29	0.0	99.98
Costa Rica Amerindians (G)	30	0.0	99.98
Costa Rica Amerindians (G)	31	0.0	99.98
Costa Rica Amerindians (G)	32	0.0	99.98
Costa Rica Amerindians (G)	33	0.0	99.98
Costa Rica Amerindians (G)	34	0.0	99.98
Costa Rica Amerindians (G)	35	0.0	99.98
Costa Rica Amerindians (G)	36	0.0	99.98
Costa Rica Amerindians (G)	37	0.0	99.98
Costa Rica Amerindians (G)	38	0.0	99.98
Costa Rica Amerindians (G)	39	0.0	99.98
Costa Rica Amerindians (G)	40	0.0	99.98
Costa Rica Amerindians (G)	41	0.0	99.98
Costa Rica Amerindians (G)	42	0.0	99.98
Costa Rica Amerindians (G)	43	0.0	99.98
Costa Rica Amerindians (G)	44	0.0	99.98
Costa Rica Amerindians (G)	45	0.0	99.98
Costa Rica Amerindians (G)	46	0.0	99.98
Costa Rica Amerindians (G)	47	0.0	99.98
Costa Rica Amerindians (G)	48	0.0	99.98
Costa Rica Amerindians (G)	49	0.0	99.98
Costa Rica Amerindians (G)	50	0.0	99.98
Costa Rica Amerindians (G)	51	0.0	99.98
Costa Rica Amerindians (G)	52	0.0	99.98
Costa Rica Amerindians (G)	53	0.0	99.98
Costa Rica Amerindians (G)	54	0.0	99.98
