class I
population/area	coverage	average_hit	pc90
Finland	100.0%	52729.69	34068.99
average	100.0%	52729.69	34068.99
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Finland	0	0.0	100.0
Finland	1	0.0	100.0
Finland	2	0.0	100.0
Finland	3	0.0	100.0
Finland	4	0.0	100.0
Finland	5	0.0	100.0
Finland	6	0.0	100.0
Finland	7	0.0	100.0
Finland	8	0.0	100.0
Finland	9	0.0	100.0
Finland	10	0.0	100.0
Finland	11	0.0	100.0
Finland	12	0.0	100.0
Finland	13	0.0	100.0
Finland	14	0.0	100.0
Finland	15	0.0	100.0
Finland	16	0.0	100.0
Finland	17	0.0	100.0
Finland	18	0.0	100.0
Finland	19	0.0	100.0
Finland	20	0.0	100.0
Finland	21	0.0	100.0
Finland	22	0.0	100.0
Finland	23	0.0	100.0
Finland	24	0.0	100.0
Finland	25	0.0	100.0
Finland	26	0.0	100.0
Finland	27	0.0	100.0
Finland	28	0.0	100.0
Finland	29	0.0	100.0
Finland	30	0.0	100.0
Finland	31	0.0	100.0
Finland	32	0.0	100.0
Finland	33	0.0	100.0
Finland	34	0.0	100.0
Finland	35	0.0	100.0
Finland	36	0.0	100.0
Finland	37	0.0	100.0
Finland	38	0.0	100.0
Finland	39	0.0	100.0
Finland	40	0.0	100.0
Finland	41	0.0	100.0
Finland	42	0.0	100.0
Finland	43	0.0	100.0
Finland	44	0.0	100.0
Finland	45	0.0	100.0
Finland	46	0.0	100.0
Finland	47	0.0	100.0
Finland	48	0.0	100.0
Finland	49	0.0	100.0
Finland	50	0.0	100.0
Finland	51	0.0	100.0
Finland	52	0.0	100.0
Finland	53	0.0	100.0
Finland	54	0.0	100.0
Finland	55	0.0	100.0
Finland	56	0.0	100.0
Finland	57	0.0	100.0
Finland	58	0.0	100.0
Finland	59	0.0	100.0
Finland	60	0.0	100.0
Finland	61	0.0	100.0
Finland	62	0.0	100.0
Finland	63	0.0	100.0
Finland	64	0.0	100.0
Finland	65	0.0	100.0
Finland	66	0.0	100.0
Finland	67	0.0	100.0
Finland	68	0.0	100.0
Finland	69	0.0	100.0
Finland	70	0.0	100.0
Finland	71	0.0	100.0
Finland	72	0.0	100.0
Finland	73	0.0	100.0
Finland	74	0.0	100.0
Finland	75	0.0	100.0
Finland	76	0.0	100.0
Finland	77	0.0	100.0
Finland	78	0.0	100.0
Finland	79	0.0	100.0
Finland	80	0.0	100.0
Finland	81	0.0	100.0
Finland	82	0.0	100.0
