class I
population/area	coverage	average_hit	pc90
Georgia Tibilisi	100.0%	33870.13	19477.41
average	100.0%	33870.13	19477.41
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Georgia Tibilisi	0	0.0	100.0
Georgia Tibilisi	1	0.0	100.0
Georgia Tibilisi	2	0.0	100.0
Georgia Tibilisi	3	0.0	100.0
Georgia Tibilisi	4	0.0	100.0
Georgia Tibilisi	5	0.0	100.0
Georgia Tibilisi	6	0.0	100.0
Georgia Tibilisi	7	0.0	100.0
Georgia Tibilisi	8	0.0	100.0
Georgia Tibilisi	9	0.0	100.0
Georgia Tibilisi	10	0.0	100.0
Georgia Tibilisi	11	0.0	100.0
Georgia Tibilisi	12	0.0	100.0
Georgia Tibilisi	13	0.0	100.0
Georgia Tibilisi	14	0.0	100.0
Georgia Tibilisi	15	0.0	100.0
Georgia Tibilisi	16	0.0	100.0
Georgia Tibilisi	17	0.0	100.0
Georgia Tibilisi	18	0.0	100.0
Georgia Tibilisi	19	0.0	100.0
Georgia Tibilisi	20	0.0	100.0
Georgia Tibilisi	21	0.0	100.0
Georgia Tibilisi	22	0.0	100.0
Georgia Tibilisi	23	0.0	100.0
Georgia Tibilisi	24	0.0	100.0
Georgia Tibilisi	25	0.0	100.0
Georgia Tibilisi	26	0.0	100.0
Georgia Tibilisi	27	0.0	100.0
Georgia Tibilisi	28	0.0	100.0
Georgia Tibilisi	29	0.0	100.0
Georgia Tibilisi	30	0.0	100.0
Georgia Tibilisi	31	0.0	100.0
Georgia Tibilisi	32	0.0	100.0
Georgia Tibilisi	33	0.0	100.0
Georgia Tibilisi	34	0.0	100.0
Georgia Tibilisi	35	0.0	100.0
Georgia Tibilisi	36	0.0	100.0
Georgia Tibilisi	37	0.0	100.0
Georgia Tibilisi	38	0.0	100.0
Georgia Tibilisi	39	0.0	100.0
Georgia Tibilisi	40	0.0	100.0
Georgia Tibilisi	41	0.0	100.0
Georgia Tibilisi	42	0.0	100.0
Georgia Tibilisi	43	0.0	100.0
Georgia Tibilisi	44	0.0	100.0
Georgia Tibilisi	45	0.0	100.0
Georgia Tibilisi	46	0.0	100.0
Georgia Tibilisi	47	0.0	100.0
Georgia Tibilisi	48	0.0	100.0
Georgia Tibilisi	49	0.0	100.0
Georgia Tibilisi	50	0.0	100.0
Georgia Tibilisi	51	0.0	100.0
Georgia Tibilisi	52	0.0	100.0
Georgia Tibilisi	53	0.0	100.0
Georgia Tibilisi	54	0.0	100.0
Georgia Tibilisi	55	0.0	100.0
Georgia Tibilisi	56	0.0	100.0
Georgia Tibilisi	57	0.0	100.0
Georgia Tibilisi	58	0.0	100.0
Georgia Tibilisi	59	0.0	100.0
Georgia Tibilisi	60	0.0	100.0
Georgia Tibilisi	61	0.0	100.0
Georgia Tibilisi	62	0.0	100.0
Georgia Tibilisi	63	0.0	100.0
Georgia Tibilisi	64	0.0	100.0
Georgia Tibilisi	65	0.0	100.0
Georgia Tibilisi	66	0.0	100.0
Georgia Tibilisi	67	0.0	100.0
Georgia Tibilisi	68	0.0	100.0
Georgia Tibilisi	69	0.0	100.0
Georgia Tibilisi	70	0.0	100.0
Georgia Tibilisi	71	0.0	100.0
Georgia Tibilisi	72	0.0	100.0
Georgia Tibilisi	73	0.0	100.0
Georgia Tibilisi	74	0.0	100.0
Georgia Tibilisi	75	0.0	100.0
Georgia Tibilisi	76	0.0	100.0
Georgia Tibilisi	77	0.0	100.0
Georgia Tibilisi	78	0.0	100.0
Georgia Tibilisi	79	0.0	100.0
Georgia Tibilisi	80	0.0	100.0
Georgia Tibilisi	81	0.0	100.0
Georgia Tibilisi	82	0.0	100.0
Georgia Tibilisi	83	0.0	100.0
Georgia Tibilisi	84	0.0	100.0
Georgia Tibilisi	85	0.0	100.0
Georgia Tibilisi	86	0.0	100.0
Georgia Tibilisi	87	0.0	100.0
Georgia Tibilisi	88	0.0	100.0
Georgia Tibilisi	89	0.0	100.0
Georgia Tibilisi	90	0.0	100.0
Georgia Tibilisi	91	0.0	100.0
Georgia Tibilisi	92	0.0	100.0
Georgia Tibilisi	93	0.0	100.0
Georgia Tibilisi	94	0.0	100.0
Georgia Tibilisi	95	0.0	100.0
Georgia Tibilisi	96	0.0	100.0
Georgia Tibilisi	97	0.0	100.0
Georgia Tibilisi	98	0.0	100.0
Georgia Tibilisi	99	0.0	100.0
Georgia Tibilisi	100	0.0	100.0
Georgia Tibilisi	101	0.0	100.0
Georgia Tibilisi	102	0.0	100.0
Georgia Tibilisi	103	0.0	100.0
Georgia Tibilisi	104	0.0	100.0
Georgia Tibilisi	105	0.0	100.0
Georgia Tibilisi	106	0.0	100.0
Georgia Tibilisi	107	0.0	100.0
Georgia Tibilisi	108	0.0	100.0
Georgia Tibilisi	109	0.0	100.0
Georgia Tibilisi	110	0.0	100.0
Georgia Tibilisi	111	0.0	100.0
Georgia Tibilisi	112	0.0	100.0
Georgia Tibilisi	113	0.0	100.0
Georgia Tibilisi	114	0.0	100.0
Georgia Tibilisi	115	0.0	100.0
Georgia Tibilisi	116	0.0	100.0
Georgia Tibilisi	117	0.0	100.0
Georgia Tibilisi	118	0.0	100.0
Georgia Tibilisi	119	0.0	100.0
Georgia Tibilisi	120	0.0	100.0
Georgia Tibilisi	121	0.0	100.0
Georgia Tibilisi	122	0.0	100.0
Georgia Tibilisi	123	0.0	100.0
Georgia Tibilisi	124	0.0	100.0
Georgia Tibilisi	125	0.0	100.0
Georgia Tibilisi	126	0.0	100.0
Georgia Tibilisi	127	0.0	100.0
Georgia Tibilisi	128	0.0	100.0
Georgia Tibilisi	129	0.0	100.0
Georgia Tibilisi	130	0.0	100.0
Georgia Tibilisi	131	0.0	100.0
Georgia Tibilisi	132	0.0	100.0
Georgia Tibilisi	133	0.0	100.0
Georgia Tibilisi	134	0.0	100.0
Georgia Tibilisi	135	0.0	100.0
Georgia Tibilisi	136	0.0	100.0
Georgia Tibilisi	137	0.0	100.0
Georgia Tibilisi	138	0.0	100.0
Georgia Tibilisi	139	0.0	100.0
Georgia Tibilisi	140	0.0	100.0
Georgia Tibilisi	141	0.0	100.0
Georgia Tibilisi	142	0.0	100.0
Georgia Tibilisi	143	0.0	100.0
Georgia Tibilisi	144	0.0	100.0
Georgia Tibilisi	145	0.0	100.0
Georgia Tibilisi	146	0.0	100.0
Georgia Tibilisi	147	0.0	100.0
Georgia Tibilisi	148	0.0	100.0
Georgia Tibilisi	149	0.0	100.0
Georgia Tibilisi	150	0.0	100.0
Georgia Tibilisi	151	0.0	100.0
Georgia Tibilisi	152	0.0	100.0
Georgia Tibilisi	153	0.0	100.0
Georgia Tibilisi	154	0.0	100.0
Georgia Tibilisi	155	0.0	100.0
Georgia Tibilisi	156	0.0	100.0
Georgia Tibilisi	157	0.0	100.0
Georgia Tibilisi	158	0.0	100.0
Georgia Tibilisi	159	0.0	100.0
Georgia Tibilisi	160	0.0	100.0
Georgia Tibilisi	161	0.0	100.0
Georgia Tibilisi	162	0.0	100.0
Georgia Tibilisi	163	0.0	100.0
Georgia Tibilisi	164	0.0	100.0
Georgia Tibilisi	165	0.0	100.0
Georgia Tibilisi	166	0.0	100.0
Georgia Tibilisi	167	0.0	100.0
Georgia Tibilisi	168	0.0	100.0
Georgia Tibilisi	169	0.0	100.0
Georgia Tibilisi	170	0.0	100.0
Georgia Tibilisi	171	0.0	100.0
Georgia Tibilisi	172	0.0	100.0
Georgia Tibilisi	173	0.0	100.0
Georgia Tibilisi	174	0.0	100.0
Georgia Tibilisi	175	0.0	100.0
Georgia Tibilisi	176	0.0	100.0
Georgia Tibilisi	177	0.0	100.0
Georgia Tibilisi	178	0.0	100.0
Georgia Tibilisi	179	0.0	100.0
Georgia Tibilisi	180	0.0	100.0
Georgia Tibilisi	181	0.0	100.0
Georgia Tibilisi	182	0.0	100.0
Georgia Tibilisi	183	0.0	100.0
Georgia Tibilisi	184	0.0	100.0
Georgia Tibilisi	185	0.0	100.0
Georgia Tibilisi	186	0.0	100.0
Georgia Tibilisi	187	0.0	100.0
Georgia Tibilisi	188	0.0	100.0
Georgia Tibilisi	189	0.0	100.0
Georgia Tibilisi	190	0.0	100.0
Georgia Tibilisi	191	0.0	100.0
Georgia Tibilisi	192	0.0	100.0
Georgia Tibilisi	193	0.0	100.0
Georgia Tibilisi	194	0.0	100.0
Georgia Tibilisi	195	0.0	100.0
Georgia Tibilisi	196	0.0	100.0
Georgia Tibilisi	197	0.0	100.0
Georgia Tibilisi	198	0.0	100.0
Georgia Tibilisi	199	0.0	100.0
Georgia Tibilisi	200	0.0	100.0
Georgia Tibilisi	201	0.0	100.0
Georgia Tibilisi	202	0.0	100.0
Georgia Tibilisi	203	0.0	100.0
Georgia Tibilisi	204	0.0	100.0
Georgia Tibilisi	205	0.0	100.0
Georgia Tibilisi	206	0.0	100.0
Georgia Tibilisi	207	0.0	100.0
Georgia Tibilisi	208	0.0	100.0
Georgia Tibilisi	209	0.0	100.0
Georgia Tibilisi	210	0.0	100.0
Georgia Tibilisi	211	0.0	100.0
Georgia Tibilisi	212	0.0	100.0
Georgia Tibilisi	213	0.0	100.0
Georgia Tibilisi	214	0.0	100.0
Georgia Tibilisi	215	0.0	100.0
Georgia Tibilisi	216	0.0	100.0
Georgia Tibilisi	217	0.0	100.0
Georgia Tibilisi	218	0.0	100.0
Georgia Tibilisi	219	0.0	100.0
Georgia Tibilisi	220	0.0	100.0
Georgia Tibilisi	221	0.0	100.0
Georgia Tibilisi	222	0.0	100.0
Georgia Tibilisi	223	0.0	100.0
Georgia Tibilisi	224	0.0	100.0
Georgia Tibilisi	225	0.0	100.0
Georgia Tibilisi	226	0.0	100.0
Georgia Tibilisi	227	0.0	100.0
Georgia Tibilisi	228	0.0	100.0
Georgia Tibilisi	229	0.0	100.0
Georgia Tibilisi	230	0.0	100.0
Georgia Tibilisi	231	0.0	100.0
Georgia Tibilisi	232	0.0	100.0
Georgia Tibilisi	233	0.0	100.0
Georgia Tibilisi	234	0.0	100.0
Georgia Tibilisi	235	0.0	100.0
Georgia Tibilisi	236	0.0	100.0
Georgia Tibilisi	237	0.0	100.0
Georgia Tibilisi	238	0.0	100.0
Georgia Tibilisi	239	0.0	100.0
Georgia Tibilisi	240	0.0	100.0
Georgia Tibilisi	241	0.0	100.0
Georgia Tibilisi	242	0.0	100.0
Georgia Tibilisi	243	0.0	100.0
Georgia Tibilisi	244	0.0	100.0
Georgia Tibilisi	245	0.0	100.0
Georgia Tibilisi	246	0.0	100.0
Georgia Tibilisi	247	0.0	100.0
Georgia Tibilisi	248	0.0	100.0
Georgia Tibilisi	249	0.0	100.0
Georgia Tibilisi	250	0.0	100.0
Georgia Tibilisi	251	0.0	100.0
Georgia Tibilisi	252	0.0	100.0
Georgia Tibilisi	253	0.0	100.0
Georgia Tibilisi	254	0.0	100.0
Georgia Tibilisi	255	0.0	100.0
Georgia Tibilisi	256	0.0	100.0
Georgia Tibilisi	257	0.0	100.0
Georgia Tibilisi	258	0.0	100.0
Georgia Tibilisi	259	0.0	100.0
Georgia Tibilisi	260	0.0	100.0
Georgia Tibilisi	261	0.0	100.0
Georgia Tibilisi	262	0.0	100.0
Georgia Tibilisi	263	0.0	100.0
Georgia Tibilisi	264	0.0	100.0
Georgia Tibilisi	265	0.0	100.0
Georgia Tibilisi	266	0.0	100.0
Georgia Tibilisi	267	0.0	100.0
Georgia Tibilisi	268	0.0	100.0
Georgia Tibilisi	269	0.0	100.0
Georgia Tibilisi	270	0.0	100.0
Georgia Tibilisi	271	0.0	100.0
Georgia Tibilisi	272	0.0	100.0
Georgia Tibilisi	273	0.0	100.0
Georgia Tibilisi	274	0.0	100.0
Georgia Tibilisi	275	0.0	100.0
Georgia Tibilisi	276	0.0	100.0
Georgia Tibilisi	277	0.0	100.0
Georgia Tibilisi	278	0.0	100.0
Georgia Tibilisi	279	0.0	100.0
Georgia Tibilisi	280	0.0	100.0
Georgia Tibilisi	281	0.0	100.0
Georgia Tibilisi	282	0.0	100.0
Georgia Tibilisi	283	0.0	100.0
Georgia Tibilisi	284	0.0	100.0
Georgia Tibilisi	285	0.0	100.0
Georgia Tibilisi	286	0.0	100.0
Georgia Tibilisi	287	0.0	100.0
Georgia Tibilisi	288	0.0	100.0
Georgia Tibilisi	289	0.0	100.0
Georgia Tibilisi	290	0.0	100.0
Georgia Tibilisi	291	0.0	100.0
Georgia Tibilisi	292	0.0	100.0
Georgia Tibilisi	293	0.0	100.0
Georgia Tibilisi	294	0.0	100.0
Georgia Tibilisi	295	0.0	100.0
Georgia Tibilisi	296	0.0	100.0
Georgia Tibilisi	297	0.0	100.0
Georgia Tibilisi	298	0.0	100.0
Georgia Tibilisi	299	0.0	100.0
Georgia Tibilisi	300	0.0	100.0
Georgia Tibilisi	301	0.0	100.0
Georgia Tibilisi	302	0.0	100.0
Georgia Tibilisi	303	0.0	100.0
Georgia Tibilisi	304	0.0	100.0
Georgia Tibilisi	305	0.0	100.0
Georgia Tibilisi	306	0.0	100.0
Georgia Tibilisi	307	0.0	100.0
Georgia Tibilisi	308	0.0	100.0
Georgia Tibilisi	309	0.0	100.0
Georgia Tibilisi	310	0.0	100.0
Georgia Tibilisi	311	0.0	100.0
Georgia Tibilisi	312	0.0	100.0
Georgia Tibilisi	313	0.0	100.0
Georgia Tibilisi	314	0.0	100.0
Georgia Tibilisi	315	0.0	100.0
Georgia Tibilisi	316	0.0	100.0
Georgia Tibilisi	317	0.0	100.0
Georgia Tibilisi	318	0.0	100.0
Georgia Tibilisi	319	0.0	100.0
Georgia Tibilisi	320	0.0	100.0
Georgia Tibilisi	321	0.0	100.0
Georgia Tibilisi	322	0.0	100.0
Georgia Tibilisi	323	0.0	100.0
Georgia Tibilisi	324	0.0	100.0
Georgia Tibilisi	325	0.0	100.0
Georgia Tibilisi	326	0.0	100.0
Georgia Tibilisi	327	0.0	100.0
Georgia Tibilisi	328	0.0	100.0
Georgia Tibilisi	329	0.0	100.0
Georgia Tibilisi	330	0.0	100.0
Georgia Tibilisi	331	0.0	100.0
Georgia Tibilisi	332	0.0	100.0
Georgia Tibilisi	333	0.0	100.0
Georgia Tibilisi	334	0.0	100.0
Georgia Tibilisi	335	0.0	100.0
Georgia Tibilisi	336	0.0	100.0
Georgia Tibilisi	337	0.0	100.0
Georgia Tibilisi	338	0.0	100.0
Georgia Tibilisi	339	0.0	100.0
Georgia Tibilisi	340	0.0	100.0
Georgia Tibilisi	341	0.0	100.0
Georgia Tibilisi	342	0.0	100.0
Georgia Tibilisi	343	0.0	100.0
Georgia Tibilisi	344	0.0	100.0
Georgia Tibilisi	345	0.0	100.0
Georgia Tibilisi	346	0.0	100.0
Georgia Tibilisi	347	0.0	100.0
Georgia Tibilisi	348	0.0	100.0
Georgia Tibilisi	349	0.0	100.0
Georgia Tibilisi	350	0.0	100.0
Georgia Tibilisi	351	0.0	100.0
Georgia Tibilisi	352	0.0	100.0
Georgia Tibilisi	353	0.0	100.0
Georgia Tibilisi	354	0.0	100.0
Georgia Tibilisi	355	0.0	100.0
Georgia Tibilisi	356	0.0	100.0
Georgia Tibilisi	357	0.0	100.0
Georgia Tibilisi	358	0.0	100.0
Georgia Tibilisi	359	0.0	100.0
Georgia Tibilisi	360	0.0	100.0
Georgia Tibilisi	361	0.0	100.0
Georgia Tibilisi	362	0.0	100.0
Georgia Tibilisi	363	0.0	100.0
Georgia Tibilisi	364	0.0	100.0
Georgia Tibilisi	365	0.0	100.0
Georgia Tibilisi	366	0.0	100.0
Georgia Tibilisi	367	0.0	100.0
Georgia Tibilisi	368	0.0	100.0
Georgia Tibilisi	369	0.0	100.0
Georgia Tibilisi	370	0.0	100.0
Georgia Tibilisi	371	0.0	100.0
Georgia Tibilisi	372	0.0	100.0
Georgia Tibilisi	373	0.0	100.0
Georgia Tibilisi	374	0.0	100.0
Georgia Tibilisi	375	0.0	100.0
Georgia Tibilisi	376	0.0	100.0
Georgia Tibilisi	377	0.0	100.0
Georgia Tibilisi	378	0.0	100.0
Georgia Tibilisi	379	0.0	100.0
Georgia Tibilisi	380	0.0	100.0
Georgia Tibilisi	381	0.0	100.0
Georgia Tibilisi	382	0.0	100.0
Georgia Tibilisi	383	0.0	100.0
Georgia Tibilisi	384	0.0	100.0
Georgia Tibilisi	385	0.0	100.0
Georgia Tibilisi	386	0.0	100.0
Georgia Tibilisi	387	0.0	100.0
