class I
population/area	coverage	average_hit	pc90
Germany DKMS - Italy minority	100.0%	33363.13	18274.93
average	100.0%	33363.13	18274.93
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - Italy minority	0	0.0	100.0
Germany DKMS - Italy minority	1	0.0	100.0
Germany DKMS - Italy minority	2	0.0	100.0
Germany DKMS - Italy minority	3	0.0	100.0
Germany DKMS - Italy minority	4	0.0	100.0
Germany DKMS - Italy minority	5	0.0	100.0
Germany DKMS - Italy minority	6	0.0	100.0
Germany DKMS - Italy minority	7	0.0	100.0
Germany DKMS - Italy minority	8	0.0	100.0
Germany DKMS - Italy minority	9	0.0	100.0
Germany DKMS - Italy minority	10	0.0	100.0
Germany DKMS - Italy minority	11	0.0	100.0
Germany DKMS - Italy minority	12	0.0	100.0
Germany DKMS - Italy minority	13	0.0	100.0
Germany DKMS - Italy minority	14	0.0	100.0
Germany DKMS - Italy minority	15	0.0	100.0
Germany DKMS - Italy minority	16	0.0	100.0
Germany DKMS - Italy minority	17	0.0	100.0
Germany DKMS - Italy minority	18	0.0	100.0
Germany DKMS - Italy minority	19	0.0	100.0
Germany DKMS - Italy minority	20	0.0	100.0
Germany DKMS - Italy minority	21	0.0	100.0
Germany DKMS - Italy minority	22	0.0	100.0
Germany DKMS - Italy minority	23	0.0	100.0
Germany DKMS - Italy minority	24	0.0	100.0
Germany DKMS - Italy minority	25	0.0	100.0
Germany DKMS - Italy minority	26	0.0	100.0
Germany DKMS - Italy minority	27	0.0	100.0
Germany DKMS - Italy minority	28	0.0	100.0
Germany DKMS - Italy minority	29	0.0	100.0
Germany DKMS - Italy minority	30	0.0	100.0
Germany DKMS - Italy minority	31	0.0	100.0
Germany DKMS - Italy minority	32	0.0	100.0
Germany DKMS - Italy minority	33	0.0	100.0
Germany DKMS - Italy minority	34	0.0	100.0
Germany DKMS - Italy minority	35	0.0	100.0
Germany DKMS - Italy minority	36	0.0	100.0
Germany DKMS - Italy minority	37	0.0	100.0
Germany DKMS - Italy minority	38	0.0	100.0
Germany DKMS - Italy minority	39	0.0	100.0
Germany DKMS - Italy minority	40	0.0	100.0
Germany DKMS - Italy minority	41	0.0	100.0
Germany DKMS - Italy minority	42	0.0	100.0
Germany DKMS - Italy minority	43	0.0	100.0
Germany DKMS - Italy minority	44	0.0	100.0
Germany DKMS - Italy minority	45	0.0	100.0
Germany DKMS - Italy minority	46	0.0	100.0
Germany DKMS - Italy minority	47	0.0	100.0
Germany DKMS - Italy minority	48	0.0	100.0
Germany DKMS - Italy minority	49	0.0	100.0
Germany DKMS - Italy minority	50	0.0	100.0
Germany DKMS - Italy minority	51	0.0	100.0
Germany DKMS - Italy minority	52	0.0	100.0
Germany DKMS - Italy minority	53	0.0	100.0
Germany DKMS - Italy minority	54	0.0	100.0
Germany DKMS - Italy minority	55	0.0	100.0
Germany DKMS - Italy minority	56	0.0	100.0
Germany DKMS - Italy minority	57	0.0	100.0
Germany DKMS - Italy minority	58	0.0	100.0
Germany DKMS - Italy minority	59	0.0	100.0
Germany DKMS - Italy minority	60	0.0	100.0
Germany DKMS - Italy minority	61	0.0	100.0
Germany DKMS - Italy minority	62	0.0	100.0
Germany DKMS - Italy minority	63	0.0	100.0
Germany DKMS - Italy minority	64	0.0	100.0
Germany DKMS - Italy minority	65	0.0	100.0
Germany DKMS - Italy minority	66	0.0	100.0
Germany DKMS - Italy minority	67	0.0	100.0
Germany DKMS - Italy minority	68	0.0	100.0
Germany DKMS - Italy minority	69	0.0	100.0
Germany DKMS - Italy minority	70	0.0	100.0
Germany DKMS - Italy minority	71	0.0	100.0
