class I
population/area	coverage	average_hit	pc90
Germany DKMS - Netherlands minority	100.0%	41948.82	27466.95
average	100.0%	41948.82	27466.95
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - Netherlands minority	0	0.0	100.0
Germany DKMS - Netherlands minority	1	0.0	100.0
Germany DKMS - Netherlands minority	2	0.0	100.0
Germany DKMS - Netherlands minority	3	0.0	100.0
Germany DKMS - Netherlands minority	4	0.0	100.0
Germany DKMS - Netherlands minority	5	0.0	100.0
Germany DKMS - Netherlands minority	6	0.0	100.0
Germany DKMS - Netherlands minority	7	0.0	100.0
Germany DKMS - Netherlands minority	8	0.0	100.0
Germany DKMS - Netherlands minority	9	0.0	100.0
Germany DKMS - Netherlands minority	10	0.0	100.0
Germany DKMS - Netherlands minority	11	0.0	100.0
Germany DKMS - Netherlands minority	12	0.0	100.0
Germany DKMS - Netherlands minority	13	0.0	100.0
Germany DKMS - Netherlands minority	14	0.0	100.0
Germany DKMS - Netherlands minority	15	0.0	100.0
Germany DKMS - Netherlands minority	16	0.0	100.0
Germany DKMS - Netherlands minority	17	0.0	100.0
Germany DKMS - Netherlands minority	18	0.0	100.0
Germany DKMS - Netherlands minority	19	0.0	100.0
Germany DKMS - Netherlands minority	20	0.0	100.0
Germany DKMS - Netherlands minority	21	0.0	100.0
Germany DKMS - Netherlands minority	22	0.0	100.0
Germany DKMS - Netherlands minority	23	0.0	100.0
Germany DKMS - Netherlands minority	24	0.0	100.0
Germany DKMS - Netherlands minority	25	0.0	100.0
Germany DKMS - Netherlands minority	26	0.0	100.0
Germany DKMS - Netherlands minority	27	0.0	100.0
Germany DKMS - Netherlands minority	28	0.0	100.0
Germany DKMS - Netherlands minority	29	0.0	100.0
Germany DKMS - Netherlands minority	30	0.0	100.0
Germany DKMS - Netherlands minority	31	0.0	100.0
Germany DKMS - Netherlands minority	32	0.0	100.0
Germany DKMS - Netherlands minority	33	0.0	100.0
Germany DKMS - Netherlands minority	34	0.0	100.0
Germany DKMS - Netherlands minority	35	0.0	100.0
Germany DKMS - Netherlands minority	36	0.0	100.0
Germany DKMS - Netherlands minority	37	0.0	100.0
Germany DKMS - Netherlands minority	38	0.0	100.0
Germany DKMS - Netherlands minority	39	0.0	100.0
Germany DKMS - Netherlands minority	40	0.0	100.0
Germany DKMS - Netherlands minority	41	0.0	100.0
Germany DKMS - Netherlands minority	42	0.0	100.0
Germany DKMS - Netherlands minority	43	0.0	100.0
Germany DKMS - Netherlands minority	44	0.0	100.0
Germany DKMS - Netherlands minority	45	0.0	100.0
Germany DKMS - Netherlands minority	46	0.0	100.0
Germany DKMS - Netherlands minority	47	0.0	100.0
Germany DKMS - Netherlands minority	48	0.0	100.0
Germany DKMS - Netherlands minority	49	0.0	100.0
Germany DKMS - Netherlands minority	50	0.0	100.0
Germany DKMS - Netherlands minority	51	0.0	100.0
Germany DKMS - Netherlands minority	52	0.0	100.0
Germany DKMS - Netherlands minority	53	0.0	100.0
Germany DKMS - Netherlands minority	54	0.0	100.0
Germany DKMS - Netherlands minority	55	0.0	100.0
Germany DKMS - Netherlands minority	56	0.0	100.0
Germany DKMS - Netherlands minority	57	0.0	100.0
Germany DKMS - Netherlands minority	58	0.0	100.0
Germany DKMS - Netherlands minority	59	0.0	100.0
Germany DKMS - Netherlands minority	60	0.0	100.0
Germany DKMS - Netherlands minority	61	0.0	100.0
Germany DKMS - Netherlands minority	62	0.0	100.0
Germany DKMS - Netherlands minority	63	0.0	100.0
Germany DKMS - Netherlands minority	64	0.0	100.0
Germany DKMS - Netherlands minority	65	0.0	100.0
Germany DKMS - Netherlands minority	66	0.0	100.0
Germany DKMS - Netherlands minority	67	0.0	100.0
Germany DKMS - Netherlands minority	68	0.0	100.0
Germany DKMS - Netherlands minority	69	0.0	100.0
Germany DKMS - Netherlands minority	70	0.0	100.0
Germany DKMS - Netherlands minority	71	0.0	100.0
Germany DKMS - Netherlands minority	72	0.0	100.0
Germany DKMS - Netherlands minority	73	0.0	100.0
Germany DKMS - Netherlands minority	74	0.0	100.0
Germany DKMS - Netherlands minority	75	0.0	100.0
Germany DKMS - Netherlands minority	76	0.0	100.0
Germany DKMS - Netherlands minority	77	0.0	100.0
Germany DKMS - Netherlands minority	78	0.0	100.0
Germany DKMS - Netherlands minority	79	0.0	100.0
Germany DKMS - Netherlands minority	80	0.0	100.0
Germany DKMS - Netherlands minority	81	0.0	100.0
Germany DKMS - Netherlands minority	82	0.0	100.0
Germany DKMS - Netherlands minority	83	0.0	100.0
Germany DKMS - Netherlands minority	84	0.0	100.0
Germany DKMS - Netherlands minority	85	0.0	100.0
Germany DKMS - Netherlands minority	86	0.0	100.0
Germany DKMS - Netherlands minority	87	0.0	100.0
Germany DKMS - Netherlands minority	88	0.0	100.0
Germany DKMS - Netherlands minority	89	0.0	100.0
Germany DKMS - Netherlands minority	90	0.0	100.0
Germany DKMS - Netherlands minority	91	0.0	100.0
Germany DKMS - Netherlands minority	92	0.0	100.0
Germany DKMS - Netherlands minority	93	0.0	100.0
Germany DKMS - Netherlands minority	94	0.0	100.0
Germany DKMS - Netherlands minority	95	0.0	100.0
Germany DKMS - Netherlands minority	96	0.0	100.0
Germany DKMS - Netherlands minority	97	0.0	100.0
Germany DKMS - Netherlands minority	98	0.0	100.0
Germany DKMS - Netherlands minority	99	0.0	100.0
Germany DKMS - Netherlands minority	100	0.0	100.0
Germany DKMS - Netherlands minority	101	0.0	100.0
Germany DKMS - Netherlands minority	102	0.0	100.0
Germany DKMS - Netherlands minority	103	0.0	100.0
Germany DKMS - Netherlands minority	104	0.0	100.0
Germany DKMS - Netherlands minority	105	0.0	100.0
Germany DKMS - Netherlands minority	106	0.0	100.0
Germany DKMS - Netherlands minority	107	0.0	100.0
Germany DKMS - Netherlands minority	108	0.0	100.0
Germany DKMS - Netherlands minority	109	0.0	100.0
Germany DKMS - Netherlands minority	110	0.0	100.0
Germany DKMS - Netherlands minority	111	0.0	100.0
Germany DKMS - Netherlands minority	112	0.0	100.0
Germany DKMS - Netherlands minority	113	0.0	100.0
Germany DKMS - Netherlands minority	114	0.0	100.0
Germany DKMS - Netherlands minority	115	0.0	100.0
Germany DKMS - Netherlands minority	116	0.0	100.0
Germany DKMS - Netherlands minority	117	0.0	100.0
Germany DKMS - Netherlands minority	118	0.0	100.0
Germany DKMS - Netherlands minority	119	0.0	100.0
Germany DKMS - Netherlands minority	120	0.0	100.0
Germany DKMS - Netherlands minority	121	0.0	100.0
Germany DKMS - Netherlands minority	122	0.0	100.0
Germany DKMS - Netherlands minority	123	0.0	100.0
Germany DKMS - Netherlands minority	124	0.0	100.0
Germany DKMS - Netherlands minority	125	0.0	100.0
Germany DKMS - Netherlands minority	126	0.0	100.0
Germany DKMS - Netherlands minority	127	0.0	100.0
Germany DKMS - Netherlands minority	128	0.0	100.0
Germany DKMS - Netherlands minority	129	0.0	100.0
Germany DKMS - Netherlands minority	130	0.0	100.0
Germany DKMS - Netherlands minority	131	0.0	100.0
Germany DKMS - Netherlands minority	132	0.0	100.0
Germany DKMS - Netherlands minority	133	0.0	100.0
Germany DKMS - Netherlands minority	134	0.0	100.0
Germany DKMS - Netherlands minority	135	0.0	100.0
Germany DKMS - Netherlands minority	136	0.0	100.0
Germany DKMS - Netherlands minority	137	0.0	100.0
Germany DKMS - Netherlands minority	138	0.0	100.0
Germany DKMS - Netherlands minority	139	0.0	100.0
Germany DKMS - Netherlands minority	140	0.0	100.0
Germany DKMS - Netherlands minority	141	0.0	100.0
Germany DKMS - Netherlands minority	142	0.0	100.0
Germany DKMS - Netherlands minority	143	0.0	100.0
Germany DKMS - Netherlands minority	144	0.0	100.0
Germany DKMS - Netherlands minority	145	0.0	100.0
Germany DKMS - Netherlands minority	146	0.0	100.0
Germany DKMS - Netherlands minority	147	0.0	100.0
Germany DKMS - Netherlands minority	148	0.0	100.0
Germany DKMS - Netherlands minority	149	0.0	100.0
Germany DKMS - Netherlands minority	150	0.0	100.0
Germany DKMS - Netherlands minority	151	0.0	100.0
Germany DKMS - Netherlands minority	152	0.0	100.0
Germany DKMS - Netherlands minority	153	0.0	100.0
Germany DKMS - Netherlands minority	154	0.0	100.0
Germany DKMS - Netherlands minority	155	0.0	100.0
Germany DKMS - Netherlands minority	156	0.0	100.0
Germany DKMS - Netherlands minority	157	0.0	100.0
Germany DKMS - Netherlands minority	158	0.0	100.0
Germany DKMS - Netherlands minority	159	0.0	100.0
Germany DKMS - Netherlands minority	160	0.0	100.0
Germany DKMS - Netherlands minority	161	0.0	100.0
Germany DKMS - Netherlands minority	162	0.0	100.0
Germany DKMS - Netherlands minority	163	0.0	100.0
Germany DKMS - Netherlands minority	164	0.0	100.0
Germany DKMS - Netherlands minority	165	0.0	100.0
Germany DKMS - Netherlands minority	166	0.0	100.0
Germany DKMS - Netherlands minority	167	0.0	100.0
Germany DKMS - Netherlands minority	168	0.0	100.0
Germany DKMS - Netherlands minority	169	0.0	100.0
Germany DKMS - Netherlands minority	170	0.0	100.0
Germany DKMS - Netherlands minority	171	0.0	100.0
Germany DKMS - Netherlands minority	172	0.0	100.0
Germany DKMS - Netherlands minority	173	0.0	100.0
Germany DKMS - Netherlands minority	174	0.0	100.0
Germany DKMS - Netherlands minority	175	0.0	100.0
Germany DKMS - Netherlands minority	176	0.0	100.0
Germany DKMS - Netherlands minority	177	0.0	100.0
Germany DKMS - Netherlands minority	178	0.0	100.0
Germany DKMS - Netherlands minority	179	0.0	100.0
Germany DKMS - Netherlands minority	180	0.0	100.0
Germany DKMS - Netherlands minority	181	0.0	100.0
Germany DKMS - Netherlands minority	182	0.0	100.0
Germany DKMS - Netherlands minority	183	0.0	100.0
Germany DKMS - Netherlands minority	184	0.0	100.0
Germany DKMS - Netherlands minority	185	0.0	100.0
Germany DKMS - Netherlands minority	186	0.0	100.0
Germany DKMS - Netherlands minority	187	0.0	100.0
Germany DKMS - Netherlands minority	188	0.0	100.0
Germany DKMS - Netherlands minority	189	0.0	100.0
Germany DKMS - Netherlands minority	190	0.0	100.0
Germany DKMS - Netherlands minority	191	0.0	100.0
Germany DKMS - Netherlands minority	192	0.0	100.0
Germany DKMS - Netherlands minority	193	0.0	100.0
Germany DKMS - Netherlands minority	194	0.0	100.0
Germany DKMS - Netherlands minority	195	0.0	100.0
Germany DKMS - Netherlands minority	196	0.0	100.0
Germany DKMS - Netherlands minority	197	0.0	100.0
Germany DKMS - Netherlands minority	198	0.0	100.0
Germany DKMS - Netherlands minority	199	0.0	100.0
Germany DKMS - Netherlands minority	200	0.0	100.0
Germany DKMS - Netherlands minority	201	0.0	100.0
Germany DKMS - Netherlands minority	202	0.0	100.0
Germany DKMS - Netherlands minority	203	0.0	100.0
Germany DKMS - Netherlands minority	204	0.0	100.0
Germany DKMS - Netherlands minority	205	0.0	100.0
Germany DKMS - Netherlands minority	206	0.0	100.0
Germany DKMS - Netherlands minority	207	0.0	100.0
Germany DKMS - Netherlands minority	208	0.0	100.0
Germany DKMS - Netherlands minority	209	0.0	100.0
Germany DKMS - Netherlands minority	210	0.0	100.0
Germany DKMS - Netherlands minority	211	0.0	100.0
Germany DKMS - Netherlands minority	212	0.0	100.0
Germany DKMS - Netherlands minority	213	0.0	100.0
Germany DKMS - Netherlands minority	214	0.0	100.0
Germany DKMS - Netherlands minority	215	0.0	100.0
Germany DKMS - Netherlands minority	216	0.0	100.0
Germany DKMS - Netherlands minority	217	0.0	100.0
Germany DKMS - Netherlands minority	218	0.0	100.0
Germany DKMS - Netherlands minority	219	0.0	100.0
Germany DKMS - Netherlands minority	220	0.0	100.0
Germany DKMS - Netherlands minority	221	0.0	100.0
Germany DKMS - Netherlands minority	222	0.0	100.0
Germany DKMS - Netherlands minority	223	0.0	100.0
Germany DKMS - Netherlands minority	224	0.0	100.0
Germany DKMS - Netherlands minority	225	0.0	100.0
Germany DKMS - Netherlands minority	226	0.0	100.0
Germany DKMS - Netherlands minority	227	0.0	100.0
Germany DKMS - Netherlands minority	228	0.0	100.0
Germany DKMS - Netherlands minority	229	0.0	100.0
Germany DKMS - Netherlands minority	230	0.0	100.0
Germany DKMS - Netherlands minority	231	0.0	100.0
Germany DKMS - Netherlands minority	232	0.0	100.0
Germany DKMS - Netherlands minority	233	0.0	100.0
Germany DKMS - Netherlands minority	234	0.0	100.0
Germany DKMS - Netherlands minority	235	0.0	100.0
Germany DKMS - Netherlands minority	236	0.0	100.0
Germany DKMS - Netherlands minority	237	0.0	100.0
Germany DKMS - Netherlands minority	238	0.0	100.0
Germany DKMS - Netherlands minority	239	0.0	100.0
Germany DKMS - Netherlands minority	240	0.0	100.0
Germany DKMS - Netherlands minority	241	0.0	100.0
Germany DKMS - Netherlands minority	242	0.0	100.0
Germany DKMS - Netherlands minority	243	0.0	100.0
Germany DKMS - Netherlands minority	244	0.0	100.0
Germany DKMS - Netherlands minority	245	0.0	100.0
Germany DKMS - Netherlands minority	246	0.0	100.0
Germany DKMS - Netherlands minority	247	0.0	100.0
Germany DKMS - Netherlands minority	248	0.0	100.0
Germany DKMS - Netherlands minority	249	0.0	100.0
Germany DKMS - Netherlands minority	250	0.0	100.0
Germany DKMS - Netherlands minority	251	0.0	100.0
Germany DKMS - Netherlands minority	252	0.0	100.0
Germany DKMS - Netherlands minority	253	0.0	100.0
Germany DKMS - Netherlands minority	254	0.0	100.0
Germany DKMS - Netherlands minority	255	0.0	100.0
Germany DKMS - Netherlands minority	256	0.0	100.0
Germany DKMS - Netherlands minority	257	0.0	100.0
Germany DKMS - Netherlands minority	258	0.0	100.0
Germany DKMS - Netherlands minority	259	0.0	100.0
Germany DKMS - Netherlands minority	260	0.0	100.0
Germany DKMS - Netherlands minority	261	0.0	100.0
Germany DKMS - Netherlands minority	262	0.0	100.0
Germany DKMS - Netherlands minority	263	0.0	100.0
Germany DKMS - Netherlands minority	264	0.0	100.0
Germany DKMS - Netherlands minority	265	0.0	100.0
Germany DKMS - Netherlands minority	266	0.0	100.0
Germany DKMS - Netherlands minority	267	0.0	100.0
Germany DKMS - Netherlands minority	268	0.0	100.0
Germany DKMS - Netherlands minority	269	0.0	100.0
Germany DKMS - Netherlands minority	270	0.0	100.0
Germany DKMS - Netherlands minority	271	0.0	100.0
Germany DKMS - Netherlands minority	272	0.0	100.0
Germany DKMS - Netherlands minority	273	0.0	100.0
Germany DKMS - Netherlands minority	274	0.0	100.0
Germany DKMS - Netherlands minority	275	0.0	100.0
Germany DKMS - Netherlands minority	276	0.0	100.0
Germany DKMS - Netherlands minority	277	0.0	100.0
Germany DKMS - Netherlands minority	278	0.0	100.0
Germany DKMS - Netherlands minority	279	0.0	100.0
Germany DKMS - Netherlands minority	280	0.0	100.0
Germany DKMS - Netherlands minority	281	0.0	100.0
Germany DKMS - Netherlands minority	282	0.0	100.0
Germany DKMS - Netherlands minority	283	0.0	100.0
Germany DKMS - Netherlands minority	284	0.0	100.0
Germany DKMS - Netherlands minority	285	0.0	100.0
Germany DKMS - Netherlands minority	286	0.0	100.0
Germany DKMS - Netherlands minority	287	0.0	100.0
Germany DKMS - Netherlands minority	288	0.0	100.0
Germany DKMS - Netherlands minority	289	0.0	100.0
Germany DKMS - Netherlands minority	290	0.0	100.0
Germany DKMS - Netherlands minority	291	0.0	100.0
Germany DKMS - Netherlands minority	292	0.0	100.0
Germany DKMS - Netherlands minority	293	0.0	100.0
Germany DKMS - Netherlands minority	294	0.0	100.0
Germany DKMS - Netherlands minority	295	0.0	100.0
Germany DKMS - Netherlands minority	296	0.0	100.0
Germany DKMS - Netherlands minority	297	0.0	100.0
Germany DKMS - Netherlands minority	298	0.0	100.0
Germany DKMS - Netherlands minority	299	0.0	100.0
Germany DKMS - Netherlands minority	300	0.0	100.0
Germany DKMS - Netherlands minority	301	0.0	100.0
Germany DKMS - Netherlands minority	302	0.0	100.0
Germany DKMS - Netherlands minority	303	0.0	100.0
Germany DKMS - Netherlands minority	304	0.0	100.0
Germany DKMS - Netherlands minority	305	0.0	100.0
Germany DKMS - Netherlands minority	306	0.0	100.0
Germany DKMS - Netherlands minority	307	0.0	100.0
Germany DKMS - Netherlands minority	308	0.0	100.0
Germany DKMS - Netherlands minority	309	0.0	100.0
Germany DKMS - Netherlands minority	310	0.0	100.0
Germany DKMS - Netherlands minority	311	0.0	100.0
Germany DKMS - Netherlands minority	312	0.0	100.0
Germany DKMS - Netherlands minority	313	0.0	100.0
Germany DKMS - Netherlands minority	314	0.0	100.0
Germany DKMS - Netherlands minority	315	0.0	100.0
Germany DKMS - Netherlands minority	316	0.0	100.0
Germany DKMS - Netherlands minority	317	0.0	100.0
Germany DKMS - Netherlands minority	318	0.0	100.0
Germany DKMS - Netherlands minority	319	0.0	100.0
Germany DKMS - Netherlands minority	320	0.0	100.0
Germany DKMS - Netherlands minority	321	0.0	100.0
Germany DKMS - Netherlands minority	322	0.0	100.0
Germany DKMS - Netherlands minority	323	0.0	100.0
Germany DKMS - Netherlands minority	324	0.0	100.0
Germany DKMS - Netherlands minority	325	0.0	100.0
Germany DKMS - Netherlands minority	326	0.0	100.0
Germany DKMS - Netherlands minority	327	0.0	100.0
Germany DKMS - Netherlands minority	328	0.0	100.0
Germany DKMS - Netherlands minority	329	0.0	100.0
Germany DKMS - Netherlands minority	330	0.0	100.0
Germany DKMS - Netherlands minority	331	0.0	100.0
Germany DKMS - Netherlands minority	332	0.0	100.0
Germany DKMS - Netherlands minority	333	0.0	100.0
Germany DKMS - Netherlands minority	334	0.0	100.0
Germany DKMS - Netherlands minority	335	0.0	100.0
Germany DKMS - Netherlands minority	336	0.0	100.0
Germany DKMS - Netherlands minority	337	0.0	100.0
Germany DKMS - Netherlands minority	338	0.0	100.0
Germany DKMS - Netherlands minority	339	0.0	100.0
Germany DKMS - Netherlands minority	340	0.0	100.0
Germany DKMS - Netherlands minority	341	0.0	100.0
Germany DKMS - Netherlands minority	342	0.0	100.0
Germany DKMS - Netherlands minority	343	0.0	100.0
Germany DKMS - Netherlands minority	344	0.0	100.0
Germany DKMS - Netherlands minority	345	0.0	100.0
Germany DKMS - Netherlands minority	346	0.0	100.0
Germany DKMS - Netherlands minority	347	0.0	100.0
Germany DKMS - Netherlands minority	348	0.0	100.0
Germany DKMS - Netherlands minority	349	0.0	100.0
Germany DKMS - Netherlands minority	350	0.0	100.0
Germany DKMS - Netherlands minority	351	0.0	100.0
