class I
population/area	coverage	average_hit	pc90
Germany DKMS - Spain minority	100.0%	36466.95	21347.19
average	100.0%	36466.95	21347.19
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Germany DKMS - Spain minority	0	0.0	100.0
Germany DKMS - Spain minority	1	0.0	100.0
Germany DKMS - Spain minority	2	0.0	100.0
Germany DKMS - Spain minority	3	0.0	100.0
Germany DKMS - Spain minority	4	0.0	100.0
Germany DKMS - Spain minority	5	0.0	100.0
Germany DKMS - Spain minority	6	0.0	100.0
Germany DKMS - Spain minority	7	0.0	100.0
Germany DKMS - Spain minority	8	0.0	100.0
Germany DKMS - Spain minority	9	0.0	100.0
Germany DKMS - Spain minority	10	0.0	100.0
Germany DKMS - Spain minority	11	0.0	100.0
Germany DKMS - Spain minority	12	0.0	100.0
Germany DKMS - Spain minority	13	0.0	100.0
Germany DKMS - Spain minority	14	0.0	100.0
Germany DKMS - Spain minority	15	0.0	100.0
Germany DKMS - Spain minority	16	0.0	100.0
Germany DKMS - Spain minority	17	0.0	100.0
Germany DKMS - Spain minority	18	0.0	100.0
Germany DKMS - Spain minority	19	0.0	100.0
Germany DKMS - Spain minority	20	0.0	100.0
Germany DKMS - Spain minority	21	0.0	100.0
Germany DKMS - Spain minority	22	0.0	100.0
Germany DKMS - Spain minority	23	0.0	100.0
Germany DKMS - Spain minority	24	0.0	100.0
Germany DKMS - Spain minority	25	0.0	100.0
Germany DKMS - Spain minority	26	0.0	100.0
Germany DKMS - Spain minority	27	0.0	100.0
Germany DKMS - Spain minority	28	0.0	100.0
Germany DKMS - Spain minority	29	0.0	100.0
Germany DKMS - Spain minority	30	0.0	100.0
Germany DKMS - Spain minority	31	0.0	100.0
Germany DKMS - Spain minority	32	0.0	100.0
Germany DKMS - Spain minority	33	0.0	100.0
Germany DKMS - Spain minority	34	0.0	100.0
Germany DKMS - Spain minority	35	0.0	100.0
Germany DKMS - Spain minority	36	0.0	100.0
Germany DKMS - Spain minority	37	0.0	100.0
Germany DKMS - Spain minority	38	0.0	100.0
Germany DKMS - Spain minority	39	0.0	100.0
Germany DKMS - Spain minority	40	0.0	100.0
Germany DKMS - Spain minority	41	0.0	100.0
Germany DKMS - Spain minority	42	0.0	100.0
Germany DKMS - Spain minority	43	0.0	100.0
Germany DKMS - Spain minority	44	0.0	100.0
Germany DKMS - Spain minority	45	0.0	100.0
Germany DKMS - Spain minority	46	0.0	100.0
Germany DKMS - Spain minority	47	0.0	100.0
Germany DKMS - Spain minority	48	0.0	100.0
Germany DKMS - Spain minority	49	0.0	100.0
Germany DKMS - Spain minority	50	0.0	100.0
Germany DKMS - Spain minority	51	0.0	100.0
Germany DKMS - Spain minority	52	0.0	100.0
Germany DKMS - Spain minority	53	0.0	100.0
Germany DKMS - Spain minority	54	0.0	100.0
Germany DKMS - Spain minority	55	0.0	100.0
Germany DKMS - Spain minority	56	0.0	100.0
Germany DKMS - Spain minority	57	0.0	100.0
Germany DKMS - Spain minority	58	0.0	100.0
Germany DKMS - Spain minority	59	0.0	100.0
