class I
population/area	coverage	average_hit	pc90
Ghana Ga-Adangbe	100.0%	27002.77	14518.12
average	100.0%	27002.77	14518.12
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Ghana Ga-Adangbe	0	0.0	100.0
Ghana Ga-Adangbe	1	0.0	100.0
Ghana Ga-Adangbe	2	0.0	100.0
Ghana Ga-Adangbe	3	0.0	100.0
Ghana Ga-Adangbe	4	0.0	100.0
Ghana Ga-Adangbe	5	0.0	100.0
Ghana Ga-Adangbe	6	0.0	100.0
Ghana Ga-Adangbe	7	0.0	100.0
Ghana Ga-Adangbe	8	0.0	100.0
Ghana Ga-Adangbe	9	0.0	100.0
Ghana Ga-Adangbe	10	0.0	100.0
Ghana Ga-Adangbe	11	0.0	100.0
Ghana Ga-Adangbe	12	0.0	100.0
Ghana Ga-Adangbe	13	0.0	100.0
Ghana Ga-Adangbe	14	0.0	100.0
Ghana Ga-Adangbe	15	0.0	100.0
Ghana Ga-Adangbe	16	0.0	100.0
Ghana Ga-Adangbe	17	0.0	100.0
Ghana Ga-Adangbe	18	0.0	100.0
Ghana Ga-Adangbe	19	0.0	100.0
Ghana Ga-Adangbe	20	0.0	100.0
Ghana Ga-Adangbe	21	0.0	100.0
Ghana Ga-Adangbe	22	0.0	100.0
Ghana Ga-Adangbe	23	0.0	100.0
Ghana Ga-Adangbe	24	0.0	100.0
Ghana Ga-Adangbe	25	0.0	100.0
Ghana Ga-Adangbe	26	0.0	100.0
Ghana Ga-Adangbe	27	0.0	100.0
Ghana Ga-Adangbe	28	0.0	100.0
Ghana Ga-Adangbe	29	0.0	100.0
Ghana Ga-Adangbe	30	0.0	100.0
Ghana Ga-Adangbe	31	0.0	100.0
Ghana Ga-Adangbe	32	0.0	100.0
Ghana Ga-Adangbe	33	0.0	100.0
Ghana Ga-Adangbe	34	0.0	100.0
Ghana Ga-Adangbe	35	0.0	100.0
Ghana Ga-Adangbe	36	0.0	100.0
Ghana Ga-Adangbe	37	0.0	100.0
Ghana Ga-Adangbe	38	0.0	100.0
Ghana Ga-Adangbe	39	0.0	100.0
Ghana Ga-Adangbe	40	0.0	100.0
Ghana Ga-Adangbe	41	0.0	100.0
Ghana Ga-Adangbe	42	0.0	100.0
Ghana Ga-Adangbe	43	0.0	100.0
Ghana Ga-Adangbe	44	0.0	100.0
Ghana Ga-Adangbe	45	0.0	100.0
Ghana Ga-Adangbe	46	0.0	100.0
Ghana Ga-Adangbe	47	0.0	100.0
Ghana Ga-Adangbe	48	0.0	100.0
Ghana Ga-Adangbe	49	0.0	100.0
Ghana Ga-Adangbe	50	0.0	100.0
Ghana Ga-Adangbe	51	0.0	100.0
Ghana Ga-Adangbe	52	0.0	100.0
Ghana Ga-Adangbe	53	0.0	100.0
Ghana Ga-Adangbe	54	0.0	100.0
Ghana Ga-Adangbe	55	0.0	100.0
Ghana Ga-Adangbe	56	0.0	100.0
Ghana Ga-Adangbe	57	0.0	100.0
Ghana Ga-Adangbe	58	0.0	100.0
Ghana Ga-Adangbe	59	0.0	100.0
Ghana Ga-Adangbe	60	0.0	100.0
Ghana Ga-Adangbe	61	0.0	100.0
Ghana Ga-Adangbe	62	0.0	100.0
Ghana Ga-Adangbe	63	0.0	100.0
