class I
population/area	coverage	average_hit	pc90
India Andhra Pradesh Telugu Speaking	100.0%	23395.62	10511.98
average	100.0%	23395.62	10511.98
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Andhra Pradesh Telugu Speaking	0	0.0	100.0
India Andhra Pradesh Telugu Speaking	1	0.0	100.0
India Andhra Pradesh Telugu Speaking	2	0.0	100.0
India Andhra Pradesh Telugu Speaking	3	0.0	100.0
India Andhra Pradesh Telugu Speaking	4	0.0	99.99
India Andhra Pradesh Telugu Speaking	5	0.0	99.99
India Andhra Pradesh Telugu Speaking	6	0.0	99.99
India Andhra Pradesh Telugu Speaking	7	0.0	99.99
India Andhra Pradesh Telugu Speaking	8	0.0	99.99
India Andhra Pradesh Telugu Speaking	9	0.0	99.99
India Andhra Pradesh Telugu Speaking	10	0.0	99.99
India Andhra Pradesh Telugu Speaking	11	0.0	99.99
India Andhra Pradesh Telugu Speaking	12	0.0	99.99
India Andhra Pradesh Telugu Speaking	13	0.0	99.99
India Andhra Pradesh Telugu Speaking	14	0.0	99.99
India Andhra Pradesh Telugu Speaking	15	0.0	99.99
India Andhra Pradesh Telugu Speaking	16	0.0	99.99
India Andhra Pradesh Telugu Speaking	17	0.0	99.99
India Andhra Pradesh Telugu Speaking	18	0.0	99.99
India Andhra Pradesh Telugu Speaking	19	0.0	99.99
India Andhra Pradesh Telugu Speaking	20	0.0	99.99
India Andhra Pradesh Telugu Speaking	21	0.0	99.99
India Andhra Pradesh Telugu Speaking	22	0.0	99.99
India Andhra Pradesh Telugu Speaking	23	0.0	99.99
India Andhra Pradesh Telugu Speaking	24	0.0	99.99
India Andhra Pradesh Telugu Speaking	25	0.0	99.99
India Andhra Pradesh Telugu Speaking	26	0.0	99.99
India Andhra Pradesh Telugu Speaking	27	0.0	99.99
India Andhra Pradesh Telugu Speaking	28	0.0	99.99
India Andhra Pradesh Telugu Speaking	29	0.0	99.99
India Andhra Pradesh Telugu Speaking	30	0.0	99.99
India Andhra Pradesh Telugu Speaking	31	0.0	99.99
India Andhra Pradesh Telugu Speaking	32	0.0	99.99
India Andhra Pradesh Telugu Speaking	33	0.0	99.99
India Andhra Pradesh Telugu Speaking	34	0.0	99.99
India Andhra Pradesh Telugu Speaking	35	0.0	99.99
India Andhra Pradesh Telugu Speaking	36	0.0	99.99
India Andhra Pradesh Telugu Speaking	37	0.0	99.99
India Andhra Pradesh Telugu Speaking	38	0.0	99.99
India Andhra Pradesh Telugu Speaking	39	0.0	99.99
India Andhra Pradesh Telugu Speaking	40	0.0	99.99
India Andhra Pradesh Telugu Speaking	41	0.0	99.99
India Andhra Pradesh Telugu Speaking	42	0.0	99.99
India Andhra Pradesh Telugu Speaking	43	0.0	99.99
India Andhra Pradesh Telugu Speaking	44	0.0	99.99
India Andhra Pradesh Telugu Speaking	45	0.0	99.99
India Andhra Pradesh Telugu Speaking	46	0.0	99.99
India Andhra Pradesh Telugu Speaking	47	0.0	99.99
India Andhra Pradesh Telugu Speaking	48	0.0	99.99
India Andhra Pradesh Telugu Speaking	49	0.0	99.99
India Andhra Pradesh Telugu Speaking	50	0.0	99.99
India Andhra Pradesh Telugu Speaking	51	0.0	99.99
India Andhra Pradesh Telugu Speaking	52	0.0	99.99
India Andhra Pradesh Telugu Speaking	53	0.0	99.99
India Andhra Pradesh Telugu Speaking	54	0.0	99.99
India Andhra Pradesh Telugu Speaking	55	0.0	99.99
India Andhra Pradesh Telugu Speaking	56	0.0	99.99
India Andhra Pradesh Telugu Speaking	57	0.0	99.99
India Andhra Pradesh Telugu Speaking	58	0.0	99.99
India Andhra Pradesh Telugu Speaking	59	0.0	99.99
India Andhra Pradesh Telugu Speaking	60	0.0	99.99
India Andhra Pradesh Telugu Speaking	61	0.0	99.99
India Andhra Pradesh Telugu Speaking	62	0.0	99.99
India Andhra Pradesh Telugu Speaking	63	0.0	99.99
India Andhra Pradesh Telugu Speaking	64	0.0	99.99
India Andhra Pradesh Telugu Speaking	65	0.0	99.99
India Andhra Pradesh Telugu Speaking	66	0.0	99.99
India Andhra Pradesh Telugu Speaking	67	0.0	99.99
India Andhra Pradesh Telugu Speaking	68	0.0	99.99
India Andhra Pradesh Telugu Speaking	69	0.0	99.99
India Andhra Pradesh Telugu Speaking	70	0.0	99.99
India Andhra Pradesh Telugu Speaking	71	0.0	99.99
India Andhra Pradesh Telugu Speaking	72	0.0	99.99
India Andhra Pradesh Telugu Speaking	73	0.0	99.99
India Andhra Pradesh Telugu Speaking	74	0.0	99.99
India Andhra Pradesh Telugu Speaking	75	0.0	99.99
India Andhra Pradesh Telugu Speaking	76	0.0	99.99
India Andhra Pradesh Telugu Speaking	77	0.0	99.99
India Andhra Pradesh Telugu Speaking	78	0.0	99.99
India Andhra Pradesh Telugu Speaking	79	0.0	99.99
India Andhra Pradesh Telugu Speaking	80	0.0	99.99
India Andhra Pradesh Telugu Speaking	81	0.0	99.99
India Andhra Pradesh Telugu Speaking	82	0.0	99.99
India Andhra Pradesh Telugu Speaking	83	0.0	99.99
India Andhra Pradesh Telugu Speaking	84	0.0	99.99
India Andhra Pradesh Telugu Speaking	85	0.0	99.99
India Andhra Pradesh Telugu Speaking	86	0.0	99.99
India Andhra Pradesh Telugu Speaking	87	0.0	99.99
India Andhra Pradesh Telugu Speaking	88	0.0	99.99
India Andhra Pradesh Telugu Speaking	89	0.0	99.99
India Andhra Pradesh Telugu Speaking	90	0.0	99.99
India Andhra Pradesh Telugu Speaking	91	0.0	99.99
India Andhra Pradesh Telugu Speaking	92	0.0	99.99
India Andhra Pradesh Telugu Speaking	93	0.0	99.99
India Andhra Pradesh Telugu Speaking	94	0.0	99.99
India Andhra Pradesh Telugu Speaking	95	0.0	99.99
India Andhra Pradesh Telugu Speaking	96	0.0	99.99
India Andhra Pradesh Telugu Speaking	97	0.0	99.99
India Andhra Pradesh Telugu Speaking	98	0.0	99.99
India Andhra Pradesh Telugu Speaking	99	0.0	99.99
India Andhra Pradesh Telugu Speaking	100	0.0	99.99
India Andhra Pradesh Telugu Speaking	101	0.0	99.99
India Andhra Pradesh Telugu Speaking	102	0.0	99.99
India Andhra Pradesh Telugu Speaking	103	0.0	99.99
India Andhra Pradesh Telugu Speaking	104	0.0	99.99
India Andhra Pradesh Telugu Speaking	105	0.0	99.99
India Andhra Pradesh Telugu Speaking	106	0.0	99.99
India Andhra Pradesh Telugu Speaking	107	0.0	99.99
India Andhra Pradesh Telugu Speaking	108	0.0	99.99
India Andhra Pradesh Telugu Speaking	109	0.0	99.99
India Andhra Pradesh Telugu Speaking	110	0.0	99.99
India Andhra Pradesh Telugu Speaking	111	0.0	99.99
India Andhra Pradesh Telugu Speaking	112	0.0	99.99
India Andhra Pradesh Telugu Speaking	113	0.0	99.99
India Andhra Pradesh Telugu Speaking	114	0.0	99.99
India Andhra Pradesh Telugu Speaking	115	0.0	99.99
India Andhra Pradesh Telugu Speaking	116	0.0	99.99
India Andhra Pradesh Telugu Speaking	117	0.0	99.99
India Andhra Pradesh Telugu Speaking	118	0.0	99.99
India Andhra Pradesh Telugu Speaking	119	0.0	99.99
India Andhra Pradesh Telugu Speaking	120	0.0	99.99
India Andhra Pradesh Telugu Speaking	121	0.0	99.99
India Andhra Pradesh Telugu Speaking	122	0.0	99.99
India Andhra Pradesh Telugu Speaking	123	0.0	99.99
India Andhra Pradesh Telugu Speaking	124	0.0	99.99
India Andhra Pradesh Telugu Speaking	125	0.0	99.99
India Andhra Pradesh Telugu Speaking	126	0.0	99.99
India Andhra Pradesh Telugu Speaking	127	0.0	99.99
India Andhra Pradesh Telugu Speaking	128	0.0	99.99
India Andhra Pradesh Telugu Speaking	129	0.0	99.99
India Andhra Pradesh Telugu Speaking	130	0.0	99.99
India Andhra Pradesh Telugu Speaking	131	0.0	99.99
India Andhra Pradesh Telugu Speaking	132	0.0	99.99
India Andhra Pradesh Telugu Speaking	133	0.0	99.99
India Andhra Pradesh Telugu Speaking	134	0.0	99.99
India Andhra Pradesh Telugu Speaking	135	0.0	99.99
India Andhra Pradesh Telugu Speaking	136	0.0	99.99
India Andhra Pradesh Telugu Speaking	137	0.0	99.99
India Andhra Pradesh Telugu Speaking	138	0.0	99.99
India Andhra Pradesh Telugu Speaking	139	0.0	99.99
India Andhra Pradesh Telugu Speaking	140	0.0	99.99
India Andhra Pradesh Telugu Speaking	141	0.0	99.98
India Andhra Pradesh Telugu Speaking	142	0.0	99.98
India Andhra Pradesh Telugu Speaking	143	0.0	99.98
India Andhra Pradesh Telugu Speaking	144	0.0	99.98
India Andhra Pradesh Telugu Speaking	145	0.0	99.98
India Andhra Pradesh Telugu Speaking	146	0.0	99.98
India Andhra Pradesh Telugu Speaking	147	0.0	99.98
India Andhra Pradesh Telugu Speaking	148	0.0	99.98
India Andhra Pradesh Telugu Speaking	149	0.0	99.98
India Andhra Pradesh Telugu Speaking	150	0.0	99.98
India Andhra Pradesh Telugu Speaking	151	0.0	99.98
India Andhra Pradesh Telugu Speaking	152	0.0	99.98
India Andhra Pradesh Telugu Speaking	153	0.0	99.98
India Andhra Pradesh Telugu Speaking	154	0.0	99.98
India Andhra Pradesh Telugu Speaking	155	0.0	99.98
India Andhra Pradesh Telugu Speaking	156	0.0	99.98
India Andhra Pradesh Telugu Speaking	157	0.0	99.98
India Andhra Pradesh Telugu Speaking	158	0.0	99.98
India Andhra Pradesh Telugu Speaking	159	0.0	99.98
India Andhra Pradesh Telugu Speaking	160	0.0	99.98
India Andhra Pradesh Telugu Speaking	161	0.0	99.98
India Andhra Pradesh Telugu Speaking	162	0.0	99.98
India Andhra Pradesh Telugu Speaking	163	0.0	99.98
India Andhra Pradesh Telugu Speaking	164	0.0	99.98
India Andhra Pradesh Telugu Speaking	165	0.0	99.98
India Andhra Pradesh Telugu Speaking	166	0.0	99.98
India Andhra Pradesh Telugu Speaking	167	0.0	99.98
India Andhra Pradesh Telugu Speaking	168	0.0	99.98
India Andhra Pradesh Telugu Speaking	169	0.0	99.98
India Andhra Pradesh Telugu Speaking	170	0.0	99.98
India Andhra Pradesh Telugu Speaking	171	0.0	99.98
India Andhra Pradesh Telugu Speaking	172	0.0	99.98
India Andhra Pradesh Telugu Speaking	173	0.0	99.98
India Andhra Pradesh Telugu Speaking	174	0.0	99.98
India Andhra Pradesh Telugu Speaking	175	0.0	99.98
India Andhra Pradesh Telugu Speaking	176	0.0	99.98
India Andhra Pradesh Telugu Speaking	177	0.0	99.98
India Andhra Pradesh Telugu Speaking	178	0.0	99.98
India Andhra Pradesh Telugu Speaking	179	0.0	99.98
India Andhra Pradesh Telugu Speaking	180	0.0	99.98
India Andhra Pradesh Telugu Speaking	181	0.0	99.98
India Andhra Pradesh Telugu Speaking	182	0.0	99.98
India Andhra Pradesh Telugu Speaking	183	0.0	99.98
India Andhra Pradesh Telugu Speaking	184	0.0	99.98
India Andhra Pradesh Telugu Speaking	185	0.0	99.98
India Andhra Pradesh Telugu Speaking	186	0.0	99.98
India Andhra Pradesh Telugu Speaking	187	0.0	99.98
India Andhra Pradesh Telugu Speaking	188	0.0	99.98
India Andhra Pradesh Telugu Speaking	189	0.0	99.98
India Andhra Pradesh Telugu Speaking	190	0.0	99.98
India Andhra Pradesh Telugu Speaking	191	0.0	99.98
India Andhra Pradesh Telugu Speaking	192	0.0	99.98
India Andhra Pradesh Telugu Speaking	193	0.0	99.98
India Andhra Pradesh Telugu Speaking	194	0.0	99.98
India Andhra Pradesh Telugu Speaking	195	0.0	99.98
India Andhra Pradesh Telugu Speaking	196	0.0	99.98
India Andhra Pradesh Telugu Speaking	197	0.0	99.98
India Andhra Pradesh Telugu Speaking	198	0.0	99.98
India Andhra Pradesh Telugu Speaking	199	0.0	99.98
India Andhra Pradesh Telugu Speaking	200	0.0	99.98
India Andhra Pradesh Telugu Speaking	201	0.0	99.98
India Andhra Pradesh Telugu Speaking	202	0.0	99.98
India Andhra Pradesh Telugu Speaking	203	0.0	99.98
India Andhra Pradesh Telugu Speaking	204	0.0	99.98
India Andhra Pradesh Telugu Speaking	205	0.0	99.98
India Andhra Pradesh Telugu Speaking	206	0.0	99.98
India Andhra Pradesh Telugu Speaking	207	0.0	99.98
India Andhra Pradesh Telugu Speaking	208	0.0	99.98
India Andhra Pradesh Telugu Speaking	209	0.0	99.98
India Andhra Pradesh Telugu Speaking	210	0.0	99.98
India Andhra Pradesh Telugu Speaking	211	0.0	99.98
India Andhra Pradesh Telugu Speaking	212	0.0	99.98
India Andhra Pradesh Telugu Speaking	213	0.0	99.98
India Andhra Pradesh Telugu Speaking	214	0.0	99.98
