class I
population/area	coverage	average_hit	pc90
India Khandesh Region Pawra	99.88%	16017.93	6700.62
average	99.88%	16017.93	6700.62
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India Khandesh Region Pawra	0	0.12	100.0
India Khandesh Region Pawra	1	0.0	99.88
India Khandesh Region Pawra	2	0.0	99.88
India Khandesh Region Pawra	3	0.0	99.88
India Khandesh Region Pawra	4	0.0	99.88
India Khandesh Region Pawra	5	0.0	99.88
India Khandesh Region Pawra	6	0.0	99.88
India Khandesh Region Pawra	7	0.0	99.88
India Khandesh Region Pawra	8	0.0	99.88
India Khandesh Region Pawra	9	0.0	99.88
India Khandesh Region Pawra	10	0.0	99.88
India Khandesh Region Pawra	11	0.0	99.88
India Khandesh Region Pawra	12	0.0	99.88
India Khandesh Region Pawra	13	0.08	99.88
India Khandesh Region Pawra	14	0.0	99.8
India Khandesh Region Pawra	15	0.0	99.8
India Khandesh Region Pawra	16	0.0	99.8
India Khandesh Region Pawra	17	0.0	99.8
India Khandesh Region Pawra	18	0.0	99.8
India Khandesh Region Pawra	19	0.0	99.8
India Khandesh Region Pawra	20	0.0	99.8
India Khandesh Region Pawra	21	0.0	99.8
India Khandesh Region Pawra	22	0.0	99.8
India Khandesh Region Pawra	23	0.0	99.8
India Khandesh Region Pawra	24	0.0	99.8
India Khandesh Region Pawra	25	0.0	99.8
India Khandesh Region Pawra	26	0.0	99.8
India Khandesh Region Pawra	27	0.0	99.8
India Khandesh Region Pawra	28	0.0	99.8
India Khandesh Region Pawra	29	0.0	99.8
India Khandesh Region Pawra	30	0.0	99.8
India Khandesh Region Pawra	31	0.0	99.8
India Khandesh Region Pawra	32	0.0	99.8
India Khandesh Region Pawra	33	0.0	99.8
India Khandesh Region Pawra	34	0.0	99.8
India Khandesh Region Pawra	35	0.0	99.8
India Khandesh Region Pawra	36	0.0	99.8
India Khandesh Region Pawra	37	0.0	99.8
India Khandesh Region Pawra	38	0.0	99.8
India Khandesh Region Pawra	39	0.0	99.8
India Khandesh Region Pawra	40	0.0	99.8
India Khandesh Region Pawra	41	0.0	99.8
India Khandesh Region Pawra	42	0.0	99.8
India Khandesh Region Pawra	43	0.0	99.8
India Khandesh Region Pawra	44	0.0	99.8
India Khandesh Region Pawra	45	0.0	99.8
India Khandesh Region Pawra	46	0.0	99.8
India Khandesh Region Pawra	47	0.0	99.8
India Khandesh Region Pawra	48	0.0	99.8
