class I
population/area	coverage	average_hit	pc90
India New Delhi	100.0%	31925.12	18434.04
average	100.0%	31925.12	18434.04
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
India New Delhi	0	0.0	100.0
India New Delhi	1	0.0	100.0
India New Delhi	2	0.0	100.0
India New Delhi	3	0.0	100.0
India New Delhi	4	0.0	100.0
India New Delhi	5	0.0	100.0
India New Delhi	6	0.0	100.0
India New Delhi	7	0.0	100.0
India New Delhi	8	0.0	100.0
India New Delhi	9	0.0	100.0
India New Delhi	10	0.0	100.0
India New Delhi	11	0.0	100.0
India New Delhi	12	0.0	100.0
India New Delhi	13	0.0	100.0
India New Delhi	14	0.0	100.0
India New Delhi	15	0.0	100.0
India New Delhi	16	0.0	100.0
India New Delhi	17	0.0	100.0
India New Delhi	18	0.0	100.0
India New Delhi	19	0.0	100.0
India New Delhi	20	0.0	100.0
India New Delhi	21	0.0	100.0
India New Delhi	22	0.0	100.0
India New Delhi	23	0.0	100.0
India New Delhi	24	0.0	100.0
India New Delhi	25	0.0	100.0
India New Delhi	26	0.0	100.0
India New Delhi	27	0.0	100.0
India New Delhi	28	0.0	100.0
India New Delhi	29	0.0	100.0
India New Delhi	30	0.0	100.0
India New Delhi	31	0.0	100.0
India New Delhi	32	0.0	100.0
India New Delhi	33	0.0	100.0
India New Delhi	34	0.0	100.0
India New Delhi	35	0.0	100.0
India New Delhi	36	0.0	100.0
India New Delhi	37	0.0	100.0
India New Delhi	38	0.0	100.0
India New Delhi	39	0.0	100.0
India New Delhi	40	0.0	100.0
India New Delhi	41	0.0	100.0
India New Delhi	42	0.0	100.0
India New Delhi	43	0.0	100.0
India New Delhi	44	0.0	100.0
India New Delhi	45	0.0	100.0
India New Delhi	46	0.0	100.0
India New Delhi	47	0.0	100.0
India New Delhi	48	0.0	100.0
India New Delhi	49	0.0	100.0
India New Delhi	50	0.0	100.0
India New Delhi	51	0.0	100.0
India New Delhi	52	0.0	100.0
India New Delhi	53	0.0	100.0
India New Delhi	54	0.0	100.0
India New Delhi	55	0.0	100.0
