class I
population/area	coverage	average_hit	pc90
Kenya	99.99%	16654.35	5378.93
average	99.99%	16654.35	5378.93
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Kenya	0	0.01	100.0
Kenya	1	0.0	99.99
Kenya	2	0.0	99.99
Kenya	3	0.0	99.99
Kenya	4	0.0	99.99
Kenya	5	0.0	99.99
Kenya	6	0.0	99.99
Kenya	7	0.01	99.99
Kenya	8	0.0	99.99
Kenya	9	0.0	99.98
Kenya	10	0.01	99.98
Kenya	11	0.0	99.98
Kenya	12	0.0	99.98
Kenya	13	0.0	99.98
Kenya	14	0.0	99.98
Kenya	15	0.0	99.98
Kenya	16	0.0	99.98
Kenya	17	0.0	99.98
Kenya	18	0.0	99.97
Kenya	19	0.0	99.97
Kenya	20	0.0	99.97
Kenya	21	0.0	99.97
Kenya	22	0.0	99.97
Kenya	23	0.0	99.97
Kenya	24	0.0	99.97
Kenya	25	0.0	99.97
Kenya	26	0.0	99.97
Kenya	27	0.0	99.97
Kenya	28	0.0	99.97
Kenya	29	0.0	99.97
Kenya	30	0.0	99.97
Kenya	31	0.0	99.97
Kenya	32	0.0	99.97
Kenya	33	0.0	99.96
Kenya	34	0.01	99.96
Kenya	35	0.0	99.95
Kenya	36	0.0	99.95
Kenya	37	0.0	99.95
Kenya	38	0.0	99.95
Kenya	39	0.0	99.95
Kenya	40	0.0	99.95
Kenya	41	0.01	99.95
Kenya	42	0.0	99.95
Kenya	43	0.0	99.95
Kenya	44	0.01	99.95
Kenya	45	0.0	99.94
Kenya	46	0.0	99.94
Kenya	47	0.0	99.94
Kenya	48	0.0	99.94
Kenya	49	0.0	99.94
Kenya	50	0.0	99.94
Kenya	51	0.0	99.94
Kenya	52	0.0	99.94
Kenya	53	0.0	99.94
Kenya	54	0.0	99.93
Kenya	55	0.0	99.93
Kenya	56	0.0	99.93
Kenya	57	0.0	99.93
Kenya	58	0.0	99.93
Kenya	59	0.0	99.93
Kenya	60	0.0	99.93
Kenya	61	0.0	99.93
Kenya	62	0.0	99.93
Kenya	63	0.0	99.93
Kenya	64	0.0	99.93
Kenya	65	0.0	99.93
Kenya	66	0.0	99.93
Kenya	67	0.0	99.93
Kenya	68	0.0	99.93
Kenya	69	0.0	99.93
Kenya	70	0.0	99.93
Kenya	71	0.0	99.93
Kenya	72	0.0	99.93
Kenya	73	0.0	99.93
