class I
population/area	coverage	average_hit	pc90
Malaysia Peninsular Malay	100.0%	22977.45	12681.06
average	100.0%	22977.45	12681.06
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Malaysia Peninsular Malay	0	0.0	100.0
Malaysia Peninsular Malay	1	0.0	100.0
Malaysia Peninsular Malay	2	0.0	100.0
Malaysia Peninsular Malay	3	0.0	100.0
Malaysia Peninsular Malay	4	0.0	100.0
Malaysia Peninsular Malay	5	0.0	100.0
Malaysia Peninsular Malay	6	0.0	100.0
Malaysia Peninsular Malay	7	0.0	100.0
Malaysia Peninsular Malay	8	0.0	100.0
Malaysia Peninsular Malay	9	0.0	100.0
Malaysia Peninsular Malay	10	0.0	100.0
Malaysia Peninsular Malay	11	0.0	100.0
Malaysia Peninsular Malay	12	0.0	100.0
Malaysia Peninsular Malay	13	0.0	100.0
Malaysia Peninsular Malay	14	0.0	100.0
Malaysia Peninsular Malay	15	0.0	100.0
Malaysia Peninsular Malay	16	0.0	100.0
Malaysia Peninsular Malay	17	0.0	100.0
Malaysia Peninsular Malay	18	0.0	100.0
Malaysia Peninsular Malay	19	0.0	100.0
Malaysia Peninsular Malay	20	0.0	100.0
Malaysia Peninsular Malay	21	0.0	100.0
Malaysia Peninsular Malay	22	0.0	100.0
Malaysia Peninsular Malay	23	0.0	100.0
Malaysia Peninsular Malay	24	0.0	100.0
Malaysia Peninsular Malay	25	0.0	100.0
Malaysia Peninsular Malay	26	0.0	100.0
Malaysia Peninsular Malay	27	0.0	100.0
Malaysia Peninsular Malay	28	0.0	100.0
Malaysia Peninsular Malay	29	0.0	100.0
Malaysia Peninsular Malay	30	0.0	100.0
Malaysia Peninsular Malay	31	0.0	100.0
Malaysia Peninsular Malay	32	0.0	100.0
Malaysia Peninsular Malay	33	0.0	100.0
Malaysia Peninsular Malay	34	0.0	100.0
Malaysia Peninsular Malay	35	0.0	100.0
Malaysia Peninsular Malay	36	0.0	100.0
Malaysia Peninsular Malay	37	0.0	100.0
Malaysia Peninsular Malay	38	0.0	100.0
Malaysia Peninsular Malay	39	0.0	100.0
Malaysia Peninsular Malay	40	0.0	100.0
Malaysia Peninsular Malay	41	0.0	100.0
Malaysia Peninsular Malay	42	0.0	100.0
Malaysia Peninsular Malay	43	0.0	100.0
Malaysia Peninsular Malay	44	0.0	100.0
Malaysia Peninsular Malay	45	0.0	100.0
Malaysia Peninsular Malay	46	0.0	100.0
Malaysia Peninsular Malay	47	0.0	100.0
Malaysia Peninsular Malay	48	0.0	100.0
Malaysia Peninsular Malay	49	0.0	100.0
Malaysia Peninsular Malay	50	0.0	100.0
Malaysia Peninsular Malay	51	0.0	100.0
Malaysia Peninsular Malay	52	0.0	100.0
Malaysia Peninsular Malay	53	0.0	100.0
Malaysia Peninsular Malay	54	0.0	100.0
Malaysia Peninsular Malay	55	0.0	100.0
Malaysia Peninsular Malay	56	0.0	100.0
Malaysia Peninsular Malay	57	0.0	100.0
Malaysia Peninsular Malay	58	0.0	100.0
Malaysia Peninsular Malay	59	0.0	100.0
Malaysia Peninsular Malay	60	0.0	100.0
Malaysia Peninsular Malay	61	0.0	100.0
Malaysia Peninsular Malay	62	0.0	100.0
Malaysia Peninsular Malay	63	0.0	100.0
Malaysia Peninsular Malay	64	0.0	100.0
Malaysia Peninsular Malay	65	0.0	100.0
Malaysia Peninsular Malay	66	0.0	100.0
Malaysia Peninsular Malay	67	0.0	100.0
Malaysia Peninsular Malay	68	0.0	100.0
Malaysia Peninsular Malay	69	0.0	100.0
Malaysia Peninsular Malay	70	0.0	100.0
Malaysia Peninsular Malay	71	0.0	100.0
Malaysia Peninsular Malay	72	0.0	100.0
Malaysia Peninsular Malay	73	0.0	100.0
Malaysia Peninsular Malay	74	0.0	100.0
Malaysia Peninsular Malay	75	0.0	100.0
Malaysia Peninsular Malay	76	0.0	100.0
Malaysia Peninsular Malay	77	0.0	100.0
Malaysia Peninsular Malay	78	0.0	100.0
Malaysia Peninsular Malay	79	0.0	100.0
Malaysia Peninsular Malay	80	0.0	100.0
Malaysia Peninsular Malay	81	0.0	100.0
Malaysia Peninsular Malay	82	0.0	100.0
Malaysia Peninsular Malay	83	0.0	100.0
Malaysia Peninsular Malay	84	0.0	100.0
Malaysia Peninsular Malay	85	0.0	100.0
Malaysia Peninsular Malay	86	0.0	100.0
Malaysia Peninsular Malay	87	0.0	100.0
Malaysia Peninsular Malay	88	0.0	100.0
Malaysia Peninsular Malay	89	0.0	100.0
Malaysia Peninsular Malay	90	0.0	100.0
Malaysia Peninsular Malay	91	0.0	100.0
Malaysia Peninsular Malay	92	0.0	100.0
Malaysia Peninsular Malay	93	0.0	100.0
Malaysia Peninsular Malay	94	0.0	100.0
Malaysia Peninsular Malay	95	0.0	100.0
