class I
population/area	coverage	average_hit	pc90
New Caledonia	100.0%	22825.4	13834.6
average	100.0%	22825.4	13834.6
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
New Caledonia	0	0.0	100.0
New Caledonia	1	0.0	100.0
New Caledonia	2	0.0	100.0
New Caledonia	3	0.0	100.0
New Caledonia	4	0.0	100.0
New Caledonia	5	0.0	100.0
New Caledonia	6	0.0	100.0
New Caledonia	7	0.0	100.0
New Caledonia	8	0.0	100.0
New Caledonia	9	0.0	100.0
New Caledonia	10	0.0	100.0
New Caledonia	11	0.0	100.0
New Caledonia	12	0.0	100.0
New Caledonia	13	0.0	100.0
New Caledonia	14	0.0	100.0
New Caledonia	15	0.0	100.0
New Caledonia	16	0.0	100.0
New Caledonia	17	0.0	100.0
New Caledonia	18	0.0	100.0
New Caledonia	19	0.0	100.0
New Caledonia	20	0.0	100.0
New Caledonia	21	0.0	100.0
New Caledonia	22	0.0	100.0
New Caledonia	23	0.0	100.0
New Caledonia	24	0.0	100.0
New Caledonia	25	0.0	100.0
New Caledonia	26	0.0	100.0
New Caledonia	27	0.0	100.0
New Caledonia	28	0.0	100.0
New Caledonia	29	0.0	100.0
New Caledonia	30	0.0	100.0
New Caledonia	31	0.0	100.0
New Caledonia	32	0.0	100.0
New Caledonia	33	0.0	100.0
New Caledonia	34	0.0	100.0
New Caledonia	35	0.0	100.0
New Caledonia	36	0.0	100.0
New Caledonia	37	0.0	100.0
New Caledonia	38	0.0	100.0
New Caledonia	39	0.0	100.0
New Caledonia	40	0.0	100.0
New Caledonia	41	0.0	100.0
New Caledonia	42	0.0	100.0
New Caledonia	43	0.0	100.0
New Caledonia	44	0.0	100.0
New Caledonia	45	0.0	100.0
New Caledonia	46	0.0	100.0
New Caledonia	47	0.0	100.0
New Caledonia	48	0.0	100.0
New Caledonia	49	0.0	100.0
New Caledonia	50	0.0	100.0
New Caledonia	51	0.0	100.0
New Caledonia	52	0.0	100.0
New Caledonia	53	0.0	100.0
New Caledonia	54	0.0	100.0
New Caledonia	55	0.0	100.0
New Caledonia	56	0.0	100.0
New Caledonia	57	0.0	100.0
New Caledonia	58	0.0	100.0
New Caledonia	59	0.0	100.0
New Caledonia	60	0.0	100.0
New Caledonia	61	0.0	100.0
New Caledonia	62	0.0	100.0
New Caledonia	63	0.0	100.0
New Caledonia	64	0.0	100.0
New Caledonia	65	0.0	100.0
New Caledonia	66	0.0	100.0
New Caledonia	67	0.0	100.0
New Caledonia	68	0.0	100.0
New Caledonia	69	0.0	100.0
New Caledonia	70	0.0	100.0
New Caledonia	71	0.0	100.0
New Caledonia	72	0.0	100.0
New Caledonia	73	0.0	100.0
New Caledonia	74	0.0	100.0
New Caledonia	75	0.0	100.0
New Caledonia	76	0.0	100.0
New Caledonia	77	0.0	100.0
New Caledonia	78	0.0	100.0
New Caledonia	79	0.0	100.0
New Caledonia	80	0.0	100.0
New Caledonia	81	0.0	100.0
New Caledonia	82	0.0	100.0
New Caledonia	83	0.0	100.0
New Caledonia	84	0.0	100.0
New Caledonia	85	0.0	100.0
New Caledonia	86	0.0	100.0
New Caledonia	87	0.0	100.0
New Caledonia	88	0.0	100.0
New Caledonia	89	0.0	100.0
New Caledonia	90	0.0	100.0
New Caledonia	91	0.0	100.0
New Caledonia	92	0.0	100.0
