class I
population/area	coverage	average_hit	pc90
Nicaragua Mestizo (G)	100.0%	27659.75	12854.92
average	100.0%	27659.75	12854.92
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Nicaragua Mestizo (G)	0	0.0	100.0
Nicaragua Mestizo (G)	1	0.0	100.0
Nicaragua Mestizo (G)	2	0.0	100.0
Nicaragua Mestizo (G)	3	0.0	100.0
Nicaragua Mestizo (G)	4	0.0	100.0
Nicaragua Mestizo (G)	5	0.0	100.0
Nicaragua Mestizo (G)	6	0.0	100.0
Nicaragua Mestizo (G)	7	0.0	100.0
Nicaragua Mestizo (G)	8	0.0	100.0
Nicaragua Mestizo (G)	9	0.0	100.0
Nicaragua Mestizo (G)	10	0.0	100.0
Nicaragua Mestizo (G)	11	0.0	100.0
Nicaragua Mestizo (G)	12	0.0	100.0
Nicaragua Mestizo (G)	13	0.0	100.0
Nicaragua Mestizo (G)	14	0.0	100.0
Nicaragua Mestizo (G)	15	0.0	100.0
Nicaragua Mestizo (G)	16	0.0	100.0
Nicaragua Mestizo (G)	17	0.0	100.0
Nicaragua Mestizo (G)	18	0.0	100.0
Nicaragua Mestizo (G)	19	0.0	100.0
Nicaragua Mestizo (G)	20	0.0	100.0
Nicaragua Mestizo (G)	21	0.0	100.0
Nicaragua Mestizo (G)	22	0.0	100.0
Nicaragua Mestizo (G)	23	0.0	100.0
Nicaragua Mestizo (G)	24	0.0	100.0
Nicaragua Mestizo (G)	25	0.0	100.0
Nicaragua Mestizo (G)	26	0.0	100.0
Nicaragua Mestizo (G)	27	0.0	100.0
Nicaragua Mestizo (G)	28	0.0	100.0
Nicaragua Mestizo (G)	29	0.0	100.0
Nicaragua Mestizo (G)	30	0.0	100.0
Nicaragua Mestizo (G)	31	0.0	100.0
Nicaragua Mestizo (G)	32	0.0	100.0
Nicaragua Mestizo (G)	33	0.0	100.0
Nicaragua Mestizo (G)	34	0.0	100.0
Nicaragua Mestizo (G)	35	0.0	100.0
Nicaragua Mestizo (G)	36	0.0	100.0
Nicaragua Mestizo (G)	37	0.0	100.0
Nicaragua Mestizo (G)	38	0.0	100.0
Nicaragua Mestizo (G)	39	0.0	100.0
Nicaragua Mestizo (G)	40	0.0	100.0
Nicaragua Mestizo (G)	41	0.0	100.0
Nicaragua Mestizo (G)	42	0.0	100.0
Nicaragua Mestizo (G)	43	0.0	100.0
Nicaragua Mestizo (G)	44	0.0	100.0
Nicaragua Mestizo (G)	45	0.0	100.0
Nicaragua Mestizo (G)	46	0.0	100.0
Nicaragua Mestizo (G)	47	0.0	100.0
Nicaragua Mestizo (G)	48	0.0	100.0
