class I
population/area	coverage	average_hit	pc90
Poland	100.0%	43027.42	24347.08
average	100.0%	43027.42	24347.08
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Poland	0	0.0	100.0
Poland	1	0.0	100.0
Poland	2	0.0	100.0
Poland	3	0.0	100.0
Poland	4	0.0	100.0
Poland	5	0.0	100.0
Poland	6	0.0	100.0
Poland	7	0.0	100.0
Poland	8	0.0	100.0
Poland	9	0.0	100.0
Poland	10	0.0	100.0
Poland	11	0.0	100.0
Poland	12	0.0	100.0
Poland	13	0.0	100.0
Poland	14	0.0	100.0
Poland	15	0.0	100.0
Poland	16	0.0	100.0
Poland	17	0.0	100.0
Poland	18	0.0	100.0
Poland	19	0.0	100.0
Poland	20	0.0	100.0
Poland	21	0.0	100.0
Poland	22	0.0	100.0
Poland	23	0.0	100.0
Poland	24	0.0	100.0
Poland	25	0.0	100.0
Poland	26	0.0	100.0
Poland	27	0.0	100.0
Poland	28	0.0	100.0
Poland	29	0.0	100.0
Poland	30	0.0	100.0
Poland	31	0.0	100.0
Poland	32	0.0	100.0
Poland	33	0.0	100.0
Poland	34	0.0	100.0
Poland	35	0.0	100.0
Poland	36	0.0	100.0
Poland	37	0.0	100.0
Poland	38	0.0	100.0
Poland	39	0.0	100.0
Poland	40	0.0	100.0
Poland	41	0.0	100.0
Poland	42	0.0	100.0
Poland	43	0.0	100.0
Poland	44	0.0	100.0
Poland	45	0.0	100.0
Poland	46	0.0	100.0
Poland	47	0.0	100.0
Poland	48	0.0	100.0
Poland	49	0.0	100.0
Poland	50	0.0	100.0
Poland	51	0.0	100.0
Poland	52	0.0	100.0
Poland	53	0.0	100.0
Poland	54	0.0	100.0
Poland	55	0.0	100.0
Poland	56	0.0	100.0
Poland	57	0.0	100.0
Poland	58	0.0	100.0
Poland	59	0.0	100.0
Poland	60	0.0	100.0
Poland	61	0.0	100.0
Poland	62	0.0	100.0
Poland	63	0.0	100.0
Poland	64	0.0	100.0
Poland	65	0.0	100.0
Poland	66	0.0	100.0
Poland	67	0.0	100.0
Poland	68	0.0	100.0
Poland	69	0.0	100.0
Poland	70	0.0	100.0
Poland	71	0.0	100.0
Poland	72	0.0	100.0
Poland	73	0.0	100.0
Poland	74	0.0	100.0
Poland	75	0.0	100.0
Poland	76	0.0	100.0
Poland	77	0.0	100.0
Poland	78	0.0	100.0
Poland	79	0.0	100.0
Poland	80	0.0	100.0
Poland	81	0.0	100.0
Poland	82	0.0	100.0
Poland	83	0.0	100.0
Poland	84	0.0	100.0
Poland	85	0.0	100.0
Poland	86	0.0	100.0
Poland	87	0.0	100.0
Poland	88	0.0	100.0
Poland	89	0.0	100.0
Poland	90	0.0	100.0
Poland	91	0.0	100.0
Poland	92	0.0	100.0
Poland	93	0.0	100.0
Poland	94	0.0	100.0
Poland	95	0.0	100.0
Poland	96	0.0	100.0
Poland	97	0.0	100.0
Poland	98	0.0	100.0
Poland	99	0.0	100.0
Poland	100	0.0	100.0
Poland	101	0.0	100.0
Poland	102	0.0	100.0
Poland	103	0.0	100.0
Poland	104	0.0	100.0
Poland	105	0.0	100.0
Poland	106	0.0	100.0
Poland	107	0.0	100.0
Poland	108	0.0	100.0
Poland	109	0.0	100.0
Poland	110	0.0	100.0
Poland	111	0.0	100.0
Poland	112	0.0	100.0
Poland	113	0.0	100.0
Poland	114	0.0	100.0
Poland	115	0.0	100.0
Poland	116	0.0	100.0
Poland	117	0.0	100.0
