class I
population/area	coverage	average_hit	pc90
Russia Karelia	100.0%	48475.08	29796.16
average	100.0%	48475.08	29796.16
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Russia Karelia	0	0.0	100.0
Russia Karelia	1	0.0	100.0
Russia Karelia	2	0.0	100.0
Russia Karelia	3	0.0	100.0
Russia Karelia	4	0.0	100.0
Russia Karelia	5	0.0	100.0
Russia Karelia	6	0.0	100.0
Russia Karelia	7	0.0	100.0
Russia Karelia	8	0.0	100.0
Russia Karelia	9	0.0	100.0
Russia Karelia	10	0.0	100.0
Russia Karelia	11	0.0	100.0
Russia Karelia	12	0.0	100.0
Russia Karelia	13	0.0	100.0
Russia Karelia	14	0.0	100.0
Russia Karelia	15	0.0	100.0
Russia Karelia	16	0.0	100.0
Russia Karelia	17	0.0	100.0
Russia Karelia	18	0.0	100.0
Russia Karelia	19	0.0	100.0
Russia Karelia	20	0.0	100.0
Russia Karelia	21	0.0	100.0
Russia Karelia	22	0.0	100.0
Russia Karelia	23	0.0	100.0
Russia Karelia	24	0.0	100.0
Russia Karelia	25	0.0	100.0
Russia Karelia	26	0.0	100.0
Russia Karelia	27	0.0	100.0
Russia Karelia	28	0.0	100.0
Russia Karelia	29	0.0	100.0
Russia Karelia	30	0.0	100.0
Russia Karelia	31	0.0	100.0
Russia Karelia	32	0.0	100.0
Russia Karelia	33	0.0	100.0
Russia Karelia	34	0.0	100.0
Russia Karelia	35	0.0	100.0
Russia Karelia	36	0.0	100.0
Russia Karelia	37	0.0	100.0
Russia Karelia	38	0.0	100.0
Russia Karelia	39	0.0	100.0
Russia Karelia	40	0.0	100.0
Russia Karelia	41	0.0	100.0
Russia Karelia	42	0.0	100.0
Russia Karelia	43	0.0	100.0
Russia Karelia	44	0.0	100.0
Russia Karelia	45	0.0	100.0
Russia Karelia	46	0.0	100.0
Russia Karelia	47	0.0	100.0
Russia Karelia	48	0.0	100.0
Russia Karelia	49	0.0	100.0
Russia Karelia	50	0.0	100.0
Russia Karelia	51	0.0	100.0
Russia Karelia	52	0.0	100.0
Russia Karelia	53	0.0	100.0
Russia Karelia	54	0.0	100.0
Russia Karelia	55	0.0	100.0
Russia Karelia	56	0.0	100.0
Russia Karelia	57	0.0	100.0
Russia Karelia	58	0.0	100.0
Russia Karelia	59	0.0	100.0
Russia Karelia	60	0.0	100.0
Russia Karelia	61	0.0	100.0
Russia Karelia	62	0.0	100.0
Russia Karelia	63	0.0	100.0
Russia Karelia	64	0.0	100.0
Russia Karelia	65	0.0	100.0
Russia Karelia	66	0.0	100.0
Russia Karelia	67	0.0	100.0
Russia Karelia	68	0.0	100.0
Russia Karelia	69	0.0	100.0
Russia Karelia	70	0.0	100.0
Russia Karelia	71	0.0	100.0
Russia Karelia	72	0.0	100.0
Russia Karelia	73	0.0	100.0
Russia Karelia	74	0.0	100.0
Russia Karelia	75	0.0	100.0
Russia Karelia	76	0.0	100.0
Russia Karelia	77	0.0	100.0
Russia Karelia	78	0.0	100.0
Russia Karelia	79	0.0	100.0
Russia Karelia	80	0.0	100.0
Russia Karelia	81	0.0	100.0
Russia Karelia	82	0.0	100.0
Russia Karelia	83	0.0	100.0
Russia Karelia	84	0.0	100.0
Russia Karelia	85	0.0	100.0
Russia Karelia	86	0.0	100.0
Russia Karelia	87	0.0	100.0
Russia Karelia	88	0.0	100.0
Russia Karelia	89	0.0	100.0
Russia Karelia	90	0.0	100.0
Russia Karelia	91	0.0	100.0
Russia Karelia	92	0.0	100.0
Russia Karelia	93	0.0	100.0
Russia Karelia	94	0.0	100.0
Russia Karelia	95	0.0	100.0
Russia Karelia	96	0.0	100.0
Russia Karelia	97	0.0	100.0
Russia Karelia	98	0.0	100.0
Russia Karelia	99	0.0	100.0
Russia Karelia	100	0.0	100.0
Russia Karelia	101	0.0	100.0
Russia Karelia	102	0.0	100.0
Russia Karelia	103	0.0	100.0
Russia Karelia	104	0.0	100.0
Russia Karelia	105	0.0	100.0
Russia Karelia	106	0.0	100.0
Russia Karelia	107	0.0	100.0
Russia Karelia	108	0.0	100.0
Russia Karelia	109	0.0	100.0
Russia Karelia	110	0.0	100.0
Russia Karelia	111	0.0	100.0
Russia Karelia	112	0.0	100.0
Russia Karelia	113	0.0	100.0
Russia Karelia	114	0.0	100.0
Russia Karelia	115	0.0	100.0
Russia Karelia	116	0.0	100.0
Russia Karelia	117	0.0	100.0
Russia Karelia	118	0.0	100.0
Russia Karelia	119	0.0	100.0
Russia Karelia	120	0.0	100.0
Russia Karelia	121	0.0	100.0
Russia Karelia	122	0.0	100.0
Russia Karelia	123	0.0	100.0
Russia Karelia	124	0.0	100.0
Russia Karelia	125	0.0	100.0
Russia Karelia	126	0.0	100.0
Russia Karelia	127	0.0	100.0
Russia Karelia	128	0.0	100.0
Russia Karelia	129	0.0	100.0
Russia Karelia	130	0.0	100.0
Russia Karelia	131	0.0	100.0
Russia Karelia	132	0.0	100.0
Russia Karelia	133	0.0	100.0
Russia Karelia	134	0.0	100.0
Russia Karelia	135	0.0	100.0
Russia Karelia	136	0.0	100.0
Russia Karelia	137	0.0	100.0
Russia Karelia	138	0.0	100.0
Russia Karelia	139	0.0	100.0
Russia Karelia	140	0.0	100.0
Russia Karelia	141	0.0	100.0
Russia Karelia	142	0.0	100.0
Russia Karelia	143	0.0	100.0
