class I
population/area	coverage	average_hit	pc90
South Africa Caucasians	100.0%	39961.62	24747.57
average	100.0%	39961.62	24747.57
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South Africa Caucasians	0	0.0	100.0
South Africa Caucasians	1	0.0	100.0
South Africa Caucasians	2	0.0	100.0
South Africa Caucasians	3	0.0	100.0
South Africa Caucasians	4	0.0	100.0
South Africa Caucasians	5	0.0	100.0
South Africa Caucasians	6	0.0	100.0
South Africa Caucasians	7	0.0	100.0
South Africa Caucasians	8	0.0	100.0
South Africa Caucasians	9	0.0	100.0
South Africa Caucasians	10	0.0	100.0
South Africa Caucasians	11	0.0	100.0
South Africa Caucasians	12	0.0	100.0
South Africa Caucasians	13	0.0	100.0
South Africa Caucasians	14	0.0	100.0
South Africa Caucasians	15	0.0	100.0
South Africa Caucasians	16	0.0	100.0
South Africa Caucasians	17	0.0	100.0
South Africa Caucasians	18	0.0	100.0
South Africa Caucasians	19	0.0	100.0
South Africa Caucasians	20	0.0	100.0
South Africa Caucasians	21	0.0	100.0
South Africa Caucasians	22	0.0	100.0
South Africa Caucasians	23	0.0	100.0
South Africa Caucasians	24	0.0	100.0
South Africa Caucasians	25	0.0	100.0
South Africa Caucasians	26	0.0	100.0
South Africa Caucasians	27	0.0	100.0
South Africa Caucasians	28	0.0	100.0
South Africa Caucasians	29	0.0	100.0
South Africa Caucasians	30	0.0	100.0
South Africa Caucasians	31	0.0	100.0
South Africa Caucasians	32	0.0	100.0
South Africa Caucasians	33	0.0	100.0
South Africa Caucasians	34	0.0	100.0
South Africa Caucasians	35	0.0	100.0
South Africa Caucasians	36	0.0	100.0
South Africa Caucasians	37	0.0	100.0
South Africa Caucasians	38	0.0	100.0
South Africa Caucasians	39	0.0	100.0
South Africa Caucasians	40	0.0	100.0
South Africa Caucasians	41	0.0	100.0
South Africa Caucasians	42	0.0	100.0
South Africa Caucasians	43	0.0	100.0
South Africa Caucasians	44	0.0	100.0
South Africa Caucasians	45	0.0	100.0
South Africa Caucasians	46	0.0	100.0
South Africa Caucasians	47	0.0	100.0
South Africa Caucasians	48	0.0	100.0
South Africa Caucasians	49	0.0	100.0
South Africa Caucasians	50	0.0	100.0
South Africa Caucasians	51	0.0	100.0
South Africa Caucasians	52	0.0	100.0
South Africa Caucasians	53	0.0	100.0
South Africa Caucasians	54	0.0	100.0
South Africa Caucasians	55	0.0	100.0
South Africa Caucasians	56	0.0	100.0
South Africa Caucasians	57	0.0	100.0
South Africa Caucasians	58	0.0	100.0
South Africa Caucasians	59	0.0	100.0
South Africa Caucasians	60	0.0	100.0
South Africa Caucasians	61	0.0	100.0
South Africa Caucasians	62	0.0	100.0
South Africa Caucasians	63	0.0	100.0
South Africa Caucasians	64	0.0	100.0
South Africa Caucasians	65	0.0	100.0
South Africa Caucasians	66	0.0	100.0
South Africa Caucasians	67	0.0	100.0
South Africa Caucasians	68	0.0	100.0
South Africa Caucasians	69	0.0	100.0
South Africa Caucasians	70	0.0	100.0
South Africa Caucasians	71	0.0	100.0
South Africa Caucasians	72	0.0	100.0
South Africa Caucasians	73	0.0	100.0
South Africa Caucasians	74	0.0	100.0
South Africa Caucasians	75	0.0	100.0
South Africa Caucasians	76	0.0	100.0
South Africa Caucasians	77	0.0	100.0
South Africa Caucasians	78	0.0	100.0
South Africa Caucasians	79	0.0	100.0
South Africa Caucasians	80	0.0	100.0
South Africa Caucasians	81	0.0	100.0
South Africa Caucasians	82	0.0	100.0
South Africa Caucasians	83	0.0	100.0
South Africa Caucasians	84	0.0	100.0
South Africa Caucasians	85	0.0	100.0
South Africa Caucasians	86	0.0	100.0
South Africa Caucasians	87	0.0	100.0
South Africa Caucasians	88	0.0	100.0
South Africa Caucasians	89	0.0	100.0
South Africa Caucasians	90	0.0	100.0
South Africa Caucasians	91	0.0	100.0
South Africa Caucasians	92	0.0	100.0
South Africa Caucasians	93	0.0	100.0
South Africa Caucasians	94	0.0	100.0
South Africa Caucasians	95	0.0	100.0
South Africa Caucasians	96	0.0	100.0
South Africa Caucasians	97	0.0	100.0
South Africa Caucasians	98	0.0	100.0
South Africa Caucasians	99	0.0	100.0
South Africa Caucasians	100	0.0	100.0
South Africa Caucasians	101	0.0	100.0
South Africa Caucasians	102	0.0	100.0
South Africa Caucasians	103	0.0	100.0
South Africa Caucasians	104	0.0	100.0
South Africa Caucasians	105	0.0	100.0
South Africa Caucasians	106	0.0	100.0
South Africa Caucasians	107	0.0	100.0
South Africa Caucasians	108	0.0	100.0
South Africa Caucasians	109	0.0	100.0
South Africa Caucasians	110	0.0	100.0
South Africa Caucasians	111	0.0	100.0
South Africa Caucasians	112	0.0	100.0
South Africa Caucasians	113	0.0	100.0
South Africa Caucasians	114	0.0	100.0
South Africa Caucasians	115	0.0	100.0
South Africa Caucasians	116	0.0	100.0
South Africa Caucasians	117	0.0	100.0
South Africa Caucasians	118	0.0	100.0
South Africa Caucasians	119	0.0	100.0
South Africa Caucasians	120	0.0	100.0
South Africa Caucasians	121	0.0	100.0
South Africa Caucasians	122	0.0	100.0
South Africa Caucasians	123	0.0	100.0
South Africa Caucasians	124	0.0	100.0
South Africa Caucasians	125	0.0	100.0
South Africa Caucasians	126	0.0	100.0
South Africa Caucasians	127	0.0	100.0
South Africa Caucasians	128	0.0	100.0
South Africa Caucasians	129	0.0	100.0
South Africa Caucasians	130	0.0	100.0
