class I
population/area	coverage	average_hit	pc90
South African Indian population	100.0%	22288.27	9610.49
average	100.0%	22288.27	9610.49
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South African Indian population	0	0.0	100.0
South African Indian population	1	0.0	100.0
South African Indian population	2	0.0	100.0
South African Indian population	3	0.0	100.0
South African Indian population	4	0.0	100.0
South African Indian population	5	0.0	100.0
South African Indian population	6	0.0	100.0
South African Indian population	7	0.0	100.0
South African Indian population	8	0.0	100.0
South African Indian population	9	0.0	100.0
South African Indian population	10	0.0	100.0
South African Indian population	11	0.0	100.0
South African Indian population	12	0.0	100.0
South African Indian population	13	0.0	100.0
South African Indian population	14	0.0	100.0
South African Indian population	15	0.0	100.0
South African Indian population	16	0.0	100.0
South African Indian population	17	0.0	100.0
South African Indian population	18	0.0	100.0
South African Indian population	19	0.0	100.0
South African Indian population	20	0.0	100.0
South African Indian population	21	0.0	100.0
South African Indian population	22	0.0	100.0
South African Indian population	23	0.0	100.0
South African Indian population	24	0.0	100.0
South African Indian population	25	0.0	100.0
South African Indian population	26	0.0	100.0
South African Indian population	27	0.0	100.0
South African Indian population	28	0.0	100.0
South African Indian population	29	0.0	100.0
South African Indian population	30	0.0	100.0
South African Indian population	31	0.0	100.0
South African Indian population	32	0.0	100.0
South African Indian population	33	0.0	100.0
South African Indian population	34	0.0	100.0
South African Indian population	35	0.0	100.0
South African Indian population	36	0.0	100.0
South African Indian population	37	0.0	100.0
South African Indian population	38	0.0	100.0
South African Indian population	39	0.0	100.0
South African Indian population	40	0.0	100.0
South African Indian population	41	0.0	100.0
South African Indian population	42	0.0	100.0
South African Indian population	43	0.0	100.0
South African Indian population	44	0.0	100.0
South African Indian population	45	0.0	100.0
South African Indian population	46	0.0	100.0
South African Indian population	47	0.0	100.0
South African Indian population	48	0.0	100.0
South African Indian population	49	0.0	100.0
South African Indian population	50	0.0	100.0
South African Indian population	51	0.0	100.0
South African Indian population	52	0.0	100.0
South African Indian population	53	0.0	100.0
South African Indian population	54	0.0	100.0
South African Indian population	55	0.0	100.0
South African Indian population	56	0.0	100.0
South African Indian population	57	0.0	100.0
South African Indian population	58	0.0	100.0
South African Indian population	59	0.0	100.0
South African Indian population	60	0.0	100.0
South African Indian population	61	0.0	100.0
South African Indian population	62	0.0	99.99
South African Indian population	63	0.0	99.99
South African Indian population	64	0.0	99.99
South African Indian population	65	0.0	99.99
South African Indian population	66	0.0	99.99
South African Indian population	67	0.0	99.99
South African Indian population	68	0.0	99.99
South African Indian population	69	0.0	99.99
South African Indian population	70	0.0	99.99
South African Indian population	71	0.0	99.99
South African Indian population	72	0.0	99.99
South African Indian population	73	0.0	99.99
South African Indian population	74	0.0	99.99
South African Indian population	75	0.0	99.99
South African Indian population	76	0.0	99.99
South African Indian population	77	0.0	99.99
South African Indian population	78	0.0	99.99
South African Indian population	79	0.0	99.99
South African Indian population	80	0.0	99.99
South African Indian population	81	0.0	99.99
South African Indian population	82	0.0	99.99
South African Indian population	83	0.0	99.99
South African Indian population	84	0.0	99.99
South African Indian population	85	0.0	99.99
South African Indian population	86	0.0	99.99
South African Indian population	87	0.0	99.99
South African Indian population	88	0.0	99.99
South African Indian population	89	0.0	99.99
South African Indian population	90	0.0	99.99
South African Indian population	91	0.0	99.99
South African Indian population	92	0.0	99.99
South African Indian population	93	0.0	99.99
South African Indian population	94	0.0	99.99
South African Indian population	95	0.0	99.99
South African Indian population	96	0.0	99.99
South African Indian population	97	0.0	99.99
South African Indian population	98	0.0	99.99
South African Indian population	99	0.0	99.99
South African Indian population	100	0.0	99.99
South African Indian population	101	0.0	99.99
South African Indian population	102	0.0	99.99
South African Indian population	103	0.0	99.99
South African Indian population	104	0.0	99.99
South African Indian population	105	0.0	99.99
South African Indian population	106	0.0	99.99
South African Indian population	107	0.0	99.99
South African Indian population	108	0.0	99.99
South African Indian population	109	0.0	99.99
South African Indian population	110	0.0	99.99
South African Indian population	111	0.0	99.99
South African Indian population	112	0.0	99.99
South African Indian population	113	0.0	99.99
South African Indian population	114	0.0	99.99
South African Indian population	115	0.0	99.99
South African Indian population	116	0.0	99.99
South African Indian population	117	0.0	99.99
South African Indian population	118	0.0	99.99
South African Indian population	119	0.0	99.99
South African Indian population	120	0.0	99.99
South African Indian population	121	0.0	99.99
South African Indian population	122	0.0	99.99
South African Indian population	123	0.0	99.99
South African Indian population	124	0.0	99.99
South African Indian population	125	0.0	99.99
South African Indian population	126	0.0	99.99
South African Indian population	127	0.0	99.99
South African Indian population	128	0.0	99.99
South African Indian population	129	0.0	99.99
South African Indian population	130	0.0	99.99
South African Indian population	131	0.0	99.99
South African Indian population	132	0.0	99.99
South African Indian population	133	0.0	99.99
South African Indian population	134	0.0	99.99
South African Indian population	135	0.0	99.99
South African Indian population	136	0.0	99.99
South African Indian population	137	0.0	99.99
South African Indian population	138	0.0	99.99
South African Indian population	139	0.0	99.99
South African Indian population	140	0.0	99.99
South African Indian population	141	0.01	99.98
South African Indian population	142	0.0	99.98
South African Indian population	143	0.0	99.98
South African Indian population	144	0.0	99.98
South African Indian population	145	0.0	99.98
South African Indian population	146	0.0	99.98
South African Indian population	147	0.0	99.98
South African Indian population	148	0.0	99.98
South African Indian population	149	0.0	99.97
South African Indian population	150	0.0	99.97
South African Indian population	151	0.0	99.97
South African Indian population	152	0.0	99.97
South African Indian population	153	0.0	99.97
South African Indian population	154	0.0	99.97
South African Indian population	155	0.0	99.97
South African Indian population	156	0.0	99.97
South African Indian population	157	0.0	99.97
South African Indian population	158	0.0	99.97
South African Indian population	159	0.0	99.97
South African Indian population	160	0.0	99.97
South African Indian population	161	0.0	99.97
South African Indian population	162	0.0	99.97
South African Indian population	163	0.0	99.97
South African Indian population	164	0.0	99.97
South African Indian population	165	0.0	99.97
South African Indian population	166	0.0	99.97
South African Indian population	167	0.0	99.97
South African Indian population	168	0.0	99.97
South African Indian population	169	0.0	99.97
South African Indian population	170	0.0	99.97
South African Indian population	171	0.0	99.97
South African Indian population	172	0.0	99.97
South African Indian population	173	0.0	99.97
South African Indian population	174	0.0	99.97
South African Indian population	175	0.0	99.97
South African Indian population	176	0.0	99.97
South African Indian population	177	0.0	99.96
South African Indian population	178	0.0	99.96
South African Indian population	179	0.0	99.96
South African Indian population	180	0.0	99.96
South African Indian population	181	0.0	99.96
South African Indian population	182	0.0	99.96
South African Indian population	183	0.0	99.96
South African Indian population	184	0.0	99.96
South African Indian population	185	0.0	99.96
South African Indian population	186	0.0	99.96
South African Indian population	187	0.0	99.96
South African Indian population	188	0.0	99.96
South African Indian population	189	0.0	99.96
South African Indian population	190	0.0	99.96
South African Indian population	191	0.0	99.96
South African Indian population	192	0.0	99.96
South African Indian population	193	0.0	99.96
South African Indian population	194	0.0	99.96
South African Indian population	195	0.0	99.96
South African Indian population	196	0.0	99.96
South African Indian population	197	0.0	99.96
South African Indian population	198	0.0	99.96
South African Indian population	199	0.0	99.96
South African Indian population	200	0.0	99.96
South African Indian population	201	0.0	99.96
South African Indian population	202	0.0	99.96
South African Indian population	203	0.0	99.96
South African Indian population	204	0.0	99.96
South African Indian population	205	0.0	99.96
South African Indian population	206	0.0	99.96
South African Indian population	207	0.0	99.96
South African Indian population	208	0.0	99.96
South African Indian population	209	0.0	99.96
South African Indian population	210	0.0	99.96
South African Indian population	211	0.0	99.96
South African Indian population	212	0.0	99.96
South African Indian population	213	0.0	99.96
South African Indian population	214	0.0	99.96
South African Indian population	215	0.0	99.96
South African Indian population	216	0.0	99.95
South African Indian population	217	0.0	99.95
South African Indian population	218	0.01	99.95
South African Indian population	219	0.0	99.94
South African Indian population	220	0.0	99.94
South African Indian population	221	0.0	99.94
South African Indian population	222	0.0	99.94
South African Indian population	223	0.0	99.94
South African Indian population	224	0.0	99.94
South African Indian population	225	0.0	99.94
South African Indian population	226	0.0	99.94
South African Indian population	227	0.0	99.94
South African Indian population	228	0.0	99.94
South African Indian population	229	0.0	99.94
South African Indian population	230	0.0	99.94
South African Indian population	231	0.0	99.94
South African Indian population	232	0.0	99.94
South African Indian population	233	0.0	99.94
South African Indian population	234	0.0	99.94
South African Indian population	235	0.0	99.94
South African Indian population	236	0.0	99.94
South African Indian population	237	0.0	99.94
South African Indian population	238	0.0	99.94
South African Indian population	239	0.0	99.94
South African Indian population	240	0.0	99.94
South African Indian population	241	0.0	99.94
South African Indian population	242	0.0	99.94
South African Indian population	243	0.0	99.94
South African Indian population	244	0.0	99.94
South African Indian population	245	0.0	99.94
South African Indian population	246	0.0	99.94
South African Indian population	247	0.0	99.94
South African Indian population	248	0.0	99.94
South African Indian population	249	0.0	99.94
South African Indian population	250	0.0	99.94
South African Indian population	251	0.0	99.94
South African Indian population	252	0.0	99.94
South African Indian population	253	0.0	99.93
South African Indian population	254	0.0	99.93
South African Indian population	255	0.0	99.93
South African Indian population	256	0.0	99.93
South African Indian population	257	0.0	99.93
South African Indian population	258	0.0	99.93
South African Indian population	259	0.0	99.93
South African Indian population	260	0.0	99.93
South African Indian population	261	0.0	99.93
South African Indian population	262	0.0	99.93
