class I
population/area	coverage	average_hit	pc90
South African Mixed ancestry	100.0%	28345.36	12380.46
average	100.0%	28345.36	12380.46
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
South African Mixed ancestry	0	0.0	100.0
South African Mixed ancestry	1	0.0	100.0
South African Mixed ancestry	2	0.0	100.0
South African Mixed ancestry	3	0.0	100.0
South African Mixed ancestry	4	0.0	100.0
South African Mixed ancestry	5	0.0	100.0
South African Mixed ancestry	6	0.0	100.0
South African Mixed ancestry	7	0.0	100.0
South African Mixed ancestry	8	0.0	100.0
South African Mixed ancestry	9	0.0	100.0
South African Mixed ancestry	10	0.0	100.0
South African Mixed ancestry	11	0.0	100.0
South African Mixed ancestry	12	0.0	100.0
South African Mixed ancestry	13	0.0	100.0
South African Mixed ancestry	14	0.0	100.0
South African Mixed ancestry	15	0.0	100.0
South African Mixed ancestry	16	0.0	100.0
South African Mixed ancestry	17	0.0	100.0
South African Mixed ancestry	18	0.0	100.0
South African Mixed ancestry	19	0.0	100.0
South African Mixed ancestry	20	0.0	100.0
South African Mixed ancestry	21	0.0	100.0
South African Mixed ancestry	22	0.0	100.0
South African Mixed ancestry	23	0.0	100.0
South African Mixed ancestry	24	0.0	100.0
South African Mixed ancestry	25	0.0	100.0
South African Mixed ancestry	26	0.0	100.0
South African Mixed ancestry	27	0.0	100.0
South African Mixed ancestry	28	0.0	100.0
South African Mixed ancestry	29	0.0	100.0
South African Mixed ancestry	30	0.0	100.0
South African Mixed ancestry	31	0.0	100.0
South African Mixed ancestry	32	0.0	100.0
South African Mixed ancestry	33	0.0	100.0
South African Mixed ancestry	34	0.0	100.0
South African Mixed ancestry	35	0.0	100.0
South African Mixed ancestry	36	0.0	100.0
South African Mixed ancestry	37	0.0	100.0
South African Mixed ancestry	38	0.0	100.0
South African Mixed ancestry	39	0.0	100.0
South African Mixed ancestry	40	0.0	100.0
South African Mixed ancestry	41	0.0	100.0
South African Mixed ancestry	42	0.0	100.0
South African Mixed ancestry	43	0.0	100.0
South African Mixed ancestry	44	0.0	100.0
South African Mixed ancestry	45	0.0	100.0
South African Mixed ancestry	46	0.0	100.0
South African Mixed ancestry	47	0.0	100.0
South African Mixed ancestry	48	0.0	100.0
South African Mixed ancestry	49	0.0	100.0
South African Mixed ancestry	50	0.0	100.0
South African Mixed ancestry	51	0.0	100.0
South African Mixed ancestry	52	0.0	100.0
South African Mixed ancestry	53	0.0	100.0
South African Mixed ancestry	54	0.0	100.0
South African Mixed ancestry	55	0.0	100.0
South African Mixed ancestry	56	0.0	100.0
South African Mixed ancestry	57	0.0	100.0
South African Mixed ancestry	58	0.0	100.0
South African Mixed ancestry	59	0.0	100.0
South African Mixed ancestry	60	0.0	100.0
South African Mixed ancestry	61	0.0	100.0
South African Mixed ancestry	62	0.0	100.0
South African Mixed ancestry	63	0.0	100.0
South African Mixed ancestry	64	0.0	100.0
South African Mixed ancestry	65	0.0	100.0
South African Mixed ancestry	66	0.0	100.0
South African Mixed ancestry	67	0.0	100.0
South African Mixed ancestry	68	0.0	100.0
South African Mixed ancestry	69	0.0	100.0
South African Mixed ancestry	70	0.0	100.0
South African Mixed ancestry	71	0.0	100.0
South African Mixed ancestry	72	0.0	100.0
South African Mixed ancestry	73	0.0	100.0
South African Mixed ancestry	74	0.0	100.0
South African Mixed ancestry	75	0.0	100.0
South African Mixed ancestry	76	0.0	100.0
South African Mixed ancestry	77	0.0	100.0
South African Mixed ancestry	78	0.0	100.0
South African Mixed ancestry	79	0.0	100.0
South African Mixed ancestry	80	0.0	100.0
South African Mixed ancestry	81	0.0	100.0
South African Mixed ancestry	82	0.0	100.0
South African Mixed ancestry	83	0.0	100.0
South African Mixed ancestry	84	0.0	100.0
South African Mixed ancestry	85	0.0	100.0
South African Mixed ancestry	86	0.0	100.0
South African Mixed ancestry	87	0.0	100.0
South African Mixed ancestry	88	0.0	100.0
South African Mixed ancestry	89	0.0	100.0
South African Mixed ancestry	90	0.0	100.0
South African Mixed ancestry	91	0.0	100.0
South African Mixed ancestry	92	0.0	100.0
South African Mixed ancestry	93	0.0	100.0
South African Mixed ancestry	94	0.0	100.0
South African Mixed ancestry	95	0.0	100.0
South African Mixed ancestry	96	0.0	100.0
South African Mixed ancestry	97	0.0	100.0
South African Mixed ancestry	98	0.0	100.0
South African Mixed ancestry	99	0.0	100.0
South African Mixed ancestry	100	0.0	100.0
South African Mixed ancestry	101	0.0	100.0
South African Mixed ancestry	102	0.0	100.0
South African Mixed ancestry	103	0.0	100.0
South African Mixed ancestry	104	0.0	100.0
South African Mixed ancestry	105	0.0	100.0
South African Mixed ancestry	106	0.0	100.0
South African Mixed ancestry	107	0.0	100.0
South African Mixed ancestry	108	0.0	100.0
South African Mixed ancestry	109	0.0	99.99
South African Mixed ancestry	110	0.0	99.99
South African Mixed ancestry	111	0.0	99.99
South African Mixed ancestry	112	0.0	99.99
South African Mixed ancestry	113	0.0	99.99
South African Mixed ancestry	114	0.0	99.99
South African Mixed ancestry	115	0.0	99.99
South African Mixed ancestry	116	0.0	99.99
South African Mixed ancestry	117	0.0	99.99
South African Mixed ancestry	118	0.0	99.99
South African Mixed ancestry	119	0.0	99.99
South African Mixed ancestry	120	0.0	99.99
South African Mixed ancestry	121	0.0	99.99
South African Mixed ancestry	122	0.0	99.99
South African Mixed ancestry	123	0.0	99.99
South African Mixed ancestry	124	0.0	99.99
South African Mixed ancestry	125	0.0	99.99
South African Mixed ancestry	126	0.0	99.99
South African Mixed ancestry	127	0.0	99.99
South African Mixed ancestry	128	0.0	99.99
South African Mixed ancestry	129	0.0	99.99
South African Mixed ancestry	130	0.0	99.99
South African Mixed ancestry	131	0.0	99.99
South African Mixed ancestry	132	0.0	99.99
South African Mixed ancestry	133	0.0	99.99
South African Mixed ancestry	134	0.0	99.99
South African Mixed ancestry	135	0.0	99.99
South African Mixed ancestry	136	0.0	99.99
South African Mixed ancestry	137	0.0	99.99
South African Mixed ancestry	138	0.0	99.99
South African Mixed ancestry	139	0.0	99.99
South African Mixed ancestry	140	0.0	99.99
South African Mixed ancestry	141	0.0	99.99
South African Mixed ancestry	142	0.0	99.99
South African Mixed ancestry	143	0.0	99.99
South African Mixed ancestry	144	0.0	99.99
South African Mixed ancestry	145	0.0	99.99
South African Mixed ancestry	146	0.0	99.99
South African Mixed ancestry	147	0.0	99.99
South African Mixed ancestry	148	0.0	99.99
South African Mixed ancestry	149	0.0	99.99
South African Mixed ancestry	150	0.0	99.99
South African Mixed ancestry	151	0.0	99.99
South African Mixed ancestry	152	0.0	99.99
South African Mixed ancestry	153	0.0	99.99
South African Mixed ancestry	154	0.0	99.99
South African Mixed ancestry	155	0.0	99.99
South African Mixed ancestry	156	0.0	99.99
South African Mixed ancestry	157	0.0	99.99
South African Mixed ancestry	158	0.0	99.99
South African Mixed ancestry	159	0.0	99.99
South African Mixed ancestry	160	0.0	99.99
South African Mixed ancestry	161	0.0	99.99
South African Mixed ancestry	162	0.0	99.99
South African Mixed ancestry	163	0.0	99.99
South African Mixed ancestry	164	0.0	99.99
South African Mixed ancestry	165	0.0	99.99
South African Mixed ancestry	166	0.0	99.99
South African Mixed ancestry	167	0.0	99.99
South African Mixed ancestry	168	0.0	99.99
South African Mixed ancestry	169	0.0	99.99
South African Mixed ancestry	170	0.0	99.99
South African Mixed ancestry	171	0.0	99.99
South African Mixed ancestry	172	0.0	99.99
South African Mixed ancestry	173	0.0	99.99
