class I
population/area	coverage	average_hit	pc90
Taiwan Ami	100.0%	21866.91	14372.41
average	100.0%	21866.91	14372.41
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Ami	0	0.0	100.0
Taiwan Ami	1	0.0	100.0
Taiwan Ami	2	0.0	100.0
Taiwan Ami	3	0.0	100.0
Taiwan Ami	4	0.0	100.0
Taiwan Ami	5	0.0	100.0
Taiwan Ami	6	0.0	100.0
Taiwan Ami	7	0.0	100.0
Taiwan Ami	8	0.0	100.0
Taiwan Ami	9	0.0	100.0
Taiwan Ami	10	0.0	100.0
Taiwan Ami	11	0.0	100.0
Taiwan Ami	12	0.0	100.0
Taiwan Ami	13	0.0	100.0
Taiwan Ami	14	0.0	100.0
Taiwan Ami	15	0.0	100.0
Taiwan Ami	16	0.0	100.0
Taiwan Ami	17	0.0	100.0
Taiwan Ami	18	0.0	100.0
Taiwan Ami	19	0.0	100.0
Taiwan Ami	20	0.0	100.0
Taiwan Ami	21	0.0	100.0
Taiwan Ami	22	0.0	100.0
Taiwan Ami	23	0.0	100.0
Taiwan Ami	24	0.0	100.0
Taiwan Ami	25	0.0	100.0
Taiwan Ami	26	0.0	100.0
Taiwan Ami	27	0.0	100.0
Taiwan Ami	28	0.0	100.0
Taiwan Ami	29	0.0	100.0
Taiwan Ami	30	0.0	100.0
Taiwan Ami	31	0.0	100.0
Taiwan Ami	32	0.0	100.0
Taiwan Ami	33	0.0	100.0
Taiwan Ami	34	0.0	100.0
Taiwan Ami	35	0.0	100.0
Taiwan Ami	36	0.0	100.0
Taiwan Ami	37	0.0	100.0
Taiwan Ami	38	0.0	100.0
Taiwan Ami	39	0.0	100.0
Taiwan Ami	40	0.0	100.0
Taiwan Ami	41	0.0	100.0
Taiwan Ami	42	0.0	100.0
Taiwan Ami	43	0.0	100.0
Taiwan Ami	44	0.0	100.0
Taiwan Ami	45	0.0	100.0
Taiwan Ami	46	0.0	100.0
Taiwan Ami	47	0.0	100.0
Taiwan Ami	48	0.0	100.0
Taiwan Ami	49	0.0	100.0
Taiwan Ami	50	0.0	100.0
Taiwan Ami	51	0.0	100.0
Taiwan Ami	52	0.0	100.0
Taiwan Ami	53	0.0	100.0
Taiwan Ami	54	0.0	100.0
Taiwan Ami	55	0.0	100.0
Taiwan Ami	56	0.0	100.0
Taiwan Ami	57	0.0	100.0
Taiwan Ami	58	0.0	100.0
Taiwan Ami	59	0.0	100.0
Taiwan Ami	60	0.0	100.0
Taiwan Ami	61	0.0	100.0
Taiwan Ami	62	0.0	100.0
Taiwan Ami	63	0.0	100.0
Taiwan Ami	64	0.0	100.0
Taiwan Ami	65	0.0	100.0
Taiwan Ami	66	0.0	100.0
Taiwan Ami	67	0.0	100.0
Taiwan Ami	68	0.0	100.0
Taiwan Ami	69	0.0	100.0
Taiwan Ami	70	0.0	100.0
Taiwan Ami	71	0.0	100.0
Taiwan Ami	72	0.0	100.0
Taiwan Ami	73	0.0	100.0
Taiwan Ami	74	0.0	100.0
Taiwan Ami	75	0.0	100.0
Taiwan Ami	76	0.0	100.0
Taiwan Ami	77	0.0	100.0
Taiwan Ami	78	0.0	100.0
Taiwan Ami	79	0.0	100.0
Taiwan Ami	80	0.0	100.0
Taiwan Ami	81	0.0	100.0
Taiwan Ami	82	0.0	100.0
Taiwan Ami	83	0.0	100.0
Taiwan Ami	84	0.0	100.0
Taiwan Ami	85	0.0	100.0
Taiwan Ami	86	0.0	100.0
Taiwan Ami	87	0.0	100.0
Taiwan Ami	88	0.0	100.0
Taiwan Ami	89	0.0	100.0
Taiwan Ami	90	0.0	100.0
Taiwan Ami	91	0.0	100.0
Taiwan Ami	92	0.0	100.0
Taiwan Ami	93	0.0	100.0
Taiwan Ami	94	0.0	100.0
Taiwan Ami	95	0.0	100.0
Taiwan Ami	96	0.0	100.0
Taiwan Ami	97	0.0	100.0
Taiwan Ami	98	0.0	100.0
Taiwan Ami	99	0.0	100.0
Taiwan Ami	100	0.0	100.0
Taiwan Ami	101	0.0	100.0
Taiwan Ami	102	0.0	100.0
Taiwan Ami	103	0.0	100.0
Taiwan Ami	104	0.0	100.0
Taiwan Ami	105	0.0	100.0
Taiwan Ami	106	0.0	100.0
Taiwan Ami	107	0.0	100.0
Taiwan Ami	108	0.0	100.0
Taiwan Ami	109	0.0	100.0
Taiwan Ami	110	0.0	100.0
Taiwan Ami	111	0.0	100.0
Taiwan Ami	112	0.0	100.0
Taiwan Ami	113	0.0	100.0
Taiwan Ami	114	0.0	100.0
Taiwan Ami	115	0.0	100.0
Taiwan Ami	116	0.0	100.0
Taiwan Ami	117	0.0	100.0
Taiwan Ami	118	0.0	100.0
Taiwan Ami	119	0.0	100.0
Taiwan Ami	120	0.0	100.0
Taiwan Ami	121	0.0	100.0
Taiwan Ami	122	0.0	100.0
Taiwan Ami	123	0.0	100.0
Taiwan Ami	124	0.0	100.0
Taiwan Ami	125	0.0	100.0
Taiwan Ami	126	0.0	100.0
Taiwan Ami	127	0.0	100.0
Taiwan Ami	128	0.0	100.0
Taiwan Ami	129	0.0	100.0
Taiwan Ami	130	0.0	100.0
Taiwan Ami	131	0.0	100.0
Taiwan Ami	132	0.0	100.0
Taiwan Ami	133	0.0	100.0
Taiwan Ami	134	0.0	100.0
Taiwan Ami	135	0.0	100.0
Taiwan Ami	136	0.0	100.0
Taiwan Ami	137	0.0	100.0
Taiwan Ami	138	0.0	100.0
Taiwan Ami	139	0.0	100.0
Taiwan Ami	140	0.0	100.0
Taiwan Ami	141	0.0	100.0
Taiwan Ami	142	0.0	100.0
Taiwan Ami	143	0.0	100.0
Taiwan Ami	144	0.0	100.0
Taiwan Ami	145	0.0	100.0
Taiwan Ami	146	0.0	100.0
Taiwan Ami	147	0.0	100.0
Taiwan Ami	148	0.0	100.0
Taiwan Ami	149	0.0	100.0
Taiwan Ami	150	0.0	100.0
Taiwan Ami	151	0.0	100.0
Taiwan Ami	152	0.0	100.0
Taiwan Ami	153	0.0	100.0
Taiwan Ami	154	0.0	100.0
Taiwan Ami	155	0.0	100.0
Taiwan Ami	156	0.0	100.0
Taiwan Ami	157	0.0	100.0
Taiwan Ami	158	0.0	100.0
Taiwan Ami	159	0.0	100.0
Taiwan Ami	160	0.0	100.0
Taiwan Ami	161	0.0	100.0
Taiwan Ami	162	0.0	100.0
Taiwan Ami	163	0.0	100.0
Taiwan Ami	164	0.0	100.0
Taiwan Ami	165	0.0	100.0
Taiwan Ami	166	0.0	100.0
Taiwan Ami	167	0.0	100.0
Taiwan Ami	168	0.0	100.0
Taiwan Ami	169	0.0	100.0
Taiwan Ami	170	0.0	100.0
Taiwan Ami	171	0.0	100.0
Taiwan Ami	172	0.0	100.0
Taiwan Ami	173	0.0	100.0
Taiwan Ami	174	0.0	100.0
Taiwan Ami	175	0.0	100.0
Taiwan Ami	176	0.0	100.0
Taiwan Ami	177	0.0	100.0
Taiwan Ami	178	0.0	100.0
Taiwan Ami	179	0.0	100.0
Taiwan Ami	180	0.0	100.0
Taiwan Ami	181	0.0	100.0
Taiwan Ami	182	0.0	100.0
Taiwan Ami	183	0.0	100.0
Taiwan Ami	184	0.0	100.0
Taiwan Ami	185	0.0	100.0
Taiwan Ami	186	0.0	100.0
Taiwan Ami	187	0.0	100.0
Taiwan Ami	188	0.0	100.0
Taiwan Ami	189	0.0	100.0
Taiwan Ami	190	0.0	100.0
Taiwan Ami	191	0.0	100.0
Taiwan Ami	192	0.0	100.0
Taiwan Ami	193	0.0	100.0
Taiwan Ami	194	0.0	100.0
