class I
population/area	coverage	average_hit	pc90
Taiwan Pazeh	100.0%	26811.24	17060.38
average	100.0%	26811.24	17060.38
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Pazeh	0	0.0	100.0
Taiwan Pazeh	1	0.0	100.0
Taiwan Pazeh	2	0.0	100.0
Taiwan Pazeh	3	0.0	100.0
Taiwan Pazeh	4	0.0	100.0
Taiwan Pazeh	5	0.0	100.0
Taiwan Pazeh	6	0.0	100.0
Taiwan Pazeh	7	0.0	100.0
Taiwan Pazeh	8	0.0	100.0
Taiwan Pazeh	9	0.0	100.0
Taiwan Pazeh	10	0.0	100.0
Taiwan Pazeh	11	0.0	100.0
Taiwan Pazeh	12	0.0	100.0
Taiwan Pazeh	13	0.0	100.0
Taiwan Pazeh	14	0.0	100.0
Taiwan Pazeh	15	0.0	100.0
Taiwan Pazeh	16	0.0	100.0
Taiwan Pazeh	17	0.0	100.0
Taiwan Pazeh	18	0.0	100.0
Taiwan Pazeh	19	0.0	100.0
Taiwan Pazeh	20	0.0	100.0
Taiwan Pazeh	21	0.0	100.0
Taiwan Pazeh	22	0.0	100.0
Taiwan Pazeh	23	0.0	100.0
Taiwan Pazeh	24	0.0	100.0
Taiwan Pazeh	25	0.0	100.0
Taiwan Pazeh	26	0.0	100.0
Taiwan Pazeh	27	0.0	100.0
Taiwan Pazeh	28	0.0	100.0
Taiwan Pazeh	29	0.0	100.0
Taiwan Pazeh	30	0.0	100.0
Taiwan Pazeh	31	0.0	100.0
Taiwan Pazeh	32	0.0	100.0
Taiwan Pazeh	33	0.0	100.0
Taiwan Pazeh	34	0.0	100.0
Taiwan Pazeh	35	0.0	100.0
Taiwan Pazeh	36	0.0	100.0
Taiwan Pazeh	37	0.0	100.0
Taiwan Pazeh	38	0.0	100.0
Taiwan Pazeh	39	0.0	100.0
Taiwan Pazeh	40	0.0	100.0
Taiwan Pazeh	41	0.0	100.0
Taiwan Pazeh	42	0.0	100.0
Taiwan Pazeh	43	0.0	100.0
Taiwan Pazeh	44	0.0	100.0
