class I
population/area	coverage	average_hit	pc90
Taiwan Thao	100.0%	25151.35	16638.94
average	100.0%	25151.35	16638.94
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Taiwan Thao	0	0.0	100.0
Taiwan Thao	1	0.0	100.0
Taiwan Thao	2	0.0	100.0
Taiwan Thao	3	0.0	100.0
Taiwan Thao	4	0.0	100.0
Taiwan Thao	5	0.0	100.0
Taiwan Thao	6	0.0	100.0
Taiwan Thao	7	0.0	100.0
Taiwan Thao	8	0.0	100.0
Taiwan Thao	9	0.0	100.0
Taiwan Thao	10	0.0	100.0
Taiwan Thao	11	0.0	100.0
Taiwan Thao	12	0.0	100.0
Taiwan Thao	13	0.0	100.0
Taiwan Thao	14	0.0	100.0
Taiwan Thao	15	0.0	100.0
Taiwan Thao	16	0.0	100.0
Taiwan Thao	17	0.0	100.0
Taiwan Thao	18	0.0	100.0
Taiwan Thao	19	0.0	100.0
Taiwan Thao	20	0.0	100.0
Taiwan Thao	21	0.0	100.0
Taiwan Thao	22	0.0	100.0
Taiwan Thao	23	0.0	100.0
Taiwan Thao	24	0.0	100.0
Taiwan Thao	25	0.0	100.0
Taiwan Thao	26	0.0	100.0
Taiwan Thao	27	0.0	100.0
Taiwan Thao	28	0.0	100.0
Taiwan Thao	29	0.0	100.0
Taiwan Thao	30	0.0	100.0
Taiwan Thao	31	0.0	100.0
Taiwan Thao	32	0.0	100.0
Taiwan Thao	33	0.0	100.0
Taiwan Thao	34	0.0	100.0
Taiwan Thao	35	0.0	100.0
Taiwan Thao	36	0.0	100.0
Taiwan Thao	37	0.0	100.0
Taiwan Thao	38	0.0	100.0
Taiwan Thao	39	0.0	100.0
Taiwan Thao	40	0.0	100.0
Taiwan Thao	41	0.0	100.0
Taiwan Thao	42	0.0	100.0
Taiwan Thao	43	0.0	100.0
Taiwan Thao	44	0.0	100.0
Taiwan Thao	45	0.0	100.0
Taiwan Thao	46	0.0	100.0
Taiwan Thao	47	0.0	100.0
Taiwan Thao	48	0.0	100.0
Taiwan Thao	49	0.0	100.0
Taiwan Thao	50	0.0	100.0
Taiwan Thao	51	0.0	100.0
Taiwan Thao	52	0.0	100.0
Taiwan Thao	53	0.0	100.0
Taiwan Thao	54	0.0	100.0
Taiwan Thao	55	0.0	100.0
Taiwan Thao	56	0.0	100.0
Taiwan Thao	57	0.0	100.0
Taiwan Thao	58	0.0	100.0
