class I
population/area	coverage	average_hit	pc90
USA African American Bethesda	100.0%	24829.86	9771.23
average	100.0%	24829.86	9771.23
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA African American Bethesda	0	0.0	100.0
USA African American Bethesda	1	0.0	100.0
USA African American Bethesda	2	0.0	100.0
USA African American Bethesda	3	0.0	100.0
USA African American Bethesda	4	0.0	100.0
USA African American Bethesda	5	0.0	100.0
USA African American Bethesda	6	0.0	100.0
USA African American Bethesda	7	0.0	100.0
USA African American Bethesda	8	0.0	100.0
USA African American Bethesda	9	0.0	100.0
USA African American Bethesda	10	0.0	100.0
USA African American Bethesda	11	0.0	100.0
USA African American Bethesda	12	0.0	100.0
USA African American Bethesda	13	0.0	100.0
USA African American Bethesda	14	0.0	100.0
USA African American Bethesda	15	0.0	100.0
USA African American Bethesda	16	0.0	100.0
USA African American Bethesda	17	0.0	100.0
USA African American Bethesda	18	0.0	100.0
USA African American Bethesda	19	0.0	100.0
USA African American Bethesda	20	0.0	100.0
USA African American Bethesda	21	0.0	100.0
USA African American Bethesda	22	0.0	100.0
USA African American Bethesda	23	0.0	100.0
USA African American Bethesda	24	0.0	100.0
USA African American Bethesda	25	0.0	100.0
USA African American Bethesda	26	0.0	100.0
USA African American Bethesda	27	0.0	100.0
USA African American Bethesda	28	0.0	100.0
USA African American Bethesda	29	0.0	100.0
USA African American Bethesda	30	0.0	100.0
USA African American Bethesda	31	0.0	100.0
USA African American Bethesda	32	0.0	100.0
USA African American Bethesda	33	0.0	100.0
USA African American Bethesda	34	0.0	100.0
USA African American Bethesda	35	0.0	100.0
USA African American Bethesda	36	0.0	100.0
USA African American Bethesda	37	0.0	100.0
USA African American Bethesda	38	0.0	100.0
USA African American Bethesda	39	0.0	100.0
USA African American Bethesda	40	0.0	100.0
USA African American Bethesda	41	0.0	100.0
USA African American Bethesda	42	0.0	100.0
USA African American Bethesda	43	0.0	100.0
USA African American Bethesda	44	0.0	100.0
USA African American Bethesda	45	0.0	100.0
USA African American Bethesda	46	0.0	100.0
USA African American Bethesda	47	0.0	100.0
USA African American Bethesda	48	0.0	100.0
USA African American Bethesda	49	0.0	100.0
USA African American Bethesda	50	0.0	100.0
USA African American Bethesda	51	0.0	100.0
USA African American Bethesda	52	0.0	100.0
USA African American Bethesda	53	0.0	100.0
USA African American Bethesda	54	0.0	100.0
USA African American Bethesda	55	0.0	100.0
USA African American Bethesda	56	0.0	100.0
USA African American Bethesda	57	0.0	100.0
USA African American Bethesda	58	0.0	100.0
USA African American Bethesda	59	0.0	100.0
USA African American Bethesda	60	0.0	100.0
USA African American Bethesda	61	0.0	100.0
USA African American Bethesda	62	0.0	100.0
USA African American Bethesda	63	0.0	100.0
USA African American Bethesda	64	0.0	100.0
USA African American Bethesda	65	0.0	100.0
USA African American Bethesda	66	0.0	100.0
USA African American Bethesda	67	0.0	100.0
USA African American Bethesda	68	0.0	100.0
USA African American Bethesda	69	0.0	100.0
USA African American Bethesda	70	0.0	100.0
USA African American Bethesda	71	0.0	100.0
USA African American Bethesda	72	0.0	100.0
USA African American Bethesda	73	0.0	100.0
USA African American Bethesda	74	0.0	100.0
USA African American Bethesda	75	0.0	100.0
USA African American Bethesda	76	0.0	100.0
USA African American Bethesda	77	0.0	100.0
USA African American Bethesda	78	0.0	100.0
USA African American Bethesda	79	0.0	100.0
USA African American Bethesda	80	0.0	100.0
USA African American Bethesda	81	0.0	100.0
USA African American Bethesda	82	0.0	100.0
USA African American Bethesda	83	0.0	100.0
USA African American Bethesda	84	0.0	100.0
USA African American Bethesda	85	0.0	100.0
USA African American Bethesda	86	0.0	100.0
USA African American Bethesda	87	0.0	100.0
USA African American Bethesda	88	0.0	100.0
USA African American Bethesda	89	0.0	100.0
USA African American Bethesda	90	0.0	100.0
USA African American Bethesda	91	0.0	100.0
USA African American Bethesda	92	0.0	100.0
USA African American Bethesda	93	0.0	100.0
USA African American Bethesda	94	0.0	100.0
USA African American Bethesda	95	0.0	100.0
USA African American Bethesda	96	0.0	100.0
USA African American Bethesda	97	0.0	100.0
USA African American Bethesda	98	0.0	100.0
USA African American Bethesda	99	0.0	100.0
USA African American Bethesda	100	0.0	100.0
USA African American Bethesda	101	0.0	100.0
USA African American Bethesda	102	0.0	100.0
USA African American Bethesda	103	0.0	100.0
USA African American Bethesda	104	0.0	100.0
USA African American Bethesda	105	0.0	100.0
USA African American Bethesda	106	0.0	100.0
USA African American Bethesda	107	0.0	100.0
USA African American Bethesda	108	0.0	100.0
USA African American Bethesda	109	0.0	100.0
USA African American Bethesda	110	0.0	100.0
USA African American Bethesda	111	0.0	100.0
USA African American Bethesda	112	0.0	100.0
USA African American Bethesda	113	0.0	100.0
USA African American Bethesda	114	0.0	100.0
USA African American Bethesda	115	0.0	100.0
USA African American Bethesda	116	0.0	100.0
USA African American Bethesda	117	0.0	100.0
USA African American Bethesda	118	0.0	100.0
USA African American Bethesda	119	0.0	100.0
USA African American Bethesda	120	0.0	100.0
USA African American Bethesda	121	0.0	100.0
USA African American Bethesda	122	0.0	100.0
USA African American Bethesda	123	0.0	100.0
USA African American Bethesda	124	0.0	100.0
USA African American Bethesda	125	0.0	100.0
USA African American Bethesda	126	0.0	100.0
USA African American Bethesda	127	0.0	100.0
USA African American Bethesda	128	0.0	100.0
USA African American Bethesda	129	0.0	100.0
USA African American Bethesda	130	0.0	100.0
USA African American Bethesda	131	0.0	100.0
USA African American Bethesda	132	0.0	100.0
USA African American Bethesda	133	0.0	100.0
USA African American Bethesda	134	0.0	100.0
USA African American Bethesda	135	0.0	100.0
USA African American Bethesda	136	0.0	100.0
USA African American Bethesda	137	0.0	100.0
USA African American Bethesda	138	0.0	100.0
USA African American Bethesda	139	0.0	100.0
USA African American Bethesda	140	0.0	100.0
USA African American Bethesda	141	0.0	100.0
USA African American Bethesda	142	0.0	100.0
USA African American Bethesda	143	0.0	100.0
USA African American Bethesda	144	0.0	100.0
USA African American Bethesda	145	0.0	100.0
USA African American Bethesda	146	0.0	100.0
USA African American Bethesda	147	0.0	100.0
USA African American Bethesda	148	0.0	100.0
USA African American Bethesda	149	0.0	100.0
USA African American Bethesda	150	0.0	100.0
USA African American Bethesda	151	0.0	100.0
USA African American Bethesda	152	0.0	100.0
USA African American Bethesda	153	0.0	100.0
USA African American Bethesda	154	0.0	100.0
USA African American Bethesda	155	0.0	100.0
USA African American Bethesda	156	0.0	100.0
USA African American Bethesda	157	0.0	100.0
USA African American Bethesda	158	0.0	100.0
USA African American Bethesda	159	0.0	100.0
USA African American Bethesda	160	0.0	100.0
USA African American Bethesda	161	0.0	100.0
USA African American Bethesda	162	0.0	100.0
USA African American Bethesda	163	0.0	100.0
USA African American Bethesda	164	0.0	100.0
USA African American Bethesda	165	0.0	100.0
USA African American Bethesda	166	0.0	100.0
USA African American Bethesda	167	0.0	100.0
USA African American Bethesda	168	0.0	100.0
USA African American Bethesda	169	0.0	100.0
USA African American Bethesda	170	0.0	100.0
USA African American Bethesda	171	0.0	100.0
USA African American Bethesda	172	0.0	100.0
USA African American Bethesda	173	0.0	100.0
USA African American Bethesda	174	0.0	100.0
USA African American Bethesda	175	0.0	100.0
USA African American Bethesda	176	0.0	100.0
USA African American Bethesda	177	0.0	100.0
USA African American Bethesda	178	0.0	100.0
USA African American Bethesda	179	0.0	100.0
USA African American Bethesda	180	0.0	100.0
USA African American Bethesda	181	0.0	100.0
USA African American Bethesda	182	0.0	100.0
USA African American Bethesda	183	0.0	100.0
USA African American Bethesda	184	0.0	100.0
USA African American Bethesda	185	0.0	100.0
USA African American Bethesda	186	0.0	100.0
USA African American Bethesda	187	0.0	100.0
USA African American Bethesda	188	0.0	100.0
USA African American Bethesda	189	0.0	100.0
USA African American Bethesda	190	0.0	100.0
USA African American Bethesda	191	0.0	100.0
USA African American Bethesda	192	0.0	100.0
USA African American Bethesda	193	0.0	100.0
USA African American Bethesda	194	0.0	100.0
USA African American Bethesda	195	0.0	100.0
USA African American Bethesda	196	0.0	100.0
USA African American Bethesda	197	0.0	100.0
USA African American Bethesda	198	0.0	100.0
USA African American Bethesda	199	0.0	100.0
USA African American Bethesda	200	0.0	100.0
USA African American Bethesda	201	0.0	100.0
USA African American Bethesda	202	0.0	100.0
USA African American Bethesda	203	0.0	100.0
USA African American Bethesda	204	0.0	100.0
USA African American Bethesda	205	0.0	100.0
USA African American Bethesda	206	0.0	100.0
USA African American Bethesda	207	0.0	100.0
USA African American Bethesda	208	0.0	100.0
USA African American Bethesda	209	0.0	100.0
USA African American Bethesda	210	0.0	100.0
USA African American Bethesda	211	0.0	100.0
USA African American Bethesda	212	0.0	100.0
USA African American Bethesda	213	0.0	100.0
USA African American Bethesda	214	0.0	100.0
USA African American Bethesda	215	0.0	100.0
USA African American Bethesda	216	0.0	100.0
USA African American Bethesda	217	0.0	100.0
USA African American Bethesda	218	0.0	100.0
USA African American Bethesda	219	0.0	100.0
USA African American Bethesda	220	0.0	100.0
USA African American Bethesda	221	0.0	100.0
