class I
population/area	coverage	average_hit	pc90
USA Arizona Gila River Pima	100.0%	28395.77	14228.09
average	100.0%	28395.77	14228.09
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Arizona Gila River Pima	0	0.0	100.0
USA Arizona Gila River Pima	1	0.0	100.0
USA Arizona Gila River Pima	2	0.0	100.0
USA Arizona Gila River Pima	3	0.0	100.0
USA Arizona Gila River Pima	4	0.0	100.0
USA Arizona Gila River Pima	5	0.0	100.0
USA Arizona Gila River Pima	6	0.0	100.0
USA Arizona Gila River Pima	7	0.0	100.0
USA Arizona Gila River Pima	8	0.0	100.0
USA Arizona Gila River Pima	9	0.0	100.0
USA Arizona Gila River Pima	10	0.0	100.0
USA Arizona Gila River Pima	11	0.0	100.0
USA Arizona Gila River Pima	12	0.0	100.0
USA Arizona Gila River Pima	13	0.0	100.0
USA Arizona Gila River Pima	14	0.0	100.0
USA Arizona Gila River Pima	15	0.0	100.0
USA Arizona Gila River Pima	16	0.0	100.0
USA Arizona Gila River Pima	17	0.0	100.0
USA Arizona Gila River Pima	18	0.0	100.0
USA Arizona Gila River Pima	19	0.0	100.0
USA Arizona Gila River Pima	20	0.0	100.0
USA Arizona Gila River Pima	21	0.0	100.0
USA Arizona Gila River Pima	22	0.0	100.0
USA Arizona Gila River Pima	23	0.0	100.0
USA Arizona Gila River Pima	24	0.0	100.0
USA Arizona Gila River Pima	25	0.0	100.0
USA Arizona Gila River Pima	26	0.0	100.0
USA Arizona Gila River Pima	27	0.0	100.0
USA Arizona Gila River Pima	28	0.0	100.0
USA Arizona Gila River Pima	29	0.0	100.0
USA Arizona Gila River Pima	30	0.0	100.0
USA Arizona Gila River Pima	31	0.0	100.0
USA Arizona Gila River Pima	32	0.0	100.0
USA Arizona Gila River Pima	33	0.0	100.0
USA Arizona Gila River Pima	34	0.0	100.0
USA Arizona Gila River Pima	35	0.0	100.0
USA Arizona Gila River Pima	36	0.0	100.0
USA Arizona Gila River Pima	37	0.0	100.0
USA Arizona Gila River Pima	38	0.0	100.0
USA Arizona Gila River Pima	39	0.0	100.0
USA Arizona Gila River Pima	40	0.0	100.0
USA Arizona Gila River Pima	41	0.0	100.0
USA Arizona Gila River Pima	42	0.0	100.0
USA Arizona Gila River Pima	43	0.0	100.0
USA Arizona Gila River Pima	44	0.0	100.0
USA Arizona Gila River Pima	45	0.0	100.0
USA Arizona Gila River Pima	46	0.0	100.0
USA Arizona Gila River Pima	47	0.0	100.0
USA Arizona Gila River Pima	48	0.0	100.0
USA Arizona Gila River Pima	49	0.0	100.0
USA Arizona Gila River Pima	50	0.0	100.0
USA Arizona Gila River Pima	51	0.0	100.0
USA Arizona Gila River Pima	52	0.0	100.0
USA Arizona Gila River Pima	53	0.0	100.0
USA Arizona Gila River Pima	54	0.0	100.0
USA Arizona Gila River Pima	55	0.0	100.0
USA Arizona Gila River Pima	56	0.0	100.0
USA Arizona Gila River Pima	57	0.0	100.0
USA Arizona Gila River Pima	58	0.0	100.0
USA Arizona Gila River Pima	59	0.0	100.0
USA Arizona Gila River Pima	60	0.0	100.0
USA Arizona Gila River Pima	61	0.0	100.0
USA Arizona Gila River Pima	62	0.0	100.0
USA Arizona Gila River Pima	63	0.0	100.0
USA Arizona Gila River Pima	64	0.0	100.0
USA Arizona Gila River Pima	65	0.0	100.0
USA Arizona Gila River Pima	66	0.0	100.0
USA Arizona Gila River Pima	67	0.0	100.0
USA Arizona Gila River Pima	68	0.0	100.0
USA Arizona Gila River Pima	69	0.0	100.0
USA Arizona Gila River Pima	70	0.0	100.0
USA Arizona Gila River Pima	71	0.0	100.0
USA Arizona Gila River Pima	72	0.0	100.0
USA Arizona Gila River Pima	73	0.0	100.0
USA Arizona Gila River Pima	74	0.0	100.0
USA Arizona Gila River Pima	75	0.0	100.0
USA Arizona Gila River Pima	76	0.0	100.0
USA Arizona Gila River Pima	77	0.0	100.0
USA Arizona Gila River Pima	78	0.0	100.0
USA Arizona Gila River Pima	79	0.0	100.0
USA Arizona Gila River Pima	80	0.0	100.0
USA Arizona Gila River Pima	81	0.0	100.0
USA Arizona Gila River Pima	82	0.0	100.0
