class I
population/area	coverage	average_hit	pc90
USA Hawaii Okinawa	100.0%	29199.13	17348.65
average	100.0%	29199.13	17348.65
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA Hawaii Okinawa	0	0.0	100.0
USA Hawaii Okinawa	1	0.0	100.0
USA Hawaii Okinawa	2	0.0	100.0
USA Hawaii Okinawa	3	0.0	100.0
USA Hawaii Okinawa	4	0.0	100.0
USA Hawaii Okinawa	5	0.0	100.0
USA Hawaii Okinawa	6	0.0	100.0
USA Hawaii Okinawa	7	0.0	100.0
USA Hawaii Okinawa	8	0.0	100.0
USA Hawaii Okinawa	9	0.0	100.0
USA Hawaii Okinawa	10	0.0	100.0
USA Hawaii Okinawa	11	0.0	100.0
USA Hawaii Okinawa	12	0.0	100.0
USA Hawaii Okinawa	13	0.0	100.0
USA Hawaii Okinawa	14	0.0	100.0
USA Hawaii Okinawa	15	0.0	100.0
USA Hawaii Okinawa	16	0.0	100.0
USA Hawaii Okinawa	17	0.0	100.0
USA Hawaii Okinawa	18	0.0	100.0
USA Hawaii Okinawa	19	0.0	100.0
USA Hawaii Okinawa	20	0.0	100.0
USA Hawaii Okinawa	21	0.0	100.0
USA Hawaii Okinawa	22	0.0	100.0
USA Hawaii Okinawa	23	0.0	100.0
USA Hawaii Okinawa	24	0.0	100.0
USA Hawaii Okinawa	25	0.0	100.0
USA Hawaii Okinawa	26	0.0	100.0
USA Hawaii Okinawa	27	0.0	100.0
USA Hawaii Okinawa	28	0.0	100.0
USA Hawaii Okinawa	29	0.0	100.0
USA Hawaii Okinawa	30	0.0	100.0
USA Hawaii Okinawa	31	0.0	100.0
USA Hawaii Okinawa	32	0.0	100.0
USA Hawaii Okinawa	33	0.0	100.0
USA Hawaii Okinawa	34	0.0	100.0
USA Hawaii Okinawa	35	0.0	100.0
USA Hawaii Okinawa	36	0.0	100.0
USA Hawaii Okinawa	37	0.0	100.0
USA Hawaii Okinawa	38	0.0	100.0
USA Hawaii Okinawa	39	0.0	100.0
USA Hawaii Okinawa	40	0.0	100.0
USA Hawaii Okinawa	41	0.0	100.0
USA Hawaii Okinawa	42	0.0	100.0
USA Hawaii Okinawa	43	0.0	100.0
USA Hawaii Okinawa	44	0.0	100.0
USA Hawaii Okinawa	45	0.0	100.0
USA Hawaii Okinawa	46	0.0	100.0
USA Hawaii Okinawa	47	0.0	100.0
USA Hawaii Okinawa	48	0.0	100.0
USA Hawaii Okinawa	49	0.0	100.0
USA Hawaii Okinawa	50	0.0	100.0
USA Hawaii Okinawa	51	0.0	100.0
USA Hawaii Okinawa	52	0.0	100.0
USA Hawaii Okinawa	53	0.0	100.0
USA Hawaii Okinawa	54	0.0	100.0
USA Hawaii Okinawa	55	0.0	100.0
USA Hawaii Okinawa	56	0.0	100.0
USA Hawaii Okinawa	57	0.0	100.0
USA Hawaii Okinawa	58	0.0	100.0
USA Hawaii Okinawa	59	0.0	100.0
USA Hawaii Okinawa	60	0.0	100.0
USA Hawaii Okinawa	61	0.0	100.0
USA Hawaii Okinawa	62	0.0	100.0
USA Hawaii Okinawa	63	0.0	100.0
USA Hawaii Okinawa	64	0.0	100.0
USA Hawaii Okinawa	65	0.0	100.0
USA Hawaii Okinawa	66	0.0	100.0
USA Hawaii Okinawa	67	0.0	100.0
USA Hawaii Okinawa	68	0.0	100.0
USA Hawaii Okinawa	69	0.0	100.0
USA Hawaii Okinawa	70	0.0	100.0
USA Hawaii Okinawa	71	0.0	100.0
USA Hawaii Okinawa	72	0.0	100.0
USA Hawaii Okinawa	73	0.0	100.0
USA Hawaii Okinawa	74	0.0	100.0
USA Hawaii Okinawa	75	0.0	100.0
USA Hawaii Okinawa	76	0.0	100.0
USA Hawaii Okinawa	77	0.0	100.0
USA Hawaii Okinawa	78	0.0	100.0
USA Hawaii Okinawa	79	0.0	100.0
USA Hawaii Okinawa	80	0.0	100.0
USA Hawaii Okinawa	81	0.0	100.0
USA Hawaii Okinawa	82	0.0	100.0
USA Hawaii Okinawa	83	0.0	100.0
USA Hawaii Okinawa	84	0.0	100.0
USA Hawaii Okinawa	85	0.0	100.0
USA Hawaii Okinawa	86	0.0	100.0
USA Hawaii Okinawa	87	0.0	100.0
USA Hawaii Okinawa	88	0.0	100.0
USA Hawaii Okinawa	89	0.0	100.0
USA Hawaii Okinawa	90	0.0	100.0
USA Hawaii Okinawa	91	0.0	100.0
USA Hawaii Okinawa	92	0.0	100.0
USA Hawaii Okinawa	93	0.0	100.0
USA Hawaii Okinawa	94	0.0	100.0
USA Hawaii Okinawa	95	0.0	100.0
USA Hawaii Okinawa	96	0.0	100.0
USA Hawaii Okinawa	97	0.0	100.0
USA Hawaii Okinawa	98	0.0	100.0
USA Hawaii Okinawa	99	0.0	100.0
USA Hawaii Okinawa	100	0.0	100.0
USA Hawaii Okinawa	101	0.0	100.0
USA Hawaii Okinawa	102	0.0	100.0
USA Hawaii Okinawa	103	0.0	100.0
USA Hawaii Okinawa	104	0.0	100.0
USA Hawaii Okinawa	105	0.0	100.0
USA Hawaii Okinawa	106	0.0	100.0
USA Hawaii Okinawa	107	0.0	100.0
USA Hawaii Okinawa	108	0.0	100.0
USA Hawaii Okinawa	109	0.0	100.0
USA Hawaii Okinawa	110	0.0	100.0
USA Hawaii Okinawa	111	0.0	100.0
USA Hawaii Okinawa	112	0.0	100.0
USA Hawaii Okinawa	113	0.0	100.0
USA Hawaii Okinawa	114	0.0	100.0
USA Hawaii Okinawa	115	0.0	100.0
USA Hawaii Okinawa	116	0.0	100.0
USA Hawaii Okinawa	117	0.0	100.0
USA Hawaii Okinawa	118	0.0	100.0
USA Hawaii Okinawa	119	0.0	100.0
USA Hawaii Okinawa	120	0.0	100.0
USA Hawaii Okinawa	121	0.0	100.0
USA Hawaii Okinawa	122	0.0	100.0
USA Hawaii Okinawa	123	0.0	100.0
USA Hawaii Okinawa	124	0.0	100.0
USA Hawaii Okinawa	125	0.0	100.0
USA Hawaii Okinawa	126	0.0	100.0
USA Hawaii Okinawa	127	0.0	100.0
USA Hawaii Okinawa	128	0.0	100.0
USA Hawaii Okinawa	129	0.0	100.0
USA Hawaii Okinawa	130	0.0	100.0
USA Hawaii Okinawa	131	0.0	100.0
USA Hawaii Okinawa	132	0.0	100.0
