class I
population/area	coverage	average_hit	pc90
USA NMDP African	100.0%	22430.09	8050.52
average	100.0%	22430.09	8050.52
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP African	0	0.0	100.0
USA NMDP African	1	0.0	100.0
USA NMDP African	2	0.0	100.0
USA NMDP African	3	0.0	100.0
USA NMDP African	4	0.0	100.0
USA NMDP African	5	0.0	100.0
USA NMDP African	6	0.0	100.0
USA NMDP African	7	0.0	100.0
USA NMDP African	8	0.0	100.0
USA NMDP African	9	0.0	100.0
USA NMDP African	10	0.0	100.0
USA NMDP African	11	0.0	100.0
USA NMDP African	12	0.0	100.0
USA NMDP African	13	0.0	100.0
USA NMDP African	14	0.0	100.0
USA NMDP African	15	0.0	100.0
USA NMDP African	16	0.0	100.0
USA NMDP African	17	0.0	100.0
USA NMDP African	18	0.0	100.0
USA NMDP African	19	0.0	100.0
USA NMDP African	20	0.0	100.0
USA NMDP African	21	0.0	100.0
USA NMDP African	22	0.0	100.0
USA NMDP African	23	0.0	100.0
USA NMDP African	24	0.0	100.0
USA NMDP African	25	0.0	100.0
USA NMDP African	26	0.0	100.0
USA NMDP African	27	0.0	100.0
USA NMDP African	28	0.0	100.0
USA NMDP African	29	0.0	100.0
USA NMDP African	30	0.0	100.0
USA NMDP African	31	0.0	100.0
USA NMDP African	32	0.0	100.0
USA NMDP African	33	0.0	100.0
USA NMDP African	34	0.0	100.0
USA NMDP African	35	0.0	100.0
USA NMDP African	36	0.0	100.0
USA NMDP African	37	0.0	100.0
USA NMDP African	38	0.0	100.0
USA NMDP African	39	0.0	100.0
USA NMDP African	40	0.0	100.0
USA NMDP African	41	0.0	100.0
USA NMDP African	42	0.0	100.0
USA NMDP African	43	0.0	100.0
USA NMDP African	44	0.0	100.0
USA NMDP African	45	0.0	100.0
USA NMDP African	46	0.0	100.0
USA NMDP African	47	0.0	100.0
USA NMDP African	48	0.0	100.0
USA NMDP African	49	0.0	100.0
USA NMDP African	50	0.0	100.0
USA NMDP African	51	0.0	100.0
USA NMDP African	52	0.0	100.0
USA NMDP African	53	0.0	100.0
USA NMDP African	54	0.0	100.0
USA NMDP African	55	0.0	100.0
USA NMDP African	56	0.0	100.0
USA NMDP African	57	0.0	100.0
USA NMDP African	58	0.0	100.0
USA NMDP African	59	0.0	100.0
USA NMDP African	60	0.0	100.0
USA NMDP African	61	0.0	100.0
USA NMDP African	62	0.0	100.0
USA NMDP African	63	0.0	100.0
USA NMDP African	64	0.0	100.0
USA NMDP African	65	0.0	100.0
USA NMDP African	66	0.0	100.0
USA NMDP African	67	0.0	100.0
USA NMDP African	68	0.0	100.0
USA NMDP African	69	0.0	100.0
USA NMDP African	70	0.0	100.0
USA NMDP African	71	0.0	100.0
USA NMDP African	72	0.0	100.0
USA NMDP African	73	0.0	100.0
USA NMDP African	74	0.0	100.0
USA NMDP African	75	0.0	100.0
USA NMDP African	76	0.0	100.0
USA NMDP African	77	0.0	100.0
USA NMDP African	78	0.0	100.0
USA NMDP African	79	0.0	100.0
USA NMDP African	80	0.0	100.0
USA NMDP African	81	0.0	100.0
USA NMDP African	82	0.0	100.0
USA NMDP African	83	0.0	100.0
USA NMDP African	84	0.0	100.0
USA NMDP African	85	0.0	100.0
USA NMDP African	86	0.0	100.0
USA NMDP African	87	0.0	100.0
USA NMDP African	88	0.0	100.0
USA NMDP African	89	0.0	100.0
USA NMDP African	90	0.0	100.0
USA NMDP African	91	0.0	100.0
USA NMDP African	92	0.0	100.0
USA NMDP African	93	0.0	100.0
USA NMDP African	94	0.0	100.0
USA NMDP African	95	0.0	100.0
USA NMDP African	96	0.0	100.0
USA NMDP African	97	0.0	100.0
USA NMDP African	98	0.0	100.0
USA NMDP African	99	0.0	100.0
USA NMDP African	100	0.0	100.0
USA NMDP African	101	0.0	100.0
USA NMDP African	102	0.0	100.0
USA NMDP African	103	0.0	100.0
USA NMDP African	104	0.0	100.0
USA NMDP African	105	0.0	100.0
USA NMDP African	106	0.0	100.0
USA NMDP African	107	0.0	100.0
USA NMDP African	108	0.0	100.0
USA NMDP African	109	0.0	100.0
USA NMDP African	110	0.0	100.0
USA NMDP African	111	0.0	100.0
USA NMDP African	112	0.0	100.0
USA NMDP African	113	0.0	100.0
USA NMDP African	114	0.0	100.0
USA NMDP African	115	0.0	100.0
USA NMDP African	116	0.0	100.0
USA NMDP African	117	0.0	100.0
USA NMDP African	118	0.0	100.0
USA NMDP African	119	0.0	100.0
USA NMDP African	120	0.0	100.0
USA NMDP African	121	0.0	100.0
USA NMDP African	122	0.0	100.0
USA NMDP African	123	0.0	100.0
USA NMDP African	124	0.0	100.0
USA NMDP African	125	0.0	100.0
USA NMDP African	126	0.0	100.0
USA NMDP African	127	0.0	100.0
USA NMDP African	128	0.0	100.0
USA NMDP African	129	0.0	100.0
USA NMDP African	130	0.0	100.0
USA NMDP African	131	0.0	100.0
USA NMDP African	132	0.0	100.0
USA NMDP African	133	0.0	100.0
USA NMDP African	134	0.0	100.0
USA NMDP African	135	0.0	100.0
USA NMDP African	136	0.0	100.0
USA NMDP African	137	0.0	100.0
USA NMDP African	138	0.0	100.0
USA NMDP African	139	0.0	100.0
USA NMDP African	140	0.0	100.0
USA NMDP African	141	0.0	100.0
USA NMDP African	142	0.0	100.0
USA NMDP African	143	0.0	100.0
USA NMDP African	144	0.0	100.0
USA NMDP African	145	0.0	100.0
USA NMDP African	146	0.0	100.0
USA NMDP African	147	0.0	100.0
USA NMDP African	148	0.0	99.99
USA NMDP African	149	0.0	99.99
