class I
population/area	coverage	average_hit	pc90
USA NMDP Caribean Hispanic	100.0%	29693.15	14864.54
average	100.0%	29693.15	14864.54
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Caribean Hispanic	0	0.0	100.0
USA NMDP Caribean Hispanic	1	0.0	100.0
USA NMDP Caribean Hispanic	2	0.0	100.0
USA NMDP Caribean Hispanic	3	0.0	100.0
USA NMDP Caribean Hispanic	4	0.0	100.0
USA NMDP Caribean Hispanic	5	0.0	100.0
USA NMDP Caribean Hispanic	6	0.0	100.0
USA NMDP Caribean Hispanic	7	0.0	100.0
USA NMDP Caribean Hispanic	8	0.0	100.0
USA NMDP Caribean Hispanic	9	0.0	100.0
USA NMDP Caribean Hispanic	10	0.0	100.0
USA NMDP Caribean Hispanic	11	0.0	100.0
USA NMDP Caribean Hispanic	12	0.0	100.0
USA NMDP Caribean Hispanic	13	0.0	100.0
USA NMDP Caribean Hispanic	14	0.0	100.0
USA NMDP Caribean Hispanic	15	0.0	100.0
USA NMDP Caribean Hispanic	16	0.0	100.0
USA NMDP Caribean Hispanic	17	0.0	100.0
USA NMDP Caribean Hispanic	18	0.0	100.0
USA NMDP Caribean Hispanic	19	0.0	100.0
USA NMDP Caribean Hispanic	20	0.0	100.0
USA NMDP Caribean Hispanic	21	0.0	100.0
USA NMDP Caribean Hispanic	22	0.0	100.0
USA NMDP Caribean Hispanic	23	0.0	100.0
USA NMDP Caribean Hispanic	24	0.0	100.0
USA NMDP Caribean Hispanic	25	0.0	100.0
USA NMDP Caribean Hispanic	26	0.0	100.0
USA NMDP Caribean Hispanic	27	0.0	100.0
USA NMDP Caribean Hispanic	28	0.0	100.0
USA NMDP Caribean Hispanic	29	0.0	100.0
USA NMDP Caribean Hispanic	30	0.0	100.0
USA NMDP Caribean Hispanic	31	0.0	100.0
USA NMDP Caribean Hispanic	32	0.0	100.0
USA NMDP Caribean Hispanic	33	0.0	100.0
USA NMDP Caribean Hispanic	34	0.0	100.0
USA NMDP Caribean Hispanic	35	0.0	100.0
USA NMDP Caribean Hispanic	36	0.0	100.0
USA NMDP Caribean Hispanic	37	0.0	100.0
USA NMDP Caribean Hispanic	38	0.0	100.0
USA NMDP Caribean Hispanic	39	0.0	100.0
USA NMDP Caribean Hispanic	40	0.0	100.0
USA NMDP Caribean Hispanic	41	0.0	100.0
USA NMDP Caribean Hispanic	42	0.0	100.0
USA NMDP Caribean Hispanic	43	0.0	100.0
USA NMDP Caribean Hispanic	44	0.0	100.0
USA NMDP Caribean Hispanic	45	0.0	100.0
USA NMDP Caribean Hispanic	46	0.0	100.0
USA NMDP Caribean Hispanic	47	0.0	100.0
USA NMDP Caribean Hispanic	48	0.0	100.0
USA NMDP Caribean Hispanic	49	0.0	100.0
USA NMDP Caribean Hispanic	50	0.0	100.0
USA NMDP Caribean Hispanic	51	0.0	100.0
USA NMDP Caribean Hispanic	52	0.0	100.0
USA NMDP Caribean Hispanic	53	0.0	100.0
USA NMDP Caribean Hispanic	54	0.0	100.0
USA NMDP Caribean Hispanic	55	0.0	100.0
USA NMDP Caribean Hispanic	56	0.0	100.0
USA NMDP Caribean Hispanic	57	0.0	100.0
USA NMDP Caribean Hispanic	58	0.0	100.0
USA NMDP Caribean Hispanic	59	0.0	100.0
USA NMDP Caribean Hispanic	60	0.0	100.0
USA NMDP Caribean Hispanic	61	0.0	100.0
USA NMDP Caribean Hispanic	62	0.0	100.0
USA NMDP Caribean Hispanic	63	0.0	100.0
USA NMDP Caribean Hispanic	64	0.0	100.0
USA NMDP Caribean Hispanic	65	0.0	100.0
USA NMDP Caribean Hispanic	66	0.0	100.0
USA NMDP Caribean Hispanic	67	0.0	100.0
USA NMDP Caribean Hispanic	68	0.0	100.0
USA NMDP Caribean Hispanic	69	0.0	100.0
USA NMDP Caribean Hispanic	70	0.0	100.0
USA NMDP Caribean Hispanic	71	0.0	100.0
USA NMDP Caribean Hispanic	72	0.0	100.0
USA NMDP Caribean Hispanic	73	0.0	100.0
USA NMDP Caribean Hispanic	74	0.0	100.0
USA NMDP Caribean Hispanic	75	0.0	100.0
USA NMDP Caribean Hispanic	76	0.0	100.0
USA NMDP Caribean Hispanic	77	0.0	100.0
USA NMDP Caribean Hispanic	78	0.0	100.0
USA NMDP Caribean Hispanic	79	0.0	100.0
