class I
population/area	coverage	average_hit	pc90
USA NMDP Chinese	100.0%	28443.82	17969.42
average	100.0%	28443.82	17969.42
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP Chinese	0	0.0	100.0
USA NMDP Chinese	1	0.0	100.0
USA NMDP Chinese	2	0.0	100.0
USA NMDP Chinese	3	0.0	100.0
USA NMDP Chinese	4	0.0	100.0
USA NMDP Chinese	5	0.0	100.0
USA NMDP Chinese	6	0.0	100.0
USA NMDP Chinese	7	0.0	100.0
USA NMDP Chinese	8	0.0	100.0
USA NMDP Chinese	9	0.0	100.0
USA NMDP Chinese	10	0.0	100.0
USA NMDP Chinese	11	0.0	100.0
USA NMDP Chinese	12	0.0	100.0
USA NMDP Chinese	13	0.0	100.0
USA NMDP Chinese	14	0.0	100.0
USA NMDP Chinese	15	0.0	100.0
USA NMDP Chinese	16	0.0	100.0
USA NMDP Chinese	17	0.0	100.0
USA NMDP Chinese	18	0.0	100.0
USA NMDP Chinese	19	0.0	100.0
USA NMDP Chinese	20	0.0	100.0
USA NMDP Chinese	21	0.0	100.0
USA NMDP Chinese	22	0.0	100.0
USA NMDP Chinese	23	0.0	100.0
USA NMDP Chinese	24	0.0	100.0
USA NMDP Chinese	25	0.0	100.0
USA NMDP Chinese	26	0.0	100.0
USA NMDP Chinese	27	0.0	100.0
USA NMDP Chinese	28	0.0	100.0
USA NMDP Chinese	29	0.0	100.0
USA NMDP Chinese	30	0.0	100.0
USA NMDP Chinese	31	0.0	100.0
USA NMDP Chinese	32	0.0	100.0
USA NMDP Chinese	33	0.0	100.0
USA NMDP Chinese	34	0.0	100.0
USA NMDP Chinese	35	0.0	100.0
USA NMDP Chinese	36	0.0	100.0
USA NMDP Chinese	37	0.0	100.0
USA NMDP Chinese	38	0.0	100.0
USA NMDP Chinese	39	0.0	100.0
USA NMDP Chinese	40	0.0	100.0
USA NMDP Chinese	41	0.0	100.0
USA NMDP Chinese	42	0.0	100.0
USA NMDP Chinese	43	0.0	100.0
USA NMDP Chinese	44	0.0	100.0
USA NMDP Chinese	45	0.0	100.0
USA NMDP Chinese	46	0.0	100.0
USA NMDP Chinese	47	0.0	100.0
USA NMDP Chinese	48	0.0	100.0
USA NMDP Chinese	49	0.0	100.0
USA NMDP Chinese	50	0.0	100.0
USA NMDP Chinese	51	0.0	100.0
USA NMDP Chinese	52	0.0	100.0
USA NMDP Chinese	53	0.0	100.0
USA NMDP Chinese	54	0.0	100.0
USA NMDP Chinese	55	0.0	100.0
USA NMDP Chinese	56	0.0	100.0
USA NMDP Chinese	57	0.0	100.0
USA NMDP Chinese	58	0.0	100.0
USA NMDP Chinese	59	0.0	100.0
USA NMDP Chinese	60	0.0	100.0
USA NMDP Chinese	61	0.0	100.0
USA NMDP Chinese	62	0.0	100.0
USA NMDP Chinese	63	0.0	100.0
USA NMDP Chinese	64	0.0	100.0
USA NMDP Chinese	65	0.0	100.0
USA NMDP Chinese	66	0.0	100.0
USA NMDP Chinese	67	0.0	100.0
USA NMDP Chinese	68	0.0	100.0
USA NMDP Chinese	69	0.0	100.0
USA NMDP Chinese	70	0.0	100.0
USA NMDP Chinese	71	0.0	100.0
USA NMDP Chinese	72	0.0	100.0
USA NMDP Chinese	73	0.0	100.0
USA NMDP Chinese	74	0.0	100.0
USA NMDP Chinese	75	0.0	100.0
USA NMDP Chinese	76	0.0	100.0
USA NMDP Chinese	77	0.0	100.0
USA NMDP Chinese	78	0.0	100.0
USA NMDP Chinese	79	0.0	100.0
USA NMDP Chinese	80	0.0	100.0
USA NMDP Chinese	81	0.0	100.0
USA NMDP Chinese	82	0.0	100.0
USA NMDP Chinese	83	0.0	100.0
USA NMDP Chinese	84	0.0	100.0
USA NMDP Chinese	85	0.0	100.0
USA NMDP Chinese	86	0.0	100.0
USA NMDP Chinese	87	0.0	100.0
USA NMDP Chinese	88	0.0	100.0
USA NMDP Chinese	89	0.0	100.0
USA NMDP Chinese	90	0.0	100.0
USA NMDP Chinese	91	0.0	100.0
USA NMDP Chinese	92	0.0	100.0
USA NMDP Chinese	93	0.0	100.0
USA NMDP Chinese	94	0.0	100.0
USA NMDP Chinese	95	0.0	100.0
USA NMDP Chinese	96	0.0	100.0
USA NMDP Chinese	97	0.0	100.0
USA NMDP Chinese	98	0.0	100.0
USA NMDP Chinese	99	0.0	100.0
USA NMDP Chinese	100	0.0	100.0
USA NMDP Chinese	101	0.0	100.0
USA NMDP Chinese	102	0.0	100.0
USA NMDP Chinese	103	0.0	100.0
USA NMDP Chinese	104	0.0	100.0
USA NMDP Chinese	105	0.0	100.0
USA NMDP Chinese	106	0.0	100.0
USA NMDP Chinese	107	0.0	100.0
USA NMDP Chinese	108	0.0	100.0
USA NMDP Chinese	109	0.0	100.0
USA NMDP Chinese	110	0.0	100.0
USA NMDP Chinese	111	0.0	100.0
USA NMDP Chinese	112	0.0	100.0
USA NMDP Chinese	113	0.0	100.0
USA NMDP Chinese	114	0.0	100.0
USA NMDP Chinese	115	0.0	100.0
USA NMDP Chinese	116	0.0	100.0
USA NMDP Chinese	117	0.0	100.0
USA NMDP Chinese	118	0.0	100.0
USA NMDP Chinese	119	0.0	100.0
USA NMDP Chinese	120	0.0	100.0
USA NMDP Chinese	121	0.0	100.0
USA NMDP Chinese	122	0.0	100.0
USA NMDP Chinese	123	0.0	100.0
USA NMDP Chinese	124	0.0	100.0
USA NMDP Chinese	125	0.0	100.0
USA NMDP Chinese	126	0.0	100.0
USA NMDP Chinese	127	0.0	100.0
USA NMDP Chinese	128	0.0	100.0
USA NMDP Chinese	129	0.0	100.0
USA NMDP Chinese	130	0.0	100.0
USA NMDP Chinese	131	0.0	100.0
USA NMDP Chinese	132	0.0	100.0
USA NMDP Chinese	133	0.0	100.0
USA NMDP Chinese	134	0.0	100.0
USA NMDP Chinese	135	0.0	100.0
USA NMDP Chinese	136	0.0	100.0
USA NMDP Chinese	137	0.0	100.0
USA NMDP Chinese	138	0.0	100.0
USA NMDP Chinese	139	0.0	100.0
USA NMDP Chinese	140	0.0	100.0
USA NMDP Chinese	141	0.0	100.0
USA NMDP Chinese	142	0.0	100.0
USA NMDP Chinese	143	0.0	100.0
USA NMDP Chinese	144	0.0	100.0
USA NMDP Chinese	145	0.0	100.0
USA NMDP Chinese	146	0.0	100.0
USA NMDP Chinese	147	0.0	100.0
USA NMDP Chinese	148	0.0	100.0
USA NMDP Chinese	149	0.0	100.0
USA NMDP Chinese	150	0.0	100.0
USA NMDP Chinese	151	0.0	100.0
USA NMDP Chinese	152	0.0	100.0
USA NMDP Chinese	153	0.0	100.0
USA NMDP Chinese	154	0.0	100.0
USA NMDP Chinese	155	0.0	100.0
USA NMDP Chinese	156	0.0	100.0
USA NMDP Chinese	157	0.0	100.0
USA NMDP Chinese	158	0.0	100.0
USA NMDP Chinese	159	0.0	100.0
USA NMDP Chinese	160	0.0	100.0
USA NMDP Chinese	161	0.0	100.0
USA NMDP Chinese	162	0.0	100.0
USA NMDP Chinese	163	0.0	100.0
USA NMDP Chinese	164	0.0	100.0
USA NMDP Chinese	165	0.0	100.0
USA NMDP Chinese	166	0.0	100.0
USA NMDP Chinese	167	0.0	100.0
USA NMDP Chinese	168	0.0	100.0
USA NMDP Chinese	169	0.0	100.0
USA NMDP Chinese	170	0.0	100.0
USA NMDP Chinese	171	0.0	100.0
USA NMDP Chinese	172	0.0	100.0
USA NMDP Chinese	173	0.0	100.0
USA NMDP Chinese	174	0.0	100.0
USA NMDP Chinese	175	0.0	100.0
USA NMDP Chinese	176	0.0	100.0
USA NMDP Chinese	177	0.0	100.0
USA NMDP Chinese	178	0.0	100.0
USA NMDP Chinese	179	0.0	100.0
USA NMDP Chinese	180	0.0	100.0
USA NMDP Chinese	181	0.0	100.0
USA NMDP Chinese	182	0.0	100.0
USA NMDP Chinese	183	0.0	100.0
USA NMDP Chinese	184	0.0	100.0
USA NMDP Chinese	185	0.0	100.0
USA NMDP Chinese	186	0.0	100.0
USA NMDP Chinese	187	0.0	100.0
USA NMDP Chinese	188	0.0	100.0
USA NMDP Chinese	189	0.0	100.0
USA NMDP Chinese	190	0.0	100.0
USA NMDP Chinese	191	0.0	100.0
USA NMDP Chinese	192	0.0	100.0
USA NMDP Chinese	193	0.0	100.0
USA NMDP Chinese	194	0.0	100.0
USA NMDP Chinese	195	0.0	100.0
USA NMDP Chinese	196	0.0	100.0
USA NMDP Chinese	197	0.0	100.0
USA NMDP Chinese	198	0.0	100.0
USA NMDP Chinese	199	0.0	100.0
USA NMDP Chinese	200	0.0	100.0
USA NMDP Chinese	201	0.0	100.0
USA NMDP Chinese	202	0.0	100.0
USA NMDP Chinese	203	0.0	100.0
USA NMDP Chinese	204	0.0	100.0
USA NMDP Chinese	205	0.0	100.0
USA NMDP Chinese	206	0.0	100.0
USA NMDP Chinese	207	0.0	100.0
USA NMDP Chinese	208	0.0	100.0
USA NMDP Chinese	209	0.0	100.0
USA NMDP Chinese	210	0.0	100.0
USA NMDP Chinese	211	0.0	100.0
USA NMDP Chinese	212	0.0	100.0
USA NMDP Chinese	213	0.0	100.0
USA NMDP Chinese	214	0.0	100.0
USA NMDP Chinese	215	0.0	100.0
USA NMDP Chinese	216	0.0	100.0
USA NMDP Chinese	217	0.0	100.0
USA NMDP Chinese	218	0.0	100.0
USA NMDP Chinese	219	0.0	100.0
USA NMDP Chinese	220	0.0	100.0
USA NMDP Chinese	221	0.0	100.0
USA NMDP Chinese	222	0.0	100.0
USA NMDP Chinese	223	0.0	100.0
USA NMDP Chinese	224	0.0	100.0
USA NMDP Chinese	225	0.0	100.0
USA NMDP Chinese	226	0.0	100.0
USA NMDP Chinese	227	0.0	100.0
USA NMDP Chinese	228	0.0	100.0
USA NMDP Chinese	229	0.0	100.0
USA NMDP Chinese	230	0.0	100.0
USA NMDP Chinese	231	0.0	100.0
USA NMDP Chinese	232	0.0	100.0
USA NMDP Chinese	233	0.0	100.0
USA NMDP Chinese	234	0.0	100.0
USA NMDP Chinese	235	0.0	100.0
USA NMDP Chinese	236	0.0	100.0
USA NMDP Chinese	237	0.0	100.0
USA NMDP Chinese	238	0.0	100.0
USA NMDP Chinese	239	0.0	100.0
USA NMDP Chinese	240	0.0	100.0
USA NMDP Chinese	241	0.0	100.0
USA NMDP Chinese	242	0.0	100.0
USA NMDP Chinese	243	0.0	100.0
USA NMDP Chinese	244	0.0	100.0
USA NMDP Chinese	245	0.0	100.0
USA NMDP Chinese	246	0.0	100.0
USA NMDP Chinese	247	0.0	100.0
USA NMDP Chinese	248	0.0	100.0
USA NMDP Chinese	249	0.0	100.0
USA NMDP Chinese	250	0.0	100.0
USA NMDP Chinese	251	0.0	100.0
USA NMDP Chinese	252	0.0	100.0
USA NMDP Chinese	253	0.0	100.0
USA NMDP Chinese	254	0.0	100.0
USA NMDP Chinese	255	0.0	100.0
USA NMDP Chinese	256	0.0	100.0
USA NMDP Chinese	257	0.0	100.0
USA NMDP Chinese	258	0.0	100.0
USA NMDP Chinese	259	0.0	100.0
USA NMDP Chinese	260	0.0	100.0
USA NMDP Chinese	261	0.0	100.0
USA NMDP Chinese	262	0.0	100.0
USA NMDP Chinese	263	0.0	100.0
USA NMDP Chinese	264	0.0	100.0
USA NMDP Chinese	265	0.0	100.0
USA NMDP Chinese	266	0.0	100.0
USA NMDP Chinese	267	0.0	100.0
USA NMDP Chinese	268	0.0	100.0
USA NMDP Chinese	269	0.0	100.0
USA NMDP Chinese	270	0.0	100.0
USA NMDP Chinese	271	0.0	100.0
USA NMDP Chinese	272	0.0	100.0
USA NMDP Chinese	273	0.0	100.0
USA NMDP Chinese	274	0.0	100.0
USA NMDP Chinese	275	0.0	100.0
USA NMDP Chinese	276	0.0	100.0
USA NMDP Chinese	277	0.0	100.0
USA NMDP Chinese	278	0.0	100.0
USA NMDP Chinese	279	0.0	100.0
USA NMDP Chinese	280	0.0	100.0
USA NMDP Chinese	281	0.0	100.0
USA NMDP Chinese	282	0.0	100.0
USA NMDP Chinese	283	0.0	100.0
USA NMDP Chinese	284	0.0	100.0
USA NMDP Chinese	285	0.0	100.0
USA NMDP Chinese	286	0.0	100.0
USA NMDP Chinese	287	0.0	100.0
USA NMDP Chinese	288	0.0	100.0
USA NMDP Chinese	289	0.0	100.0
USA NMDP Chinese	290	0.0	100.0
USA NMDP Chinese	291	0.0	100.0
USA NMDP Chinese	292	0.0	100.0
USA NMDP Chinese	293	0.0	100.0
USA NMDP Chinese	294	0.0	100.0
USA NMDP Chinese	295	0.0	100.0
USA NMDP Chinese	296	0.0	100.0
USA NMDP Chinese	297	0.0	100.0
USA NMDP Chinese	298	0.0	100.0
USA NMDP Chinese	299	0.0	100.0
USA NMDP Chinese	300	0.0	100.0
USA NMDP Chinese	301	0.0	100.0
USA NMDP Chinese	302	0.0	100.0
USA NMDP Chinese	303	0.0	100.0
USA NMDP Chinese	304	0.0	100.0
USA NMDP Chinese	305	0.0	100.0
USA NMDP Chinese	306	0.0	100.0
USA NMDP Chinese	307	0.0	100.0
USA NMDP Chinese	308	0.0	100.0
USA NMDP Chinese	309	0.0	100.0
USA NMDP Chinese	310	0.0	100.0
