class I
population/area	coverage	average_hit	pc90
USA NMDP North American Amerindian	100.0%	38655.13	23891.03
average	100.0%	38655.13	23891.03
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
USA NMDP North American Amerindian	0	0.0	100.0
USA NMDP North American Amerindian	1	0.0	100.0
USA NMDP North American Amerindian	2	0.0	100.0
USA NMDP North American Amerindian	3	0.0	100.0
USA NMDP North American Amerindian	4	0.0	100.0
USA NMDP North American Amerindian	5	0.0	100.0
USA NMDP North American Amerindian	6	0.0	100.0
USA NMDP North American Amerindian	7	0.0	100.0
USA NMDP North American Amerindian	8	0.0	100.0
USA NMDP North American Amerindian	9	0.0	100.0
USA NMDP North American Amerindian	10	0.0	100.0
USA NMDP North American Amerindian	11	0.0	100.0
USA NMDP North American Amerindian	12	0.0	100.0
USA NMDP North American Amerindian	13	0.0	100.0
USA NMDP North American Amerindian	14	0.0	100.0
USA NMDP North American Amerindian	15	0.0	100.0
USA NMDP North American Amerindian	16	0.0	100.0
USA NMDP North American Amerindian	17	0.0	100.0
USA NMDP North American Amerindian	18	0.0	100.0
USA NMDP North American Amerindian	19	0.0	100.0
USA NMDP North American Amerindian	20	0.0	100.0
USA NMDP North American Amerindian	21	0.0	100.0
USA NMDP North American Amerindian	22	0.0	100.0
USA NMDP North American Amerindian	23	0.0	100.0
USA NMDP North American Amerindian	24	0.0	100.0
USA NMDP North American Amerindian	25	0.0	100.0
USA NMDP North American Amerindian	26	0.0	100.0
USA NMDP North American Amerindian	27	0.0	100.0
USA NMDP North American Amerindian	28	0.0	100.0
USA NMDP North American Amerindian	29	0.0	100.0
USA NMDP North American Amerindian	30	0.0	100.0
USA NMDP North American Amerindian	31	0.0	100.0
USA NMDP North American Amerindian	32	0.0	100.0
USA NMDP North American Amerindian	33	0.0	100.0
USA NMDP North American Amerindian	34	0.0	100.0
USA NMDP North American Amerindian	35	0.0	100.0
USA NMDP North American Amerindian	36	0.0	100.0
USA NMDP North American Amerindian	37	0.0	100.0
USA NMDP North American Amerindian	38	0.0	100.0
USA NMDP North American Amerindian	39	0.0	100.0
USA NMDP North American Amerindian	40	0.0	100.0
USA NMDP North American Amerindian	41	0.0	100.0
USA NMDP North American Amerindian	42	0.0	100.0
USA NMDP North American Amerindian	43	0.0	100.0
USA NMDP North American Amerindian	44	0.0	100.0
USA NMDP North American Amerindian	45	0.0	100.0
USA NMDP North American Amerindian	46	0.0	100.0
USA NMDP North American Amerindian	47	0.0	100.0
USA NMDP North American Amerindian	48	0.0	100.0
USA NMDP North American Amerindian	49	0.0	100.0
USA NMDP North American Amerindian	50	0.0	100.0
USA NMDP North American Amerindian	51	0.0	100.0
USA NMDP North American Amerindian	52	0.0	100.0
USA NMDP North American Amerindian	53	0.0	100.0
USA NMDP North American Amerindian	54	0.0	100.0
USA NMDP North American Amerindian	55	0.0	100.0
USA NMDP North American Amerindian	56	0.0	100.0
USA NMDP North American Amerindian	57	0.0	100.0
USA NMDP North American Amerindian	58	0.0	100.0
USA NMDP North American Amerindian	59	0.0	100.0
USA NMDP North American Amerindian	60	0.0	100.0
USA NMDP North American Amerindian	61	0.0	100.0
USA NMDP North American Amerindian	62	0.0	100.0
USA NMDP North American Amerindian	63	0.0	100.0
USA NMDP North American Amerindian	64	0.0	100.0
USA NMDP North American Amerindian	65	0.0	100.0
USA NMDP North American Amerindian	66	0.0	100.0
USA NMDP North American Amerindian	67	0.0	100.0
USA NMDP North American Amerindian	68	0.0	100.0
USA NMDP North American Amerindian	69	0.0	100.0
USA NMDP North American Amerindian	70	0.0	100.0
USA NMDP North American Amerindian	71	0.0	100.0
USA NMDP North American Amerindian	72	0.0	100.0
USA NMDP North American Amerindian	73	0.0	100.0
USA NMDP North American Amerindian	74	0.0	100.0
USA NMDP North American Amerindian	75	0.0	100.0
USA NMDP North American Amerindian	76	0.0	100.0
USA NMDP North American Amerindian	77	0.0	100.0
USA NMDP North American Amerindian	78	0.0	100.0
USA NMDP North American Amerindian	79	0.0	100.0
