class I
population/area	coverage	average_hit	pc90
Uganda Kampala	100.0%	35366.41	19844.49
average	100.0%	35366.41	19844.49
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Uganda Kampala	0	0.0	100.0
Uganda Kampala	1	0.0	100.0
Uganda Kampala	2	0.0	100.0
Uganda Kampala	3	0.0	100.0
Uganda Kampala	4	0.0	100.0
Uganda Kampala	5	0.0	100.0
Uganda Kampala	6	0.0	100.0
Uganda Kampala	7	0.0	100.0
Uganda Kampala	8	0.0	100.0
Uganda Kampala	9	0.0	100.0
Uganda Kampala	10	0.0	100.0
Uganda Kampala	11	0.0	100.0
Uganda Kampala	12	0.0	100.0
Uganda Kampala	13	0.0	100.0
Uganda Kampala	14	0.0	100.0
Uganda Kampala	15	0.0	100.0
Uganda Kampala	16	0.0	100.0
Uganda Kampala	17	0.0	100.0
Uganda Kampala	18	0.0	100.0
Uganda Kampala	19	0.0	100.0
Uganda Kampala	20	0.0	100.0
Uganda Kampala	21	0.0	100.0
Uganda Kampala	22	0.0	100.0
Uganda Kampala	23	0.0	100.0
Uganda Kampala	24	0.0	100.0
Uganda Kampala	25	0.0	100.0
Uganda Kampala	26	0.0	100.0
Uganda Kampala	27	0.0	100.0
Uganda Kampala	28	0.0	100.0
Uganda Kampala	29	0.0	100.0
Uganda Kampala	30	0.0	100.0
Uganda Kampala	31	0.0	100.0
Uganda Kampala	32	0.0	100.0
Uganda Kampala	33	0.0	100.0
Uganda Kampala	34	0.0	100.0
Uganda Kampala	35	0.0	100.0
Uganda Kampala	36	0.0	100.0
Uganda Kampala	37	0.0	100.0
Uganda Kampala	38	0.0	100.0
Uganda Kampala	39	0.0	100.0
Uganda Kampala	40	0.0	100.0
Uganda Kampala	41	0.0	100.0
Uganda Kampala	42	0.0	100.0
Uganda Kampala	43	0.0	100.0
Uganda Kampala	44	0.0	100.0
Uganda Kampala	45	0.0	100.0
Uganda Kampala	46	0.0	100.0
Uganda Kampala	47	0.0	100.0
Uganda Kampala	48	0.0	100.0
Uganda Kampala	49	0.0	100.0
Uganda Kampala	50	0.0	100.0
Uganda Kampala	51	0.0	100.0
Uganda Kampala	52	0.0	100.0
Uganda Kampala	53	0.0	100.0
Uganda Kampala	54	0.0	100.0
Uganda Kampala	55	0.0	100.0
Uganda Kampala	56	0.0	100.0
Uganda Kampala	57	0.0	100.0
Uganda Kampala	58	0.0	100.0
Uganda Kampala	59	0.0	100.0
Uganda Kampala	60	0.0	100.0
Uganda Kampala	61	0.0	100.0
Uganda Kampala	62	0.0	100.0
Uganda Kampala	63	0.0	100.0
Uganda Kampala	64	0.0	100.0
Uganda Kampala	65	0.0	100.0
Uganda Kampala	66	0.0	100.0
Uganda Kampala	67	0.0	100.0
Uganda Kampala	68	0.0	100.0
