class I
population/area	coverage	average_hit	pc90
United Arab Emirates Abu Dhabi	100.0%	26162.25	11304.22
average	100.0%	26162.25	11304.22
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
United Arab Emirates Abu Dhabi	0	0.0	100.0
United Arab Emirates Abu Dhabi	1	0.0	100.0
United Arab Emirates Abu Dhabi	2	0.0	100.0
United Arab Emirates Abu Dhabi	3	0.0	100.0
United Arab Emirates Abu Dhabi	4	0.0	100.0
United Arab Emirates Abu Dhabi	5	0.0	100.0
United Arab Emirates Abu Dhabi	6	0.0	100.0
United Arab Emirates Abu Dhabi	7	0.0	100.0
United Arab Emirates Abu Dhabi	8	0.0	100.0
United Arab Emirates Abu Dhabi	9	0.0	100.0
United Arab Emirates Abu Dhabi	10	0.0	100.0
United Arab Emirates Abu Dhabi	11	0.0	100.0
United Arab Emirates Abu Dhabi	12	0.0	100.0
United Arab Emirates Abu Dhabi	13	0.0	100.0
United Arab Emirates Abu Dhabi	14	0.0	100.0
United Arab Emirates Abu Dhabi	15	0.0	100.0
United Arab Emirates Abu Dhabi	16	0.0	100.0
United Arab Emirates Abu Dhabi	17	0.0	100.0
United Arab Emirates Abu Dhabi	18	0.0	100.0
United Arab Emirates Abu Dhabi	19	0.0	100.0
United Arab Emirates Abu Dhabi	20	0.0	100.0
United Arab Emirates Abu Dhabi	21	0.0	100.0
United Arab Emirates Abu Dhabi	22	0.0	100.0
United Arab Emirates Abu Dhabi	23	0.0	100.0
United Arab Emirates Abu Dhabi	24	0.0	100.0
United Arab Emirates Abu Dhabi	25	0.0	100.0
United Arab Emirates Abu Dhabi	26	0.0	100.0
United Arab Emirates Abu Dhabi	27	0.0	100.0
United Arab Emirates Abu Dhabi	28	0.0	100.0
United Arab Emirates Abu Dhabi	29	0.0	100.0
United Arab Emirates Abu Dhabi	30	0.0	100.0
United Arab Emirates Abu Dhabi	31	0.0	100.0
United Arab Emirates Abu Dhabi	32	0.0	100.0
United Arab Emirates Abu Dhabi	33	0.0	100.0
United Arab Emirates Abu Dhabi	34	0.0	100.0
United Arab Emirates Abu Dhabi	35	0.0	100.0
United Arab Emirates Abu Dhabi	36	0.0	100.0
United Arab Emirates Abu Dhabi	37	0.0	100.0
United Arab Emirates Abu Dhabi	38	0.0	100.0
United Arab Emirates Abu Dhabi	39	0.0	100.0
United Arab Emirates Abu Dhabi	40	0.0	100.0
United Arab Emirates Abu Dhabi	41	0.0	100.0
United Arab Emirates Abu Dhabi	42	0.0	100.0
United Arab Emirates Abu Dhabi	43	0.0	100.0
United Arab Emirates Abu Dhabi	44	0.0	100.0
United Arab Emirates Abu Dhabi	45	0.0	100.0
United Arab Emirates Abu Dhabi	46	0.0	100.0
United Arab Emirates Abu Dhabi	47	0.0	100.0
United Arab Emirates Abu Dhabi	48	0.0	100.0
United Arab Emirates Abu Dhabi	49	0.0	100.0
United Arab Emirates Abu Dhabi	50	0.0	100.0
United Arab Emirates Abu Dhabi	51	0.0	100.0
United Arab Emirates Abu Dhabi	52	0.0	100.0
United Arab Emirates Abu Dhabi	53	0.0	100.0
United Arab Emirates Abu Dhabi	54	0.0	100.0
United Arab Emirates Abu Dhabi	55	0.0	100.0
United Arab Emirates Abu Dhabi	56	0.0	100.0
United Arab Emirates Abu Dhabi	57	0.0	100.0
United Arab Emirates Abu Dhabi	58	0.0	100.0
United Arab Emirates Abu Dhabi	59	0.0	100.0
United Arab Emirates Abu Dhabi	60	0.0	100.0
United Arab Emirates Abu Dhabi	61	0.0	100.0
United Arab Emirates Abu Dhabi	62	0.0	100.0
United Arab Emirates Abu Dhabi	63	0.0	100.0
United Arab Emirates Abu Dhabi	64	0.0	100.0
United Arab Emirates Abu Dhabi	65	0.0	100.0
United Arab Emirates Abu Dhabi	66	0.0	100.0
United Arab Emirates Abu Dhabi	67	0.0	100.0
United Arab Emirates Abu Dhabi	68	0.0	100.0
United Arab Emirates Abu Dhabi	69	0.0	100.0
United Arab Emirates Abu Dhabi	70	0.0	100.0
United Arab Emirates Abu Dhabi	71	0.0	100.0
United Arab Emirates Abu Dhabi	72	0.0	100.0
United Arab Emirates Abu Dhabi	73	0.0	100.0
United Arab Emirates Abu Dhabi	74	0.0	100.0
United Arab Emirates Abu Dhabi	75	0.0	100.0
United Arab Emirates Abu Dhabi	76	0.0	100.0
United Arab Emirates Abu Dhabi	77	0.0	100.0
United Arab Emirates Abu Dhabi	78	0.0	100.0
United Arab Emirates Abu Dhabi	79	0.0	100.0
United Arab Emirates Abu Dhabi	80	0.0	100.0
United Arab Emirates Abu Dhabi	81	0.0	100.0
United Arab Emirates Abu Dhabi	82	0.0	100.0
United Arab Emirates Abu Dhabi	83	0.0	100.0
United Arab Emirates Abu Dhabi	84	0.0	100.0
United Arab Emirates Abu Dhabi	85	0.0	100.0
United Arab Emirates Abu Dhabi	86	0.0	100.0
United Arab Emirates Abu Dhabi	87	0.0	100.0
United Arab Emirates Abu Dhabi	88	0.0	100.0
United Arab Emirates Abu Dhabi	89	0.0	100.0
United Arab Emirates Abu Dhabi	90	0.0	100.0
United Arab Emirates Abu Dhabi	91	0.0	100.0
United Arab Emirates Abu Dhabi	92	0.0	100.0
United Arab Emirates Abu Dhabi	93	0.0	100.0
United Arab Emirates Abu Dhabi	94	0.0	100.0
United Arab Emirates Abu Dhabi	95	0.0	100.0
United Arab Emirates Abu Dhabi	96	0.0	100.0
United Arab Emirates Abu Dhabi	97	0.0	100.0
United Arab Emirates Abu Dhabi	98	0.0	100.0
United Arab Emirates Abu Dhabi	99	0.0	100.0
United Arab Emirates Abu Dhabi	100	0.0	100.0
United Arab Emirates Abu Dhabi	101	0.0	100.0
United Arab Emirates Abu Dhabi	102	0.0	100.0
United Arab Emirates Abu Dhabi	103	0.0	100.0
United Arab Emirates Abu Dhabi	104	0.0	100.0
United Arab Emirates Abu Dhabi	105	0.0	100.0
United Arab Emirates Abu Dhabi	106	0.0	100.0
United Arab Emirates Abu Dhabi	107	0.0	100.0
United Arab Emirates Abu Dhabi	108	0.0	100.0
United Arab Emirates Abu Dhabi	109	0.0	100.0
United Arab Emirates Abu Dhabi	110	0.0	100.0
United Arab Emirates Abu Dhabi	111	0.0	100.0
United Arab Emirates Abu Dhabi	112	0.0	100.0
United Arab Emirates Abu Dhabi	113	0.0	100.0
United Arab Emirates Abu Dhabi	114	0.0	100.0
United Arab Emirates Abu Dhabi	115	0.0	100.0
United Arab Emirates Abu Dhabi	116	0.0	100.0
United Arab Emirates Abu Dhabi	117	0.0	100.0
United Arab Emirates Abu Dhabi	118	0.0	100.0
United Arab Emirates Abu Dhabi	119	0.0	100.0
United Arab Emirates Abu Dhabi	120	0.0	100.0
United Arab Emirates Abu Dhabi	121	0.0	100.0
United Arab Emirates Abu Dhabi	122	0.0	100.0
United Arab Emirates Abu Dhabi	123	0.0	100.0
United Arab Emirates Abu Dhabi	124	0.0	100.0
United Arab Emirates Abu Dhabi	125	0.0	100.0
United Arab Emirates Abu Dhabi	126	0.0	100.0
United Arab Emirates Abu Dhabi	127	0.0	100.0
United Arab Emirates Abu Dhabi	128	0.0	100.0
United Arab Emirates Abu Dhabi	129	0.0	100.0
United Arab Emirates Abu Dhabi	130	0.0	100.0
United Arab Emirates Abu Dhabi	131	0.0	100.0
United Arab Emirates Abu Dhabi	132	0.0	100.0
United Arab Emirates Abu Dhabi	133	0.0	100.0
United Arab Emirates Abu Dhabi	134	0.0	100.0
United Arab Emirates Abu Dhabi	135	0.0	100.0
United Arab Emirates Abu Dhabi	136	0.0	100.0
United Arab Emirates Abu Dhabi	137	0.0	100.0
United Arab Emirates Abu Dhabi	138	0.0	100.0
United Arab Emirates Abu Dhabi	139	0.0	100.0
United Arab Emirates Abu Dhabi	140	0.0	100.0
United Arab Emirates Abu Dhabi	141	0.0	100.0
United Arab Emirates Abu Dhabi	142	0.0	100.0
United Arab Emirates Abu Dhabi	143	0.0	100.0
United Arab Emirates Abu Dhabi	144	0.0	100.0
United Arab Emirates Abu Dhabi	145	0.0	100.0
United Arab Emirates Abu Dhabi	146	0.0	100.0
United Arab Emirates Abu Dhabi	147	0.0	100.0
United Arab Emirates Abu Dhabi	148	0.0	100.0
United Arab Emirates Abu Dhabi	149	0.0	100.0
United Arab Emirates Abu Dhabi	150	0.0	100.0
United Arab Emirates Abu Dhabi	151	0.0	100.0
United Arab Emirates Abu Dhabi	152	0.0	100.0
United Arab Emirates Abu Dhabi	153	0.0	100.0
United Arab Emirates Abu Dhabi	154	0.0	100.0
United Arab Emirates Abu Dhabi	155	0.0	100.0
United Arab Emirates Abu Dhabi	156	0.0	100.0
United Arab Emirates Abu Dhabi	157	0.0	100.0
United Arab Emirates Abu Dhabi	158	0.0	100.0
United Arab Emirates Abu Dhabi	159	0.0	100.0
United Arab Emirates Abu Dhabi	160	0.0	100.0
United Arab Emirates Abu Dhabi	161	0.0	100.0
United Arab Emirates Abu Dhabi	162	0.0	100.0
United Arab Emirates Abu Dhabi	163	0.0	100.0
United Arab Emirates Abu Dhabi	164	0.0	100.0
United Arab Emirates Abu Dhabi	165	0.0	100.0
United Arab Emirates Abu Dhabi	166	0.0	100.0
United Arab Emirates Abu Dhabi	167	0.0	100.0
United Arab Emirates Abu Dhabi	168	0.0	100.0
United Arab Emirates Abu Dhabi	169	0.0	100.0
United Arab Emirates Abu Dhabi	170	0.0	100.0
United Arab Emirates Abu Dhabi	171	0.0	100.0
United Arab Emirates Abu Dhabi	172	0.0	100.0
United Arab Emirates Abu Dhabi	173	0.0	100.0
United Arab Emirates Abu Dhabi	174	0.0	100.0
United Arab Emirates Abu Dhabi	175	0.0	100.0
United Arab Emirates Abu Dhabi	176	0.0	100.0
United Arab Emirates Abu Dhabi	177	0.0	100.0
United Arab Emirates Abu Dhabi	178	0.0	100.0
United Arab Emirates Abu Dhabi	179	0.0	100.0
United Arab Emirates Abu Dhabi	180	0.0	100.0
United Arab Emirates Abu Dhabi	181	0.0	100.0
United Arab Emirates Abu Dhabi	182	0.0	100.0
United Arab Emirates Abu Dhabi	183	0.0	100.0
United Arab Emirates Abu Dhabi	184	0.0	100.0
United Arab Emirates Abu Dhabi	185	0.0	100.0
United Arab Emirates Abu Dhabi	186	0.0	100.0
United Arab Emirates Abu Dhabi	187	0.0	99.99
United Arab Emirates Abu Dhabi	188	0.0	99.99
United Arab Emirates Abu Dhabi	189	0.0	99.99
United Arab Emirates Abu Dhabi	190	0.0	99.99
United Arab Emirates Abu Dhabi	191	0.0	99.99
United Arab Emirates Abu Dhabi	192	0.0	99.99
United Arab Emirates Abu Dhabi	193	0.0	99.99
United Arab Emirates Abu Dhabi	194	0.0	99.99
United Arab Emirates Abu Dhabi	195	0.0	99.99
United Arab Emirates Abu Dhabi	196	0.0	99.99
United Arab Emirates Abu Dhabi	197	0.0	99.99
United Arab Emirates Abu Dhabi	198	0.0	99.99
United Arab Emirates Abu Dhabi	199	0.0	99.99
United Arab Emirates Abu Dhabi	200	0.0	99.99
United Arab Emirates Abu Dhabi	201	0.0	99.99
United Arab Emirates Abu Dhabi	202	0.0	99.99
United Arab Emirates Abu Dhabi	203	0.0	99.99
United Arab Emirates Abu Dhabi	204	0.0	99.99
United Arab Emirates Abu Dhabi	205	0.0	99.99
United Arab Emirates Abu Dhabi	206	0.0	99.99
United Arab Emirates Abu Dhabi	207	0.0	99.99
United Arab Emirates Abu Dhabi	208	0.0	99.99
United Arab Emirates Abu Dhabi	209	0.0	99.99
United Arab Emirates Abu Dhabi	210	0.0	99.99
United Arab Emirates Abu Dhabi	211	0.0	99.99
United Arab Emirates Abu Dhabi	212	0.0	99.99
United Arab Emirates Abu Dhabi	213	0.0	99.99
United Arab Emirates Abu Dhabi	214	0.0	99.99
United Arab Emirates Abu Dhabi	215	0.0	99.99
United Arab Emirates Abu Dhabi	216	0.0	99.99
United Arab Emirates Abu Dhabi	217	0.0	99.99
United Arab Emirates Abu Dhabi	218	0.0	99.99
United Arab Emirates Abu Dhabi	219	0.0	99.99
United Arab Emirates Abu Dhabi	220	0.0	99.99
United Arab Emirates Abu Dhabi	221	0.0	99.99
United Arab Emirates Abu Dhabi	222	0.0	99.99
United Arab Emirates Abu Dhabi	223	0.0	99.99
United Arab Emirates Abu Dhabi	224	0.0	99.99
United Arab Emirates Abu Dhabi	225	0.0	99.99
United Arab Emirates Abu Dhabi	226	0.0	99.99
United Arab Emirates Abu Dhabi	227	0.0	99.99
United Arab Emirates Abu Dhabi	228	0.0	99.99
United Arab Emirates Abu Dhabi	229	0.0	99.99
United Arab Emirates Abu Dhabi	230	0.0	99.99
United Arab Emirates Abu Dhabi	231	0.0	99.99
United Arab Emirates Abu Dhabi	232	0.0	99.99
United Arab Emirates Abu Dhabi	233	0.0	99.99
United Arab Emirates Abu Dhabi	234	0.0	99.99
United Arab Emirates Abu Dhabi	235	0.0	99.99
United Arab Emirates Abu Dhabi	236	0.0	99.99
United Arab Emirates Abu Dhabi	237	0.0	99.99
United Arab Emirates Abu Dhabi	238	0.0	99.99
United Arab Emirates Abu Dhabi	239	0.0	99.99
United Arab Emirates Abu Dhabi	240	0.0	99.99
United Arab Emirates Abu Dhabi	241	0.0	99.99
United Arab Emirates Abu Dhabi	242	0.0	99.99
United Arab Emirates Abu Dhabi	243	0.0	99.99
United Arab Emirates Abu Dhabi	244	0.0	99.99
United Arab Emirates Abu Dhabi	245	0.0	99.99
United Arab Emirates Abu Dhabi	246	0.0	99.99
United Arab Emirates Abu Dhabi	247	0.0	99.99
United Arab Emirates Abu Dhabi	248	0.0	99.99
United Arab Emirates Abu Dhabi	249	0.0	99.99
United Arab Emirates Abu Dhabi	250	0.0	99.99
United Arab Emirates Abu Dhabi	251	0.0	99.99
United Arab Emirates Abu Dhabi	252	0.0	99.99
United Arab Emirates Abu Dhabi	253	0.0	99.99
United Arab Emirates Abu Dhabi	254	0.0	99.99
United Arab Emirates Abu Dhabi	255	0.0	99.99
