class I
population/area	coverage	average_hit	pc90
Zimbabwe Harare Shona	100.0%	17459.49	6118.56
average	100.0%	17459.49	6118.56
standard_deviation	0.0%	0.0	0.0

population/area	epitope_hits	percent_individuals	cumulative_coverage
Zimbabwe Harare Shona	0	0.0	100.0
Zimbabwe Harare Shona	1	0.0	100.0
Zimbabwe Harare Shona	2	0.0	100.0
Zimbabwe Harare Shona	3	0.0	100.0
Zimbabwe Harare Shona	4	0.0	100.0
Zimbabwe Harare Shona	5	0.0	100.0
Zimbabwe Harare Shona	6	0.0	100.0
Zimbabwe Harare Shona	7	0.0	100.0
Zimbabwe Harare Shona	8	0.0	100.0
Zimbabwe Harare Shona	9	0.0	100.0
Zimbabwe Harare Shona	10	0.0	100.0
Zimbabwe Harare Shona	11	0.0	100.0
Zimbabwe Harare Shona	12	0.0	100.0
Zimbabwe Harare Shona	13	0.0	100.0
Zimbabwe Harare Shona	14	0.0	100.0
Zimbabwe Harare Shona	15	0.0	100.0
Zimbabwe Harare Shona	16	0.0	100.0
Zimbabwe Harare Shona	17	0.0	100.0
Zimbabwe Harare Shona	18	0.0	100.0
Zimbabwe Harare Shona	19	0.0	100.0
Zimbabwe Harare Shona	20	0.0	100.0
Zimbabwe Harare Shona	21	0.0	100.0
Zimbabwe Harare Shona	22	0.0	100.0
Zimbabwe Harare Shona	23	0.0	100.0
Zimbabwe Harare Shona	24	0.0	100.0
Zimbabwe Harare Shona	25	0.0	100.0
Zimbabwe Harare Shona	26	0.0	100.0
Zimbabwe Harare Shona	27	0.0	100.0
Zimbabwe Harare Shona	28	0.0	100.0
Zimbabwe Harare Shona	29	0.0	100.0
Zimbabwe Harare Shona	30	0.0	100.0
Zimbabwe Harare Shona	31	0.0	100.0
Zimbabwe Harare Shona	32	0.0	99.99
Zimbabwe Harare Shona	33	0.0	99.99
Zimbabwe Harare Shona	34	0.0	99.99
Zimbabwe Harare Shona	35	0.0	99.99
Zimbabwe Harare Shona	36	0.0	99.99
Zimbabwe Harare Shona	37	0.0	99.99
Zimbabwe Harare Shona	38	0.0	99.99
Zimbabwe Harare Shona	39	0.0	99.99
Zimbabwe Harare Shona	40	0.0	99.99
Zimbabwe Harare Shona	41	0.0	99.99
Zimbabwe Harare Shona	42	0.0	99.99
Zimbabwe Harare Shona	43	0.0	99.99
Zimbabwe Harare Shona	44	0.0	99.99
Zimbabwe Harare Shona	45	0.0	99.99
Zimbabwe Harare Shona	46	0.0	99.99
Zimbabwe Harare Shona	47	0.0	99.99
Zimbabwe Harare Shona	48	0.0	99.99
Zimbabwe Harare Shona	49	0.0	99.99
Zimbabwe Harare Shona	50	0.0	99.99
Zimbabwe Harare Shona	51	0.0	99.99
Zimbabwe Harare Shona	52	0.0	99.99
Zimbabwe Harare Shona	53	0.0	99.99
Zimbabwe Harare Shona	54	0.0	99.99
