,type,affiliation
0,university,"""M. D. Anderson Cancer Center, University of Texas, Houston, TX, USA."""
1,university,"""Department of Microbiology and Immunology, University of Oklahoma Health Sciences Center, Oklahoma City, 73104, USA."""
2,private,"""Proteobotics SL, Spanish National Biotechnology Centre (CSIC), Darwin 3, 28049 Madrid, Spain."""
3,university,"""Centre for Integrative Systems Biology and Bioinformatics, Department of Life Sciences, Imperial College London, London SW7 2AZ, UK."""
4,university,"""Department of Medicine, Division of Infectious Diseases, Stanford University, Stanford, CA 94305, USA."""
5,university,"""Department of Immunology, Institute for Cell Biology, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany; German Cancer Research Center (DKFZ) partner site and German Cancer Consortium (DKTK) T\xc3\xbcbingen, T\xc3\xbcbingen, Germany. Electronic address: stefan.stevanovic@uni-tuebingen.de."""
6,university,"""Ragon Institute of MGH, MIT and Harvard, Cambridge, MA 02139, USA; Program in Health Sciences &amp; Technology, Harvard Medical School &amp; Massachusetts Institute of Technology, Boston, MA 02115, USA."""
7,university,"""Medical Department I, Klinikum Benjamin Franklin, Freie Universit\xc3\xa4t Berlin, Berlin, Germany."""
8,private,"""MBL International, 15A Constitution Way, Woburn, MA 01801, United States."""
9,university,"""Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia anthony.purcell@monash.edu."""
10,university,"""Department of Immunology and Immunotherapy, Kurume University School of Medicine, 67 Asahi-machi, Kurume, Fukuoka 830-0011, Japan."""
11,university,"""Department of Neurosurgery, University of Pittsburgh School of Medicine, Pittsburgh, PA."""
12,institute,"""CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences, Vienna, Austria. abergthaler@cemm.oeaw.ac.at."""
13,hospital,"""Laboratory of Molecular Immunology, Brigham &amp; Women&#x27;s Hospital, Boston, MA, USA."""
14,hospital,"""Department of Medicine, Monash University, Central Clinical School, The Alfred Hospital, Melbourne, Victoria 3004, Australia; nicole.mifsud@monash.edu."""
15,institute,"""Division of Virology, Aichi Cancer Center Research Institute, Nagoya, Japan. kkuzushi@aichi-cc.pref.aichi.jp"""
16,university,"""Department of Pathophysiology and Allergy Research, Division of Immunopathology, Medical University of Vienna, Vienna, Austria."""
17,university,"""Division of General Pediatrics, Department of Pediatrics, Gynecology &amp; Obstetrics, Faculty of Medicine, University of Geneva, Geneva, Switzerland."""
18,private,"""Center for Cell Engineering, Memorial Sloan Kettering Cancer Center, New York, NY, USA. chandrs1@mskcc.org."""
19,university,"""Division of Rheumatology and Allergy, Department of Internal Medicine, St. Marianna University School of Medicine, Kawasaki, Japan."""
20,university,"""Institute for Virology and Immunobiology, Julius-Maximilians-Universit\xc3\xa4t W\xc3\xbcrzburg, W\xc3\xbcrzburg, Germany."""
21,university,"""Institute for Cell Biology, Department of Immunology, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
22,university,"""Department of Pathology, Sapporo Medical University, Sapporo, Japan."""
23,university,"""Department of Hematology, Leiden University Medical Center, Leiden 2333ZA, the Netherlands; Department of Immunology, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA."""
24,university,"""Center for Cancer Systems Biology, Stanford University, Stanford, California 94305, USA."""
25,university,"""Department of Oncology, Ludwig Institute for Cancer Research, University of Lausanne, 1066 Epalinges, Switzerland."""
26,institute,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892, USA. gang_zeng@nih.gov"""
27,institute,"""The Nancy and Stephen Grand Israel National Center for Personalized Medicine, de Botton Institute for Protein Profiling, Weizmann Institute of Science, Rehovot, Israel."""
28,hospital,"""Institute of Medical Genetics and Applied Genomics, University Hospital T\xc3\xbcbingen, Calwerstr. 7, D-72076, T\xc3\xbcbingen, Germany."""
29,private,"""Early Drug Development Service, Memorial Sloan Kettering Cancer Center, New York, NY, USA. klebanoc@mskcc.org."""
30,university,"""Internal Medicine, Department for Oncology, Hematology, Immunology, Rheumatology and Pulmonology, University of T\xc3\xbcbingen, Otfried-M\xc3\xbcller-Str. 10, D-72076, T\xc3\xbcbingen, Germany."""
31,institute,"""INSERM U487, Institut Gustave Roussy, 94805 Villejuif, France. ofaure@idm-biotech.com"""
32,university,"""Cancer Research UK Institute for Cancer Studies, School of Cancer Sciences, University of Birmingham, Edgbaston, Birmingham, UK."""
33,hospital,"""Department of Medicine, Haukeland University Hospital, Bergen, Norway."""
34,university,"""Department of Chemical Immunology, Weizmann Institute of Science, Rehovot, Israel."""
35,institute,"""Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, WA, USA. yxu2@fredhutch.org."""
36,private,"""Repertoire Immune Medicines, Cambridge, MA 02139, USA."""
37,private,"""Guangdong-Hong Kong-Macau Great Bay Area Geroscience Joint Laboratory, Guangzhou, China."""
38,university,"""Centro de Biologia Molecular Severo Ochoa (C.S.I.C.-U.A.M.), Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, 28049 Madrid, Spain."""
39,university,"""Applied Bioinformatics, Center of Bioinformatics and Department of Computer Science, University of Tuebingen, Tuebingen, Germany."""
40,university,"""INSERM, U1016, Cochin Institute, 75014 Paris, France; CNRS, UMR8104, Cochin Institute, 75014 Paris, France; Paris Descartes University, Sorbonne Paris Cit\xc3\xa9, 75014 Paris, France; ESPCI Paris, PSL University, Spectrom\xc3\xa9trie de Masse Biologique et Prot\xc3\xa9omique, CNRS USR3149, 75005 Paris, France."""
41,university,"""Department of Immunology, Sungkyunkwan University School of Medicine, Suwon, South Korea."""
42,hospital,"""Cancer Vaccine Center and Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA; Department of Medicine, Brigham and Women&#x27;s Hospital, Harvard Medical School, Boston, MA;"""
43,private,"""Cytel Corporation, San Diego, California, USA."""
44,university,"""Department of Structural Biology and Microbiology, Stanford University, California 94305, USA."""
45,university,"""Interfaculty Institute for Cell Biology, Proteome Center T\xc3\xbcbingen (PCT), University of T\xc3\xbcbingen, Auf der Morgenstelle 15, 72076, T\xc3\xbcbingen, Germany."""
46,university,"""the Department of Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, Parkville, Victoria 3010, Australia, the Department of Biochemistry and Molecular Biology and."""
47,university,"""Biology Department, \xc3\x89cole Normale Sup\xc3\xa9rieure Paris-Saclay, Universit\xc3\xa9 Paris-Saclay, Cachan, France."""
48,university,"""Immunology Programme, Life Sciences Institute, National University of Singapore, Singapore, 117456, Singapore."""
49,university,"""Division of Rheumatology, Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA."""
50,institute,"""Centro Nacional de Microbiolog\xc3\xada, Instituto de Salud Carlos III, 28220 Majadahonda, Madrid, Spain."""
51,private,"""Immunotope Inc., The Pennsylvania Biotechnology Center, 3805 Old Easton Road, Doylestown, Pennsylvania 18902, USA. rphilip@immunotope.com"""
52,institute,"""Molecular Immunology Section, Neuroimmunology Branch, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892, USA."""
53,university,"""Hannover Medical School, Institute for Transfusion Medicine, Feodor-Lynen-Str. 5, 30625, Hannover, Germany."""
54,university,"""School of Biosciences, Cardiff University, CF10 3AX Cardiff, Wales, UK."""
55,private,"""Shanghai-MOST Key Laboratory of Health and Disease Genomics, Chinese National Human Genome Center at Shanghai, Shanghai, China."""
56,private,"""Division of Cellular and Gene Therapies, Center for Biologics Evaluation and Research, US Food and Drug Administration, Silver Spring, MD 20993, USA."""
57,university,"""Institute of Infection and Immunity, Cardiff University, School of Medicine, Heath Park, Cardiff CF14 4XN, United Kingdom; Queensland Institute of Medical Research Berghofer Medical Research Institute, Brisbane, Queensland 4006, Australia; School of Medicine, University of Queensland, Brisbane, Queensland 4006, Australia;"""
58,institute,"""German Cancer Consortium, German Cancer Research Center, T\xc3\xbcbingen, Germany."""
59,university,"""1] Institute for Research in Immunology and Cancer, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7 [2] Department of Informatics and Operational Research, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7 [3]."""
60,hospital,"""University Hospital T\xc3\xbcbingen, Department of General, Visceral and Transplant Surgery, Hoppe-Seyler-Str. 3, 72076 T\xc3\xbcbingen, Germany; University of T\xc3\xbcbingen, Interfaculty Institute for Cell Biology, Department of Immunology, Auf der Morgenstelle 15, 72076 T\xc3\xbcbingen, Germany; German Cancer Consortium (DKTK) and German Cancer Research Center (DKFZ) partner site T\xc3\xbcbingen, Germany. Electronic address: markus.loeffler@med.uni-tuebingen.de."""
61,university,"""IIIrd Medical Department, Klinikum rechts der Isar, Technische Universit\xc3\xa4t M\xc3\xbcnchen, Ismaningerstr. 22, Munich 81675, Germany."""
62,institute,"""Bloomberg~Kimmel Institute for Cancer Immunotherapy, Sidney Kimmel Comprehensive Cancer Center, Baltimore, MD, USA."""
63,institute,"""Trev &amp; Joyce Deeley Research Centre, British Columbia Cancer Agency, Victoria, Canada."""
64,university,"""Department of Genetics, School of Medicine, Stanford University, Stanford, 94305, CA, USA."""
65,university,"""Institute for Research in Immunology and Cancer (IRIC), Universit\xc3\xa9 de Montr\xc3\xa9al, Montreal, QC H3C 3J7, Canada; Department of Chemistry, Universit\xc3\xa9 de Montr\xc3\xa9al, Montreal, QC H3C 3J7, Canada."""
66,university,"""Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity, University of Melbourne, Parkville, Victoria 3000, Australia; mandvi@unimelb.edu.au jamesm1@unimelb.edu.au Jamie.Rossjohn@monash.edu."""
67,university,"""Department of Biochemistry and Molecular Biology, Monash University, Clayton, Victoria, Australia."""
68,university,"""Centro de Biologia Molecular Severo Ochoa, Universidad Aut\xc3\xb3noma de Madrid, Facultad de Ciencias, 28049 Madrid, Spain."""
69,university,"""Department of Gastroenterology, Hepatology and Endocrinology, Hannover Medical School, Hannover, Germany."""
70,university,"""Division of Infectious Diseases, Advanced Clinical Research Center, Institute of Medical Science, The University of Tokyo, Tokyo, Japan."""
71,university,"""Department of Immunology and Vaccinology, The Institute of Genetics, San Diego, CA 92121, USA. alex@igetherapeutics.com"""
72,university,"""School of Chemistry and Molecular Biosciences, The University of Queensland, Brisbane, QLD 4072, Australia; Australian Infectious Diseases Research Centre, The University of Queensland, Brisbane, QLD 4072, Australia."""
73,institute,"""Centre for Infectious Disease Control, National Institute for Public Health and the Environment, 3721 MA Bilthoven, The Netherlands."""
74,university,"""Dipartimento di Biologia Cellulare e dello Sviluppo, Universit\xc3\xa0 di Roma La Sapienza, via dei Sardi 70, 00185 Roma, Italy."""
75,university,"""Oregon State University, Corvallis, OR, United States."""
76,university,"""Department of Molecular Parasitology, Rajendra Memorial Research Institute of Medical Sciences, Agamkuan, Patna, 800007, Bihar, India. drpradeep.das@gmail.com."""
77,university,"""Institut f\xc3\xbcr Medizinische Mikrobiologie und Hygiene, Universit\xc3\xa4t Regensburg, Germany."""
78,private,"""Key Laboratory of Surveillance and Early Warning on Infectious Disease, Division of Infectious Disease, Chinese Center for Disease Control and Prevention, Beijing, China."""
79,hospital,"""Faculty of Medicine, University of Zurich Hospital, University of Zurich, Zurich, Switzerland."""
80,hospital,"""Department of Fundamental Oncology, University Hospital of Lausanne, Lausanne, Switzerland."""
81,private,"""BioNTech AG, Mainz, Germany."""
82,university,"""Department of Infectious Diseases, Hamamatsu University School of Medicine, 1-20-1 Handa-yama, Higashi-ku, Hamamatsu 431-3192, Japan."""
83,university,"""Centre for Integrative Systems Biology and Bioinformatics, Department of Life Sciences, Imperial College London, London SW7 2AZ, UK. michele.mishto@charite.de j.liepe@imperial.ac.uk."""
84,university,"""Division of Structural Biology, Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom."""
85,university,"""Department of Diagnostic Pathology, Tokyo Medical University Hachioji Medical Center, Hachioji, Tokyo, Japan."""
86,university,"""Department of Microbiology and Immunology, University of Melbourne, at the Peter Doherty Institute for Infection and Immunity, Parkville, VIC, Australia. kkedz@unimelb.edu.au."""
87,university,"""Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel."""
88,university,"""Division of Antibody Project, Institute for Comprehensive Medical Science, Fujita Health University, Toyoake, Japan."""
89,university,"""\xe2\x80\x96\xe2\x80\x96Leiden University Medical Center, Department of Medical Oncology, Albinusdreef 2, 2333 ZA Leiden, The Netherlands."""
90,university,"""Laboratoire de Spectrom\xc3\xa9trie de Masse Prot\xc3\xa9omique, PSL University, Institut Curie, Paris, France."""
91,private,"""DKFZ Partner Site T\xc3\xbcbingen, German Cancer Consortium (DKTK), T\xc3\xbcbingen, Germany."""
92,university,"""Department of Clinical Cancer Prevention-Research, The University of Texas MD Anderson Cancer Center, Houston, Texas."""
93,hospital,"""1] Department of Neurooncology, University Hospital Heidelberg and National Center for Tumor Diseases, 69120 Heidelberg, Germany [2] German Cancer Consortium (DKTK) Clinical Cooperation Unit Neurooncology, German Cancer Research Center (DKFZ), 69120 Heidelberg, Germany."""
94,university,"""QIMR Berghofer Medical Research Institute, Brisbane, Queensland 4029, Australia; School of Medicine, University of Queensland, Brisbane, Queensland 4072, Australia; Scott.Burrows@qimrberghofer.edu.au Stephanie.Gras@monash.edu Jamie.Rossjohn@monash.edu."""
95,university,"""Department of Immunology, Faculty of Medicine, Imperial College, London, United Kingdom."""
96,hospital,"""Assistance Publique H\xc3\xb4pitaux de Paris, H\xc3\xb4pitaux Universitaires de Paris Centre-Universit\xc3\xa9 de Paris, Cochin Hospital, Service de Diab\xc3\xa9tologie et Immunologie Clinique, Paris, France."""
97,university,"""1] Dermatology Unit, NESMOS Department, Sapienza University of Rome, 00100 Rome, Italy [2] Translational tumor immunology group, Ludwig center for cancer research of the University of Lausanne, Lausanne 1066, Switzerland."""
98,institute,"""CAS Key Laboratory of Computational Biology, Shanghai Institute of Nutrition and Health, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, 200031, China."""
99,university,"""11Department of Pathology and Cell Biology, Columbia University Medical Center, New York, NY 10032 USA."""
100,university,"""Department of Microbiology and Immunology and William K. Warren Medical Research Institute, University of Oklahoma Health Sciences Center, Oklahoma City, OK 73104, USA."""
101,university,"""Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity and Australian Research Council Centre of Excellence in Advanced Molecular Imaging, University of Melbourne, Parkville, Victoria 3010, Australia Department of Microbiology and Immunology, Peter Doherty Institute for Infection and Immunity and Australian Research Council Centre of Excellence in Advanced Molecular Imaging, University of Melbourne, Parkville, Victoria 3010, Australia jamie.rossjohn@monash.edu godfrey@unimelb.edu.au."""
102,institute,"""Laboratory of Vaccine Research, National Institute of Public Health and the Environment, P.O. Box 1, 3720 BA Bilthoven, The Netherlands."""
103,university,"""1] Institute for Research in Immunology and Cancer, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7 [2] Department of Medicine, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7."""
104,university,"""Department of Pharmacology, University of Massachusetts Medical School, Worcester 01655."""
105,university,"""Department of Chemistry, University of Virginia, Charlottesville, VA, USA; Department of Pathology, University of Virginia, Charlottesville, VA, USA."""
106,hospital,"""Institute for Translational Bioinformatics, University Hospital T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
107,hospital,"""Department of Dermatology, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China."""
108,university,"""Toscana Life Sciences, Diabetes Unit and Fondazione Umberto di Mario ONLUS, Department of Medicine, Surgery and Neuroscience, University of Siena, Siena, Italy."""
109,institute,"""German Cancer Consortium (DKTK), German Cancer Research Center Partner Site T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
110,university,"""Ludwig Institute for Cancer Research, Brussels Branch, and Unit\xc3\xa9 de G\xc3\xa9n\xc3\xa9tique Cellulaire, Universit\xc3\xa9 Catholique de Louvain, B-1200 Brussels, Belgium."""
