,pmid,aff,country
0,15448372,"""Division of Cancer Research, Institute of Biomedical Science, Academia Sinica, Taipei, Taiwan, Republic of China.""",China
1,15448372,"""Institute of Clinical Medicine, National Yang-Ming University, Division of Gastroenterology, Department of Medicine, Taipei Veterans General Hospital, 201 Shih-Pai Road, Sec. 2, Taipei 112, Taiwan, Republic of China.""",China
2,15448372,"""Department of Research and Education, Taipei Veterans General Hospital, Taipei, Taiwan, Republic of China.""",China
3,15448372,"""Institute of Microbiology and Immunology, National Yang-Ming University, Taipei, Taiwan, Republic of China.""",China
4,15140958,"""Department of Immunology, Peking University Health Science Centre, 38, Xueyuanlu, Beijing, 100083, People&#x27;s Republic of China.""",China
5,15104671,"""Division of Experimental Immunology, Institute of Medical Microbiology and Immunology (IMMI), University of Copenhagen, Building 18.3, Panum Institute, Blegdamsvej 3, 2200 Copenhagen N, Denmark.""",Denmark
6,15368525,"""FRE 2736 CNRS / bioM\xc3\xa9rieux, IFR 128 BioSciences Lyon-Gerland, Lyon, France.""",France
7,15538043,"""Department of Surgery, Washington University School of Medicine, St. Louis, MO 63110, USA. jaramilloa@wustl.edu""",United States
8,15116427,"""Department of Biomedical Informatics, Clinical Pathology and Immunology, Kobe University Graduate School of Medicine, 7-5-1 Kusunoki-cho, Chuo-Ku, Kobe 650-0017, Japan.""",Japan
9,15382068,"""Department of Internal Medicine, University of Iowa Hospital and Clinics and VA Medical Center, Iowa City, IA, USA.""",United States
10,11782012,"""The Smoler Protein Center, Department of Biology, Technion, Haifa, Israel.""",Israel
11,15153496,"""Institut f\xc3\xbcr Medizinische Immunologie der Charit\xc3\xa9, Humboldt-Universit\xc3\xa4t zu Berlin (Charit\xc3\xa9), Campus Charit\xc3\xa9 Mitte, Berlin, Germany.""",Germany
12,15305339,"""Clinical Immunology, Rudbeck Laboratory, Uppsala University, Uppsala, Sweden.""",Sweden
13,15501984,"""Section of Bone Marrow Transplant and Cell Therapy, Rush University Medical Center, Chicago, Illinois, USA. jooeun_bae@dfci.harvard.edu""",United States
14,15039371,"""Laboratory of Molecular Immunology, Public Health Research Institute, Newark, New Jersey 07103, USA.""",United States
15,15609329,"""Section of Infection and Immunity, Henry Wellcome Building, Wales College of Medicine, Cardiff University, Heath Park, Cardiff, United Kingdom.""",United Kingdom
16,15016646,"""Institute of Immunology, Second Military Medical University, Shanghai, People&#x27;s Republic of China.""",China
17,14734527,"""Institut f\xc3\xbcr Kristallographie, Freie Universit\xc3\xa4t Berlin, 14195 Berlin, Germany.""",Germany
18,15004033,"""Protein Crystallography Unit and Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton, Victoria 3800, Australia.""",Australia
19,15494511,"""Department of Visceral and Transplant Surgery, Hannover Medical School, Hannover, Germany. probst-kepper.michael@mh-hannover.de""",Germany
20,12010981,"""Argonex, Inc., Charlottesville, Virginia 22903, USA.""",United States
21,12356679,"""Laboratoire d&#x27;Immunologie Exp\xc3\xa9rimentale (CP 615), Facult\xc3\xa9 de M\xc3\xa9decine, Universit\xc3\xa9 Libre de Bruxelles, 808 route de Lennik, 1070 Brussels, Belgium.""",Belgium
22,11836437,"""Institute of Virology, Erasmus University Rotterdam, Dr. Molewaterplein 50, 3015 GE Rotterdam, The Netherlands.""",Netherlands
23,12778479,"""Department of Medical Microbiology, University of Mainz, Germany.""",Germany
24,12972510,"""Center for Pulmonary and Infectious Disease Control, University of Texas Health Center, 11937 U.S. Hwy. 271, Tyler, TX 75708-3154, USA. amir.shams@uthct.edu""",United States
25,11585536,"""TB/HIV Research Laboratory, Brown University, Providence, RI 02906, USA. Anne_DeGroot@Brown.edu""",United States
26,11086086,"""Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, Leiden, The Netherlands. ageluk@lumc.nl""",Netherlands
27,10773346,"""Department of Immunology, Epimmune Inc., San Diego, CA 92121, USA.""",United States
28,2333291,"""Molecular Immunology Section, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892.""",Moldova
29,11035787,"""Division of Dermatology, University of California School of Medicine, Los Angeles, CA 90095, USA.""",United States
30,7544398,"""Department of Medicine, University of Massachusetts Medical Center, Worcester 01655, USA.""",United States
31,11796635,"""TB Research Programme, MRC Laboratories, Fajara, The Gambia. petiet@stanford.edu""",Gambia
32,9741848,"""Department of Molecular and Cellular Biology, Howard Hughes Medical Institute, Harvard University, Cambridge, Massachusetts 02138, USA.""",United States
33,16041067,"""Biostructural Research, Department of Medicinal Chemistry, The Danish University of Pharmaceutical Sciences, Universitetsparken 2, DK-2100 Copenhagen, Denmark.""",Denmark
